"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","47.75","47.00","47.82","46.15","263.46K","3.94%"
"May 14, 2020","45.94","45.73","46.08","44.48","252.80K","-1.23%"
"May 13, 2020","46.51","47.25","48.14","45.26","233.88K","-2.16%"
"May 12, 2020","47.53","48.59","49.26","47.39","246.86K","-1.87%"
"May 11, 2020","48.44","48.36","50.00","47.97","333.55K","-1.02%"
"May 08, 2020","48.94","49.07","50.36","48.09","337.41K","0.74%"
"May 07, 2020","48.58","50.11","50.88","47.83","465.70K","3.54%"
"May 06, 2020","46.92","46.39","47.35","45.89","202.63K","1.71%"
"May 05, 2020","46.13","46.29","46.98","45.80","265.34K","1.59%"
"May 04, 2020","45.41","44.65","46.86","44.01","255.44K","0.00%"
"May 01, 2020","45.41","46.60","46.80","44.79","228.22K","-4.68%"
"Apr 30, 2020","47.64","47.88","48.00","46.08","270.80K","-1.83%"
"Apr 29, 2020","48.53","49.20","50.46","47.18","496.96K","0.43%"
"Apr 28, 2020","48.32","48.86","49.68","47.90","179.85K","0.56%"
"Apr 27, 2020","48.05","47.39","48.93","47.39","277.87K","0.80%"
"Apr 24, 2020","47.67","48.00","48.02","46.76","197.38K","-0.63%"
"Apr 23, 2020","47.97","45.64","48.41","45.40","248.61K","5.24%"
"Apr 22, 2020","45.58","45.71","46.37","44.41","206.86K","1.74%"
"Apr 21, 2020","44.80","44.86","46.13","44.51","159.90K","-3.41%"
"Apr 20, 2020","46.38","47.50","47.50","45.26","214.44K","-3.07%"
"Apr 17, 2020","47.85","46.53","48.17","45.63","268.86K","5.12%"
"Apr 16, 2020","45.52","46.95","47.40","45.00","273.57K","-2.36%"
"Apr 15, 2020","46.62","46.50","47.64","45.71","203.10K","-1.73%"
"Apr 14, 2020","47.44","48.48","49.44","46.50","367.61K","-0.67%"
"Apr 13, 2020","47.76","47.59","48.64","46.69","241.06K","-0.31%"
"Apr 09, 2020","47.91","49.49","50.43","47.64","269.49K","-2.32%"
"Apr 08, 2020","49.05","47.60","49.37","46.57","199.70K","4.47%"
"Apr 07, 2020","46.95","49.00","49.68","46.42","283.15K","-2.65%"
"Apr 06, 2020","48.23","46.66","49.07","45.47","279.39K","7.39%"
"Apr 03, 2020","44.91","47.70","49.50","43.84","265.16K","-6.75%"
"Apr 02, 2020","48.16","47.16","48.79","46.60","189.83K","2.73%"
"Apr 01, 2020","46.88","47.11","47.93","46.08","260.43K","-2.98%"
"Mar 31, 2020","48.32","48.14","50.98","47.14","388.93K","0.12%"
"Mar 30, 2020","48.26","46.79","48.61","46.05","261.12K","4.32%"
"Mar 27, 2020","46.26","46.09","47.61","45.80","228.64K","-4.44%"
"Mar 26, 2020","48.41","44.78","48.87","43.83","350.26K","13.24%"
"Mar 25, 2020","42.75","45.48","46.40","42.61","402.57K","-6.02%"
"Mar 24, 2020","45.49","50.00","51.50","44.84","354.84K","-4.73%"
"Mar 23, 2020","47.75","46.22","48.87","44.72","311.42K","5.20%"
"Mar 20, 2020","45.39","50.27","51.64","44.71","476.16K","-7.69%"
"Mar 19, 2020","49.17","47.00","52.56","46.76","570.96K","3.82%"
"Mar 18, 2020","47.36","44.43","48.49","44.43","422.69K","-1.11%"
"Mar 17, 2020","47.89","51.87","52.47","46.31","983.75K","-6.63%"
"Mar 16, 2020","51.29","42.00","52.93","42.00","559.28K","-1.55%"
"Mar 13, 2020","52.10","43.78","52.74","41.99","591.89K","26.24%"
"Mar 12, 2020","41.27","41.50","47.15","40.48","795.14K","-6.67%"
"Mar 11, 2020","44.22","50.51","50.72","42.68","1.27M","-14.90%"
"Mar 10, 2020","51.96","53.49","53.49","51.34","387.11K","0.54%"
"Mar 09, 2020","51.68","55.53","55.76","50.56","420.51K","-12.36%"
"Mar 06, 2020","58.97","56.61","59.24","56.60","249.23K","0.61%"
"Mar 05, 2020","58.61","57.90","59.65","57.16","223.15K","-1.96%"
"Mar 04, 2020","59.78","57.29","60.00","56.71","206.65K","6.41%"
"Mar 03, 2020","56.18","57.56","58.24","54.87","242.54K","-2.95%"
"Mar 02, 2020","57.89","55.15","57.98","53.85","227.61K","5.24%"
"Feb 28, 2020","55.01","56.24","57.71","53.62","549.68K","-4.48%"
"Feb 27, 2020","57.59","52.42","58.85","52.42","465.34K","8.41%"
"Feb 26, 2020","53.12","53.26","54.53","53.08","224.87K","0.19%"
"Feb 25, 2020","53.02","54.06","54.06","52.56","212.11K","-1.38%"
"Feb 24, 2020","53.76","53.30","54.22","53.26","143.98K","-2.68%"
"Feb 21, 2020","55.24","56.35","56.35","55.23","139.24K","-2.21%"
"Feb 20, 2020","56.49","56.77","57.55","56.02","91.45K","-1.14%"
"Feb 19, 2020","57.14","55.84","57.32","55.78","85.74K","2.51%"
"Feb 18, 2020","55.74","56.70","57.26","55.66","92.88K","-2.35%"
"Feb 14, 2020","57.08","56.42","57.34","56.31","110.25K","1.28%"
"Feb 13, 2020","56.36","55.27","56.53","55.25","82.02K","1.24%"
"Feb 12, 2020","55.67","55.45","56.00","54.60","137.02K","1.02%"
"Feb 11, 2020","55.11","54.96","56.19","54.72","91.12K","0.44%"
"Feb 10, 2020","54.87","54.02","54.95","53.76","131.04K","0.68%"
"Feb 07, 2020","54.50","54.17","54.68","53.89","66.37K","0.26%"
"Feb 06, 2020","54.36","54.39","54.61","53.82","117.69K","0.48%"
"Feb 05, 2020","54.10","54.05","54.80","53.62","155.47K","1.31%"
"Feb 04, 2020","53.40","53.93","54.14","53.15","209.15K","0.60%"
"Feb 03, 2020","53.08","52.90","53.76","52.90","149.09K","1.22%"
"Jan 31, 2020","52.44","53.99","54.55","52.14","132.96K","-3.39%"
"Jan 30, 2020","54.28","53.16","54.34","53.16","88.82K","1.25%"
"Jan 29, 2020","53.61","53.91","54.17","53.29","79.12K","-0.15%"
"Jan 28, 2020","53.69","53.67","53.81","53.31","99.48K","0.54%"
"Jan 27, 2020","53.40","52.35","53.69","52.35","81.85K","-0.09%"
"Jan 24, 2020","53.45","53.85","53.85","52.98","103.37K","-0.65%"
"Jan 23, 2020","53.80","52.66","53.83","52.13","163.75K","1.61%"
"Jan 22, 2020","52.95","53.02","53.34","52.43","116.76K","0.19%"
"Jan 21, 2020","52.85","52.42","53.43","52.23","119.88K","-0.06%"
"Jan 17, 2020","52.88","53.11","53.59","52.68","131.54K","0.34%"
"Jan 16, 2020","52.70","52.76","53.23","52.45","118.06K","0.80%"
"Jan 15, 2020","52.28","51.77","52.73","51.44","123.45K","0.71%"
"Jan 14, 2020","51.91","51.68","52.13","51.47","105.81K","-0.08%"
"Jan 13, 2020","51.95","50.80","51.99","50.80","79.50K","2.24%"
"Jan 10, 2020","50.81","50.74","51.29","50.55","126.52K","-0.08%"
"Jan 09, 2020","50.85","50.36","51.00","50.12","94.97K","1.68%"
"Jan 08, 2020","50.01","50.15","50.70","49.96","123.40K","-0.28%"
"Jan 07, 2020","50.15","50.08","50.35","49.57","70.97K","-0.22%"
"Jan 06, 2020","50.26","49.80","50.35","49.36","91.78K","-0.18%"
"Jan 03, 2020","50.35","49.15","50.42","48.63","183.34K","0.92%"
"Jan 02, 2020","49.89","49.83","49.90","48.52","191.37K","0.97%"
"Dec 31, 2019","49.41","49.39","50.10","48.87","178.89K","0.06%"
"Dec 30, 2019","49.38","49.70","49.78","48.87","122.09K","-0.86%"
"Dec 27, 2019","49.81","49.99","50.29","49.26","69.53K","-0.18%"
"Dec 26, 2019","49.90","49.91","50.04","49.36","57.65K","0.20%"
"Dec 24, 2019","49.80","49.92","50.12","49.47","45.06K","-0.32%"
"Dec 23, 2019","49.96","50.02","50.20","48.87","91.51K","0.20%"
"Dec 20, 2019","49.86","49.35","50.26","48.90","662.75K","1.14%"
"Dec 19, 2019","49.30","49.88","49.88","48.84","113.59K","-1.28%"
"Dec 18, 2019","49.94","50.00","50.24","49.01","169.86K","-0.50%"
"Dec 17, 2019","50.19","49.26","50.39","49.17","195.74K","2.35%"
"Dec 16, 2019","49.04","50.40","50.49","48.82","189.04K","-1.88%"
"Dec 13, 2019","49.98","50.28","50.68","49.60","124.48K","-0.52%"
"Dec 12, 2019","50.24","49.55","50.82","49.55","166.21K","1.80%"
"Dec 11, 2019","49.35","48.94","49.52","48.70","139.84K","1.52%"
"Dec 10, 2019","48.61","49.49","49.56","48.34","124.31K","-1.64%"
"Dec 09, 2019","49.42","50.14","50.65","49.33","199.18K","-1.75%"
"Dec 06, 2019","50.30","49.61","50.59","49.61","214.59K","2.38%"
"Dec 05, 2019","49.13","48.49","49.20","48.46","142.68K","1.57%"
"Dec 04, 2019","48.37","47.85","49.33","47.85","171.64K","1.66%"
"Dec 03, 2019","47.58","48.15","48.49","47.50","100.06K","-2.06%"
"Dec 02, 2019","48.58","49.26","49.41","48.29","132.52K","-1.60%"
"Nov 29, 2019","49.37","49.18","49.58","48.70","43.13K","-0.14%"
"Nov 27, 2019","49.44","49.47","49.94","49.21","118.56K","0.18%"
