"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","22.59","23.26","23.46","22.55","3.74M","-1.40%"
"Nov 04, 2019","22.91","22.28","22.97","22.25","3.84M","4.76%"
"Nov 01, 2019","21.87","21.03","22.06","21.00","5.48M","5.19%"
"Oct 31, 2019","20.79","20.94","21.30","20.36","5.48M","-2.35%"
"Oct 30, 2019","21.29","21.30","21.34","20.77","3.72M","-1.44%"
"Oct 29, 2019","21.60","21.45","21.73","21.05","2.45M","0.37%"
"Oct 28, 2019","21.52","21.22","21.77","21.19","2.83M","2.38%"
"Oct 25, 2019","21.02","20.68","21.20","20.60","5.93M","1.35%"
"Oct 24, 2019","20.74","21.34","21.57","20.45","4.20M","-2.54%"
"Oct 23, 2019","21.28","20.81","21.39","20.81","3.17M","2.65%"
"Oct 22, 2019","20.73","20.45","21.03","19.92","4.21M","1.27%"
"Oct 21, 2019","20.47","21.57","21.66","20.45","6.36M","-4.97%"
"Oct 18, 2019","21.54","20.66","21.64","20.34","6.21M","6.11%"
"Oct 17, 2019","20.30","20.55","21.63","20.03","9.11M","5.95%"
"Oct 16, 2019","19.16","19.25","19.96","19.16","7.58M","-1.54%"
"Oct 15, 2019","19.46","19.11","19.81","18.96","7.58M","1.51%"
"Oct 14, 2019","19.17","19.02","19.44","18.78","5.81M","-0.57%"
"Oct 11, 2019","19.28","19.16","19.50","18.97","6.00M","3.16%"
"Oct 10, 2019","18.69","18.64","18.99","18.42","3.45M","1.52%"
"Oct 09, 2019","18.41","18.75","18.82","18.19","3.19M","-0.43%"
"Oct 08, 2019","18.49","18.90","19.01","18.47","3.55M","-3.95%"
"Oct 07, 2019","19.25","19.41","19.77","19.19","2.63M","-1.03%"
"Oct 04, 2019","19.45","19.10","19.49","18.94","2.75M","2.10%"
"Oct 03, 2019","19.05","19.13","19.34","18.68","3.51M","-1.30%"
"Oct 02, 2019","19.30","19.42","19.55","18.82","3.08M","-2.82%"
"Oct 01, 2019","19.86","20.19","20.87","19.70","3.25M","-1.05%"
"Sep 30, 2019","20.07","20.53","20.55","19.95","3.28M","-2.62%"
"Sep 27, 2019","20.61","21.08","21.23","20.43","3.09M","-1.81%"
"Sep 26, 2019","20.99","21.19","21.23","20.59","2.26M","-2.37%"
"Sep 25, 2019","21.50","20.48","21.56","20.38","3.35M","4.27%"
"Sep 24, 2019","20.62","21.07","21.44","20.42","3.73M","-3.19%"
"Sep 23, 2019","21.30","20.66","21.71","20.44","3.53M","-1.84%"
"Sep 20, 2019","21.70","22.04","22.10","21.50","5.09M","-1.09%"
"Sep 19, 2019","21.94","21.30","22.21","21.30","2.99M","1.25%"
"Sep 18, 2019","21.67","21.79","22.00","21.37","4.16M","-1.63%"
"Sep 17, 2019","22.03","22.00","22.35","21.55","3.66M","-2.35%"
"Sep 16, 2019","22.56","22.56","22.87","22.38","2.87M","-1.44%"
"Sep 13, 2019","22.89","22.95","23.32","22.70","4.22M","1.46%"
"Sep 12, 2019","22.56","22.03","22.82","21.38","5.14M","1.71%"
"Sep 11, 2019","22.18","21.35","22.28","20.70","6.27M","6.48%"
"Sep 10, 2019","20.83","20.39","20.89","19.85","3.21M","2.61%"
"Sep 09, 2019","20.30","19.27","20.42","19.27","4.24M","6.23%"
"Sep 06, 2019","19.11","19.52","19.64","18.98","2.97M","-2.60%"
"Sep 05, 2019","19.62","18.71","19.77","18.70","5.55M","7.33%"
"Sep 04, 2019","18.28","18.02","18.39","17.96","2.57M","3.80%"
"Sep 03, 2019","17.61","17.63","17.70","17.09","2.60M","-1.78%"
"Aug 30, 2019","17.93","17.94","18.17","17.71","2.10M","0.73%"
"Aug 29, 2019","17.80","17.32","17.98","17.26","3.07M","4.64%"
"Aug 28, 2019","17.01","16.58","17.28","16.46","2.92M","1.67%"
"Aug 27, 2019","16.73","17.31","17.37","16.68","2.38M","-2.56%"
"Aug 26, 2019","17.17","17.73","17.73","17.09","3.11M","-1.77%"
"Aug 23, 2019","17.48","17.83","18.00","17.31","3.24M","-3.16%"
"Aug 22, 2019","18.05","18.46","18.55","17.91","3.00M","-2.27%"
"Aug 21, 2019","18.47","18.67","19.01","18.46","3.38M","0.87%"
"Aug 20, 2019","18.31","18.12","18.40","18.06","2.95M","0.44%"
"Aug 19, 2019","18.23","17.84","18.37","17.81","3.51M","4.05%"
"Aug 16, 2019","17.52","17.04","17.63","17.04","4.27M","3.55%"
"Aug 15, 2019","16.92","17.60","17.74","16.68","3.97M","-3.31%"
"Aug 14, 2019","17.50","18.35","18.41","17.50","5.54M","-8.42%"
"Aug 13, 2019","19.11","18.50","19.52","18.33","4.43M","3.19%"
"Aug 12, 2019","18.52","19.03","19.05","18.39","3.10M","-3.59%"
"Aug 09, 2019","19.21","19.85","19.96","19.16","3.07M","-4.52%"
"Aug 08, 2019","20.12","19.79","20.24","19.68","2.98M","2.76%"
"Aug 07, 2019","19.58","19.53","19.63","19.15","2.95M","-1.56%"
"Aug 06, 2019","19.89","20.22","20.35","19.35","3.78M","-1.29%"
"Aug 05, 2019","20.15","20.22","20.27","19.54","3.98M","-2.70%"
"Aug 02, 2019","20.71","21.15","21.32","20.31","3.52M","-2.91%"
"Aug 01, 2019","21.33","22.27","22.45","21.00","4.78M","-5.16%"
"Jul 31, 2019","22.49","23.05","23.24","22.42","2.76M","-2.39%"
"Jul 30, 2019","23.04","22.90","23.04","22.57","2.87M","-0.35%"
"Jul 29, 2019","23.12","23.06","23.57","22.90","2.39M","-0.04%"
"Jul 26, 2019","23.13","22.85","23.30","22.63","2.51M","1.23%"
"Jul 25, 2019","22.85","23.48","23.63","22.60","3.89M","-3.01%"
"Jul 24, 2019","23.56","22.93","23.60","22.84","2.95M","2.66%"
"Jul 23, 2019","22.95","23.16","23.56","22.86","3.09M","-0.13%"
"Jul 22, 2019","22.98","23.18","23.39","22.70","3.72M","-0.56%"
"Jul 19, 2019","23.11","23.36","23.78","22.87","4.65M","-1.28%"
