"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","85.37","86.25","86.78","85.04","472.73K","-0.88%"
"Nov 05, 2019","86.13","88.15","88.78","83.81","2.03M","-1.57%"
"Nov 04, 2019","87.50","87.20","87.73","85.46","910.20K","0.73%"
"Nov 01, 2019","86.87","85.92","87.42","85.54","1.24M","1.75%"
"Oct 31, 2019","85.38","85.45","85.77","84.52","957.70K","-0.55%"
"Oct 30, 2019","85.85","88.00","88.00","84.83","1.39M","-3.40%"
"Oct 29, 2019","88.87","87.42","88.88","87.13","931.76K","1.69%"
"Oct 28, 2019","87.39","87.20","88.20","86.80","450.36K","0.68%"
"Oct 25, 2019","86.80","85.91","87.22","85.31","424.05K","0.95%"
"Oct 24, 2019","85.98","85.96","86.29","84.84","732.83K","0.39%"
"Oct 23, 2019","85.65","85.73","86.03","84.81","788.30K","-0.48%"
"Oct 22, 2019","86.06","86.81","87.11","85.59","849.52K","-0.69%"
"Oct 21, 2019","86.66","88.20","89.00","84.37","2.35M","-3.32%"
"Oct 18, 2019","89.64","89.51","90.00","88.34","1.57M","0.16%"
"Oct 17, 2019","89.50","86.11","89.83","86.11","3.26M","4.01%"
"Oct 16, 2019","86.05","84.11","88.69","84.02","2.71M","3.43%"
"Oct 15, 2019","83.20","82.21","83.61","81.86","783.92K","1.99%"
"Oct 14, 2019","81.58","81.79","82.15","81.38","510.12K","-0.46%"
"Oct 11, 2019","81.96","81.80","83.15","81.16","958.07K","1.41%"
"Oct 10, 2019","80.82","80.55","81.57","79.84","741.88K","0.56%"
"Oct 09, 2019","80.37","80.83","81.18","80.29","659.53K","0.25%"
"Oct 08, 2019","80.17","81.26","81.87","80.12","1.35M","-2.06%"
"Oct 07, 2019","81.86","81.39","82.69","80.74","1.22M","0.01%"
"Oct 04, 2019","81.85","81.30","81.88","80.27","769.02K","0.63%"
"Oct 03, 2019","81.34","80.81","81.57","79.75","764.37K","0.44%"
"Oct 02, 2019","80.98","81.32","81.78","80.45","1.38M","-1.39%"
"Oct 01, 2019","82.12","82.48","84.21","82.07","1.30M","-0.26%"
"Sep 30, 2019","82.33","81.00","83.41","81.00","1.14M","1.72%"
"Sep 27, 2019","80.94","82.33","82.36","80.43","1.40M","-1.29%"
"Sep 26, 2019","82.00","83.43","83.87","80.86","945.45K","-1.48%"
"Sep 25, 2019","83.23","82.17","84.07","82.17","894.77K","0.64%"
"Sep 24, 2019","82.70","84.23","85.13","82.52","925.23K","-1.37%"
"Sep 23, 2019","83.85","84.87","85.26","83.29","1.04M","-1.49%"
"Sep 20, 2019","85.12","84.95","86.46","84.76","2.19M","0.58%"
"Sep 19, 2019","84.63","83.25","85.20","82.85","1.33M","1.96%"
"Sep 18, 2019","83.00","83.28","83.28","81.91","1.40M","-0.22%"
"Sep 17, 2019","83.18","84.17","84.56","83.14","1.06M","-0.73%"
"Sep 16, 2019","83.79","82.68","83.89","82.37","1.12M","0.44%"
"Sep 13, 2019","83.42","85.19","86.33","82.95","1.26M","-1.44%"
"Sep 12, 2019","84.64","87.88","88.23","84.52","1.12M","-3.59%"
"Sep 11, 2019","87.79","86.05","88.46","85.33","1.03M","2.22%"
"Sep 10, 2019","85.88","86.46","86.82","84.23","1.90M","-1.43%"
"Sep 09, 2019","87.13","86.31","87.57","86.16","1.23M","0.94%"
"Sep 06, 2019","86.32","86.12","86.61","85.56","963.89K","0.33%"
"Sep 05, 2019","86.04","86.29","87.17","85.79","935.49K","1.01%"
"Sep 04, 2019","85.18","84.36","85.45","84.34","853.20K","1.36%"
"Sep 03, 2019","84.04","81.87","84.50","81.56","1.61M","2.15%"
"Aug 30, 2019","82.27","82.30","82.49","81.61","1.09M","0.44%"
"Aug 29, 2019","81.91","81.83","82.77","81.13","1.19M","1.11%"
"Aug 28, 2019","81.01","81.03","82.03","80.41","1.93M","-0.33%"
"Aug 27, 2019","81.28","85.94","86.58","81.20","1.85M","-5.38%"
"Aug 26, 2019","85.90","84.41","85.92","84.10","1.18M","2.82%"
"Aug 23, 2019","83.54","85.46","86.40","83.09","1.18M","-2.35%"
"Aug 22, 2019","85.55","86.56","87.12","85.33","1.01M","-0.89%"
"Aug 21, 2019","86.32","86.44","87.58","86.23","1.03M","0.02%"
"Aug 20, 2019","86.30","88.04","88.61","86.22","1.02M","-1.65%"
"Aug 19, 2019","87.75","88.21","88.97","87.63","903.95K","0.47%"
"Aug 16, 2019","87.34","86.15","87.90","86.00","820.63K","1.59%"
"Aug 15, 2019","85.97","86.43","86.88","85.34","1.10M","-0.43%"
"Aug 14, 2019","86.34","88.48","88.48","86.14","1.37M","-3.27%"
"Aug 13, 2019","89.26","87.61","89.96","86.95","1.41M","2.15%"
"Aug 12, 2019","87.38","87.37","87.87","86.55","906.73K","-0.08%"
"Aug 09, 2019","87.45","87.94","88.17","86.54","898.84K","-0.50%"
"Aug 08, 2019","87.89","85.80","88.39","85.48","1.45M","2.38%"
"Aug 07, 2019","85.85","83.78","86.04","81.80","2.00M","2.07%"
"Aug 06, 2019","84.11","89.30","90.99","82.65","4.49M","-5.17%"
"Aug 05, 2019","88.70","89.58","90.86","87.82","1.39M","-1.92%"
"Aug 02, 2019","90.44","91.95","92.89","88.70","1.25M","-1.37%"
"Aug 01, 2019","91.70","90.88","94.75","90.58","3.23M","5.22%"
"Jul 31, 2019","87.15","88.72","88.73","85.53","1.50M","-1.77%"
"Jul 30, 2019","88.72","86.50","89.01","85.48","1.41M","1.71%"
"Jul 29, 2019","87.23","86.11","87.26","86.10","803.04K","1.29%"
"Jul 26, 2019","86.12","86.26","86.69","85.58","723.39K","0.22%"
"Jul 25, 2019","85.93","87.23","87.62","85.54","595.91K","-1.10%"
"Jul 24, 2019","86.89","86.01","87.04","85.60","757.38K","1.26%"
"Jul 23, 2019","85.81","85.27","86.16","84.77","812.49K","0.89%"
"Jul 22, 2019","85.05","85.85","86.18","84.93","840.31K","-0.55%"
"Jul 19, 2019","85.52","86.64","86.64","85.09","928.31K","-1.43%"
"Jul 18, 2019","86.76","85.48","87.00","84.55","1.19M","1.52%"
"Jul 17, 2019","85.46","88.39","88.52","84.62","2.20M","-3.98%"
"Jul 16, 2019","89.00","89.87","89.90","88.75","942.77K","-1.03%"
"Jul 15, 2019","89.93","90.01","90.40","88.95","810.01K","0.09%"
"Jul 12, 2019","89.85","90.40","91.30","88.87","1.50M","-0.75%"
"Jul 11, 2019","90.53","91.76","94.20","89.79","2.19M","1.38%"
"Jul 10, 2019","89.30","88.83","89.77","88.10","1.54M","1.21%"
"Jul 09, 2019","88.23","87.42","88.75","87.17","1.12M","0.46%"
"Jul 08, 2019","87.83","87.62","88.06","86.54","968.67K","-0.16%"
"Jul 05, 2019","87.97","87.40","88.86","86.58","710.36K","0.43%"
"Jul 03, 2019","87.59","86.11","88.78","86.08","1.07M","2.49%"
"Jul 02, 2019","85.46","85.59","86.05","84.52","1.04M","-0.15%"
"Jul 01, 2019","85.59","85.78","85.91","84.65","1.19M","0.39%"
"Jun 28, 2019","85.26","85.83","86.26","85.06","1.57M","-0.43%"
"Jun 27, 2019","85.63","84.39","86.53","83.90","1.14M","2.21%"
"Jun 26, 2019","83.78","84.35","84.84","83.25","1.07M","-0.59%"
"Jun 25, 2019","84.28","83.87","85.15","83.12","1.70M","0.91%"
"Jun 24, 2019","83.52","84.60","85.14","82.89","2.04M","-1.11%"
"Jun 21, 2019","84.46","85.38","85.49","84.25","2.40M","-1.29%"
"Jun 20, 2019","85.56","86.97","86.97","84.36","1.88M","-0.58%"
"Jun 19, 2019","86.06","85.74","86.79","85.53","1.38M","0.71%"
"Jun 18, 2019","85.45","85.94","87.10","85.14","915.50K","0.13%"
"Jun 17, 2019","85.34","85.46","85.61","84.39","1.06M","0.34%"
"Jun 14, 2019","85.05","86.70","86.99","84.84","1.00M","-1.61%"
"Jun 13, 2019","86.44","85.60","86.68","85.31","1.02M","1.24%"
"Jun 12, 2019","85.38","84.67","85.41","84.27","1.14M","0.78%"
"Jun 11, 2019","84.72","85.00","85.27","84.45","1.25M","-0.06%"
"Jun 10, 2019","84.77","83.63","85.48","83.58","1.42M","1.55%"
"Jun 07, 2019","83.48","82.33","83.67","81.96","1.23M","2.12%"
"Jun 06, 2019","81.75","81.55","82.46","81.54","1.41M","0.12%"
"Jun 05, 2019","81.65","82.86","83.19","81.02","1.15M","-0.68%"
"Jun 04, 2019","82.21","81.29","82.88","81.00","1.89M","2.29%"
"Jun 03, 2019","80.37","78.12","81.07","78.12","1.36M","3.22%"
"May 31, 2019","77.86","77.55","78.35","77.07","841.88K","-0.59%"
"May 30, 2019","78.32","78.35","78.93","77.46","802.79K","-0.04%"
"May 29, 2019","78.35","80.53","80.58","78.19","2.05M","-3.14%"
"May 28, 2019","80.89","80.57","81.69","80.57","1.90M","0.26%"
"May 24, 2019","80.68","80.44","81.29","79.94","809.27K","0.30%"
"May 23, 2019","80.44","81.16","81.67","79.95","1.19M","-1.66%"
"May 22, 2019","81.80","80.47","82.08","80.16","1.67M","1.53%"
"May 21, 2019","80.57","79.78","81.26","79.47","1.91M","1.69%"
"May 20, 2019","79.23","77.08","79.67","77.05","1.61M","1.93%"
"May 17, 2019","77.73","76.84","78.83","76.43","1.20M","0.18%"
"May 16, 2019","77.59","77.84","78.75","77.36","1.38M","-0.35%"
"May 15, 2019","77.86","76.29","77.96","75.18","1.33M","1.53%"
"May 14, 2019","76.69","75.94","78.92","75.47","1.61M","1.33%"
"May 13, 2019","75.68","76.04","76.27","74.67","1.09M","-2.31%"
"May 10, 2019","77.47","78.90","79.51","76.13","1.34M","-2.16%"
"May 09, 2019","79.18","77.73","79.79","77.17","1.77M","0.58%"
"May 08, 2019","78.72","77.84","79.56","76.50","1.83M","1.63%"
"May 07, 2019","77.46","77.61","79.06","76.77","1.73M","-1.09%"
"May 06, 2019","78.31","78.13","78.56","75.62","1.20M","-1.05%"
"May 03, 2019","79.14","77.98","79.59","77.64","2.09M","2.70%"
"May 02, 2019","77.06","75.52","78.77","75.30","3.06M","5.00%"
"May 01, 2019","73.39","75.13","75.25","73.04","2.04M","-1.83%"
"Apr 30, 2019","74.76","74.80","75.06","73.61","1.05M","0.34%"
"Apr 29, 2019","74.51","74.03","74.78","73.75","719.00K","0.62%"
