"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","11.64","11.69","11.88","11.52","29.76M","-0.85%"
"May 14, 2020","11.74","11.30","11.82","11.28","36.81M","4.26%"
"May 13, 2020","11.26","11.84","11.89","11.19","46.08M","-3.92%"
"May 12, 2020","11.72","11.90","12.30","11.71","33.29M","-1.84%"
"May 11, 2020","11.94","12.04","12.35","11.92","19.97M","-0.83%"
"May 08, 2020","12.04","11.82","12.16","11.77","23.09M","4.33%"
"May 07, 2020","11.54","11.65","12.30","11.34","56.86M","-2.45%"
"May 06, 2020","11.83","11.97","12.06","11.60","66.85M","-0.92%"
"May 05, 2020","11.94","11.90","12.15","11.84","25.49M","1.53%"
"May 04, 2020","11.76","11.14","11.84","11.10","30.11M","3.70%"
"Apr 30, 2020","11.34","11.53","11.68","11.25","35.54M","-2.83%"
"Apr 29, 2020","11.67","11.82","11.91","11.65","27.25M","-0.26%"
"Apr 28, 2020","11.70","11.94","12.18","11.58","27.04M","0.78%"
"Apr 27, 2020","11.61","11.35","11.84","11.26","26.07M","4.50%"
"Apr 24, 2020","11.11","11.45","11.55","10.68","50.73M","-3.81%"
"Apr 23, 2020","11.55","11.73","11.84","11.44","23.41M","-0.60%"
"Apr 22, 2020","11.62","11.65","11.79","11.51","22.67M","0.09%"
"Apr 20, 2020","11.61","11.40","11.85","11.29","21.99M","0.09%"
"Apr 17, 2020","11.60","11.70","11.80","11.49","16.69M","1.31%"
"Apr 16, 2020","11.45","11.96","12.02","11.40","25.83M","-3.86%"
"Apr 15, 2020","11.91","11.92","12.06","11.72","35.75M","-1.49%"
"Apr 14, 2020","12.09","12.29","12.59","12.09","21.19M","-0.08%"
"Apr 13, 2020","12.10","12.11","12.24","11.90","16.97M","0.00%"
"Apr 09, 2020","12.10","12.51","12.72","12.10","23.70M","-1.71%"
"Apr 08, 2020","12.31","12.50","12.68","12.02","22.76M","-0.81%"
"Apr 07, 2020","12.41","12.65","12.97","12.30","37.50M","4.64%"
"Apr 06, 2020","11.86","12.00","12.57","11.68","19.05M","4.13%"
"Apr 03, 2020","11.39","11.94","11.94","11.16","22.80M","-5.00%"
"Apr 02, 2020","11.99","11.68","12.24","11.47","17.94M","2.57%"
"Apr 01, 2020","11.69","11.60","11.92","11.44","25.16M","-1.93%"
"Mar 31, 2020","11.92","12.40","12.40","11.85","27.20M","-5.02%"
"Mar 30, 2020","12.55","12.60","13.02","12.37","29.74M","0.48%"
"Mar 27, 2020","12.49","12.51","13.22","11.98","38.11M","-2.42%"
"Mar 26, 2020","12.80","11.90","13.28","11.89","45.84M","9.87%"
"Mar 25, 2020","11.65","11.30","12.07","11.06","33.56M","3.19%"
"Mar 24, 2020","11.29","12.12","12.59","11.29","33.59M","-1.91%"
"Mar 23, 2020","11.51","12.28","12.28","11.18","50.12M","-4.48%"
"Mar 20, 2020","12.05","11.90","12.49","11.76","49.84M","2.99%"
"Mar 19, 2020","11.70","10.82","12.16","10.36","53.13M","4.56%"
"Mar 18, 2020","11.19","10.73","11.21","10.55","62.68M","-4.28%"
"Mar 17, 2020","11.69","11.05","11.96","11.05","69.83M","5.98%"
"Mar 16, 2020","11.03","11.39","11.77","10.43","51.83M","-13.15%"
