"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","83.95","83.24","84.07","82.92","2.47M","0.60%"
"Oct 29, 2019","83.45","82.51","83.86","82.34","4.61M","0.96%"
"Oct 28, 2019","82.66","81.80","82.89","81.76","4.77M","1.24%"
"Oct 25, 2019","81.65","81.45","81.97","81.08","4.87M","0.36%"
"Oct 24, 2019","81.36","81.59","82.09","81.20","4.48M","0.11%"
"Oct 23, 2019","81.27","80.69","81.60","80.41","4.34M","0.91%"
"Oct 22, 2019","80.54","81.81","82.28","80.50","4.82M","-1.36%"
"Oct 21, 2019","81.65","83.14","83.28","81.52","5.59M","-1.38%"
"Oct 18, 2019","82.79","82.41","83.32","82.03","5.22M","0.50%"
"Oct 17, 2019","82.38","81.52","83.00","81.47","4.18M","0.73%"
"Oct 16, 2019","81.78","81.36","83.69","79.65","10.76M","-0.24%"
"Oct 15, 2019","81.98","80.70","82.75","80.70","6.49M","2.71%"
"Oct 14, 2019","79.82","79.69","80.19","79.42","4.29M","0.24%"
"Oct 11, 2019","79.63","80.73","81.33","79.55","4.43M","-0.64%"
"Oct 10, 2019","80.14","79.09","80.46","79.07","5.23M","0.81%"
"Oct 09, 2019","79.50","79.31","79.81","78.88","4.03M","1.26%"
"Oct 08, 2019","78.51","80.56","80.56","78.51","6.14M","-3.12%"
"Oct 07, 2019","81.04","81.40","81.98","80.97","2.72M","-1.16%"
"Oct 04, 2019","81.99","81.30","82.32","81.29","3.40M","1.13%"
"Oct 03, 2019","81.07","79.25","81.13","78.77","4.12M","1.94%"
"Oct 02, 2019","79.53","81.40","81.55","78.77","5.77M","-2.82%"
"Oct 01, 2019","81.84","84.03","84.77","81.77","4.69M","-2.19%"
"Sep 30, 2019","83.67","82.19","84.39","82.19","4.35M","2.24%"
"Sep 27, 2019","81.84","83.04","83.34","81.42","3.40M","-0.99%"
"Sep 26, 2019","82.66","83.28","83.38","82.09","3.27M","-0.24%"
"Sep 25, 2019","82.86","82.40","83.05","82.10","3.58M","0.51%"
"Sep 24, 2019","82.44","83.66","84.03","82.22","3.77M","-0.87%"
"Sep 23, 2019","83.16","83.43","83.72","83.13","2.52M","-0.50%"
"Sep 20, 2019","83.58","83.51","83.88","82.87","7.18M","0.42%"
"Sep 19, 2019","83.23","83.83","84.25","83.10","3.42M","-0.49%"
"Sep 18, 2019","83.64","83.58","84.16","82.85","3.05M","0.07%"
"Sep 17, 2019","83.58","83.40","84.50","83.21","3.60M","0.26%"
"Sep 16, 2019","83.36","83.91","83.91","83.03","3.99M","-1.08%"
"Sep 13, 2019","84.27","85.30","85.36","83.89","3.63M","-1.10%"
"Sep 12, 2019","85.21","85.03","85.99","84.91","3.52M","0.82%"
"Sep 11, 2019","84.52","82.45","84.56","82.25","4.46M","1.57%"
"Sep 10, 2019","83.21","83.44","83.48","81.02","5.61M","-1.20%"
"Sep 09, 2019","84.22","86.34","86.43","83.87","4.44M","-2.12%"
"Sep 06, 2019","86.04","86.23","86.43","85.60","4.45M","0.16%"
"Sep 05, 2019","85.90","85.00","86.16","84.56","4.36M","1.99%"
"Sep 04, 2019","84.22","84.50","84.70","83.78","3.67M","0.19%"
"Sep 03, 2019","84.06","84.43","84.64","83.26","4.06M","-1.48%"
"Aug 30, 2019","85.32","85.47","85.62","84.63","3.63M","0.59%"
"Aug 29, 2019","84.82","85.00","85.11","84.47","3.76M","0.71%"
"Aug 28, 2019","84.22","83.20","84.26","83.06","3.89M","0.68%"
"Aug 27, 2019","83.65","83.82","84.20","83.22","4.85M","0.64%"
"Aug 26, 2019","83.12","82.61","83.18","82.02","3.52M","1.45%"
"Aug 23, 2019","81.93","83.84","84.25","81.36","6.23M","-2.89%"
"Aug 22, 2019","84.37","84.92","85.31","83.64","3.21M","-0.62%"
"Aug 21, 2019","84.90","85.05","85.15","84.29","3.89M","0.43%"
"Aug 20, 2019","84.54","85.95","86.01","84.48","3.32M","-1.19%"
"Aug 19, 2019","85.56","85.79","86.13","85.33","4.58M","0.92%"
"Aug 16, 2019","84.78","84.74","85.08","84.27","5.79M","1.00%"
"Aug 15, 2019","83.94","84.16","84.73","83.52","4.95M","0.00%"
"Aug 14, 2019","83.94","85.88","86.31","83.91","4.11M","-3.40%"
"Aug 13, 2019","86.89","85.32","87.10","84.98","4.89M","2.63%"
"Aug 12, 2019","84.66","86.39","86.51","84.33","3.65M","-2.26%"
"Aug 09, 2019","86.62","85.63","87.05","85.43","5.10M","1.24%"
"Aug 08, 2019","85.56","85.11","86.27","85.01","6.44M","1.13%"
"Aug 07, 2019","84.60","83.80","85.00","82.31","5.50M","-0.31%"
"Aug 06, 2019","84.86","83.81","84.89","83.68","4.42M","2.04%"
"Aug 05, 2019","83.16","84.73","84.88","82.42","6.25M","-3.10%"
"Aug 02, 2019","85.82","85.95","86.20","84.74","4.76M","-0.30%"
