"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","43.060","42.360","43.110","41.680","1.31M","1.89%"
"Oct 29, 2019","42.260","42.310","42.860","41.650","958.34K","0.26%"
"Oct 28, 2019","42.150","41.170","42.550","41.000","966.90K","1.37%"
"Oct 25, 2019","41.580","41.070","42.050","40.610","951.73K","1.09%"
"Oct 24, 2019","41.130","41.710","41.710","40.529","1.06M","-1.63%"
"Oct 23, 2019","41.810","42.540","42.800","41.600","784.84K","-1.65%"
"Oct 22, 2019","42.510","43.180","44.100","42.270","1.25M","-1.69%"
"Oct 21, 2019","43.240","40.670","43.450","40.020","2.80M","8.24%"
"Oct 18, 2019","39.950","39.740","40.340","39.375","3.05M","-0.08%"
"Oct 17, 2019","39.980","40.230","40.490","39.790","1.29M","0.20%"
"Oct 16, 2019","39.900","39.650","40.490","39.500","1.26M","-0.65%"
"Oct 15, 2019","40.160","39.570","40.790","39.560","1.25M","1.72%"
"Oct 14, 2019","39.480","40.210","40.480","39.345","915.58K","-2.57%"
"Oct 11, 2019","40.520","40.660","40.830","40.120","1.40M","0.10%"
"Oct 10, 2019","40.480","39.930","40.795","39.725","1.75M","1.50%"
"Oct 09, 2019","39.880","39.110","40.370","39.110","1.59M","2.07%"
"Oct 08, 2019","39.070","38.210","39.580","37.372","1.70M","0.96%"
"Oct 07, 2019","38.700","37.790","38.860","37.670","1.13M","1.42%"
"Oct 04, 2019","38.160","38.440","39.170","37.020","1.48M","-0.37%"
"Oct 03, 2019","38.300","37.210","38.535","37.040","1.83M","2.41%"
"Oct 02, 2019","37.400","35.990","37.690","35.350","2.48M","3.29%"
"Oct 01, 2019","36.210","38.000","39.000","36.090","2.41M","0.61%"
"Sep 30, 2019","35.990","36.690","37.069","35.830","1.39M","-2.15%"
"Sep 27, 2019","36.780","37.560","38.545","36.020","1.33M","-1.87%"
"Sep 26, 2019","37.480","39.060","39.520","37.000","1.25M","-4.41%"
"Sep 25, 2019","39.210","39.230","40.710","38.800","1.96M","1.40%"
"Sep 24, 2019","38.670","41.570","41.760","38.000","2.76M","-7.07%"
"Sep 23, 2019","41.610","42.200","43.340","41.480","2.68M","2.14%"
"Sep 20, 2019","40.740","41.610","42.070","40.600","4.22M","-2.26%"
"Sep 19, 2019","41.680","41.980","42.330","40.530","1.97M","-1.14%"
"Sep 18, 2019","42.160","40.650","42.580","40.030","6.12M","-1.03%"
"Sep 17, 2019","42.600","44.000","44.640","41.130","3.39M","-3.20%"
"Sep 16, 2019","44.010","40.200","44.850","40.000","4.42M","8.80%"
"Sep 13, 2019","40.450","40.120","41.240","39.600","2.96M","3.35%"
"Sep 12, 2019","39.140","41.170","41.550","39.050","2.45M","-5.44%"
"Sep 11, 2019","41.390","41.290","41.950","40.070","3.38M","0.41%"
"Sep 10, 2019","41.220","39.050","41.950","38.060","7.57M","6.10%"
"Sep 09, 2019","38.850","41.750","43.980","36.620","22.62M","63.24%"
"Sep 06, 2019","23.800","24.600","24.770","23.770","1.04M","-2.94%"
"Sep 05, 2019","24.520","25.130","25.260","24.260","1.07M","-1.29%"
"Sep 04, 2019","24.840","25.580","25.800","24.210","1.66M","-1.66%"
"Sep 03, 2019","25.260","27.320","27.320","25.050","1.75M","-8.68%"
"Aug 30, 2019","27.660","28.660","28.781","27.430","864.55K","-2.74%"
"Aug 29, 2019","28.440","28.100","28.510","27.550","720.42K","1.68%"
"Aug 28, 2019","27.970","27.650","28.390","27.520","541.81K","0.76%"
"Aug 27, 2019","27.760","28.420","28.970","27.510","773.01K","-0.22%"
"Aug 26, 2019","27.820","28.320","28.420","27.320","835.63K","-0.82%"
"Aug 23, 2019","28.050","29.310","29.620","27.900","891.09K","-3.97%"
"Aug 22, 2019","29.210","29.970","29.970","29.052","812.75K","-2.08%"
"Aug 21, 2019","29.830","29.630","30.026","29.140","695.35K","1.88%"
"Aug 20, 2019","29.280","29.320","29.670","28.980","601.54K","0.14%"
"Aug 19, 2019","29.240","29.670","29.870","29.110","699.02K","-1.25%"
"Aug 16, 2019","29.610","29.320","29.860","29.220","1.10M","2.03%"
"Aug 15, 2019","29.020","29.260","29.735","28.655","1.09M","-0.34%"
"Aug 14, 2019","29.120","29.040","29.630","28.510","1.02M","-1.12%"
"Aug 13, 2019","29.450","29.540","30.206","29.050","1.29M","-0.91%"
"Aug 12, 2019","29.720","29.670","30.360","29.430","1.67M","-0.50%"
"Aug 09, 2019","29.870","29.370","30.380","29.100","1.69M","1.67%"
"Aug 08, 2019","29.380","29.210","29.645","29.010","1.60M","1.28%"
"Aug 07, 2019","29.010","28.470","29.400","28.125","1.64M","0.52%"
"Aug 06, 2019","28.860","28.900","29.080","28.120","1.43M","0.94%"
"Aug 05, 2019","28.590","28.100","29.080","27.870","1.67M","-0.49%"
"Aug 02, 2019","28.730","28.630","29.250","28.070","1.72M","0.21%"
"Aug 01, 2019","28.670","26.090","29.320","25.500","6.18M","16.64%"
"Jul 31, 2019","24.580","25.230","25.790","24.560","1.76M","-1.68%"
"Jul 30, 2019","25.000","23.990","25.030","23.860","1.15M","3.86%"
"Jul 29, 2019","24.070","23.450","24.125","23.130","1.03M","3.13%"
"Jul 26, 2019","23.340","22.880","23.495","22.783","946.13K","2.82%"
"Jul 25, 2019","22.700","23.000","23.090","22.330","1.25M","-1.35%"
"Jul 24, 2019","23.010","22.160","23.750","21.910","1.87M","3.56%"
"Jul 23, 2019","22.220","22.500","23.200","21.560","8.76M","-14.44%"
"Jul 22, 2019","25.970","25.600","26.060","25.600","1.58M","1.05%"
"Jul 19, 2019","25.700","26.100","26.100","25.540","1.16M","-1.72%"
"Jul 18, 2019","26.150","25.520","26.250","25.190","801.41K","2.27%"
"Jul 17, 2019","25.570","26.250","26.400","25.540","930.52K","-2.66%"
"Jul 16, 2019","26.270","26.610","27.040","26.180","678.24K","-1.68%"
"Jul 15, 2019","26.720","27.400","27.400","26.630","576.76K","-1.87%"
"Jul 12, 2019","27.230","27.160","27.485","26.855","570.28K","-0.07%"
"Jul 11, 2019","27.250","27.260","27.390","26.620","976.12K","-0.18%"
"Jul 10, 2019","27.300","27.390","27.750","26.570","1.12M","0.33%"
"Jul 09, 2019","27.210","26.610","27.480","26.610","620.35K","1.80%"
