"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","3.80","3.70","3.83","3.64","13.17M","2.15%"
"Oct 24, 2019","3.72","3.68","3.74","3.60","9.32M","1.36%"
"Oct 23, 2019","3.67","3.55","3.73","3.50","13.71M","2.51%"
"Oct 22, 2019","3.58","3.61","3.66","3.55","11.90M","-2.98%"
"Oct 21, 2019","3.69","3.70","3.74","3.51","14.69M","0.27%"
"Oct 18, 2019","3.68","3.89","3.91","3.66","15.70M","-5.40%"
"Oct 17, 2019","3.89","3.81","3.91","3.70","21.27M","7.76%"
"Oct 16, 2019","3.61","3.80","3.81","3.59","16.15M","-3.99%"
"Oct 15, 2019","3.76","3.63","3.85","3.52","27.43M","7.12%"
"Oct 14, 2019","3.51","3.64","3.68","3.40","18.22M","-4.62%"
"Oct 11, 2019","3.68","3.74","3.87","3.64","20.45M","-1.08%"
"Oct 10, 2019","3.72","4.03","4.06","3.72","29.63M","-9.49%"
"Oct 09, 2019","4.11","4.17","4.28","4.08","12.80M","-0.96%"
"Oct 08, 2019","4.15","4.08","4.25","3.95","14.84M","0.97%"
"Oct 07, 2019","4.11","4.36","4.37","4.11","14.75M","-6.59%"
"Oct 04, 2019","4.40","4.62","4.64","4.36","14.36M","-2.44%"
"Oct 03, 2019","4.51","4.23","4.52","4.07","20.63M","8.67%"
"Oct 02, 2019","4.15","4.05","4.33","3.80","27.78M","0.73%"
"Oct 01, 2019","4.12","4.33","4.39","4.05","24.19M","-6.15%"
"Sep 30, 2019","4.39","4.58","4.60","4.33","18.54M","-4.98%"
"Sep 27, 2019","4.62","4.70","4.84","4.60","10.86M","-2.53%"
"Sep 26, 2019","4.74","4.90","4.92","4.68","12.52M","-0.42%"
"Sep 25, 2019","4.76","4.73","4.87","4.51","16.50M","0.00%"
"Sep 24, 2019","4.76","5.05","5.07","4.72","17.86M","-6.30%"
"Sep 23, 2019","5.08","4.93","5.24","4.93","12.25M","1.20%"
"Sep 20, 2019","5.02","5.10","5.10","4.92","17.55M","-2.71%"
"Sep 19, 2019","5.16","5.27","5.29","5.15","9.52M","-2.09%"
"Sep 18, 2019","5.27","5.26","5.42","5.19","13.09M","0.00%"
"Sep 17, 2019","5.27","5.40","5.54","5.14","27.42M","-3.30%"
"Sep 16, 2019","5.45","5.75","5.83","5.45","33.98M","-8.40%"
"Sep 13, 2019","5.95","5.92","6.00","5.80","12.48M","1.02%"
"Sep 12, 2019","5.89","5.87","6.04","5.76","25.17M","-9.24%"
"Sep 11, 2019","6.49","6.34","6.50","6.17","22.73M","3.34%"
"Sep 10, 2019","6.28","6.02","6.29","5.89","13.41M","4.49%"
"Sep 09, 2019","6.01","6.23","6.27","5.89","13.29M","-1.15%"
"Sep 06, 2019","6.08","5.90","6.23","5.80","15.34M","3.75%"
"Sep 05, 2019","5.86","5.59","5.87","5.57","12.57M","4.83%"
"Sep 04, 2019","5.59","5.79","5.81","5.45","10.87M","-1.41%"
"Sep 03, 2019","5.67","5.45","5.69","5.43","9.33M","3.09%"
"Aug 30, 2019","5.50","5.60","5.62","5.47","8.10M","-0.90%"
"Aug 29, 2019","5.55","5.66","5.67","5.52","7.07M","-0.54%"
"Aug 28, 2019","5.58","5.52","5.65","5.38","10.01M","0.18%"
"Aug 27, 2019","5.57","5.80","5.86","5.55","12.22M","-3.97%"
"Aug 26, 2019","5.80","5.70","5.85","5.53","11.06M","2.84%"
"Aug 23, 2019","5.64","5.73","5.87","5.64","9.23M","-2.59%"
"Aug 22, 2019","5.79","5.87","5.95","5.78","8.75M","-0.86%"
"Aug 21, 2019","5.84","5.97","5.99","5.82","11.30M","-1.52%"
"Aug 20, 2019","5.93","5.87","6.01","5.78","12.41M","1.54%"
"Aug 19, 2019","5.84","6.14","6.20","5.77","15.97M","-2.50%"
"Aug 16, 2019","5.99","5.80","6.11","5.75","11.62M","5.64%"
"Aug 15, 2019","5.67","5.95","6.00","5.65","17.72M","-6.90%"
"Aug 14, 2019","6.09","6.48","6.48","6.05","14.03M","-8.56%"
"Aug 13, 2019","6.66","6.46","6.74","6.44","10.50M","1.06%"
"Aug 12, 2019","6.59","6.49","6.60","6.28","8.73M","0.76%"
"Aug 09, 2019","6.54","6.62","6.67","6.37","10.88M","-1.51%"
"Aug 08, 2019","6.64","6.79","6.82","6.59","9.33M","0.30%"
"Aug 07, 2019","6.62","6.81","6.82","6.53","12.05M","-3.07%"
"Aug 06, 2019","6.83","6.73","7.20","6.61","36.80M","10.34%"
"Aug 05, 2019","6.19","6.17","6.26","6.06","11.16M","-2.21%"
"Aug 02, 2019","6.33","6.17","6.37","6.00","16.01M","8.21%"
"Aug 01, 2019","5.85","6.22","6.29","5.85","15.95M","-6.40%"
"Jul 31, 2019","6.25","6.37","6.40","6.22","7.90M","0.00%"
"Jul 30, 2019","6.25","6.06","6.43","6.00","13.50M","0.64%"
"Jul 29, 2019","6.21","6.36","6.38","6.01","19.36M","-3.12%"
"Jul 26, 2019","6.41","6.48","6.58","6.35","8.14M","-1.23%"
"Jul 25, 2019","6.49","6.55","6.70","6.47","8.43M","-0.92%"
"Jul 24, 2019","6.55","6.63","6.66","6.49","8.64M","-1.65%"
"Jul 23, 2019","6.66","6.67","6.78","6.58","9.47M","-1.04%"
"Jul 22, 2019","6.73","6.83","6.83","6.44","14.00M","-1.61%"
"Jul 19, 2019","6.84","6.91","7.05","6.80","9.82M","-1.58%"
"Jul 18, 2019","6.95","7.31","7.34","6.92","17.94M","-6.21%"
"Jul 17, 2019","7.41","7.25","7.46","7.22","12.43M","3.49%"
"Jul 16, 2019","7.16","7.06","7.22","6.93","35.59M","2.14%"
"Jul 15, 2019","7.01","6.79","7.05","6.62","14.75M","3.55%"
"Jul 12, 2019","6.77","7.17","7.18","6.75","23.53M","-5.71%"
"Jul 11, 2019","7.18","7.38","7.48","7.18","10.06M","-2.84%"
"Jul 10, 2019","7.39","7.39","7.41","7.30","6.22M","0.68%"
"Jul 09, 2019","7.34","7.37","7.39","7.28","7.65M","-1.34%"
"Jul 08, 2019","7.44","7.49","7.54","7.41","6.23M","-1.33%"
"Jul 05, 2019","7.54","7.61","7.64","7.52","5.39M","-1.82%"
"Jul 03, 2019","7.68","7.58","7.69","7.46","6.65M","0.66%"
"Jul 02, 2019","7.63","7.82","7.84","7.61","6.19M","-2.55%"
"Jul 01, 2019","7.83","7.98","7.98","7.77","6.13M","0.13%"
"Jun 28, 2019","7.82","7.88","7.92","7.74","7.27M","-0.13%"
"Jun 27, 2019","7.83","7.64","7.84","7.61","9.51M","2.62%"
"Jun 26, 2019","7.63","7.50","7.63","7.36","8.19M","2.28%"
"Jun 25, 2019","7.46","7.52","7.66","7.42","8.05M","-0.67%"
"Jun 24, 2019","7.51","7.33","7.53","7.18","9.37M","2.88%"
