"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","6.40","6.32","6.42","6.32","1.82M","1.11%"
"Oct 29, 2019","6.33","6.25","6.35","6.25","2.30M","0.96%"
"Oct 28, 2019","6.27","6.27","6.28","6.25","2.16M","0.48%"
"Oct 25, 2019","6.24","6.17","6.26","6.11","3.59M","0.81%"
"Oct 24, 2019","6.19","6.05","6.20","6.05","5.35M","1.81%"
"Oct 23, 2019","6.08","6.13","6.16","6.05","8.33M","-1.30%"
"Oct 22, 2019","6.16","6.15","6.19","6.12","4.41M","0.49%"
"Oct 21, 2019","6.13","6.10","6.15","6.09","3.56M","0.66%"
"Oct 18, 2019","6.09","6.15","6.21","6.07","6.39M","-1.77%"
"Oct 17, 2019","6.20","6.20","6.27","6.13","22.42M","-1.12%"
"Oct 16, 2019","6.27","6.38","6.44","6.10","46.96M","71.78%"
"Oct 15, 2019","3.65","3.52","3.67","3.48","764.32K","2.82%"
"Oct 14, 2019","3.55","3.62","3.75","3.54","1.11M","-2.20%"
"Oct 11, 2019","3.63","3.63","3.73","3.61","1.49M","1.11%"
"Oct 10, 2019","3.59","3.61","3.68","3.48","790.72K","0.28%"
"Oct 09, 2019","3.58","3.75","3.78","3.58","542.08K","-3.50%"
"Oct 08, 2019","3.71","3.76","3.80","3.70","653.52K","-2.88%"
"Oct 07, 2019","3.82","3.83","3.99","3.79","1.14M","-0.78%"
"Oct 04, 2019","3.85","3.75","3.88","3.71","1.22M","2.39%"
"Oct 03, 2019","3.76","3.76","3.79","3.65","1.14M","0.00%"
"Oct 02, 2019","3.76","3.63","3.78","3.52","1.53M","2.45%"
"Oct 01, 2019","3.67","3.64","3.90","3.60","2.91M","1.94%"
"Sep 30, 2019","3.60","3.64","3.70","3.57","611.44K","-1.91%"
"Sep 27, 2019","3.67","3.62","3.86","3.56","821.15K","0.55%"
"Sep 26, 2019","3.65","3.67","3.72","3.55","1.13M","-1.62%"
"Sep 25, 2019","3.71","3.82","4.26","3.59","12.03M","3.06%"
"Sep 24, 2019","3.60","3.78","3.79","3.58","1.32M","-4.26%"
"Sep 23, 2019","3.76","3.71","3.83","3.71","504.17K","0.53%"
"Sep 20, 2019","3.74","3.75","3.86","3.70","3.12M","-1.06%"
"Sep 19, 2019","3.78","3.80","3.90","3.72","1.63M","-0.79%"
"Sep 18, 2019","3.81","3.91","3.94","3.72","722.12K","-2.06%"
"Sep 17, 2019","3.89","3.95","4.03","3.86","491.90K","-1.52%"
"Sep 16, 2019","3.95","3.89","4.00","3.82","711.73K","0.51%"
"Sep 13, 2019","3.93","3.97","4.02","3.81","1.00M","-1.50%"
"Sep 12, 2019","3.99","4.08","4.11","3.97","795.94K","-2.68%"
"Sep 11, 2019","4.10","4.19","4.25","4.07","1.14M","-1.44%"
"Sep 10, 2019","4.16","4.12","4.17","3.96","1.05M","0.48%"
"Sep 09, 2019","4.14","4.42","4.42","4.11","633.35K","-3.27%"
"Sep 06, 2019","4.28","4.38","4.43","4.25","655.12K","-1.61%"
"Sep 05, 2019","4.35","4.27","4.41","4.20","720.35K","3.08%"
"Sep 04, 2019","4.22","4.35","4.35","4.14","776.77K","-2.09%"
"Sep 03, 2019","4.31","4.29","4.39","4.19","847.04K","-0.92%"
"Aug 30, 2019","4.35","4.48","4.49","4.29","389.86K","-2.47%"
"Aug 29, 2019","4.46","4.52","4.59","4.42","953.88K","-0.22%"
"Aug 28, 2019","4.47","4.29","4.51","4.25","788.90K","3.95%"
"Aug 27, 2019","4.30","4.50","4.54","4.23","707.62K","-3.80%"
"Aug 26, 2019","4.47","4.24","4.48","4.20","1.23M","4.93%"
"Aug 23, 2019","4.26","4.69","4.69","4.21","1.71M","-6.78%"
"Aug 22, 2019","4.57","4.77","4.77","4.55","1.76M","-3.59%"
"Aug 21, 2019","4.74","4.62","4.75","4.58","881.82K","3.04%"
"Aug 20, 2019","4.60","4.63","4.67","4.52","1.08M","-1.08%"
"Aug 19, 2019","4.65","4.86","4.91","4.57","946.38K","-2.52%"
"Aug 16, 2019","4.77","4.75","4.85","4.71","1.03M","1.06%"
"Aug 15, 2019","4.72","4.78","4.87","4.62","1.06M","-0.84%"
"Aug 14, 2019","4.76","4.57","5.00","4.47","2.29M","1.49%"
"Aug 13, 2019","4.69","4.62","4.78","4.57","1.07M","1.96%"
"Aug 12, 2019","4.60","4.68","4.84","4.55","1.27M","-1.71%"
"Aug 09, 2019","4.68","4.77","4.85","4.49","1.31M","-2.90%"
"Aug 08, 2019","4.82","4.49","4.85","4.38","2.09M","8.56%"
"Aug 07, 2019","4.44","4.55","4.60","4.35","804.16K","-2.84%"
"Aug 06, 2019","4.57","4.54","4.58","4.21","2.26M","1.56%"
"Aug 05, 2019","4.50","4.34","4.60","4.27","1.75M","0.45%"
"Aug 02, 2019","4.48","4.38","4.58","4.25","1.34M","-0.67%"
"Aug 01, 2019","4.51","4.46","4.73","4.41","1.88M","2.27%"
"Jul 31, 2019","4.41","4.62","4.74","4.39","1.66M","-2.86%"
"Jul 30, 2019","4.54","4.27","4.60","4.21","2.49M","4.61%"
"Jul 29, 2019","4.34","4.50","4.60","4.24","4.54M","-6.67%"
"Jul 26, 2019","4.65","3.98","5.03","3.88","12.73M","18.02%"
"Jul 25, 2019","3.94","3.54","3.98","3.46","3.09M","9.44%"
