"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","32.01","31.89","32.09","31.69","249.76K","0.28%"
"Oct 29, 2019","31.92","31.67","32.06","31.55","338.42K","0.50%"
"Oct 28, 2019","31.76","31.45","31.85","31.40","301.06K","1.99%"
"Oct 25, 2019","31.14","31.16","31.29","30.96","393.61K","-0.03%"
"Oct 24, 2019","31.15","31.09","31.33","30.51","341.31K","1.30%"
"Oct 23, 2019","30.75","30.71","31.09","30.43","314.35K","-0.26%"
"Oct 22, 2019","30.83","31.22","31.43","30.80","281.08K","-1.28%"
"Oct 21, 2019","31.23","31.36","31.54","30.99","284.25K","0.87%"
"Oct 18, 2019","30.96","31.33","31.50","30.72","447.15K","-1.81%"
"Oct 17, 2019","31.53","31.51","31.75","31.32","451.81K","0.73%"
"Oct 16, 2019","31.30","31.05","31.32","30.74","621.67K","0.03%"
"Oct 15, 2019","31.29","30.45","31.40","30.32","528.13K","3.23%"
"Oct 14, 2019","30.31","30.65","30.73","30.23","513.11K","-1.69%"
"Oct 11, 2019","30.83","31.08","31.27","30.79","1.41M","0.82%"
"Oct 10, 2019","30.58","30.76","30.99","30.47","420.34K","-0.33%"
"Oct 09, 2019","30.68","30.55","30.96","30.26","351.43K","1.69%"
"Oct 08, 2019","30.17","30.10","30.58","29.72","436.47K","-1.05%"
"Oct 07, 2019","30.49","30.55","30.76","30.42","446.26K","-0.26%"
"Oct 04, 2019","30.57","30.11","30.60","30.03","557.02K","1.80%"
"Oct 03, 2019","30.03","29.64","30.18","29.14","418.14K","0.84%"
"Oct 02, 2019","29.78","29.95","29.95","29.29","477.39K","-1.62%"
"Oct 01, 2019","30.27","31.57","31.71","30.23","417.39K","-3.35%"
"Sep 30, 2019","31.32","30.86","31.48","30.74","623.76K","2.09%"
"Sep 27, 2019","30.68","31.50","31.50","30.51","451.00K","-2.29%"
"Sep 26, 2019","31.40","31.31","31.66","31.22","566.18K","-0.22%"
"Sep 25, 2019","31.47","30.37","31.55","30.20","806.92K","3.21%"
"Sep 24, 2019","30.49","31.36","31.59","30.27","663.26K","-2.62%"
"Sep 23, 2019","31.31","31.82","31.82","31.21","620.76K","-1.73%"
"Sep 20, 2019","31.86","32.07","32.31","31.54","2.35M","-0.93%"
"Sep 19, 2019","32.16","32.49","32.93","32.12","674.77K","-1.08%"
"Sep 18, 2019","32.51","32.89","32.89","32.04","744.61K","-0.58%"
"Sep 17, 2019","32.70","32.72","32.95","32.41","724.49K","-0.46%"
"Sep 16, 2019","32.85","32.50","33.03","32.31","1.27M","0.21%"
"Sep 13, 2019","32.78","33.04","33.38","32.55","991.44K","-0.36%"
