"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","186.58","185.25","186.95","184.41","1.06M","0.96%"
"Oct 29, 2019","184.80","182.50","185.69","182.50","1.55M","1.06%"
"Oct 28, 2019","182.87","184.41","185.93","182.56","1.83M","-0.11%"
"Oct 25, 2019","183.07","184.67","184.83","183.02","1.39M","-1.04%"
"Oct 24, 2019","185.00","185.05","187.01","184.65","2.02M","0.51%"
"Oct 23, 2019","184.07","182.39","184.84","181.97","2.28M","0.74%"
"Oct 22, 2019","182.72","187.27","188.11","182.34","1.77M","-2.47%"
"Oct 21, 2019","187.34","186.95","187.53","185.39","1.35M","0.14%"
"Oct 18, 2019","187.08","186.87","188.13","186.61","2.90M","0.56%"
"Oct 17, 2019","186.04","186.96","187.33","185.16","1.49M","-0.28%"
"Oct 16, 2019","186.57","184.59","186.99","184.16","1.93M","-0.23%"
"Oct 15, 2019","187.00","185.82","187.38","185.56","1.47M","0.81%"
"Oct 14, 2019","185.50","185.36","186.33","184.22","1.35M","0.29%"
"Oct 11, 2019","184.97","185.71","187.71","184.74","2.39M","0.62%"
"Oct 10, 2019","183.83","183.83","184.87","182.60","2.15M","-0.28%"
"Oct 09, 2019","184.34","183.79","185.29","183.22","1.80M","1.17%"
"Oct 08, 2019","182.20","185.41","185.72","182.00","2.28M","-2.47%"
"Oct 07, 2019","186.81","188.29","188.70","186.79","1.65M","-1.49%"
"Oct 04, 2019","189.64","186.81","189.82","186.10","1.58M","2.06%"
"Oct 03, 2019","185.81","185.32","186.09","182.85","2.23M","0.52%"
"Oct 02, 2019","184.85","188.34","188.65","182.89","2.95M","-2.52%"
"Oct 01, 2019","189.62","192.60","193.37","189.41","2.07M","-1.42%"
"Sep 30, 2019","192.35","191.49","193.35","191.41","2.03M","0.51%"
"Sep 27, 2019","191.38","193.56","193.58","190.39","2.01M","-0.39%"
"Sep 26, 2019","192.12","188.06","193.34","187.28","3.73M","0.65%"
"Sep 25, 2019","190.87","191.60","192.00","188.71","2.84M","0.38%"
"Sep 24, 2019","190.14","194.44","195.87","189.78","2.96M","-1.40%"
"Sep 23, 2019","192.84","192.33","193.94","192.01","1.67M","-0.13%"
"Sep 20, 2019","193.09","195.05","196.23","192.45","2.65M","-0.81%"
"Sep 19, 2019","194.67","194.48","196.13","194.22","1.58M","0.28%"
"Sep 18, 2019","194.13","194.18","194.59","191.54","1.90M","-0.42%"
"Sep 17, 2019","194.95","193.36","195.79","193.36","1.47M","0.41%"
"Sep 16, 2019","194.16","193.37","195.22","193.01","1.36M","-0.24%"
"Sep 13, 2019","194.62","196.00","196.00","193.96","1.59M","-0.46%"
"Sep 12, 2019","195.52","194.70","196.23","191.93","2.12M","2.17%"
