"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","1.83","1.78","1.85","1.73","1.44M","2.23%"
"Oct 29, 2019","1.79","1.96","1.99","1.77","2.19M","-9.60%"
"Oct 28, 2019","1.98","1.98","2.05","1.95","1.07M","0.51%"
"Oct 25, 2019","1.97","2.01","2.05","1.77","2.93M","-1.50%"
"Oct 24, 2019","2.00","2.32","2.55","1.94","3.61M","-26.20%"
"Oct 23, 2019","2.71","2.42","2.81","2.42","1.41M","11.98%"
"Oct 22, 2019","2.42","2.42","2.54","2.35","820.11K","1.68%"
"Oct 21, 2019","2.38","2.47","2.52","2.32","946.19K","-3.25%"
"Oct 18, 2019","2.46","2.59","2.61","2.44","896.11K","-4.65%"
"Oct 17, 2019","2.58","2.59","2.64","2.53","723.07K","1.18%"
"Oct 16, 2019","2.55","2.59","2.80","2.53","1.07M","0.00%"
"Oct 15, 2019","2.55","2.35","2.63","2.35","1.52M","6.25%"
"Oct 14, 2019","2.40","2.35","2.42","2.27","1.29M","-0.41%"
"Oct 11, 2019","2.41","2.67","2.73","2.40","2.22M","-9.74%"
"Oct 10, 2019","2.67","2.87","2.94","2.57","1.55M","-6.64%"
"Oct 09, 2019","2.86","2.89","2.96","2.76","606.40K","-0.69%"
"Oct 08, 2019","2.88","3.00","3.00","2.79","596.75K","-4.64%"
"Oct 07, 2019","3.02","2.92","3.10","2.91","1.13M","3.42%"
"Oct 04, 2019","2.92","2.88","2.99","2.77","633.35K","3.18%"
"Oct 03, 2019","2.83","2.80","2.85","2.63","709.84K","2.91%"
"Oct 02, 2019","2.75","2.69","2.94","2.53","1.66M","1.48%"
"Oct 01, 2019","2.71","2.88","2.99","2.59","2.01M","-5.57%"
"Sep 30, 2019","2.87","2.99","3.05","2.74","1.79M","-4.33%"
"Sep 27, 2019","3.00","2.98","3.15","2.93","673.35K","0.00%"
"Sep 26, 2019","3.00","3.10","3.16","2.95","838.34K","-3.85%"
"Sep 25, 2019","3.12","3.20","3.27","3.00","1.14M","-2.80%"
"Sep 24, 2019","3.21","3.57","3.75","3.16","2.15M","-10.34%"
"Sep 23, 2019","3.58","3.45","3.68","3.33","1.22M","2.58%"
"Sep 20, 2019","3.49","3.39","3.58","3.34","5.20M","2.95%"
"Sep 19, 2019","3.39","3.56","3.63","3.38","891.45K","-4.51%"
"Sep 18, 2019","3.55","3.36","3.69","3.36","1.57M","4.72%"
"Sep 17, 2019","3.39","3.58","3.68","3.26","2.34M","-5.04%"
"Sep 16, 2019","3.57","3.87","4.04","3.56","1.75M","-7.51%"
"Sep 13, 2019","3.86","3.86","4.08","3.77","1.38M","0.26%"
"Sep 12, 2019","3.85","4.01","4.04","3.64","1.90M","-3.99%"
"Sep 11, 2019","4.01","4.02","4.46","3.72","3.49M","0.25%"
"Sep 10, 2019","4.00","3.15","4.02","3.13","3.61M","26.98%"
"Sep 09, 2019","3.15","2.82","3.23","2.75","1.45M","12.50%"
"Sep 06, 2019","2.80","2.83","2.87","2.67","1.75M","-1.06%"
"Sep 05, 2019","2.83","2.94","2.99","2.77","1.84M","-3.08%"
"Sep 04, 2019","2.92","3.00","3.08","2.90","929.44K","-0.68%"
"Sep 03, 2019","2.94","3.21","3.21","2.91","1.35M","-8.98%"
"Aug 30, 2019","3.23","3.42","3.42","3.18","1.36M","-5.56%"
"Aug 29, 2019","3.42","3.67","3.74","3.30","1.53M","-5.52%"
"Aug 28, 2019","3.62","3.35","3.75","3.34","1.97M","7.10%"
"Aug 27, 2019","3.38","3.35","3.62","3.28","2.35M","1.50%"
"Aug 26, 2019","3.33","3.16","3.41","3.13","1.63M","6.73%"
"Aug 23, 2019","3.12","3.17","3.33","3.11","1.23M","-1.89%"
"Aug 22, 2019","3.18","3.13","3.28","3.06","1.35M","1.27%"
"Aug 21, 2019","3.14","3.28","3.44","3.04","2.57M","-2.48%"
"Aug 20, 2019","3.22","2.93","3.26","2.88","2.54M","9.90%"
"Aug 19, 2019","2.93","2.76","2.94","2.67","1.35M","8.52%"
"Aug 16, 2019","2.70","2.61","2.90","2.60","2.66M","3.05%"
"Aug 15, 2019","2.62","2.51","2.64","2.27","2.58M","9.62%"
"Aug 14, 2019","2.39","2.60","2.65","2.36","2.40M","-12.45%"
"Aug 13, 2019","2.73","2.84","2.85","2.61","1.96M","-3.53%"
"Aug 12, 2019","2.83","2.89","3.04","2.83","1.40M","-3.08%"
"Aug 09, 2019","2.92","2.95","3.03","2.81","1.37M","-1.02%"
"Aug 08, 2019","2.95","3.11","3.15","2.93","1.07M","-2.96%"
"Aug 07, 2019","3.04","2.95","3.20","2.83","1.67M","1.00%"
"Aug 06, 2019","3.01","3.00","3.06","2.76","2.45M","3.08%"
"Aug 05, 2019","2.92","3.12","3.16","2.75","5.14M","-5.81%"
"Aug 02, 2019","3.10","5.50","5.56","2.87","8.25M","-48.93%"
"Aug 01, 2019","6.07","6.89","6.90","6.03","1.62M","-12.41%"
"Jul 31, 2019","6.93","7.03","7.13","6.85","1.18M","-1.14%"
"Jul 30, 2019","7.01","6.81","7.02","6.72","770.92K","2.19%"
"Jul 29, 2019","6.86","6.79","6.95","6.71","732.70K","1.18%"
"Jul 26, 2019","6.78","6.87","7.02","6.60","672.96K","-0.15%"
"Jul 25, 2019","6.79","6.82","6.92","6.76","1.32M","-0.44%"
"Jul 24, 2019","6.82","6.76","6.87","6.66","512.86K","0.89%"
"Jul 23, 2019","6.76","6.58","6.86","6.42","1.14M","2.74%"
"Jul 22, 2019","6.58","6.89","7.09","6.52","819.31K","-4.64%"
"Jul 19, 2019","6.90","6.89","7.00","6.83","621.91K","0.15%"
"Jul 18, 2019","6.89","6.90","6.90","6.73","625.29K","-0.14%"
"Jul 17, 2019","6.90","6.89","6.99","6.80","739.52K","0.29%"
"Jul 16, 2019","6.88","6.55","6.97","6.40","956.64K","4.88%"
"Jul 15, 2019","6.56","6.59","6.68","6.43","781.68K","-0.91%"
"Jul 12, 2019","6.62","6.95","7.09","6.57","765.17K","-5.43%"
"Jul 11, 2019","7.00","7.12","7.14","6.89","574.63K","-1.41%"
"Jul 10, 2019","7.10","6.92","7.15","6.70","1.40M","3.65%"
"Jul 09, 2019","6.85","7.02","7.10","6.83","702.44K","-3.25%"
"Jul 08, 2019","7.08","7.35","7.35","6.85","715.09K","-3.80%"
"Jul 05, 2019","7.36","7.55","7.58","7.26","451.43K","-2.52%"
"Jul 03, 2019","7.55","7.68","7.68","7.32","303.04K","-1.05%"
"Jul 02, 2019","7.63","7.67","7.80","7.46","505.00K","-0.78%"
"Jul 01, 2019","7.69","7.82","8.08","7.61","943.80K","0.26%"
"Jun 28, 2019","7.67","7.48","8.04","7.36","1.80M","3.65%"
"Jun 27, 2019","7.40","6.93","7.43","6.93","969.76K","6.78%"
"Jun 26, 2019","6.93","7.10","7.19","6.64","1.05M","-1.84%"
"Jun 25, 2019","7.06","7.43","7.50","7.00","1.01M","-4.59%"
"Jun 24, 2019","7.40","7.54","7.86","7.39","873.26K","-1.20%"
"Jun 21, 2019","7.49","7.27","7.66","7.00","1.63M","2.88%"
"Jun 20, 2019","7.28","7.58","7.86","7.26","683.82K","-3.45%"
"Jun 19, 2019","7.54","7.70","7.82","7.35","799.38K","-1.57%"
"Jun 18, 2019","7.66","7.69","8.04","7.56","830.33K","-0.26%"
"Jun 17, 2019","7.68","7.55","7.79","7.53","763.08K","1.99%"
"Jun 14, 2019","7.53","7.57","7.89","7.48","820.62K","-0.92%"
"Jun 13, 2019","7.60","7.16","7.65","7.14","941.71K","6.89%"
"Jun 12, 2019","7.11","7.63","7.64","6.96","1.57M","-6.82%"
"Jun 11, 2019","7.63","7.73","7.76","7.48","1.25M","0.13%"
"Jun 10, 2019","7.62","7.73","7.94","7.58","872.16K","-1.04%"
"Jun 07, 2019","7.70","7.97","8.08","7.58","1.18M","-3.99%"
"Jun 06, 2019","8.02","8.67","8.69","7.95","1.45M","-7.28%"
"Jun 05, 2019","8.65","9.32","9.32","8.32","1.30M","-6.49%"
"Jun 04, 2019","9.25","9.53","9.66","9.04","1.11M","-1.49%"
"Jun 03, 2019","9.39","9.22","9.50","9.18","774.67K","1.08%"
"May 31, 2019","9.29","9.24","9.38","9.10","873.94K","-0.96%"
"May 30, 2019","9.38","9.62","9.80","9.25","823.50K","-2.39%"
"May 29, 2019","9.61","9.77","9.77","9.44","687.80K","-1.94%"
"May 28, 2019","9.80","10.22","10.34","9.78","845.33K","-3.54%"
"May 24, 2019","10.16","10.35","10.51","9.81","1.06M","-1.17%"
"May 23, 2019","10.28","10.75","10.97","10.11","828.11K","-6.29%"
"May 22, 2019","10.97","10.88","11.15","10.65","600.16K","0.37%"
"May 21, 2019","10.93","10.85","11.19","10.85","497.66K","1.58%"
"May 20, 2019","10.76","10.93","11.02","10.68","649.77K","-2.36%"
"May 17, 2019","11.02","11.32","11.76","10.97","931.18K","-4.42%"
"May 16, 2019","11.53","11.35","11.91","11.35","422.61K","2.22%"
"May 15, 2019","11.28","11.03","11.36","10.96","565.23K","1.35%"
"May 14, 2019","11.13","10.91","11.24","10.75","773.93K","2.58%"
"May 13, 2019","10.85","11.19","11.45","10.69","1.05M","-5.73%"
"May 10, 2019","11.51","11.48","11.73","11.29","875.81K","-0.95%"
"May 09, 2019","11.62","11.64","11.92","11.26","938.55K","-1.11%"
"May 08, 2019","11.75","11.57","11.97","11.41","1.24M","1.03%"
"May 07, 2019","11.63","11.99","12.07","11.47","966.83K","-3.88%"
"May 06, 2019","12.10","11.51","12.15","11.30","1.19M","3.07%"
"May 03, 2019","11.74","10.43","11.76","10.43","1.45M","10.96%"
"May 02, 2019","10.58","10.00","10.66","9.58","1.42M","5.27%"
