"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","2.020","2.160","2.175","1.995","4.15M","-6.48%"
"Oct 29, 2019","2.160","2.200","2.201","2.130","578.16K","-1.37%"
"Oct 28, 2019","2.190","2.210","2.210","2.180","327.24K","-0.90%"
"Oct 25, 2019","2.210","2.180","2.220","2.160","431.89K","1.38%"
"Oct 24, 2019","2.180","2.220","2.220","2.170","253.97K","-1.36%"
"Oct 23, 2019","2.210","2.200","2.230","2.170","294.75K","0.91%"
"Oct 22, 2019","2.190","2.160","2.210","2.155","351.87K","0.00%"
"Oct 21, 2019","2.190","2.220","2.230","2.180","357.29K","-0.90%"
"Oct 18, 2019","2.210","2.200","2.220","2.180","313.51K","0.00%"
"Oct 17, 2019","2.210","2.200","2.220","2.190","305.71K","0.45%"
"Oct 16, 2019","2.200","2.200","2.210","2.180","382.06K","0.00%"
"Oct 15, 2019","2.200","2.180","2.219","2.160","383.36K","0.92%"
"Oct 14, 2019","2.180","2.160","2.205","2.120","248.72K","-0.46%"
"Oct 11, 2019","2.190","2.130","2.205","2.120","519.91K","3.79%"
"Oct 10, 2019","2.110","2.070","2.130","2.045","304.08K","1.44%"
"Oct 09, 2019","2.080","2.110","2.140","2.010","1.25M","-1.42%"
"Oct 08, 2019","2.110","2.130","2.137","2.090","376.25K","-1.86%"
"Oct 07, 2019","2.150","2.180","2.205","2.150","432.18K","-0.92%"
"Oct 04, 2019","2.170","2.150","2.200","2.110","390.68K","0.00%"
"Oct 03, 2019","2.170","2.160","2.230","2.150","373.42K","-0.91%"
"Oct 02, 2019","2.190","2.180","2.205","2.130","692.08K","-0.90%"
"Oct 01, 2019","2.210","2.220","2.240","2.100","900.58K","0.45%"
"Sep 30, 2019","2.200","2.210","2.235","2.140","579.78K","-0.45%"
"Sep 27, 2019","2.210","2.260","2.300","2.180","728.54K","-3.07%"
"Sep 26, 2019","2.280","2.290","2.300","2.210","671.19K","-0.44%"
"Sep 25, 2019","2.290","2.280","2.300","2.232","1.09M","-0.43%"
"Sep 24, 2019","2.300","2.500","2.500","2.170","1.79M","-8.37%"
"Sep 23, 2019","2.510","2.500","2.527","2.425","561.46K","0.40%"
"Sep 20, 2019","2.500","2.510","2.610","2.500","967.02K","-0.79%"
"Sep 19, 2019","2.520","2.660","2.680","2.520","523.28K","-4.91%"
