"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","111.58","113.17","113.17","110.67","758.53K","-1.65%"
"Nov 05, 2019","113.45","111.52","114.43","111.43","3.04M","1.85%"
"Nov 04, 2019","111.39","111.07","112.26","110.35","1.70M","1.85%"
"Nov 01, 2019","109.37","107.62","109.92","107.56","1.99M","2.57%"
"Oct 31, 2019","106.63","107.70","107.70","104.95","3.85M","-1.50%"
"Oct 30, 2019","108.25","110.51","110.99","107.77","2.54M","0.18%"
"Oct 29, 2019","108.06","109.24","110.12","107.84","2.77M","-0.71%"
"Oct 28, 2019","108.83","107.70","109.08","107.42","2.08M","1.87%"
"Oct 25, 2019","106.83","105.55","107.03","105.12","1.87M","1.43%"
"Oct 24, 2019","105.32","106.37","106.67","104.92","3.05M","-0.24%"
"Oct 23, 2019","105.57","107.50","107.75","104.58","4.60M","-4.79%"
"Oct 22, 2019","110.88","111.25","112.24","110.73","1.66M","-0.21%"
"Oct 21, 2019","111.11","110.19","111.48","109.98","1.39M","1.49%"
"Oct 18, 2019","109.48","110.17","110.43","108.42","1.44M","-0.47%"
"Oct 17, 2019","110.00","111.77","112.26","109.63","1.49M","-0.53%"
"Oct 16, 2019","110.59","112.71","113.25","110.39","1.96M","-2.38%"
"Oct 15, 2019","113.29","110.75","113.41","110.50","2.63M","2.67%"
"Oct 14, 2019","110.34","110.57","111.00","109.99","1.76M","-0.79%"
"Oct 11, 2019","111.22","109.73","112.72","109.73","2.63M","2.56%"
"Oct 10, 2019","108.44","107.80","109.77","107.52","1.90M","0.34%"
"Oct 09, 2019","108.07","107.77","108.87","106.78","1.91M","1.83%"
"Oct 08, 2019","106.13","109.99","110.36","106.09","3.24M","-4.25%"
"Oct 07, 2019","110.84","112.92","113.29","110.78","1.76M","-1.94%"
"Oct 04, 2019","113.03","111.85","113.22","111.19","1.44M","1.95%"
"Oct 03, 2019","110.87","108.87","111.30","108.00","1.88M","1.74%"
"Oct 02, 2019","108.97","109.13","109.81","108.11","1.66M","-0.74%"
