"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","22.67","21.30","22.84","21.30","1.27M","5.39%"
"Oct 24, 2019","21.51","22.89","23.16","21.49","811.37K","-6.03%"
"Oct 23, 2019","22.89","23.70","23.78","22.48","507.15K","-3.42%"
"Oct 22, 2019","23.70","23.00","23.80","22.48","748.60K","2.64%"
"Oct 21, 2019","23.09","23.19","23.98","22.96","714.04K","1.58%"
"Oct 18, 2019","22.73","24.31","24.46","22.71","1.18M","-7.07%"
"Oct 17, 2019","24.46","24.80","25.20","24.07","1.48M","-1.01%"
"Oct 16, 2019","24.71","24.12","24.75","23.70","1.25M","2.74%"
"Oct 15, 2019","24.05","23.27","24.31","22.91","1.21M","3.35%"
"Oct 14, 2019","23.27","22.78","23.28","22.29","855.27K","1.13%"
"Oct 11, 2019","23.01","21.27","23.18","21.23","1.65M","10.68%"
"Oct 10, 2019","20.79","20.54","21.37","20.42","1.13M","2.01%"
"Oct 09, 2019","20.38","20.24","20.46","19.36","1.00M","3.24%"
"Oct 08, 2019","19.74","19.43","19.91","19.17","1.41M","-0.90%"
"Oct 07, 2019","19.92","19.52","20.37","19.40","1.41M","1.58%"
"Oct 04, 2019","19.61","20.96","21.22","19.37","1.94M","-7.02%"
"Oct 03, 2019","21.09","20.93","21.18","20.52","657.27K","0.00%"
"Oct 02, 2019","21.09","21.74","21.83","20.37","1.13M","-5.13%"
"Oct 01, 2019","22.23","23.08","23.98","22.08","855.67K","-3.18%"
"Sep 30, 2019","22.96","23.11","23.75","22.45","915.24K","0.04%"
"Sep 27, 2019","22.95","21.94","22.97","21.77","1.28M","5.28%"
"Sep 26, 2019","21.80","22.64","22.74","21.75","894.42K","-4.22%"
"Sep 25, 2019","22.76","21.92","23.00","21.43","1.07M","4.45%"
"Sep 24, 2019","21.79","23.32","23.32","21.42","1.44M","-4.68%"
"Sep 23, 2019","22.86","22.11","23.15","21.90","1.04M","0.48%"
"Sep 20, 2019","22.75","23.40","23.83","22.69","1.79M","-2.86%"
"Sep 19, 2019","23.42","23.69","24.39","23.40","1.13M","-0.64%"
"Sep 18, 2019","23.57","24.03","24.75","23.25","1.01M","-2.64%"
"Sep 17, 2019","24.21","24.19","24.52","23.66","1.27M","-1.98%"
"Sep 16, 2019","24.70","25.07","25.49","24.04","1.20M","-1.48%"
"Sep 13, 2019","25.07","24.91","26.40","24.91","1.29M","-1.03%"
"Sep 12, 2019","25.33","25.00","26.15","24.25","1.27M","-2.20%"
"Sep 11, 2019","25.90","25.94","26.21","24.92","1.46M","0.97%"
"Sep 10, 2019","25.65","25.17","25.83","24.38","2.03M","1.38%"
"Sep 09, 2019","25.30","24.51","25.93","23.96","2.39M","5.77%"
"Sep 06, 2019","23.92","24.31","24.46","23.56","1.99M","-1.89%"
"Sep 05, 2019","24.38","21.74","24.75","21.38","3.11M","15.82%"
"Sep 04, 2019","21.05","19.41","21.10","19.29","1.05M","11.32%"
"Sep 03, 2019","18.91","19.95","20.09","18.69","1.66M","-6.25%"
"Aug 30, 2019","20.17","20.05","20.74","19.96","540.28K","0.90%"
"Aug 29, 2019","19.99","20.34","20.88","19.70","1.07M","0.25%"
"Aug 28, 2019","19.94","19.64","20.36","19.41","1.39M","1.06%"
"Aug 27, 2019","19.73","21.37","21.37","19.70","1.47M","-5.28%"
"Aug 26, 2019","20.83","21.35","21.58","20.73","1.03M","-0.43%"
"Aug 23, 2019","20.92","22.20","22.70","20.64","1.49M","-8.12%"
"Aug 22, 2019","22.77","23.26","23.42","22.75","689.91K","-1.17%"
"Aug 21, 2019","23.04","23.01","23.70","22.77","813.17K","2.72%"
"Aug 20, 2019","22.43","22.79","22.79","22.05","896.80K","-1.58%"
"Aug 19, 2019","22.79","23.14","23.28","22.44","703.89K","0.40%"
"Aug 16, 2019","22.70","21.74","22.86","21.74","1.53M","5.73%"
"Aug 15, 2019","21.47","22.95","22.98","21.25","1.36M","-6.16%"
"Aug 14, 2019","22.88","23.29","23.71","22.30","1.47M","-5.38%"
"Aug 13, 2019","24.18","23.35","24.73","23.24","1.75M","2.03%"
"Aug 12, 2019","23.70","23.79","23.99","23.30","796.92K","-1.82%"
"Aug 09, 2019","24.14","24.31","24.44","23.52","1.26M","-1.23%"
"Aug 08, 2019","24.44","24.49","25.21","23.87","2.08M","0.33%"
"Aug 07, 2019","24.36","25.36","25.36","23.72","2.60M","-4.28%"
"Aug 06, 2019","25.45","20.69","25.79","20.09","5.18M","31.87%"
"Aug 05, 2019","19.30","19.18","19.55","18.88","3.22M","-3.36%"
