"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","74.96","75.84","75.95","74.61","2.08M","-1.49%"
"Nov 04, 2019","76.09","77.23","77.23","75.72","1.61M","-1.64%"
"Nov 01, 2019","77.36","77.74","77.92","77.09","1.16M","-0.44%"
"Oct 31, 2019","77.70","77.59","77.87","76.97","1.67M","0.15%"
"Oct 30, 2019","77.58","76.73","77.72","76.56","1.11M","1.44%"
"Oct 29, 2019","76.48","76.15","76.99","75.87","1.53M","0.84%"
"Oct 28, 2019","75.84","76.31","76.83","75.65","1.67M","-0.98%"
"Oct 25, 2019","76.59","77.58","77.68","76.59","1.42M","-1.16%"
"Oct 24, 2019","77.49","77.15","77.90","77.08","896.68K","0.56%"
"Oct 23, 2019","77.06","77.02","77.29","76.60","1.31M","0.01%"
"Oct 22, 2019","77.05","76.59","77.26","76.55","1.58M","0.51%"
"Oct 21, 2019","76.66","76.41","76.89","76.28","1.03M","0.05%"
"Oct 18, 2019","76.62","75.67","76.76","75.50","2.10M","1.08%"
"Oct 17, 2019","75.80","75.76","76.11","75.28","1.47M","0.11%"
"Oct 16, 2019","75.72","75.76","75.97","75.26","1.76M","-0.11%"
"Oct 15, 2019","75.80","76.36","76.70","75.39","1.30M","-0.64%"
"Oct 14, 2019","76.29","77.19","77.20","76.02","1.04M","-0.99%"
"Oct 11, 2019","77.05","76.71","77.55","76.33","1.26M","0.26%"
"Oct 10, 2019","76.85","76.97","77.26","76.39","1.21M","-0.63%"
"Oct 09, 2019","77.34","77.65","77.78","76.90","1.74M","-0.10%"
"Oct 08, 2019","77.42","78.75","78.78","77.42","1.50M","-1.93%"
"Oct 07, 2019","78.94","79.46","79.46","78.68","1.35M","-0.74%"
"Oct 04, 2019","79.53","78.57","79.57","78.29","1.15M","1.31%"
"Oct 03, 2019","78.50","78.86","79.04","78.15","1.46M","-0.32%"
"Oct 02, 2019","78.75","79.57","79.70","78.57","1.39M","-1.14%"
"Oct 01, 2019","79.66","79.71","80.05","79.17","1.79M","-0.49%"
"Sep 30, 2019","80.05","80.07","80.62","79.85","1.61M","0.06%"
"Sep 27, 2019","80.00","80.55","80.55","79.42","1.02M","-0.47%"
