"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","4.42","4.43","4.45","4.42","643.02K","0.23%"
"Oct 25, 2019","4.41","4.38","4.43","4.37","1.75M","-0.45%"
"Oct 24, 2019","4.43","4.50","4.50","4.40","1.91M","-0.89%"
"Oct 23, 2019","4.47","4.45","4.47","4.42","1.48M","1.59%"
"Oct 22, 2019","4.40","4.34","4.43","4.33","1.81M","1.15%"
"Oct 21, 2019","4.35","4.37","4.40","4.35","794.40K","0.23%"
"Oct 18, 2019","4.34","4.29","4.34","4.29","1.46M","2.12%"
"Oct 17, 2019","4.25","4.31","4.32","4.24","1.81M","-0.23%"
"Oct 16, 2019","4.26","4.26","4.29","4.26","1.68M","-0.23%"
"Oct 15, 2019","4.27","4.20","4.30","4.20","1.82M","1.67%"
"Oct 14, 2019","4.20","4.18","4.22","4.17","968.24K","-0.94%"
"Oct 11, 2019","4.24","4.25","4.28","4.21","3.34M","2.42%"
"Oct 10, 2019","4.14","4.10","4.15","4.09","1.96M","3.50%"
"Oct 09, 2019","4.00","3.99","4.01","3.97","1.94M","1.27%"
"Oct 08, 2019","3.95","3.99","4.01","3.95","3.35M","-2.23%"
"Oct 07, 2019","4.04","4.08","4.09","4.04","1.53M","0.00%"
"Oct 04, 2019","4.04","4.01","4.05","3.99","1.33M","0.50%"
"Oct 03, 2019","4.02","4.00","4.03","3.94","2.11M","1.01%"
"Oct 02, 2019","3.98","4.04","4.05","3.95","1.67M","-2.21%"
"Oct 01, 2019","4.07","4.20","4.21","4.07","1.86M","-1.45%"
"Sep 30, 2019","4.13","4.18","4.18","4.13","1.11M","-0.72%"
"Sep 27, 2019","4.16","4.16","4.20","4.13","1.23M","0.97%"
"Sep 26, 2019","4.12","4.11","4.13","4.09","1.54M","0.73%"
"Sep 25, 2019","4.09","4.07","4.12","4.06","1.16M","-0.24%"
"Sep 24, 2019","4.10","4.15","4.15","4.08","1.25M","-1.44%"
"Sep 23, 2019","4.16","4.12","4.17","4.10","1.72M","-0.95%"
"Sep 20, 2019","4.20","4.25","4.26","4.20","1.52M","-1.18%"
"Sep 19, 2019","4.25","4.29","4.30","4.24","954.70K","0.95%"
"Sep 18, 2019","4.21","4.20","4.22","4.18","1.10M","0.24%"
"Sep 17, 2019","4.20","4.16","4.22","4.14","1.11M","-0.94%"
"Sep 16, 2019","4.24","4.22","4.25","4.20","1.85M","-1.40%"
"Sep 13, 2019","4.30","4.27","4.32","4.25","2.10M","2.38%"
"Sep 12, 2019","4.20","4.11","4.22","4.08","1.89M","0.48%"
"Sep 11, 2019","4.18","4.18","4.19","4.13","1.37M","-0.71%"
"Sep 10, 2019","4.21","4.22","4.23","4.17","2.42M","3.44%"
"Sep 09, 2019","4.07","4.01","4.08","4.00","1.72M","3.04%"
"Sep 06, 2019","3.95","3.94","3.97","3.92","1.48M","0.00%"
"Sep 05, 2019","3.95","3.85","3.96","3.85","3.07M","4.77%"
"Sep 04, 2019","3.77","3.75","3.79","3.73","1.68M","2.17%"
"Sep 03, 2019","3.69","3.72","3.73","3.69","1.52M","-2.38%"
"Aug 30, 2019","3.78","3.81","3.81","3.75","898.24K","0.27%"
"Aug 29, 2019","3.77","3.75","3.78","3.74","1.32M","0.80%"
"Aug 28, 2019","3.74","3.75","3.78","3.73","1.13M","-1.32%"
"Aug 27, 2019","3.79","3.83","3.84","3.77","1.88M","0.26%"
"Aug 26, 2019","3.78","3.80","3.81","3.77","1.04M","0.80%"
"Aug 23, 2019","3.75","3.82","3.86","3.75","1.81M","-5.30%"
"Aug 22, 2019","3.96","3.98","3.99","3.92","1.27M","0.25%"
"Aug 21, 2019","3.95","3.98","3.98","3.94","967.68K","1.02%"
"Aug 20, 2019","3.91","3.97","3.97","3.91","1.50M","-1.76%"
"Aug 19, 2019","3.98","4.00","4.02","3.98","1.57M","1.79%"
"Aug 16, 2019","3.91","3.91","3.94","3.88","1.87M","2.89%"
"Aug 15, 2019","3.80","3.86","3.88","3.79","3.34M","-7.54%"
"Aug 14, 2019","4.11","4.14","4.15","4.11","1.81M","-3.29%"
"Aug 13, 2019","4.25","4.21","4.31","4.18","1.59M","0.95%"
"Aug 12, 2019","4.21","4.22","4.26","4.17","2.33M","-0.94%"
"Aug 09, 2019","4.25","4.24","4.27","4.21","1.34M","-1.85%"
"Aug 08, 2019","4.33","4.33","4.37","4.30","1.25M","0.46%"
"Aug 07, 2019","4.31","4.28","4.33","4.24","1.62M","-1.60%"
"Aug 06, 2019","4.38","4.40","4.40","4.33","2.55M","0.23%"
"Aug 05, 2019","4.37","4.41","4.43","4.33","5.13M","-3.96%"
"Aug 02, 2019","4.55","4.59","4.60","4.51","2.07M","-4.81%"
"Aug 01, 2019","4.78","4.89","4.90","4.74","2.31M","-2.85%"
"Jul 31, 2019","4.92","4.97","4.98","4.84","1.71M","0.41%"
"Jul 30, 2019","4.90","4.91","4.93","4.88","908.58K","-1.61%"
"Jul 29, 2019","4.98","5.02","5.03","4.97","1.17M","-0.40%"
"Jul 26, 2019","5.00","5.01","5.02","4.99","488.89K","-0.40%"
"Jul 25, 2019","5.02","5.09","5.09","5.00","933.74K","-1.38%"
"Jul 24, 2019","5.09","5.06","5.11","5.06","606.61K","-0.39%"
"Jul 23, 2019","5.11","5.10","5.14","5.10","655.36K","1.39%"
"Jul 22, 2019","5.04","5.06","5.08","5.03","1.08M","-0.20%"
"Jul 19, 2019","5.05","5.07","5.09","5.04","872.82K","-0.39%"
"Jul 18, 2019","5.07","5.05","5.09","5.05","1.08M","-0.20%"
"Jul 17, 2019","5.08","5.12","5.12","5.06","831.09K","0.00%"
"Jul 16, 2019","5.08","5.10","5.13","5.08","746.39K","-0.59%"
"Jul 15, 2019","5.11","5.14","5.15","5.08","957.60K","-0.58%"
"Jul 12, 2019","5.14","5.16","5.18","5.11","1.95M","0.59%"
"Jul 11, 2019","5.11","5.11","5.13","5.08","608.49K","0.39%"
"Jul 10, 2019","5.09","5.15","5.17","5.08","749.47K","-0.78%"
"Jul 09, 2019","5.13","5.09","5.13","5.08","897.27K","0.79%"
"Jul 08, 2019","5.09","5.11","5.13","5.07","821.80K","-0.97%"
"Jul 05, 2019","5.14","5.13","5.18","5.11","1.06M","2.19%"
"Jul 03, 2019","5.03","5.02","5.05","5.01","587.43K","0.20%"
"Jul 02, 2019","5.02","5.06","5.08","5.01","904.30K","-1.18%"
"Jul 01, 2019","5.08","5.10","5.11","5.05","1.73M","2.63%"
"Jun 28, 2019","4.95","4.96","4.99","4.94","978.12K","0.61%"
"Jun 27, 2019","4.92","4.98","4.98","4.91","1.16M","1.23%"
"Jun 26, 2019","4.86","4.87","4.90","4.84","972.99K","0.62%"
"Jun 25, 2019","4.83","4.87","4.88","4.83","644.12K","-1.02%"
"Jun 24, 2019","4.88","4.88","4.91","4.85","1.05M","1.04%"
"Jun 21, 2019","4.83","4.89","4.92","4.83","1.55M","-1.43%"
"Jun 20, 2019","4.90","4.91","4.92","4.86","1.26M","1.03%"
"Jun 19, 2019","4.85","4.91","4.91","4.85","1.25M","1.89%"
"Jun 18, 2019","4.76","4.70","4.78","4.70","683.30K","1.49%"
"Jun 17, 2019","4.69","4.73","4.75","4.69","1.82M","-0.21%"
"Jun 14, 2019","4.70","4.70","4.72","4.67","641.20K","-0.84%"
"Jun 13, 2019","4.74","4.75","4.78","4.73","710.91K","-0.21%"
"Jun 12, 2019","4.75","4.80","4.80","4.74","757.17K","-1.86%"
"Jun 11, 2019","4.84","4.88","4.90","4.84","2.18M","1.26%"
"Jun 10, 2019","4.78","4.80","4.82","4.77","848.65K","0.21%"
"Jun 07, 2019","4.77","4.76","4.80","4.75","1.58M","2.36%"
"Jun 06, 2019","4.66","4.68","4.70","4.61","1.09M","-0.43%"
"Jun 05, 2019","4.68","4.72","4.72","4.66","1.37M","-1.27%"
"Jun 04, 2019","4.74","4.71","4.75","4.69","2.60M","4.41%"
"Jun 03, 2019","4.54","4.49","4.55","4.48","1.55M","-0.44%"
"May 31, 2019","4.56","4.55","4.59","4.54","1.91M","-1.08%"
"May 30, 2019","4.61","4.64","4.67","4.58","1.19M","-0.43%"
"May 29, 2019","4.63","4.57","4.63","4.56","1.51M","0.43%"
"May 28, 2019","4.61","4.68","4.69","4.61","1.32M","-1.28%"
"May 24, 2019","4.67","4.68","4.70","4.66","741.48K","1.74%"
"May 23, 2019","4.59","4.56","4.61","4.54","1.35M","-2.55%"
"May 22, 2019","4.71","4.68","4.75","4.66","1.91M","-1.05%"
"May 21, 2019","4.76","4.75","4.79","4.71","1.87M","-0.63%"
"May 20, 2019","4.79","4.71","4.81","4.70","2.98M","0.63%"
"May 17, 2019","4.76","4.73","4.79","4.72","1.50M","-0.63%"
"May 16, 2019","4.79","4.74","4.82","4.74","1.36M","1.05%"
"May 15, 2019","4.74","4.65","4.74","4.61","2.30M","1.07%"
"May 14, 2019","4.69","4.67","4.74","4.65","1.92M","0.86%"
"May 13, 2019","4.65","4.70","4.72","4.64","2.37M","-4.71%"
"May 10, 2019","4.88","4.83","4.91","4.77","3.39M","0.83%"
"May 09, 2019","4.84","4.85","4.87","4.77","2.57M","-2.62%"
"May 08, 2019","4.97","4.95","5.02","4.93","1.74M","0.40%"
"May 07, 2019","4.95","5.00","5.01","4.94","2.38M","-3.70%"
"May 06, 2019","5.14","5.08","5.16","5.07","1.14M","-1.72%"
"May 03, 2019","5.23","5.24","5.26","5.21","1.45M","0.00%"
"May 02, 2019","5.23","5.23","5.26","5.20","1.96M","1.36%"
"May 01, 2019","5.16","5.22","5.24","5.16","1.31M","-0.77%"
"Apr 30, 2019","5.20","5.20","5.22","5.14","731.65K","0.39%"
"Apr 29, 2019","5.18","5.17","5.20","5.15","1.74M","0.39%"
"Apr 26, 2019","5.16","5.13","5.16","5.12","608.57K","1.38%"
"Apr 25, 2019","5.09","5.07","5.11","5.06","960.76K","0.20%"
"Apr 24, 2019","5.08","5.09","5.12","5.05","1.35M","-0.39%"
"Apr 23, 2019","5.10","5.08","5.12","5.05","1.24M","-1.54%"
"Apr 22, 2019","5.18","5.17","5.20","5.15","581.62K","-0.19%"
"Apr 18, 2019","5.19","5.23","5.25","5.18","945.49K","-1.70%"
"Apr 17, 2019","5.28","5.27","5.30","5.24","1.94M","1.93%"
"Apr 16, 2019","5.18","5.16","5.19","5.12","1.44M","1.77%"
