"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","59.33","59.44","59.61","58.93","158.15K","-1.23%"
"Oct 29, 2019","60.07","61.46","61.80","59.78","292.15K","-2.48%"
"Oct 28, 2019","61.60","60.14","61.82","60.14","267.85K","2.84%"
"Oct 25, 2019","59.90","58.22","60.78","57.43","565.60K","2.81%"
"Oct 24, 2019","58.26","54.63","58.41","54.63","595.26K","10.28%"
"Oct 23, 2019","52.83","54.27","54.27","52.01","259.55K","-3.12%"
"Oct 22, 2019","54.53","53.70","54.59","53.31","381.60K","2.08%"
"Oct 21, 2019","53.42","53.83","54.43","53.36","200.74K","0.45%"
"Oct 18, 2019","53.18","53.73","54.18","52.81","266.26K","-1.54%"
"Oct 17, 2019","54.01","53.30","54.38","53.30","280.25K","2.56%"
"Oct 16, 2019","52.66","54.29","54.47","52.56","209.89K","-3.36%"
"Oct 15, 2019","54.49","54.07","54.57","53.20","395.96K","0.89%"
"Oct 14, 2019","54.01","53.67","54.28","53.33","234.37K","0.33%"
"Oct 11, 2019","53.83","53.19","55.11","53.19","457.16K","-0.20%"
"Oct 10, 2019","53.94","54.25","55.10","53.48","217.19K","-0.24%"
"Oct 09, 2019","54.07","53.98","54.42","53.44","235.15K","1.50%"
"Oct 08, 2019","53.27","54.90","54.92","53.22","186.35K","-4.07%"
"Oct 07, 2019","55.53","55.57","56.04","54.90","227.78K","-0.87%"
"Oct 04, 2019","56.02","55.20","56.09","55.08","184.79K","2.24%"
"Oct 03, 2019","54.79","54.73","54.85","53.44","245.81K","0.27%"
"Oct 02, 2019","54.64","55.53","55.53","53.69","294.25K","-2.50%"
"Oct 01, 2019","56.04","57.80","58.89","55.70","175.98K","-2.39%"
"Sep 30, 2019","57.41","57.85","58.18","57.10","200.38K","-0.12%"
"Sep 27, 2019","57.48","59.57","59.78","56.98","263.44K","-3.43%"
"Sep 26, 2019","59.52","60.00","60.54","59.16","255.24K","0.93%"
"Sep 25, 2019","58.97","57.73","59.04","57.22","240.86K","1.24%"
"Sep 24, 2019","58.25","58.88","59.75","57.61","380.54K","-0.05%"
"Sep 23, 2019","58.28","57.64","58.50","56.96","227.15K","3.44%"
"Sep 20, 2019","56.34","57.52","57.77","55.88","331.27K","-1.64%"
"Sep 19, 2019","57.28","57.92","58.18","57.24","144.88K","-0.43%"
"Sep 18, 2019","57.53","57.63","57.70","56.35","246.23K","-0.09%"
"Sep 17, 2019","57.58","57.14","57.90","56.80","151.62K","0.40%"
"Sep 16, 2019","57.35","56.11","57.54","55.32","281.16K","1.79%"
"Sep 13, 2019","56.34","57.11","57.15","55.97","329.68K","-1.45%"
"Sep 12, 2019","57.17","58.41","58.41","56.86","471.06K","-1.19%"
"Sep 11, 2019","57.86","56.82","58.43","56.09","277.43K","2.68%"
"Sep 10, 2019","56.35","56.06","56.35","55.22","197.88K","0.39%"
"Sep 09, 2019","56.13","55.73","56.42","55.49","221.74K","1.50%"
