"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","59.830","59.350","60.125","58.607","1.46M","0.88%"
"Oct 29, 2019","59.310","57.640","59.360","57.520","1.26M","1.66%"
"Oct 28, 2019","58.340","57.960","58.535","57.020","1.14M","-0.73%"
"Oct 25, 2019","58.770","58.850","59.315","57.670","1.68M","2.10%"
"Oct 24, 2019","57.560","55.380","57.830","55.230","2.27M","6.40%"
"Oct 23, 2019","54.100","53.290","54.854","53.270","2.46M","2.04%"
"Oct 22, 2019","53.020","53.200","53.660","52.380","1.66M","-0.02%"
"Oct 21, 2019","53.030","54.310","54.490","52.830","1.14M","-2.12%"
"Oct 18, 2019","54.180","53.660","54.285","53.500","1.14M","1.10%"
"Oct 17, 2019","53.590","52.000","54.065","52.000","1.07M","2.45%"
"Oct 16, 2019","52.310","52.370","52.380","51.465","1.21M","0.91%"
"Oct 15, 2019","51.840","52.200","52.640","51.675","1.43M","-1.50%"
"Oct 14, 2019","52.630","52.350","53.135","52.145","639.19K","0.79%"
"Oct 11, 2019","52.220","54.210","54.430","52.120","2.51M","-5.07%"
"Oct 10, 2019","55.010","54.690","55.210","53.770","815.25K","0.51%"
"Oct 09, 2019","54.730","54.670","55.180","54.420","717.73K","-0.44%"
"Oct 08, 2019","54.970","54.770","54.990","53.890","1.04M","1.76%"
"Oct 07, 2019","54.020","53.690","54.525","53.640","767.90K","-0.57%"
"Oct 04, 2019","54.330","53.460","54.500","53.000","1.14M","1.67%"
"Oct 03, 2019","53.440","53.550","55.000","53.350","1.57M","-0.13%"
"Oct 02, 2019","53.510","54.080","54.640","53.000","1.73M","0.77%"
"Oct 01, 2019","53.100","52.730","53.960","52.090","2.46M","-0.95%"
"Sep 30, 2019","53.610","54.300","55.080","53.320","2.40M","-3.39%"
"Sep 27, 2019","55.490","56.950","57.230","55.360","1.97M","-4.21%"
"Sep 26, 2019","57.930","58.740","58.960","57.920","1.00M","-0.86%"
"Sep 25, 2019","58.430","59.500","59.900","57.750","1.16M","-2.45%"
"Sep 24, 2019","59.900","58.880","60.150","58.520","1.35M","0.64%"
"Sep 23, 2019","59.520","58.770","59.670","58.500","1.47M","2.27%"
