"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","58.25","58.14","58.50","57.83","924.73K","0.17%"
"Oct 24, 2019","58.15","58.15","58.72","57.81","659.07K","0.74%"
"Oct 23, 2019","57.72","56.88","57.83","56.61","500.39K","1.03%"
"Oct 22, 2019","57.13","56.50","57.36","55.91","463.03K","0.95%"
"Oct 21, 2019","56.59","56.26","57.70","56.26","690.02K","1.18%"
"Oct 18, 2019","55.93","55.78","56.05","55.60","789.43K","0.07%"
"Oct 17, 2019","55.89","55.60","56.08","55.08","503.64K","0.67%"
"Oct 16, 2019","55.52","54.64","55.66","54.64","646.70K","1.46%"
"Oct 15, 2019","54.72","54.35","54.87","54.01","628.02K","0.96%"
"Oct 14, 2019","54.20","53.98","54.87","53.73","460.94K","-0.09%"
"Oct 11, 2019","54.25","54.59","55.60","54.19","510.85K","1.59%"
"Oct 10, 2019","53.40","52.97","53.86","52.75","1.10M","0.87%"
"Oct 09, 2019","52.94","52.57","53.29","52.50","601.11K","1.93%"
"Oct 08, 2019","51.94","52.23","52.42","51.82","553.66K","-1.09%"
"Oct 07, 2019","52.51","53.06","53.28","52.51","810.15K","-1.45%"
"Oct 04, 2019","53.28","52.93","53.48","52.74","518.17K","0.66%"
"Oct 03, 2019","52.93","52.17","52.93","51.77","671.30K","0.99%"
"Oct 02, 2019","52.41","53.41","53.99","51.71","933.93K","-2.93%"
"Oct 01, 2019","53.99","55.06","55.06","53.71","769.31K","-1.39%"
"Sep 30, 2019","54.75","55.65","55.84","54.70","1.16M","-1.24%"
"Sep 27, 2019","55.44","55.89","56.05","55.01","497.56K","-0.38%"
"Sep 26, 2019","55.65","55.79","55.93","55.49","440.11K","-0.39%"
"Sep 25, 2019","55.87","55.68","55.99","55.29","1.15M","0.67%"
"Sep 24, 2019","55.50","56.03","56.18","55.15","849.12K","-0.89%"
"Sep 23, 2019","56.00","54.81","56.31","54.77","761.40K","1.60%"
"Sep 20, 2019","55.12","55.50","56.29","55.00","1.04M","-0.70%"
"Sep 19, 2019","55.51","55.59","55.86","55.48","849.60K","-0.04%"
"Sep 18, 2019","55.53","55.62","56.22","55.34","754.61K","-0.57%"
"Sep 17, 2019","55.85","55.38","56.09","54.90","1.21M","0.47%"
"Sep 16, 2019","55.59","55.64","56.44","55.28","1.23M","-1.59%"
"Sep 13, 2019","56.49","56.50","56.76","56.02","939.63K","0.18%"
"Sep 12, 2019","56.39","55.96","56.74","55.40","1.39M","0.32%"
"Sep 11, 2019","56.21","55.56","56.23","54.89","1.36M","1.17%"
"Sep 10, 2019","55.56","55.41","56.40","55.31","910.58K","0.13%"
"Sep 09, 2019","55.49","54.61","55.94","54.38","780.13K","1.78%"
"Sep 06, 2019","54.52","54.59","54.81","54.22","696.83K","-0.18%"
"Sep 05, 2019","54.62","54.36","55.11","54.36","731.05K","1.58%"
"Sep 04, 2019","53.77","53.68","53.90","53.39","873.21K","1.28%"
"Sep 03, 2019","53.09","53.09","53.12","52.10","1.23M","-0.99%"
"Aug 30, 2019","53.62","53.40","53.79","53.13","858.58K","1.02%"
"Aug 29, 2019","53.08","52.32","53.33","52.19","944.96K","2.77%"
"Aug 28, 2019","51.65","50.21","52.26","50.03","802.62K","2.42%"
"Aug 27, 2019","50.43","50.58","50.62","49.83","1.70M","0.06%"
"Aug 26, 2019","50.40","51.55","51.75","50.08","1.01M","-1.14%"
"Aug 23, 2019","50.98","51.95","52.42","50.83","771.66K","-2.78%"
"Aug 22, 2019","52.44","52.40","52.76","52.08","937.33K","0.27%"
"Aug 21, 2019","52.30","52.86","52.99","52.28","642.96K","0.25%"
"Aug 20, 2019","52.17","52.50","52.64","51.61","1.31M","-0.82%"
"Aug 19, 2019","52.60","52.48","52.99","52.39","506.09K","0.94%"
"Aug 16, 2019","52.11","50.90","52.50","50.90","521.75K","3.13%"
"Aug 15, 2019","50.53","51.63","51.63","50.27","655.05K","-1.50%"
"Aug 14, 2019","51.30","50.83","51.67","50.02","915.80K","-1.76%"
"Aug 13, 2019","52.22","52.74","53.52","52.03","908.40K","-0.91%"
"Aug 12, 2019","52.70","52.46","52.76","51.87","874.84K","-0.08%"
"Aug 09, 2019","52.74","53.10","53.10","52.42","450.53K","-0.86%"
"Aug 08, 2019","53.20","52.62","53.45","52.15","567.65K","1.90%"
"Aug 07, 2019","52.21","51.65","52.47","50.90","1.62M","-0.42%"
"Aug 06, 2019","52.43","52.37","52.62","51.19","678.52K","1.31%"
"Aug 05, 2019","51.75","51.81","52.05","51.31","1.12M","-1.99%"
"Aug 02, 2019","52.80","53.44","53.67","52.12","709.45K","-2.20%"
"Aug 01, 2019","53.99","54.53","55.16","53.27","1.06M","-0.99%"
"Jul 31, 2019","54.53","54.53","55.83","54.52","1.27M","0.04%"
"Jul 30, 2019","54.51","52.50","54.52","51.79","1.64M","8.15%"
"Jul 29, 2019","50.40","50.62","50.99","50.18","870.68K","-0.90%"
"Jul 26, 2019","50.86","50.82","51.18","50.22","641.84K","-0.20%"
"Jul 25, 2019","50.96","51.97","52.15","50.64","909.55K","-1.85%"
"Jul 24, 2019","51.92","51.21","52.04","51.14","657.17K","1.15%"
"Jul 23, 2019","51.33","50.72","51.48","50.65","937.43K","1.83%"
"Jul 22, 2019","50.41","51.04","51.32","50.40","636.67K","-0.87%"
"Jul 19, 2019","50.85","50.76","51.67","50.60","861.08K","1.05%"
"Jul 18, 2019","50.32","50.11","50.46","49.74","548.30K","-0.08%"
"Jul 17, 2019","50.36","51.36","51.57","50.33","1.04M","-2.14%"
"Jul 16, 2019","51.46","50.37","51.86","50.12","982.05K","1.80%"
"Jul 15, 2019","50.55","51.07","51.11","50.32","682.64K","-0.77%"
"Jul 12, 2019","50.94","50.47","51.18","50.47","967.10K","0.93%"
"Jul 11, 2019","50.47","50.71","50.93","50.15","795.66K","0.54%"
"Jul 10, 2019","50.20","50.40","50.83","50.00","633.70K","0.06%"
"Jul 09, 2019","50.17","49.97","50.37","49.61","625.36K","-0.26%"
"Jul 08, 2019","50.30","50.85","51.26","50.07","939.31K","-1.68%"
"Jul 05, 2019","51.16","50.07","51.16","50.07","335.38K","1.31%"
"Jul 03, 2019","50.50","50.98","50.99","50.47","392.04K","-0.45%"
"Jul 02, 2019","50.73","51.55","51.66","50.65","494.56K","-1.76%"
"Jul 01, 2019","51.64","52.90","53.06","51.10","848.91K","-0.71%"
"Jun 28, 2019","52.01","51.29","52.07","51.13","1.12M","2.12%"
"Jun 27, 2019","50.93","51.21","51.49","50.84","715.91K","0.16%"
"Jun 26, 2019","50.85","50.54","51.01","50.38","743.41K","1.15%"
"Jun 25, 2019","50.27","50.47","50.64","49.91","461.25K","-0.06%"
"Jun 24, 2019","50.30","50.28","50.84","50.17","811.18K","0.00%"
"Jun 21, 2019","50.30","50.74","50.74","50.21","839.18K","-0.96%"
"Jun 20, 2019","50.79","51.40","51.50","50.35","646.33K","0.38%"
"Jun 19, 2019","50.60","50.25","50.93","49.85","688.83K","1.44%"
"Jun 18, 2019","49.88","48.71","50.19","48.71","1.51M","2.76%"
"Jun 17, 2019","48.54","48.74","49.04","48.42","430.51K","-0.49%"
"Jun 14, 2019","48.78","48.77","48.95","48.10","474.40K","-0.29%"
"Jun 13, 2019","48.92","49.06","49.65","48.79","673.65K","1.66%"
"Jun 12, 2019","48.12","48.29","48.44","47.26","911.39K","-0.62%"
"Jun 11, 2019","48.42","48.21","48.73","48.05","604.40K","1.17%"
"Jun 10, 2019","47.86","47.50","48.05","47.44","782.98K","1.40%"
"Jun 07, 2019","47.20","47.32","47.56","47.05","932.34K","0.08%"
"Jun 06, 2019","47.16","47.61","47.77","46.45","591.69K","-0.74%"
"Jun 05, 2019","47.51","48.13","48.15","46.63","1.04M","-1.25%"
"Jun 04, 2019","48.11","46.29","48.12","46.18","799.38K","5.34%"
"Jun 03, 2019","45.67","44.84","45.87","44.69","1.02M","1.90%"
"May 31, 2019","44.82","45.14","45.52","44.67","1.17M","-2.29%"
"May 30, 2019","45.87","46.19","46.65","45.67","911.63K","-0.37%"
"May 29, 2019","46.04","45.96","46.16","45.34","1.67M","-0.41%"
