"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","2.830","2.750","2.910","2.750","386.56K","1.43%"
"Oct 24, 2019","2.790","2.790","2.845","2.750","178.94K","-1.06%"
"Oct 23, 2019","2.820","2.820","2.860","2.710","461.16K","0.71%"
"Oct 22, 2019","2.800","2.970","3.070","2.750","479.20K","-5.08%"
"Oct 21, 2019","2.950","2.910","2.970","2.900","228.90K","2.43%"
"Oct 18, 2019","2.880","3.020","3.080","2.840","401.79K","-5.88%"
"Oct 17, 2019","3.060","3.030","3.120","3.020","377.86K","0.99%"
"Oct 16, 2019","3.030","2.950","3.100","2.930","426.32K","3.41%"
"Oct 15, 2019","2.930","2.730","3.040","2.730","610.11K","9.74%"
"Oct 14, 2019","2.670","2.740","2.750","2.640","324.79K","-2.55%"
"Oct 11, 2019","2.740","2.680","2.770","2.680","273.64K","3.40%"
"Oct 10, 2019","2.650","2.640","2.700","2.620","361.03K","0.38%"
"Oct 09, 2019","2.640","2.710","2.750","2.620","464.93K","-2.94%"
"Oct 08, 2019","2.720","2.760","2.790","2.710","292.07K","-3.55%"
"Oct 07, 2019","2.820","2.860","2.950","2.790","447.02K","-2.08%"
"Oct 04, 2019","2.880","2.850","2.910","2.770","316.78K","0.70%"
"Oct 03, 2019","2.860","2.750","2.910","2.680","620.02K","4.38%"
"Oct 02, 2019","2.740","2.750","2.780","2.670","522.53K","-0.36%"
"Oct 01, 2019","2.750","2.960","2.980","2.700","902.09K","-6.46%"
"Sep 30, 2019","2.940","3.180","3.180","2.910","603.76K","-7.98%"
"Sep 27, 2019","3.195","3.280","3.380","3.160","584.37K","-1.08%"
"Sep 26, 2019","3.230","3.420","3.441","3.230","522.56K","-5.28%"
"Sep 25, 2019","3.410","3.440","3.550","3.350","679.05K","-0.87%"
"Sep 24, 2019","3.440","3.490","3.540","3.360","667.16K","-1.99%"
"Sep 23, 2019","3.510","3.390","3.650","3.374","704.29K","2.33%"
"Sep 20, 2019","3.430","3.630","3.680","3.350","1.27M","-5.51%"
"Sep 19, 2019","3.630","3.680","3.740","3.570","562.97K","-0.55%"
"Sep 18, 2019","3.650","3.560","3.730","3.550","1.07M","1.67%"
"Sep 17, 2019","3.590","3.400","3.595","3.300","1.20M","6.53%"
"Sep 16, 2019","3.370","3.260","3.430","3.260","1.11M","4.01%"
"Sep 13, 2019","3.240","3.150","3.280","3.130","722.28K","3.51%"
"Sep 12, 2019","3.130","2.940","3.190","2.882","1.11M","7.19%"
"Sep 11, 2019","2.920","2.900","2.940","2.850","518.10K","1.04%"
"Sep 10, 2019","2.890","2.930","2.950","2.830","389.72K","-0.69%"
"Sep 09, 2019","2.910","2.850","2.940","2.780","518.81K","2.46%"
"Sep 06, 2019","2.840","2.930","2.940","2.840","323.70K","-3.07%"
"Sep 05, 2019","2.930","2.840","3.000","2.800","717.47K","4.27%"
"Sep 04, 2019","2.810","2.770","2.820","2.730","240.82K","1.81%"
"Sep 03, 2019","2.760","2.730","2.850","2.690","247.73K","-0.72%"
"Aug 30, 2019","2.780","2.820","2.870","2.760","189.60K","-1.42%"
"Aug 29, 2019","2.820","2.770","2.840","2.740","206.53K","2.92%"
"Aug 28, 2019","2.740","2.660","2.770","2.640","395.10K","2.62%"
"Aug 27, 2019","2.670","2.690","2.790","2.630","287.72K","-1.84%"
"Aug 26, 2019","2.720","2.720","2.749","2.650","149.65K","1.49%"
"Aug 23, 2019","2.680","2.800","2.814","2.670","334.50K","-4.29%"
"Aug 22, 2019","2.800","2.810","2.860","2.710","230.60K","0.00%"
"Aug 21, 2019","2.800","2.880","2.880","2.780","264.13K","-1.75%"
"Aug 20, 2019","2.850","2.850","2.890","2.760","396.08K","0.71%"
"Aug 19, 2019","2.830","2.760","2.865","2.710","342.60K","4.04%"
"Aug 16, 2019","2.720","2.700","2.790","2.680","400.90K","0.74%"
"Aug 15, 2019","2.700","2.800","2.900","2.670","634.85K","-4.26%"
"Aug 14, 2019","2.820","2.750","2.820","2.690","349.71K","0.00%"
"Aug 13, 2019","2.820","2.760","2.830","2.700","568.55K","2.55%"
"Aug 12, 2019","2.750","2.910","2.920","2.670","689.02K","-6.46%"
"Aug 09, 2019","2.940","2.790","2.960","2.700","778.45K","6.14%"
"Aug 08, 2019","2.770","2.750","2.790","2.670","356.17K","1.47%"
