"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","2.460","2.500","2.500","2.400","589.04K","-0.40%"
"Oct 29, 2019","2.470","2.430","2.490","2.390","755.47K","2.07%"
"Oct 28, 2019","2.420","2.390","2.470","2.370","543.11K","0.41%"
"Oct 25, 2019","2.410","2.410","2.470","2.380","366.73K","-0.82%"
"Oct 24, 2019","2.430","2.500","2.520","2.400","619.98K","-2.80%"
"Oct 23, 2019","2.500","2.490","2.540","2.450","411.10K","0.81%"
"Oct 22, 2019","2.480","2.550","2.620","2.470","993.52K","-3.12%"
"Oct 21, 2019","2.560","2.660","2.700","2.550","1.08M","-2.29%"
"Oct 18, 2019","2.620","2.660","2.700","2.585","891.87K","-2.24%"
"Oct 17, 2019","2.680","2.610","2.720","2.610","420.23K","3.08%"
"Oct 16, 2019","2.600","2.630","2.670","2.570","513.81K","-1.52%"
"Oct 15, 2019","2.640","2.670","2.760","2.590","675.41K","-1.86%"
"Oct 14, 2019","2.690","2.600","2.730","2.600","458.89K","2.28%"
"Oct 11, 2019","2.630","2.620","2.690","2.585","605.12K","0.77%"
"Oct 10, 2019","2.610","2.640","2.720","2.605","670.09K","-1.14%"
"Oct 09, 2019","2.640","2.670","2.735","2.630","510.26K","0.00%"
"Oct 08, 2019","2.640","2.620","2.700","2.580","803.10K","-0.38%"
"Oct 07, 2019","2.650","2.560","2.700","2.560","1.46M","3.52%"
"Oct 04, 2019","2.560","2.580","2.640","2.530","428.83K","-0.78%"
"Oct 03, 2019","2.580","2.520","2.600","2.500","537.54K","2.38%"
"Oct 02, 2019","2.520","2.470","2.540","2.430","1.35M","0.80%"
"Oct 01, 2019","2.500","2.580","2.630","2.470","836.78K","-3.10%"
"Sep 30, 2019","2.580","2.670","2.680","2.570","741.70K","-3.01%"
"Sep 27, 2019","2.660","2.680","2.800","2.630","682.97K","-0.75%"
"Sep 26, 2019","2.680","2.800","2.840","2.655","818.83K","-5.13%"
"Sep 25, 2019","2.825","2.860","2.880","2.790","808.34K","-1.57%"
"Sep 24, 2019","2.870","3.040","3.040","2.850","990.58K","-4.81%"
"Sep 23, 2019","3.015","3.020","3.035","3.001","435.29K","-0.50%"
"Sep 20, 2019","3.030","3.030","3.040","2.930","998.98K","-0.33%"
"Sep 19, 2019","3.040","2.990","3.070","2.970","1.19M","2.36%"
"Sep 18, 2019","2.970","2.950","3.000","2.875","1.12M","1.02%"
"Sep 17, 2019","2.940","3.000","3.020","2.930","393.50K","-1.67%"
"Sep 16, 2019","2.990","3.030","3.065","2.930","675.05K","-1.64%"
"Sep 13, 2019","3.040","3.090","3.120","3.020","566.70K","-0.98%"
"Sep 12, 2019","3.070","3.100","3.140","3.030","578.03K","-0.97%"
"Sep 11, 2019","3.100","3.100","3.140","3.050","982.04K","0.65%"
"Sep 10, 2019","3.080","3.100","3.125","3.020","846.76K","-1.91%"
"Sep 09, 2019","3.140","3.120","3.185","3.050","707.46K","1.29%"
"Sep 06, 2019","3.100","2.950","3.190","2.940","1.59M","5.08%"
"Sep 05, 2019","2.950","2.940","2.970","2.870","588.25K","1.37%"
"Sep 04, 2019","2.910","2.920","2.940","2.840","602.13K","0.69%"
"Sep 03, 2019","2.890","2.860","2.910","2.810","598.89K","0.35%"
"Aug 30, 2019","2.880","2.850","2.880","2.750","575.16K","1.41%"
"Aug 29, 2019","2.840","2.830","2.900","2.825","526.31K","1.43%"
"Aug 28, 2019","2.800","2.750","2.860","2.750","514.09K","1.08%"
"Aug 27, 2019","2.770","2.840","2.860","2.730","685.07K","-1.77%"
"Aug 26, 2019","2.820","2.830","2.855","2.760","623.30K","1.08%"
"Aug 23, 2019","2.790","2.920","2.970","2.790","822.12K","-5.74%"
"Aug 22, 2019","2.960","2.970","3.000","2.870","1.55M","0.34%"
"Aug 21, 2019","2.950","2.890","2.980","2.848","660.63K","3.15%"
"Aug 20, 2019","2.860","2.840","2.885","2.770","850.43K","0.70%"
"Aug 19, 2019","2.840","2.860","2.890","2.825","711.75K","0.35%"
"Aug 16, 2019","2.830","2.790","2.840","2.730","613.49K","2.17%"
"Aug 15, 2019","2.770","2.700","2.780","2.630","695.10K","1.84%"
"Aug 14, 2019","2.720","2.650","2.780","2.645","1.14M","-0.37%"
"Aug 13, 2019","2.730","2.670","2.750","2.630","2.09M","1.11%"
"Aug 12, 2019","2.700","2.580","2.730","2.555","968.22K","4.65%"
"Aug 09, 2019","2.580","2.570","2.600","2.410","1.01M","-0.77%"
"Aug 08, 2019","2.600","2.250","2.660","2.240","2.09M","18.72%"
"Aug 07, 2019","2.190","2.300","2.320","2.180","1.11M","-6.41%"
"Aug 06, 2019","2.340","2.220","2.350","2.180","700.07K","7.83%"
"Aug 05, 2019","2.170","2.280","2.318","2.135","1.15M","-8.05%"
"Aug 02, 2019","2.360","2.450","2.470","2.320","701.95K","-4.07%"
"Aug 01, 2019","2.460","2.430","2.540","2.430","726.11K","2.07%"
"Jul 31, 2019","2.410","2.480","2.585","2.410","970.38K","-3.21%"
"Jul 30, 2019","2.490","2.410","2.510","2.380","563.92K","2.47%"
"Jul 29, 2019","2.430","2.410","2.440","2.340","585.67K","1.25%"
"Jul 26, 2019","2.400","2.300","2.410","2.300","745.23K","4.35%"
"Jul 25, 2019","2.300","2.400","2.400","2.280","834.52K","-4.17%"
"Jul 24, 2019","2.400","2.400","2.411","2.330","547.59K","0.42%"
"Jul 23, 2019","2.390","2.480","2.480","2.370","715.23K","-2.05%"
"Jul 22, 2019","2.440","2.460","2.500","2.410","530.29K","-0.81%"
"Jul 19, 2019","2.460","2.530","2.595","2.450","829.32K","-2.77%"
"Jul 18, 2019","2.530","2.530","2.550","2.450","914.60K","0.00%"
"Jul 17, 2019","2.530","2.570","2.575","2.460","973.98K","-1.17%"
"Jul 16, 2019","2.560","2.530","2.590","2.500","1.88M","0.79%"
"Jul 15, 2019","2.540","2.690","2.710","2.530","1.14M","-5.58%"
"Jul 12, 2019","2.690","2.740","2.740","2.660","632.40K","-1.47%"
"Jul 11, 2019","2.730","2.730","2.760","2.670","673.68K","0.00%"
"Jul 10, 2019","2.730","2.750","2.810","2.690","858.42K","0.00%"
"Jul 09, 2019","2.730","2.670","2.740","2.610","1.10M","3.02%"
"Jul 08, 2019","2.650","2.700","2.740","2.620","1.05M","-1.49%"
"Jul 05, 2019","2.690","2.740","2.740","2.640","1.01M","-2.89%"
"Jul 03, 2019","2.770","2.790","2.820","2.730","418.94K","-1.42%"
"Jul 02, 2019","2.810","2.910","2.940","2.740","978.42K","-4.42%"
"Jul 01, 2019","2.940","3.000","3.030","2.900","763.17K","-2.00%"
"Jun 28, 2019","3.000","2.970","3.055","2.925","2.49M","1.69%"
"Jun 27, 2019","2.950","2.940","3.000","2.880","748.28K","0.34%"
"Jun 26, 2019","2.940","3.040","3.080","2.920","2.60M","-3.29%"
"Jun 25, 2019","3.040","3.030","3.100","3.000","4.59M","1.00%"
"Jun 24, 2019","3.010","3.010","3.060","2.990","1.44M","0.33%"
"Jun 21, 2019","3.000","2.950","3.000","2.940","1.29M","0.67%"
"Jun 20, 2019","2.980","2.950","3.005","2.934","854.13K","1.02%"
"Jun 19, 2019","2.950","2.920","2.960","2.900","702.33K","1.03%"
"Jun 18, 2019","2.920","2.900","2.960","2.880","745.95K","1.39%"
"Jun 17, 2019","2.880","2.670","2.920","2.670","1.22M","8.27%"
"Jun 14, 2019","2.660","2.730","2.750","2.660","462.59K","-2.56%"
"Jun 13, 2019","2.730","2.670","2.750","2.640","472.25K","2.25%"
"Jun 12, 2019","2.670","2.690","2.730","2.623","434.99K","0.38%"
"Jun 11, 2019","2.660","2.770","2.790","2.600","563.01K","-3.97%"
"Jun 10, 2019","2.770","2.720","2.790","2.700","483.29K","2.59%"
"Jun 07, 2019","2.700","2.680","2.710","2.610","459.51K","1.50%"
"Jun 06, 2019","2.660","2.690","2.700","2.600","475.01K","-1.48%"
"Jun 05, 2019","2.700","2.800","2.800","2.680","651.52K","-2.53%"
"Jun 04, 2019","2.770","2.650","2.770","2.610","682.93K","5.73%"
"Jun 03, 2019","2.620","2.530","2.630","2.525","737.50K","2.75%"
"May 31, 2019","2.550","2.570","2.640","2.520","864.85K","-3.04%"
"May 30, 2019","2.630","2.780","2.810","2.590","932.05K","-5.40%"
"May 29, 2019","2.780","2.800","2.830","2.705","883.28K","-2.11%"
"May 28, 2019","2.840","2.860","2.900","2.800","709.51K","-0.70%"
"May 24, 2019","2.860","2.970","2.975","2.850","807.05K","-3.38%"
"May 23, 2019","2.960","2.880","2.980","2.840","1.15M","2.07%"
"May 22, 2019","2.900","2.970","3.020","2.870","3.02M","-2.68%"
"May 21, 2019","2.980","2.920","2.980","2.870","671.05K","2.76%"
"May 20, 2019","2.900","2.920","2.980","2.840","887.34K","-1.69%"
"May 17, 2019","2.950","2.920","2.990","2.880","975.39K","0.00%"
"May 16, 2019","2.950","2.990","2.990","2.920","912.45K","-0.67%"
"May 15, 2019","2.970","2.940","2.970","2.862","767.87K","1.37%"
"May 14, 2019","2.930","3.000","3.000","2.890","938.54K","-1.35%"
"May 13, 2019","2.970","2.810","3.000","2.750","1.49M","3.85%"
"May 10, 2019","2.860","2.920","3.000","2.800","2.70M","-0.69%"
"May 09, 2019","2.880","2.770","2.930","2.670","2.48M","8.27%"
"May 08, 2019","2.660","2.650","2.700","2.590","482.30K","0.76%"
"May 07, 2019","2.640","2.650","2.710","2.600","321.16K","-2.22%"
"May 06, 2019","2.700","2.670","2.710","2.630","517.12K","-0.37%"
"May 03, 2019","2.710","2.620","2.715","2.620","713.77K","3.83%"
"May 02, 2019","2.610","2.520","2.620","2.500","782.24K","3.16%"
"May 01, 2019","2.530","2.570","2.600","2.520","655.43K","-1.56%"
"Apr 30, 2019","2.570","2.670","2.710","2.530","740.87K","-3.38%"
"Apr 29, 2019","2.660","2.670","2.735","2.650","547.90K","0.00%"
"Apr 26, 2019","2.660","2.590","2.660","2.570","517.04K","2.31%"
"Apr 25, 2019","2.600","2.620","2.648","2.570","507.12K","-1.14%"
"Apr 24, 2019","2.630","2.600","2.670","2.530","820.09K","1.15%"
"Apr 23, 2019","2.600","2.530","2.640","2.520","764.10K","2.36%"
"Apr 22, 2019","2.540","2.570","2.580","2.470","795.42K","0.40%"
"Apr 18, 2019","2.530","2.520","2.590","2.500","606.21K","-0.39%"
