"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","16.48","16.46","16.53","16.41","3.87M","-1.02%"
"Oct 29, 2019","16.65","16.66","16.70","16.57","5.47M","-0.06%"
"Oct 28, 2019","16.66","16.63","16.70","16.55","4.74M","0.73%"
"Oct 25, 2019","16.54","16.59","16.63","16.52","2.76M","-0.36%"
"Oct 24, 2019","16.60","16.75","16.78","16.56","3.07M","-1.07%"
"Oct 23, 2019","16.78","16.64","16.78","16.57","2.79M","0.84%"
"Oct 22, 2019","16.64","16.61","16.67","16.50","2.67M","-0.06%"
"Oct 21, 2019","16.65","16.50","16.66","16.46","3.54M","1.34%"
"Oct 18, 2019","16.43","16.38","16.52","16.33","3.72M","0.55%"
"Oct 17, 2019","16.34","16.26","16.34","16.24","2.43M","0.86%"
"Oct 16, 2019","16.20","16.19","16.21","16.11","3.00M","0.50%"
"Oct 15, 2019","16.12","16.18","16.37","16.11","3.50M","-0.37%"
"Oct 14, 2019","16.18","16.21","16.25","16.11","1.82M","-0.49%"
"Oct 11, 2019","16.26","16.10","16.31","16.06","4.02M","1.25%"
"Oct 10, 2019","16.06","15.98","16.13","15.95","2.35M","0.44%"
"Oct 09, 2019","15.99","15.99","16.06","15.91","2.62M","0.57%"
"Oct 08, 2019","15.90","15.96","16.02","15.88","3.56M","-0.75%"
"Oct 07, 2019","16.02","16.04","16.14","15.94","2.61M","-0.12%"
"Oct 04, 2019","16.04","15.90","16.04","15.89","3.15M","1.01%"
"Oct 03, 2019","15.88","15.83","15.96","15.73","4.41M","0.44%"
"Oct 02, 2019","15.81","15.78","15.82","15.60","5.28M","0.00%"
"Oct 01, 2019","15.81","16.05","16.14","15.65","5.79M","-1.74%"
"Sep 30, 2019","16.09","16.02","16.12","15.94","4.54M","0.44%"
"Sep 27, 2019","16.02","16.10","16.15","15.97","3.07M","-1.17%"
"Sep 26, 2019","16.21","16.18","16.28","16.11","4.06M","0.19%"
"Sep 25, 2019","16.18","16.07","16.24","16.02","3.08M","0.62%"
"Sep 24, 2019","16.08","16.32","16.45","16.03","4.78M","-1.41%"
"Sep 23, 2019","16.31","16.25","16.40","16.18","5.96M","0.31%"
"Sep 20, 2019","16.26","16.09","16.29","16.04","8.95M","1.06%"
"Sep 19, 2019","16.09","15.89","16.16","15.89","6.61M","1.32%"
"Sep 18, 2019","15.88","15.80","15.90","15.73","4.99M","0.76%"
"Sep 17, 2019","15.76","15.82","15.85","15.62","5.86M","-0.13%"
"Sep 16, 2019","15.78","15.80","15.88","15.64","4.97M","-0.44%"
"Sep 13, 2019","15.85","15.73","15.91","15.68","5.74M","1.34%"
"Sep 12, 2019","15.64","15.77","15.88","15.60","4.30M","-1.26%"
"Sep 11, 2019","15.84","15.77","15.86","15.70","5.85M","0.76%"
"Sep 10, 2019","15.72","15.37","15.75","15.37","12.59M","2.48%"
"Sep 09, 2019","15.34","15.10","15.38","15.10","8.11M","1.86%"
"Sep 06, 2019","15.06","15.08","15.11","14.82","10.41M","-0.20%"
"Sep 05, 2019","15.09","14.97","15.15","14.92","6.49M","1.41%"
"Sep 04, 2019","14.88","14.72","14.95","14.72","6.69M","1.02%"
"Sep 03, 2019","14.73","14.76","14.78","14.51","8.67M","-0.94%"
"Aug 30, 2019","14.87","14.84","14.94","14.78","7.71M","0.34%"
"Aug 29, 2019","14.82","14.92","14.96","14.58","11.44M","-1.40%"
"Aug 28, 2019","15.03","15.02","15.16","14.91","6.84M","-0.33%"
"Aug 27, 2019","15.08","15.62","15.63","15.05","9.87M","-3.02%"
"Aug 26, 2019","15.55","15.66","15.74","15.48","4.27M","-0.64%"
"Aug 23, 2019","15.65","15.88","15.95","15.61","5.08M","-1.57%"
"Aug 22, 2019","15.90","15.95","15.97","15.82","4.80M","0.00%"
"Aug 21, 2019","15.90","16.23","16.30","15.85","11.38M","-1.91%"
"Aug 20, 2019","16.21","16.30","16.36","16.20","3.82M","-0.73%"
"Aug 19, 2019","16.33","16.31","16.36","16.17","4.22M","0.62%"
"Aug 16, 2019","16.23","16.20","16.32","16.13","4.11M","0.56%"
"Aug 15, 2019","16.14","16.22","16.28","16.03","5.34M","-0.19%"
"Aug 14, 2019","16.17","16.70","16.70","16.17","8.60M","-3.58%"
"Aug 13, 2019","16.77","16.86","16.93","16.75","4.31M","-0.47%"
"Aug 12, 2019","16.85","17.05","17.08","16.83","4.08M","-1.29%"
"Aug 09, 2019","17.07","17.18","17.20","16.97","3.09M","-0.64%"
"Aug 08, 2019","17.18","16.98","17.22","16.92","4.45M","1.18%"
"Aug 07, 2019","16.98","16.93","17.03","16.73","7.11M","-0.12%"
"Aug 06, 2019","17.00","16.90","17.00","16.82","5.68M","0.77%"
"Aug 05, 2019","16.87","17.11","17.17","16.75","5.00M","-1.86%"
"Aug 02, 2019","17.19","17.07","17.23","17.04","4.20M","0.59%"
"Aug 01, 2019","17.09","17.10","17.23","16.95","6.57M","-0.29%"
"Jul 31, 2019","17.14","17.28","17.37","17.11","5.67M","-0.92%"
"Jul 30, 2019","17.30","17.30","17.35","17.25","3.25M","-0.80%"
"Jul 29, 2019","17.44","17.41","17.49","17.40","3.32M","0.17%"
"Jul 26, 2019","17.41","17.17","17.45","17.14","4.96M","1.22%"
"Jul 25, 2019","17.20","17.36","17.50","17.16","9.28M","-1.38%"
"Jul 24, 2019","17.44","17.52","17.56","17.41","5.36M","-0.57%"
"Jul 23, 2019","17.54","17.51","17.60","17.47","4.07M","0.17%"
"Jul 22, 2019","17.51","17.40","17.59","17.36","4.24M","0.98%"
"Jul 19, 2019","17.34","17.45","17.47","17.32","4.64M","-0.63%"
"Jul 18, 2019","17.45","17.37","17.53","17.35","5.04M","0.46%"
"Jul 17, 2019","17.37","17.38","17.41","17.31","3.60M","0.00%"
"Jul 16, 2019","17.37","17.38","17.41","17.31","4.33M","0.17%"
"Jul 15, 2019","17.34","17.30","17.37","17.29","3.36M","0.41%"
"Jul 12, 2019","17.27","17.16","17.29","17.16","3.06M","0.70%"
"Jul 11, 2019","17.15","17.16","17.24","17.08","5.24M","0.12%"
"Jul 10, 2019","17.13","17.10","17.16","17.06","3.32M","0.35%"
"Jul 09, 2019","17.07","17.00","17.08","16.98","3.56M","0.29%"
"Jul 08, 2019","17.02","16.99","17.10","16.97","3.54M","0.12%"
"Jul 05, 2019","17.00","16.86","17.00","16.75","3.55M","0.83%"
"Jul 03, 2019","16.86","16.77","16.95","16.75","2.98M","0.48%"
"Jul 02, 2019","16.78","16.75","16.81","16.72","3.46M","0.06%"
"Jul 01, 2019","16.77","16.87","16.88","16.74","4.57M","-0.30%"
"Jun 28, 2019","16.82","16.77","16.84","16.70","6.05M","0.78%"
"Jun 27, 2019","16.69","16.69","16.75","16.57","5.77M","-0.48%"
"Jun 26, 2019","16.77","16.90","16.93","16.76","5.57M","-0.53%"
"Jun 25, 2019","16.86","16.85","16.99","16.79","5.82M","0.18%"
"Jun 24, 2019","16.83","16.81","16.91","16.71","5.23M","0.06%"
"Jun 21, 2019","16.82","16.83","16.87","16.75","9.17M","-0.12%"
"Jun 20, 2019","16.84","16.92","16.93","16.76","7.49M","-0.47%"
"Jun 19, 2019","16.92","16.75","16.94","16.70","5.30M","1.08%"
"Jun 18, 2019","16.74","16.82","16.95","16.71","7.52M","-0.30%"
"Jun 17, 2019","16.79","16.92","16.97","16.77","5.56M","-0.53%"
"Jun 14, 2019","16.88","16.86","16.93","16.85","3.22M","0.00%"
"Jun 13, 2019","16.88","16.78","16.91","16.76","5.39M","0.78%"
"Jun 12, 2019","16.75","16.72","16.83","16.70","3.06M","0.30%"
"Jun 11, 2019","16.70","16.85","16.87","16.66","2.92M","-0.54%"
"Jun 10, 2019","16.79","16.75","16.88","16.61","4.69M","0.24%"
"Jun 07, 2019","16.75","16.94","16.94","16.71","2.78M","-0.83%"
"Jun 06, 2019","16.89","16.87","16.90","16.70","3.88M","0.36%"
"Jun 05, 2019","16.83","16.95","16.98","16.75","3.80M","-0.71%"
"Jun 04, 2019","16.95","16.77","16.97","16.71","7.30M","1.13%"
"Jun 03, 2019","16.76","16.44","16.79","16.42","5.19M","2.20%"
"May 31, 2019","16.40","16.45","16.46","16.19","6.64M","-0.73%"
"May 30, 2019","16.52","16.77","16.81","16.47","5.79M","-1.90%"
"May 29, 2019","16.84","16.88","16.91","16.61","6.31M","-0.18%"
"May 28, 2019","16.87","17.07","17.09","16.87","9.86M","-1.06%"
"May 24, 2019","17.05","17.05","17.11","17.00","3.14M","0.12%"
"May 23, 2019","17.03","17.01","17.07","16.95","5.43M","-0.12%"
"May 22, 2019","17.05","16.97","17.07","16.93","5.02M","0.35%"
"May 21, 2019","16.99","17.03","17.09","16.86","7.87M","-0.12%"
"May 20, 2019","17.01","17.37","17.38","17.00","7.50M","-2.07%"
"May 17, 2019","17.37","17.45","17.50","17.37","5.19M","-1.03%"
"May 16, 2019","17.55","17.49","17.56","17.47","2.46M","0.34%"
"May 15, 2019","17.49","17.53","17.59","17.46","3.50M","-0.23%"
"May 14, 2019","17.53","17.45","17.57","17.39","5.30M","0.57%"
"May 13, 2019","17.43","17.54","17.57","17.40","4.78M","-0.63%"
"May 10, 2019","17.54","17.42","17.57","17.40","4.30M","0.80%"
"May 09, 2019","17.40","17.47","17.48","17.35","5.99M","-0.46%"
"May 08, 2019","17.48","17.57","17.60","17.48","4.80M","-0.68%"
"May 07, 2019","17.60","17.49","17.65","17.48","6.92M","0.63%"
"May 06, 2019","17.49","17.50","17.59","17.44","5.50M","-0.23%"
"May 03, 2019","17.53","17.55","17.60","17.50","4.52M","-0.11%"
"May 02, 2019","17.55","17.61","17.64","17.51","7.13M","-0.28%"
"May 01, 2019","17.60","17.78","17.88","17.59","5.77M","-1.07%"
"Apr 30, 2019","17.79","17.70","17.79","17.62","5.84M","0.45%"
"Apr 29, 2019","17.71","17.82","17.84","17.70","6.52M","-1.45%"
"Apr 26, 2019","17.97","17.78","18.01","17.77","7.43M","1.01%"
"Apr 25, 2019","17.79","17.98","17.98","17.75","18.93M","-2.68%"
"Apr 24, 2019","18.28","18.19","18.29","18.18","5.32M","0.66%"
"Apr 23, 2019","18.16","18.16","18.22","18.14","3.39M","-0.06%"
"Apr 22, 2019","18.17","18.10","18.18","18.09","2.71M","0.50%"
"Apr 18, 2019","18.08","18.19","18.20","18.07","3.92M","-0.39%"
"Apr 17, 2019","18.15","18.16","18.20","18.12","2.51M","0.11%"
"Apr 16, 2019","18.13","18.20","18.24","18.13","3.52M","-0.22%"
"Apr 15, 2019","18.17","18.19","18.28","18.17","3.03M","-0.11%"
"Apr 12, 2019","18.19","18.17","18.20","18.11","2.15M","0.22%"
"Apr 11, 2019","18.15","18.12","18.16","18.10","2.58M","0.33%"
"Apr 10, 2019","18.09","18.10","18.14","18.07","1.99M","-0.06%"
"Apr 09, 2019","18.10","18.13","18.18","18.09","2.88M","-0.28%"
"Apr 08, 2019","18.15","18.06","18.18","18.06","3.79M","0.50%"
"Apr 05, 2019","18.06","18.13","18.15","18.01","3.51M","-0.39%"
"Apr 04, 2019","18.13","18.04","18.14","18.02","3.29M","0.72%"
"Apr 03, 2019","18.00","18.11","18.15","17.98","3.51M","-0.61%"
"Apr 02, 2019","18.11","18.14","18.15","18.02","2.89M","-0.22%"
"Apr 01, 2019","18.15","18.01","18.15","17.97","4.57M","0.83%"
"Mar 29, 2019","18.00","18.10","18.10","17.97","4.79M","-0.44%"
"Mar 28, 2019","18.08","17.99","18.09","17.94","4.56M","-0.33%"
"Mar 27, 2019","18.14","18.12","18.17","18.06","7.30M","0.28%"
"Mar 26, 2019","18.09","18.01","18.20","17.97","6.93M","0.78%"
"Mar 25, 2019","17.95","18.02","18.03","17.92","5.99M","-0.28%"
"Mar 22, 2019","18.00","18.11","18.16","17.99","4.18M","-0.39%"
"Mar 21, 2019","18.07","18.02","18.15","18.00","4.27M","0.44%"
"Mar 20, 2019","17.99","18.03","18.09","17.95","4.17M","-0.06%"
"Mar 19, 2019","18.00","18.15","18.17","17.99","4.05M","-0.66%"
"Mar 18, 2019","18.12","18.00","18.14","17.99","4.93M","0.67%"
"Mar 15, 2019","18.00","17.98","18.05","17.97","4.84M","0.00%"
"Mar 14, 2019","18.00","18.04","18.06","17.96","2.61M","-0.17%"
"Mar 13, 2019","18.03","17.92","18.05","17.91","4.45M","0.73%"
"Mar 12, 2019","17.90","17.92","17.95","17.85","4.58M","-0.28%"
"Mar 11, 2019","17.95","17.78","17.95","17.76","5.39M","1.07%"
"Mar 08, 2019","17.76","17.64","17.78","17.64","3.72M","0.45%"
"Mar 07, 2019","17.68","17.63","17.75","17.62","5.26M","0.28%"
"Mar 06, 2019","17.63","17.58","17.68","17.57","4.52M","0.28%"
"Mar 05, 2019","17.58","17.60","17.64","17.52","4.20M","-0.17%"
"Mar 04, 2019","17.61","17.53","17.62","17.50","5.39M","0.28%"
"Mar 01, 2019","17.56","17.70","17.70","17.50","5.97M","-0.51%"
"Feb 28, 2019","17.65","17.56","17.75","17.54","7.55M","0.57%"
"Feb 27, 2019","17.55","17.63","17.63","17.50","4.19M","-1.07%"
"Feb 26, 2019","17.74","17.74","17.79","17.73","4.28M","0.00%"
"Feb 25, 2019","17.74","17.74","17.79","17.68","4.94M","0.17%"
"Feb 22, 2019","17.71","17.65","17.75","17.60","3.14M","0.57%"
"Feb 21, 2019","17.61","17.64","17.67","17.56","6.21M","-0.34%"
"Feb 20, 2019","17.67","17.71","17.71","17.60","5.81M","-0.11%"
"Feb 19, 2019","17.69","17.63","17.72","17.59","5.60M","0.40%"
"Feb 15, 2019","17.62","17.72","17.75","17.60","6.38M","-0.40%"
"Feb 14, 2019","17.69","17.73","17.76","17.65","5.07M","-0.23%"
"Feb 13, 2019","17.73","17.80","17.83","17.66","5.88M","-0.56%"
"Feb 12, 2019","17.83","17.82","17.93","17.75","7.51M","0.17%"
"Feb 11, 2019","17.80","17.83","17.86","17.71","4.53M","-0.06%"
"Feb 08, 2019","17.81","17.84","17.86","17.68","3.92M","-0.22%"
"Feb 07, 2019","17.85","17.84","17.89","17.77","3.42M","0.00%"
