"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","178.41","179.44","179.77","177.68","1.75M","-0.22%"
"Nov 04, 2019","178.80","179.00","179.74","178.80","3.49M","0.29%"
"Nov 01, 2019","178.29","177.00","179.52","175.91","3.17M","1.24%"
"Oct 31, 2019","176.11","175.66","176.33","175.46","1.17M","0.18%"
"Oct 30, 2019","175.79","174.91","176.00","174.43","1.21M","0.66%"
"Oct 29, 2019","174.64","174.39","174.91","173.52","1.10M","0.24%"
"Oct 28, 2019","174.22","173.98","174.85","173.83","2.81M","0.22%"
"Oct 25, 2019","173.84","173.90","174.23","173.05","1.70M","-0.05%"
"Oct 24, 2019","173.93","175.08","175.39","172.97","3.26M","-0.61%"
"Oct 23, 2019","175.00","174.91","175.37","174.59","1.94M","0.05%"
"Oct 22, 2019","174.92","175.07","175.95","174.76","1.69M","0.13%"
"Oct 21, 2019","174.70","174.26","175.43","173.56","2.09M","0.63%"
"Oct 18, 2019","173.60","172.65","174.62","172.65","3.45M","0.64%"
"Oct 17, 2019","172.50","171.24","173.54","171.09","3.01M","0.92%"
"Oct 16, 2019","170.92","170.30","171.23","170.06","1.81M","0.45%"
"Oct 15, 2019","170.16","168.95","170.65","168.91","1.39M","0.72%"
"Oct 14, 2019","168.94","169.17","169.49","168.59","1.47M","-0.09%"
"Oct 11, 2019","169.09","168.58","169.68","167.95","1.92M","0.75%"
"Oct 10, 2019","167.83","166.60","168.05","166.43","1.46M","0.65%"
"Oct 09, 2019","166.74","167.39","168.17","166.74","1.32M","-0.22%"
"Oct 08, 2019","167.10","167.48","168.44","167.02","1.35M","-0.52%"
"Oct 07, 2019","167.98","168.18","168.96","167.83","1.87M","-0.27%"
"Oct 04, 2019","168.44","167.30","168.60","167.10","1.25M","0.73%"
"Oct 03, 2019","167.22","165.30","167.59","165.30","1.36M","1.10%"
"Oct 02, 2019","165.40","166.08","166.24","164.92","1.73M","-0.64%"
"Oct 01, 2019","166.46","168.21","168.75","166.41","3.12M","-1.09%"
"Sep 30, 2019","168.29","168.03","169.30","167.50","1.85M","0.02%"
"Sep 27, 2019","168.25","167.18","168.44","167.00","2.44M","0.81%"
"Sep 26, 2019","166.89","166.65","168.03","166.46","1.99M","0.57%"
"Sep 25, 2019","165.95","166.66","167.40","165.95","1.71M","-0.44%"
"Sep 24, 2019","166.69","167.35","167.90","166.61","2.30M","-0.10%"
"Sep 23, 2019","166.86","166.21","167.83","165.86","2.46M","0.23%"
"Sep 20, 2019","166.47","166.28","167.29","165.42","7.82M","0.45%"
"Sep 19, 2019","165.73","166.05","166.16","165.61","3.05M","-0.16%"
"Sep 18, 2019","166.00","166.31","166.37","165.43","1.70M","-0.06%"
"Sep 17, 2019","166.10","165.65","166.62","165.41","3.92M","0.33%"
"Sep 16, 2019","165.56","165.29","166.31","165.29","2.23M","-0.35%"
"Sep 13, 2019","166.14","166.38","167.05","165.68","4.12M","-0.13%"
"Sep 12, 2019","166.35","166.50","167.19","166.06","4.01M","0.31%"
"Sep 11, 2019","165.84","163.79","165.88","163.45","2.76M","1.12%"
"Sep 10, 2019","164.00","161.97","164.07","161.61","4.66M","1.00%"
"Sep 09, 2019","162.37","163.27","163.34","161.86","2.21M","-0.55%"
"Sep 06, 2019","163.26","162.45","163.40","161.90","2.50M","0.52%"
"Sep 05, 2019","162.41","161.72","162.80","161.57","1.71M","0.45%"
"Sep 04, 2019","161.69","160.00","161.86","159.46","7.56M","1.18%"
"Sep 03, 2019","159.80","159.30","160.19","158.67","4.04M","0.05%"
"Aug 30, 2019","159.72","159.67","160.13","159.17","1.95M","0.04%"
"Aug 29, 2019","159.66","160.68","161.08","159.35","2.27M","-0.20%"
"Aug 28, 2019","159.98","160.60","161.61","159.92","2.43M","-0.49%"
"Aug 27, 2019","160.77","160.57","162.19","160.40","4.13M","0.34%"
"Aug 26, 2019","160.22","159.52","160.49","159.36","2.02M","0.79%"
"Aug 23, 2019","158.96","160.60","161.15","158.31","3.13M","-1.22%"
"Aug 22, 2019","160.93","161.22","161.50","160.20","1.49M","-0.20%"
"Aug 21, 2019","161.25","160.00","161.64","159.30","3.12M","1.34%"
"Aug 20, 2019","159.11","160.00","161.19","159.04","2.81M","-0.09%"
"Aug 19, 2019","159.25","158.81","159.85","158.45","1.90M","0.63%"
"Aug 16, 2019","158.25","157.03","158.64","156.75","3.02M","1.22%"
"Aug 15, 2019","156.34","158.06","158.49","156.06","3.47M","-0.67%"
"Aug 14, 2019","157.40","158.97","159.23","157.28","5.18M","-1.59%"
"Aug 13, 2019","159.94","158.65","160.46","158.56","4.89M","0.81%"
"Aug 12, 2019","158.65","159.00","159.20","158.14","3.04M","-0.74%"
"Aug 09, 2019","159.84","159.85","161.28","158.45","2.93M","-0.01%"
"Aug 08, 2019","159.85","159.05","160.34","158.98","3.41M","0.64%"
"Aug 07, 2019","158.84","160.00","160.00","158.13","6.98M","-0.41%"
"Aug 06, 2019","159.49","161.00","161.42","159.19","7.32M","-0.71%"
"Aug 05, 2019","160.63","159.89","161.07","159.60","3.23M","-0.24%"
"Aug 02, 2019","161.02","160.80","161.51","160.53","3.91M","0.07%"
"Aug 01, 2019","160.91","160.40","162.17","160.21","5.71M","0.26%"
"Jul 31, 2019","160.50","160.95","161.26","159.36","5.06M","-0.23%"
"Jul 30, 2019","160.87","160.71","161.69","160.30","6.24M","-0.06%"
"Jul 29, 2019","160.97","161.16","162.14","160.65","4.79M","-0.01%"
"Jul 26, 2019","160.98","160.97","162.02","160.75","6.91M","0.58%"
"Jul 25, 2019","160.05","160.34","161.52","159.62","7.16M","-0.58%"
"Jul 24, 2019","160.98","161.49","162.06","160.90","6.36M","-0.56%"
"Jul 23, 2019","161.89","162.79","163.12","161.86","4.19M","-0.46%"
"Jul 22, 2019","162.63","162.99","163.55","162.51","2.40M","-0.32%"
"Jul 19, 2019","163.16","162.46","163.20","161.01","2.48M","0.68%"
"Jul 18, 2019","162.05","162.51","163.41","161.81","4.51M","-0.25%"
"Jul 17, 2019","162.46","164.20","164.85","162.46","4.00M","-1.10%"
"Jul 16, 2019","164.26","165.89","166.21","164.21","4.86M","-1.10%"
"Jul 15, 2019","166.08","165.63","167.21","165.16","6.33M","0.14%"
"Jul 12, 2019","165.85","166.07","166.28","164.29","4.40M","-0.07%"
"Jul 11, 2019","165.97","166.31","167.33","165.38","3.95M","-0.44%"
"Jul 10, 2019","166.70","166.31","167.33","166.30","5.32M","0.15%"
"Jul 09, 2019","166.45","164.90","167.65","164.90","4.79M","0.91%"
"Jul 08, 2019","164.95","166.90","167.75","164.74","7.42M","-1.63%"
"Jul 05, 2019","167.69","169.00","169.13","167.41","4.12M","-1.13%"
"Jul 03, 2019","169.61","169.25","169.93","168.95","4.14M","0.04%"
"Jul 02, 2019","169.54","167.31","170.19","166.71","5.19M","1.21%"
"Jul 01, 2019","167.52","168.41","168.85","166.56","6.15M","0.05%"
"Jun 28, 2019","167.43","166.23","168.27","166.10","7.41M","0.86%"
"Jun 27, 2019","166.01","164.20","167.44","164.20","6.76M","1.23%"
"Jun 26, 2019","164.00","163.80","165.15","162.50","15.98M","0.97%"
"Jun 25, 2019","162.43","168.39","168.65","162.33","33.05M","25.36%"
"Jun 24, 2019","129.57","130.67","130.67","127.76","2.39M","-0.95%"
"Jun 21, 2019","130.81","131.01","131.62","128.54","4.62M","-0.01%"
"Jun 20, 2019","130.82","128.51","131.92","128.50","3.85M","2.08%"
"Jun 19, 2019","128.16","122.91","129.15","122.15","6.97M","6.23%"
"Jun 18, 2019","120.64","116.24","121.01","115.04","7.65M","4.24%"
"Jun 17, 2019","115.73","115.51","117.43","114.27","4.39M","-0.16%"
"Jun 14, 2019","115.92","120.63","120.84","115.19","5.22M","-4.20%"
"Jun 13, 2019","121.00","122.42","122.52","120.79","2.74M","-1.04%"
"Jun 12, 2019","122.27","123.26","124.59","121.92","2.80M","-0.47%"
"Jun 11, 2019","122.85","126.63","126.65","122.51","2.59M","-2.97%"
"Jun 10, 2019","126.61","127.49","128.31","125.60","2.28M","-0.41%"
"Jun 07, 2019","127.13","126.02","128.58","125.18","2.86M","1.66%"
"Jun 06, 2019","125.05","125.97","127.40","124.67","1.92M","-1.15%"
"Jun 05, 2019","126.50","129.77","129.89","125.50","2.19M","-1.64%"
"Jun 04, 2019","128.61","124.41","129.00","124.00","3.00M","4.45%"
"Jun 03, 2019","123.13","122.00","124.55","121.17","3.49M","1.00%"
"May 31, 2019","121.91","121.12","123.86","120.68","3.45M","-0.42%"
"May 30, 2019","122.42","125.50","126.24","121.82","3.68M","-2.59%"
"May 29, 2019","125.67","130.44","130.93","121.32","8.42M","-4.37%"
