"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","52.61","52.13","52.88","51.73","3.96M","0.98%"
"Oct 29, 2019","52.10","52.35","52.68","51.21","7.85M","-0.86%"
"Oct 28, 2019","52.55","53.03","53.31","52.53","3.82M","-0.47%"
"Oct 25, 2019","52.80","52.72","52.91","52.34","2.08M","-0.19%"
"Oct 24, 2019","52.90","53.37","53.58","52.72","1.69M","-0.47%"
"Oct 23, 2019","53.15","53.06","53.30","52.68","2.68M","-0.17%"
"Oct 22, 2019","53.24","54.29","54.29","53.16","3.46M","-2.40%"
"Oct 21, 2019","54.55","54.51","54.88","54.44","2.18M","1.07%"
"Oct 18, 2019","53.97","53.90","54.27","53.86","2.34M","-0.17%"
"Oct 17, 2019","54.06","54.71","54.82","53.92","2.54M","-0.52%"
"Oct 16, 2019","54.34","54.37","54.56","53.70","3.47M","-0.62%"
"Oct 15, 2019","54.68","54.35","54.98","54.29","2.23M","0.87%"
"Oct 14, 2019","54.21","53.91","54.35","53.63","2.01M","-0.39%"
"Oct 11, 2019","54.42","54.89","55.64","54.33","4.55M","0.67%"
"Oct 10, 2019","54.06","53.14","54.45","52.99","4.00M","1.92%"
"Oct 09, 2019","53.04","52.77","53.36","52.64","2.98M","1.18%"
"Oct 08, 2019","52.42","52.92","53.08","52.39","3.82M","-2.26%"
"Oct 07, 2019","53.63","54.22","54.29","53.61","2.63M","-1.47%"
"Oct 04, 2019","54.43","53.19","54.52","53.19","3.34M","2.29%"
"Oct 03, 2019","53.21","53.19","53.73","52.70","3.75M","-0.49%"
"Oct 02, 2019","53.47","54.09","54.25","53.30","3.55M","-1.66%"
"Oct 01, 2019","54.37","55.93","55.99","54.24","3.69M","-2.39%"
"Sep 30, 2019","55.70","56.30","56.36","55.55","3.44M","-0.82%"
"Sep 27, 2019","56.16","56.22","56.53","55.85","3.50M","0.50%"
"Sep 26, 2019","55.88","56.60","56.60","55.54","3.22M","-1.15%"
"Sep 25, 2019","56.53","56.88","57.23","56.43","3.37M","-0.82%"
"Sep 24, 2019","57.00","57.53","57.70","56.82","3.72M","-0.52%"
"Sep 23, 2019","57.30","57.10","57.73","56.96","2.80M","-0.26%"
"Sep 20, 2019","57.45","58.22","58.35","57.28","6.58M","-0.76%"
"Sep 19, 2019","57.89","57.80","58.66","57.57","4.71M","0.42%"
"Sep 18, 2019","57.65","56.67","57.67","56.44","4.33M","1.00%"
"Sep 17, 2019","57.08","56.18","57.15","56.10","4.34M","1.35%"
"Sep 16, 2019","56.32","56.22","56.68","55.93","2.79M","-1.69%"
"Sep 13, 2019","57.29","57.08","57.46","56.79","3.32M","0.93%"
"Sep 12, 2019","56.76","56.14","57.11","56.03","3.26M","0.28%"
"Sep 11, 2019","56.60","55.48","56.63","54.77","3.09M","1.98%"
"Sep 10, 2019","55.50","55.44","55.98","55.23","3.17M","0.16%"
"Sep 09, 2019","55.41","55.08","55.47","54.70","2.90M","1.02%"
"Sep 06, 2019","54.85","54.61","55.38","54.53","1.90M","0.31%"
"Sep 05, 2019","54.68","55.15","55.85","54.62","3.12M","0.51%"
"Sep 04, 2019","54.40","52.96","54.42","52.71","3.85M","3.82%"
"Sep 03, 2019","52.40","51.75","52.49","51.65","2.90M","0.69%"
"Aug 30, 2019","52.04","52.88","52.88","51.80","4.57M","-0.80%"
"Aug 29, 2019","52.46","52.98","53.18","52.40","2.92M","0.02%"
"Aug 28, 2019","52.45","52.53","52.96","52.30","2.48M","-0.55%"
"Aug 27, 2019","52.74","53.27","53.47","52.20","2.75M","-0.64%"
"Aug 26, 2019","53.08","52.71","53.11","52.42","2.21M","1.12%"
"Aug 23, 2019","52.49","53.51","54.33","52.15","3.71M","-2.34%"
"Aug 22, 2019","53.75","53.98","54.32","53.59","2.33M","0.11%"
