"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","33.99","33.78","34.29","33.50","475.88K","1.77%"
"Nov 04, 2019","33.40","32.47","33.43","32.32","468.49K","4.15%"
"Nov 01, 2019","32.07","31.01","32.14","30.80","455.78K","4.12%"
"Oct 31, 2019","30.80","30.70","31.91","30.38","720.28K","-0.45%"
"Oct 30, 2019","30.94","31.06","31.18","30.72","824.05K","-0.87%"
"Oct 29, 2019","31.21","30.85","31.36","30.57","591.10K","0.77%"
"Oct 28, 2019","30.97","29.87","31.05","29.87","735.27K","4.21%"
"Oct 25, 2019","29.72","29.75","30.89","29.43","596.20K","1.26%"
"Oct 24, 2019","29.35","30.45","30.45","29.18","581.81K","-0.10%"
"Oct 23, 2019","29.38","30.00","30.23","29.06","411.07K","-2.20%"
"Oct 22, 2019","30.04","28.98","30.09","28.74","763.91K","3.34%"
"Oct 21, 2019","29.07","28.44","29.15","28.30","282.00K","3.30%"
"Oct 18, 2019","28.14","28.12","28.45","28.09","310.54K","-0.64%"
"Oct 17, 2019","28.32","27.78","28.35","27.69","208.39K","2.35%"
"Oct 16, 2019","27.67","26.94","27.87","26.93","400.51K","3.21%"
"Oct 15, 2019","26.81","26.55","26.92","26.23","536.56K","1.51%"
"Oct 14, 2019","26.41","26.25","26.53","25.92","338.03K","-0.15%"
"Oct 11, 2019","26.45","26.11","27.11","26.11","435.58K","3.89%"
"Oct 10, 2019","25.46","25.50","25.75","25.21","275.80K","0.67%"
"Oct 09, 2019","25.29","25.69","25.74","25.00","317.24K","0.20%"
"Oct 08, 2019","25.24","25.00","25.61","24.70","326.75K","-1.02%"
"Oct 07, 2019","25.50","25.86","26.02","25.41","218.64K","-2.00%"
"Oct 04, 2019","26.02","25.71","26.11","25.49","271.15K","0.74%"
"Oct 03, 2019","25.83","25.64","25.97","24.85","293.82K","0.51%"
"Oct 02, 2019","25.70","26.17","26.28","25.28","320.62K","-2.61%"
"Oct 01, 2019","26.39","27.88","28.41","26.26","418.64K","-4.73%"
"Sep 30, 2019","27.70","27.56","28.04","27.52","375.68K","0.98%"
"Sep 27, 2019","27.43","27.07","27.53","26.79","270.42K","1.52%"
"Sep 26, 2019","27.02","27.73","27.73","26.61","308.62K","-3.12%"
"Sep 25, 2019","27.89","26.59","28.09","26.59","412.42K","4.46%"
"Sep 24, 2019","26.70","27.96","28.45","26.30","1.02M","-6.32%"
"Sep 23, 2019","28.50","27.70","28.75","27.62","688.71K","2.08%"
"Sep 20, 2019","27.92","28.37","28.78","27.68","449.40K","-1.76%"
"Sep 19, 2019","28.42","28.66","28.94","28.23","318.26K","-0.39%"
"Sep 18, 2019","28.53","28.62","28.69","28.14","355.02K","-0.59%"
"Sep 17, 2019","28.70","29.27","29.39","28.43","443.48K","-3.46%"
"Sep 16, 2019","29.73","29.55","30.22","29.39","339.44K","-0.44%"
"Sep 13, 2019","29.86","30.00","30.37","29.43","290.90K","0.57%"
"Sep 12, 2019","29.69","29.47","29.85","28.90","274.76K","0.92%"
"Sep 11, 2019","29.42","27.93","29.44","27.30","567.06K","6.40%"
