"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","4.79","4.82","4.99","4.70","1.28M","-2.24%"
"Oct 29, 2019","4.90","4.73","4.91","4.67","1.14M","3.59%"
"Oct 28, 2019","4.73","4.68","4.76","4.62","894.06K","1.07%"
"Oct 25, 2019","4.68","4.54","4.70","4.47","1.16M","3.08%"
"Oct 24, 2019","4.54","4.61","4.64","4.39","902.68K","-1.09%"
"Oct 23, 2019","4.59","4.76","4.80","4.48","1.59M","-3.77%"
"Oct 22, 2019","4.77","4.73","4.83","4.58","1.01M","1.27%"
"Oct 21, 2019","4.71","4.64","4.78","4.54","982.56K","2.17%"
"Oct 18, 2019","4.61","4.67","4.91","4.55","1.75M","-1.91%"
"Oct 17, 2019","4.70","4.16","4.72","4.16","2.31M","13.80%"
"Oct 16, 2019","4.13","4.06","4.25","4.04","1.21M","1.47%"
"Oct 15, 2019","4.07","3.91","4.12","3.77","1.58M","7.11%"
"Oct 14, 2019","3.80","3.88","3.92","3.75","695.21K","-2.81%"
"Oct 11, 2019","3.91","3.85","4.03","3.77","1.28M","3.44%"
"Oct 10, 2019","3.78","3.90","3.95","3.69","2.08M","-2.83%"
"Oct 09, 2019","3.89","3.87","3.97","3.80","1.20M","1.57%"
"Oct 08, 2019","3.83","3.86","3.97","3.77","1.16M","-2.30%"
"Oct 07, 2019","3.92","3.95","4.03","3.88","1.06M","-1.26%"
"Oct 04, 2019","3.97","4.00","4.08","3.82","850.58K","-1.00%"
"Oct 03, 2019","4.01","3.85","4.07","3.76","1.73M","4.70%"
"Oct 02, 2019","3.83","3.63","3.88","3.58","1.19M","5.51%"
"Oct 01, 2019","3.63","3.82","3.96","3.59","1.63M","-4.47%"
"Sep 30, 2019","3.80","3.92","4.00","3.68","1.56M","-0.78%"
"Sep 27, 2019","3.83","3.82","4.17","3.80","1.60M","0.26%"
"Sep 26, 2019","3.82","3.94","4.00","3.81","889.84K","-3.54%"
"Sep 25, 2019","3.96","4.00","4.13","3.92","1.10M","-1.00%"
"Sep 24, 2019","4.00","4.11","4.17","3.96","1.91M","-1.96%"
"Sep 23, 2019","4.08","4.02","4.20","3.92","1.74M","-0.49%"
