"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","2.670","2.710","2.710","2.610","6.94M","-1.84%"
"Oct 29, 2019","2.720","2.670","2.735","2.610","7.80M","1.49%"
"Oct 28, 2019","2.680","2.580","2.690","2.580","9.54M","4.69%"
"Oct 25, 2019","2.560","2.500","2.620","2.480","5.48M","2.40%"
"Oct 24, 2019","2.500","2.590","2.610","2.410","7.94M","-3.10%"
"Oct 23, 2019","2.580","2.640","2.660","2.540","8.69M","-1.90%"
"Oct 22, 2019","2.630","2.510","2.650","2.430","8.33M","5.20%"
"Oct 21, 2019","2.500","2.500","2.580","2.480","7.25M","1.63%"
"Oct 18, 2019","2.460","2.380","2.470","2.380","6.33M","2.50%"
"Oct 17, 2019","2.400","2.460","2.480","2.380","4.91M","-0.41%"
"Oct 16, 2019","2.410","2.430","2.550","2.390","8.78M","-1.63%"
"Oct 15, 2019","2.450","2.450","2.530","2.410","6.93M","0.00%"
"Oct 14, 2019","2.450","2.520","2.530","2.405","6.83M","-2.00%"
"Oct 11, 2019","2.500","2.330","2.550","2.330","11.54M","9.17%"
"Oct 10, 2019","2.290","2.200","2.300","2.140","9.48M","6.02%"
"Oct 09, 2019","2.160","2.250","2.250","2.130","5.64M","-2.70%"
"Oct 08, 2019","2.220","2.240","2.270","2.200","5.89M","-2.20%"
"Oct 07, 2019","2.270","2.220","2.280","2.185","6.39M","2.25%"
"Oct 04, 2019","2.220","2.180","2.220","2.120","4.79M","2.78%"
"Oct 03, 2019","2.160","2.150","2.190","2.080","6.35M","0.47%"
"Oct 02, 2019","2.150","2.210","2.240","2.140","10.92M","-3.59%"
"Oct 01, 2019","2.230","2.290","2.430","2.200","9.84M","-1.76%"
"Sep 30, 2019","2.270","2.250","2.315","2.200","6.41M","0.89%"
"Sep 27, 2019","2.250","2.300","2.360","2.205","10.85M","-1.75%"
"Sep 26, 2019","2.290","2.330","2.360","2.200","6.23M","-2.14%"
"Sep 25, 2019","2.340","2.270","2.440","2.270","11.79M","3.08%"
"Sep 24, 2019","2.270","2.400","2.440","2.220","11.77M","-5.81%"
"Sep 23, 2019","2.410","2.280","2.460","2.280","8.78M","-0.82%"
"Sep 20, 2019","2.430","2.460","2.565","2.370","12.86M","-1.62%"
"Sep 19, 2019","2.470","2.410","2.595","2.360","13.09M","-1.98%"
"Sep 18, 2019","2.520","2.670","2.680","2.440","12.60M","-4.91%"
"Sep 17, 2019","2.650","2.750","2.750","2.640","7.38M","-5.36%"
