"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","20.15","19.98","20.62","19.98","904.52K","-0.20%"
"Nov 04, 2019","20.19","19.94","20.32","19.90","1.07M","2.54%"
"Nov 01, 2019","19.69","19.59","20.02","19.42","1.39M","0.82%"
"Oct 31, 2019","19.53","19.81","20.02","19.12","983.25K","-2.20%"
"Oct 30, 2019","19.97","20.63","20.65","19.59","1.67M","-0.25%"
"Oct 29, 2019","20.02","19.62","20.11","19.32","1.47M","2.40%"
"Oct 28, 2019","19.55","19.50","20.01","19.42","1.66M","0.36%"
"Oct 25, 2019","19.48","19.40","19.62","19.02","1.33M","-0.10%"
"Oct 24, 2019","19.50","18.96","19.90","18.56","1.75M","4.61%"
"Oct 23, 2019","18.64","19.25","20.66","18.47","4.07M","1.03%"
"Oct 22, 2019","18.45","18.62","18.89","18.14","1.49M","0.22%"
"Oct 21, 2019","18.41","18.28","18.79","18.14","1.38M","1.43%"
"Oct 18, 2019","18.15","17.90","18.53","17.79","1.90M","2.37%"
"Oct 17, 2019","17.73","18.23","18.46","17.61","988.59K","-2.74%"
"Oct 16, 2019","18.23","18.37","18.76","18.20","845.91K","-0.98%"
"Oct 15, 2019","18.41","17.94","18.41","17.82","967.65K","2.96%"
"Oct 14, 2019","17.88","18.01","18.04","17.26","1.36M","-0.78%"
"Oct 11, 2019","18.02","17.42","18.36","17.32","1.29M","4.22%"
"Oct 10, 2019","17.29","18.17","18.41","17.11","962.94K","-5.10%"
"Oct 09, 2019","18.22","18.28","18.42","18.05","856.97K","0.89%"
"Oct 08, 2019","18.06","18.14","18.43","17.66","817.21K","-1.37%"
"Oct 07, 2019","18.31","18.40","18.83","18.19","1.27M","-0.97%"
"Oct 04, 2019","18.49","18.86","19.29","18.03","900.60K","-1.86%"
"Oct 03, 2019","18.84","18.56","19.00","18.36","693.44K","1.13%"
"Oct 02, 2019","18.63","18.25","19.08","17.78","933.66K","1.14%"
"Oct 01, 2019","18.42","19.62","20.17","18.25","1.37M","-5.59%"
"Sep 30, 2019","19.51","19.86","19.86","18.69","1.73M","-0.61%"
"Sep 27, 2019","19.63","19.78","20.58","19.59","1.16M","-1.06%"
"Sep 26, 2019","19.84","20.02","20.25","19.61","1.21M","-0.40%"
"Sep 25, 2019","19.92","20.08","20.64","19.65","932.65K","-1.78%"
"Sep 24, 2019","20.28","21.30","21.39","19.95","864.86K","-4.65%"
"Sep 23, 2019","21.27","21.05","21.44","20.99","930.53K","0.33%"
"Sep 20, 2019","21.20","21.23","21.38","20.75","3.91M","-0.09%"
"Sep 19, 2019","21.22","21.40","21.93","21.15","1.25M","-1.21%"
"Sep 18, 2019","21.48","21.36","21.74","21.03","1.03M","0.23%"
"Sep 17, 2019","21.43","22.80","22.98","21.26","965.76K","-6.13%"
"Sep 16, 2019","22.83","22.01","22.98","21.91","907.91K","2.38%"
