"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","105.84","106.65","106.98","105.81","1.53M","-0.61%"
"Nov 04, 2019","106.49","106.59","107.51","106.38","1.41M","0.56%"
"Nov 01, 2019","105.90","106.98","107.39","105.46","2.28M","-0.49%"
"Oct 31, 2019","106.42","104.47","106.46","104.07","1.60M","1.40%"
"Oct 30, 2019","104.95","107.47","107.61","103.65","2.27M","-3.02%"
"Oct 29, 2019","108.22","106.80","108.22","106.31","1.79M","1.52%"
"Oct 28, 2019","106.60","107.63","108.27","106.59","1.94M","-0.60%"
"Oct 25, 2019","107.24","108.19","108.20","106.73","1.76M","-0.94%"
"Oct 24, 2019","108.26","108.40","108.55","107.90","1.11M","0.07%"
"Oct 23, 2019","108.18","107.50","108.40","107.50","1.06M","0.63%"
"Oct 22, 2019","107.50","108.67","108.72","107.08","1.42M","-1.49%"
"Oct 21, 2019","109.13","108.94","109.29","108.43","1.45M","0.66%"
"Oct 18, 2019","108.41","108.20","108.69","107.58","1.67M","0.62%"
"Oct 17, 2019","107.74","107.79","108.41","107.33","1.05M","0.23%"
"Oct 16, 2019","107.49","107.53","107.75","106.23","1.34M","-0.54%"
"Oct 15, 2019","108.07","108.62","109.13","108.02","1.49M","-0.15%"
"Oct 14, 2019","108.23","107.74","108.53","107.50","1.53M","0.28%"
"Oct 11, 2019","107.93","108.21","108.97","107.87","1.30M","0.74%"
"Oct 10, 2019","107.14","106.52","108.04","106.51","1.25M","0.53%"
"Oct 09, 2019","106.57","106.60","107.06","106.29","848.36K","0.63%"
"Oct 08, 2019","105.90","106.72","106.99","105.87","1.42M","-1.45%"
"Oct 07, 2019","107.46","108.17","108.73","107.45","1.34M","-0.92%"
"Oct 04, 2019","108.46","105.73","108.50","105.73","1.72M","2.66%"
"Oct 03, 2019","105.65","105.58","106.18","104.82","1.28M","0.04%"
"Oct 02, 2019","105.61","106.63","107.13","104.95","1.54M","-1.46%"
"Oct 01, 2019","107.17","109.00","109.45","106.98","2.53M","-1.39%"
"Sep 30, 2019","108.68","108.38","108.86","107.75","2.17M","0.79%"
"Sep 27, 2019","107.83","108.54","108.54","107.10","1.55M","-0.26%"
"Sep 26, 2019","108.11","107.65","108.64","107.29","1.98M","0.42%"
"Sep 25, 2019","107.66","108.00","108.25","107.30","2.30M","-0.09%"
"Sep 24, 2019","107.76","108.87","109.55","107.48","2.16M","-0.60%"
"Sep 23, 2019","108.41","107.57","108.70","107.22","1.09M","0.45%"
"Sep 20, 2019","107.92","108.67","109.02","107.33","2.10M","-0.41%"
"Sep 19, 2019","108.36","108.16","109.10","108.12","1.60M","0.34%"
"Sep 18, 2019","107.99","108.00","108.69","107.18","2.09M","0.05%"
"Sep 17, 2019","107.94","106.38","107.97","106.12","1.92M","1.47%"
"Sep 16, 2019","106.38","105.47","106.41","105.05","1.30M","0.54%"
"Sep 13, 2019","105.81","106.91","107.23","105.50","1.91M","-0.72%"
"Sep 12, 2019","106.58","106.32","106.85","105.57","1.31M","0.41%"
"Sep 11, 2019","106.15","105.45","106.16","104.73","1.40M","0.44%"
"Sep 10, 2019","105.68","105.99","106.02","103.94","1.40M","-0.10%"
"Sep 09, 2019","105.79","106.03","106.10","104.80","1.08M","0.46%"
"Sep 06, 2019","105.31","104.27","105.55","104.03","993.70K","0.89%"
"Sep 05, 2019","104.38","105.00","105.59","104.23","1.16M","0.46%"
"Sep 04, 2019","103.90","103.51","104.08","103.19","1.24M","1.33%"
"Sep 03, 2019","102.54","101.81","102.74","101.61","1.97M","0.15%"
"Aug 30, 2019","102.39","102.91","103.19","101.90","2.08M","0.17%"
"Aug 29, 2019","102.22","102.69","102.91","101.81","1.30M","-0.19%"
"Aug 28, 2019","102.41","102.23","102.89","101.65","1.43M","-0.21%"
"Aug 27, 2019","102.63","103.71","104.07","102.40","1.27M","-0.56%"
"Aug 26, 2019","103.21","102.52","103.28","101.87","1.23M","1.21%"
"Aug 23, 2019","101.98","104.02","105.36","101.49","1.42M","-2.41%"
"Aug 22, 2019","104.50","104.54","104.84","103.42","1.10M","0.59%"
"Aug 21, 2019","103.89","103.72","103.96","103.30","921.01K","0.65%"
"Aug 20, 2019","103.22","103.71","104.29","103.15","923.65K","-0.74%"
"Aug 19, 2019","103.99","104.46","104.46","103.74","1.64M","0.75%"
"Aug 16, 2019","103.22","102.35","103.67","102.09","1.95M","1.36%"
"Aug 15, 2019","101.84","101.86","102.36","101.13","1.25M","0.15%"
"Aug 14, 2019","101.69","103.39","103.72","100.83","2.24M","-2.63%"
"Aug 13, 2019","104.44","102.53","104.88","102.04","1.46M","1.55%"
"Aug 12, 2019","102.85","103.76","104.73","102.58","1.03M","-1.19%"
"Aug 09, 2019","104.09","105.10","105.31","103.16","1.98M","-1.15%"
"Aug 08, 2019","105.30","103.98","105.59","103.57","1.46M","1.91%"
"Aug 07, 2019","103.33","102.49","104.34","100.84","1.77M","-0.52%"
"Aug 06, 2019","103.87","101.89","103.90","101.32","1.91M","2.05%"
"Aug 05, 2019","101.78","103.69","104.06","101.33","1.85M","-2.61%"
"Aug 02, 2019","104.51","104.68","105.06","103.32","1.73M","-0.35%"
"Aug 01, 2019","104.88","107.69","107.84","104.28","2.09M","-2.35%"
"Jul 31, 2019","107.40","105.29","109.13","105.29","3.52M","5.47%"
"Jul 30, 2019","101.83","101.50","102.50","101.23","1.27M","0.02%"
"Jul 29, 2019","101.81","103.00","103.45","101.72","1.41M","-1.09%"
"Jul 26, 2019","102.93","102.06","102.98","101.52","893.72K","0.87%"
"Jul 25, 2019","102.04","102.24","102.43","101.68","1.03M","-0.04%"
"Jul 24, 2019","102.08","101.48","102.16","100.89","1.02M","0.56%"
"Jul 23, 2019","101.51","101.20","101.61","100.43","1.26M","0.30%"
"Jul 22, 2019","101.21","101.34","101.97","101.07","1.01M","-0.20%"
"Jul 19, 2019","101.41","103.33","103.33","101.36","1.29M","-1.73%"
