"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","92.05","91.32","92.78","90.89","406.18K","0.34%"
"Nov 04, 2019","91.74","90.75","92.07","90.60","546.73K","0.80%"
"Nov 01, 2019","91.01","87.04","92.35","86.50","755.70K","4.92%"
"Oct 31, 2019","86.74","85.39","87.31","83.06","1.08M","-0.61%"
"Oct 30, 2019","87.27","88.01","89.58","87.02","716.15K","-1.05%"
"Oct 29, 2019","88.20","89.50","90.30","87.79","764.24K","-2.15%"
"Oct 28, 2019","90.14","89.19","90.77","89.19","506.46K","1.00%"
"Oct 25, 2019","89.25","88.03","89.93","88.03","316.74K","0.39%"
"Oct 24, 2019","88.90","90.10","90.10","88.06","464.17K","-0.96%"
"Oct 23, 2019","89.76","88.81","91.59","88.81","682.32K","0.67%"
"Oct 22, 2019","89.16","87.38","90.55","87.38","879.15K","2.77%"
"Oct 21, 2019","86.76","85.00","86.91","84.67","650.17K","2.34%"
"Oct 18, 2019","84.78","81.91","85.11","81.34","865.39K","3.54%"
"Oct 17, 2019","81.88","81.99","83.00","80.94","495.15K","0.26%"
"Oct 16, 2019","81.67","80.96","82.66","80.39","793.17K","1.01%"
"Oct 15, 2019","80.85","79.53","81.43","79.49","537.50K","2.16%"
"Oct 14, 2019","79.14","78.53","80.50","78.27","332.57K","0.22%"
"Oct 11, 2019","78.97","78.80","79.57","77.51","413.91K","1.71%"
"Oct 10, 2019","77.64","76.74","78.53","76.73","312.43K","0.83%"
"Oct 09, 2019","77.00","76.52","77.55","75.87","445.55K","2.00%"
"Oct 08, 2019","75.49","76.41","77.31","74.19","634.11K","-1.94%"
"Oct 07, 2019","76.98","76.98","78.44","76.22","464.69K","-0.05%"
"Oct 04, 2019","77.02","76.54","78.71","75.01","517.63K","0.42%"
"Oct 03, 2019","76.70","75.58","76.99","74.26","525.74K","1.24%"
"Oct 02, 2019","75.76","74.15","78.09","73.32","1.05M","1.68%"
"Oct 01, 2019","74.51","80.07","80.42","74.30","907.60K","-7.35%"
"Sep 30, 2019","80.42","81.10","81.72","78.02","828.57K","-0.84%"
"Sep 27, 2019","81.10","80.13","82.10","79.50","603.40K","1.30%"
"Sep 26, 2019","80.06","83.63","84.61","79.97","738.44K","-4.34%"
"Sep 25, 2019","83.69","83.04","84.52","81.80","340.76K","0.25%"
"Sep 24, 2019","83.48","85.18","85.51","83.02","634.73K","-1.49%"
"Sep 23, 2019","84.74","86.69","87.10","84.50","591.39K","-2.03%"
"Sep 20, 2019","86.50","84.90","87.19","84.77","1.28M","2.25%"
"Sep 19, 2019","84.60","85.84","86.38","84.30","659.72K","-1.04%"
"Sep 18, 2019","85.49","87.95","87.97","84.54","746.14K","-2.65%"
"Sep 17, 2019","87.82","85.03","88.00","84.99","958.21K","3.60%"
"Sep 16, 2019","84.77","83.47","86.54","83.30","554.02K","1.29%"
