"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","23.84","22.80","24.23","22.24","2.67M","7.63%"
"May 15, 2020","22.15","23.58","23.76","22.15","3.28M","-6.10%"
"May 14, 2020","23.59","23.17","23.95","22.50","3.34M","-1.99%"
"May 13, 2020","24.07","26.16","26.16","23.57","6.76M","-7.46%"
"May 12, 2020","26.01","25.10","26.62","25.09","3.35M","5.05%"
"May 11, 2020","24.76","24.43","25.38","24.16","1.81M","-0.24%"
"May 08, 2020","24.82","25.27","25.35","24.42","1.83M","-0.20%"
"May 07, 2020","24.87","25.61","25.77","24.87","1.60M","-2.36%"
"May 06, 2020","25.47","26.05","26.33","24.87","2.51M","-3.45%"
"May 05, 2020","26.38","26.69","27.41","26.38","1.39M","-0.08%"
"May 04, 2020","26.40","26.55","27.22","25.76","1.31M","-3.61%"
"Apr 30, 2020","27.39","27.50","27.62","26.23","3.82M","-1.12%"
"Apr 29, 2020","27.70","28.95","29.57","27.23","3.00M","-3.05%"
"Apr 28, 2020","28.57","27.89","28.57","27.02","1.71M","5.70%"
"Apr 27, 2020","27.03","26.47","27.37","26.13","1.44M","2.15%"
"Apr 24, 2020","26.46","26.89","27.08","24.44","1.56M","-2.58%"
"Apr 23, 2020","27.16","28.18","28.70","26.70","1.97M","-1.31%"
"Apr 22, 2020","27.52","26.25","28.33","26.25","1.83M","3.54%"
"Apr 20, 2020","26.58","25.60","27.04","25.57","1.39M","0.95%"
"Apr 17, 2020","26.33","27.03","27.35","25.82","2.19M","0.27%"
"Apr 16, 2020","26.26","26.80","27.37","26.26","1.34M","-0.49%"
"Apr 15, 2020","26.39","25.90","26.80","25.52","1.50M","-0.38%"
"Apr 14, 2020","26.49","25.28","26.53","25.28","1.95M","5.92%"
"Apr 13, 2020","25.01","25.91","26.21","24.93","1.79M","-3.77%"
"Apr 09, 2020","25.99","26.00","26.75","25.36","1.82M","0.35%"
"Apr 08, 2020","25.90","26.30","26.84","25.71","1.86M","-0.84%"
"Apr 07, 2020","26.12","24.50","27.38","24.50","2.55M","9.06%"
"Apr 06, 2020","23.95","24.89","25.84","23.61","1.81M","1.05%"
"Apr 03, 2020","23.70","23.77","23.95","21.86","1.42M","-1.13%"
"Apr 02, 2020","23.97","22.90","23.97","22.38","1.62M","6.58%"
"Apr 01, 2020","22.49","22.49","23.46","21.74","2.09M","-2.89%"
"Mar 31, 2020","23.16","24.95","24.95","22.77","2.79M","-4.93%"
"Mar 30, 2020","24.36","23.98","25.90","23.45","2.10M","-0.53%"
"Mar 27, 2020","24.49","25.30","26.04","24.21","2.74M","-6.88%"
"Mar 26, 2020","26.30","24.97","26.49","24.97","2.94M","3.46%"
"Mar 25, 2020","25.42","23.77","26.55","23.25","1.79M","6.94%"
"Mar 24, 2020","23.77","24.40","26.00","22.85","2.94M","2.10%"
"Mar 23, 2020","23.28","21.59","23.28","20.50","3.63M","2.51%"
"Mar 20, 2020","22.71","23.13","25.62","21.60","5.17M","0.09%"
"Mar 19, 2020","22.69","16.71","22.98","16.71","4.50M","28.92%"
"Mar 18, 2020","17.60","20.21","21.23","15.76","10.58M","-20.86%"
"Mar 17, 2020","22.24","23.95","24.25","21.91","2.33M","-3.85%"
"Mar 16, 2020","23.13","24.62","25.27","22.69","2.23M","-14.27%"
"Mar 13, 2020","26.98","26.00","26.98","23.45","4.05M","12.89%"
"Mar 12, 2020","23.90","23.30","24.14","20.70","3.23M","-14.31%"
"Mar 11, 2020","27.89","27.91","28.86","25.43","4.28M","-3.56%"
"Mar 10, 2020","28.92","26.70","28.99","26.59","4.38M","13.15%"
"Mar 09, 2020","25.56","29.00","29.00","25.56","3.27M","-17.34%"
"Mar 06, 2020","30.92","30.00","31.43","29.09","2.27M","-0.61%"
"Mar 05, 2020","31.11","33.11","33.45","30.37","2.57M","-7.05%"
"Mar 04, 2020","33.47","34.19","34.19","32.60","1.53M","1.09%"
