"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","22.00","21.90","22.27","21.50","3.82M","3.38%"
"May 15, 2020","21.28","21.89","22.65","21.24","2.72M","-4.92%"
"May 14, 2020","22.38","21.30","22.40","20.65","2.29M","1.68%"
"May 13, 2020","22.01","22.10","22.16","21.01","1.90M","0.50%"
"May 12, 2020","21.90","22.07","22.68","21.90","2.34M","-0.23%"
"May 11, 2020","21.95","22.87","22.90","21.87","1.65M","-4.02%"
"May 08, 2020","22.87","23.00","23.31","22.11","2.02M","0.75%"
"May 07, 2020","22.70","24.77","25.08","22.70","2.44M","-7.01%"
"May 06, 2020","24.41","25.35","25.68","24.18","3.12M","-2.94%"
"May 05, 2020","25.15","26.52","26.91","25.15","1.77M","-4.01%"
"May 04, 2020","26.20","27.00","27.00","25.33","3.02M","-6.13%"
"Apr 30, 2020","27.91","29.78","29.78","26.94","4.19M","-6.97%"
"Apr 29, 2020","30.00","29.00","30.15","28.11","1.33M","4.53%"
"Apr 28, 2020","28.70","27.11","28.80","26.13","1.55M","7.94%"
"Apr 27, 2020","26.59","25.90","26.59","24.76","1.63M","4.69%"
"Apr 24, 2020","25.40","28.10","28.10","23.96","2.57M","-11.10%"
"Apr 23, 2020","28.57","29.01","29.43","27.88","2.70M","0.42%"
"Apr 22, 2020","28.45","26.59","28.66","26.19","2.03M","6.39%"
"Apr 20, 2020","26.74","25.12","26.79","24.48","2.96M","4.86%"
"Apr 17, 2020","25.50","25.37","26.00","24.36","2.30M","3.03%"
"Apr 16, 2020","24.75","24.70","25.12","23.71","3.15M","2.32%"
"Apr 15, 2020","24.19","25.02","25.10","23.84","4.86M","-5.91%"
"Apr 14, 2020","25.71","27.29","27.37","25.31","4.34M","-4.10%"
"Apr 13, 2020","26.81","26.82","27.29","24.95","1.12M","-0.04%"
"Apr 09, 2020","26.82","27.50","27.78","25.85","1.52M","-0.37%"
"Apr 08, 2020","26.92","26.50","27.13","25.32","1.91M","1.13%"
"Apr 07, 2020","26.62","29.79","29.79","25.19","3.82M","3.42%"
"Apr 06, 2020","25.74","25.70","26.80","24.50","1.89M","7.65%"
"Apr 03, 2020","23.91","25.30","25.30","22.34","1.95M","-3.16%"
"Apr 02, 2020","24.69","24.84","25.98","23.88","3.42M","-0.80%"
"Apr 01, 2020","24.89","25.99","25.99","23.42","3.23M","-6.43%"
"Mar 31, 2020","26.60","29.54","30.36","25.66","1.85M","-9.65%"
"Mar 30, 2020","29.44","30.27","31.11","28.85","1.36M","-3.16%"
"Mar 27, 2020","30.40","31.78","32.33","29.83","2.11M","-6.46%"
"Mar 26, 2020","32.50","30.00","34.16","30.00","2.85M","5.08%"
"Mar 25, 2020","30.93","27.39","30.95","26.02","3.69M","14.81%"
"Mar 24, 2020","26.94","23.20","27.76","22.84","4.06M","22.90%"
"Mar 23, 2020","21.92","24.96","25.75","20.93","2.27M","-12.21%"
"Mar 20, 2020","24.97","30.20","30.82","24.97","4.91M","-16.63%"
"Mar 19, 2020","29.95","23.99","29.95","19.43","6.22M","19.80%"
"Mar 18, 2020","25.00","25.50","25.50","19.32","3.83M","-9.55%"
"Mar 17, 2020","27.64","26.50","28.70","24.10","3.61M","6.35%"
"Mar 16, 2020","25.99","26.67","28.16","25.01","2.15M","-20.03%"
"Mar 13, 2020","32.50","35.00","35.58","28.22","3.00M","8.33%"
"Mar 12, 2020","30.00","30.50","30.99","26.10","2.81M","-16.81%"
"Mar 11, 2020","36.06","38.00","38.46","33.38","1.13M","-8.01%"
"Mar 10, 2020","39.20","39.78","40.00","37.19","2.21M","4.53%"
"Mar 09, 2020","37.50","37.05","39.15","37.05","1.10M","-9.83%"
"Mar 06, 2020","41.59","42.33","42.36","40.40","2.32M","-4.39%"
"Mar 05, 2020","43.50","47.56","47.56","42.81","1.50M","-8.42%"
"Mar 04, 2020","47.50","47.65","47.69","46.42","1.58M","1.52%"
"Mar 03, 2020","46.79","47.11","47.90","46.15","1.33M","-0.66%"
"Mar 02, 2020","47.10","45.09","47.39","45.09","1.34M","3.13%"
"Feb 28, 2020","45.67","45.58","46.24","44.50","1.70M","-0.93%"
"Feb 27, 2020","46.10","47.52","47.92","45.17","1.46M","-4.26%"
"Feb 26, 2020","48.15","49.60","49.70","46.87","817.20K","-5.87%"
"Feb 21, 2020","51.15","50.85","51.36","50.52","794.60K","-0.43%"
"Feb 20, 2020","51.37","52.24","52.48","50.96","977.30K","-1.68%"
"Feb 19, 2020","52.25","51.91","53.07","51.91","1.24M","0.67%"
"Feb 18, 2020","51.90","52.06","52.15","51.36","1.21M","-0.52%"
"Feb 17, 2020","52.17","52.90","52.91","51.60","1.15M","0.29%"
"Feb 14, 2020","52.02","52.09","52.34","51.31","826.60K","0.12%"
"Feb 13, 2020","51.96","52.39","52.64","51.64","635.40K","-1.22%"
"Feb 12, 2020","52.60","51.66","53.44","51.12","1.39M","2.63%"
"Feb 11, 2020","51.25","50.00","51.42","49.93","818.70K","2.75%"
"Feb 10, 2020","49.88","52.31","52.35","49.36","1.36M","-4.65%"
"Feb 07, 2020","52.31","52.36","53.14","51.52","967.60K","-0.13%"
"Feb 06, 2020","52.38","53.65","53.65","52.15","1.05M","-1.93%"
"Feb 05, 2020","53.41","54.22","54.35","53.09","1.02M","-0.17%"
"Feb 04, 2020","53.50","53.99","54.06","53.13","893.70K","0.09%"
"Feb 03, 2020","53.45","52.00","53.67","51.99","1.13M","1.64%"
"Jan 31, 2020","52.59","52.83","52.90","51.98","731.70K","-0.70%"
"Jan 30, 2020","52.96","52.95","52.96","51.14","891.70K","-1.01%"
"Jan 29, 2020","53.50","53.71","54.10","52.59","1.46M","-0.37%"
"Jan 28, 2020","53.70","53.18","53.73","52.02","1.09M","2.64%"
"Jan 27, 2020","52.32","52.98","52.98","51.83","971.10K","-2.10%"
"Jan 24, 2020","53.44","53.92","54.12","52.74","764.90K","-0.56%"
"Jan 23, 2020","53.74","53.00","53.74","52.67","1.58M","0.90%"
"Jan 22, 2020","53.26","53.72","53.85","52.52","1.00M","0.11%"
"Jan 21, 2020","53.20","54.45","54.58","52.54","1.56M","-2.30%"
"Jan 20, 2020","54.45","54.90","54.90","54.04","1.04M","-0.82%"
