"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","7.01","7.05","7.05","6.94","22.40K","1.45%"
"Nov 19, 2019","6.91","7.08","7.10","6.90","51.30K","-2.26%"
"Nov 18, 2019","7.07","7.20","7.20","7.05","41.30K","-0.14%"
"Nov 14, 2019","7.08","7.09","7.23","7.07","25.90K","0.14%"
"Nov 13, 2019","7.07","7.12","7.27","7.07","13.40K","-0.84%"
"Nov 12, 2019","7.13","7.30","7.45","7.13","11.70K","-1.79%"
"Nov 11, 2019","7.26","7.49","7.49","7.20","9.30K","0.41%"
"Nov 08, 2019","7.23","7.22","7.60","7.17","14.30K","0.14%"
"Nov 07, 2019","7.22","7.38","7.60","7.22","11.90K","-1.90%"
"Nov 06, 2019","7.36","7.42","7.43","7.32","9.40K","-0.81%"
"Nov 05, 2019","7.42","7.90","7.90","7.33","11.30K","1.37%"
"Nov 04, 2019","7.32","7.51","7.60","7.32","17.20K","-2.40%"
"Nov 01, 2019","7.50","7.56","7.60","7.46","7.00K","0.94%"
"Oct 31, 2019","7.43","7.69","7.72","7.43","7.70K","-1.98%"
"Oct 30, 2019","7.58","7.70","7.75","7.58","13.00K","-1.43%"
"Oct 29, 2019","7.69","7.72","7.75","7.67","3.10K","-0.39%"
"Oct 28, 2019","7.72","7.75","7.76","7.64","5.60K","-0.39%"
"Oct 25, 2019","7.75","7.95","7.95","7.75","3.10K","-0.64%"
"Oct 24, 2019","7.80","7.84","7.84","7.77","0.70K","0.65%"
"Oct 23, 2019","7.75","7.90","7.94","7.75","6.60K","-2.52%"
"Oct 22, 2019","7.95","7.92","7.95","7.69","4.60K","2.71%"
"Oct 21, 2019","7.74","7.84","7.90","7.74","2.70K","0.52%"
"Oct 18, 2019","7.70","7.85","7.90","7.70","4.80K","-2.65%"
"Oct 17, 2019","7.91","8.06","8.06","7.82","7.40K","-3.65%"
"Oct 16, 2019","8.21","7.98","8.21","7.90","13.80K","6.35%"
"Oct 15, 2019","7.72","7.62","8.00","7.58","17.70K","2.93%"
