"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","81.48","81.33","82.45","81.29","689.10K","-0.72%"
"Oct 25, 2019","82.07","82.36","83.37","81.33","801.34K","-0.35%"
"Oct 24, 2019","82.36","83.67","83.95","82.11","599.96K","-0.95%"
"Oct 23, 2019","83.15","82.31","83.18","81.40","902.02K","1.85%"
"Oct 22, 2019","81.64","81.00","82.13","80.60","635.96K","0.25%"
"Oct 21, 2019","81.44","81.92","82.24","80.78","517.54K","1.36%"
"Oct 18, 2019","80.35","79.62","81.36","79.42","737.37K","0.76%"
"Oct 17, 2019","79.74","80.69","80.80","79.24","684.21K","-1.08%"
"Oct 16, 2019","80.61","80.08","80.88","79.93","427.09K","0.88%"
"Oct 15, 2019","79.91","78.69","80.00","78.27","947.12K","1.36%"
"Oct 14, 2019","78.84","78.69","79.11","78.01","279.17K","-0.48%"
"Oct 11, 2019","79.22","77.99","79.86","77.99","464.21K","3.77%"
"Oct 10, 2019","76.34","76.29","76.96","75.94","317.14K","1.11%"
"Oct 09, 2019","75.50","75.13","75.87","74.42","385.32K","1.34%"
"Oct 08, 2019","74.50","75.25","75.47","74.35","524.57K","-2.61%"
"Oct 07, 2019","76.50","75.83","76.88","75.49","631.10K","-0.39%"
"Oct 04, 2019","76.80","75.72","77.04","75.72","867.72K","1.78%"
"Oct 03, 2019","75.46","74.61","75.65","74.16","465.23K","0.64%"
"Oct 02, 2019","74.98","74.46","75.44","74.03","624.45K","-1.42%"
"Oct 01, 2019","76.06","77.15","77.34","75.60","816.30K","-3.58%"
"Sep 30, 2019","78.88","77.82","79.18","77.47","862.06K","1.23%"
"Sep 27, 2019","77.92","77.53","77.94","77.00","746.05K","-0.73%"
"Sep 26, 2019","78.49","78.00","78.68","77.40","409.26K","0.93%"
"Sep 25, 2019","77.77","76.81","78.24","75.95","472.59K","0.93%"
"Sep 24, 2019","77.05","77.37","77.50","76.40","758.31K","0.53%"
"Sep 23, 2019","76.64","74.91","77.03","74.72","1.07M","-2.06%"
"Sep 20, 2019","78.25","78.51","78.79","77.56","1.21M","-1.30%"
"Sep 19, 2019","79.28","78.54","79.73","78.39","671.75K","0.37%"
"Sep 18, 2019","78.99","78.64","79.18","77.98","527.62K","0.03%"
"Sep 17, 2019","78.97","77.69","78.98","76.91","571.06K","-0.55%"
"Sep 16, 2019","79.41","79.28","79.80","78.82","311.80K","-0.34%"
"Sep 13, 2019","79.68","80.21","81.08","79.39","511.71K","0.38%"
"Sep 12, 2019","79.38","77.94","79.71","77.24","452.75K","0.95%"
"Sep 11, 2019","78.63","78.81","79.06","76.83","701.62K","-0.73%"
"Sep 10, 2019","79.21","77.58","79.26","77.16","698.43K","1.42%"
"Sep 09, 2019","78.10","76.68","78.39","76.32","644.58K","4.52%"
