"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","107.25","108.53","109.33","107.10","1.25M","-1.18%"
"Nov 04, 2019","108.53","110.20","110.81","108.38","1.31M","-0.78%"
"Nov 01, 2019","109.38","106.26","109.68","105.62","1.89M","3.78%"
"Oct 31, 2019","105.40","106.23","106.42","104.45","1.28M","-0.80%"
"Oct 30, 2019","106.25","107.49","107.73","104.96","1.05M","-1.15%"
"Oct 29, 2019","107.49","106.57","108.06","106.57","1.53M","0.87%"
"Oct 28, 2019","106.56","105.00","106.86","104.20","1.48M","1.31%"
"Oct 25, 2019","105.18","105.09","105.68","103.32","1.55M","-0.85%"
"Oct 24, 2019","106.08","107.86","108.00","104.31","1.93M","-0.52%"
"Oct 23, 2019","106.63","101.00","107.04","100.95","4.40M","7.40%"
"Oct 22, 2019","99.28","101.99","103.73","98.74","2.46M","-1.44%"
"Oct 21, 2019","100.73","100.00","101.36","98.53","1.80M","2.36%"
"Oct 18, 2019","98.41","100.29","100.45","97.58","1.62M","-1.58%"
"Oct 17, 2019","99.99","101.20","101.79","99.47","1.44M","0.48%"
"Oct 16, 2019","99.51","102.80","104.90","99.41","2.70M","-5.06%"
"Oct 15, 2019","104.81","101.60","105.13","101.50","1.77M","3.42%"
"Oct 14, 2019","101.34","99.50","103.14","98.73","2.04M","2.11%"
"Oct 11, 2019","99.25","99.13","101.16","98.92","1.18M","0.92%"
"Oct 10, 2019","98.35","95.30","98.46","94.66","1.37M","3.70%"
"Oct 09, 2019","94.84","96.46","96.99","94.59","1.74M","-1.00%"
"Oct 08, 2019","95.80","97.16","97.18","95.50","1.49M","-1.59%"
"Oct 07, 2019","97.35","98.17","98.87","96.62","1.27M","-0.69%"
"Oct 04, 2019","98.03","99.26","99.85","96.68","1.51M","-1.15%"
"Oct 03, 2019","99.17","97.01","99.40","96.63","1.55M","1.73%"
"Oct 02, 2019","97.48","97.26","98.52","95.02","1.43M","-0.32%"
"Oct 01, 2019","97.79","98.58","98.99","96.41","1.85M","-0.15%"
"Sep 30, 2019","97.94","98.27","99.07","97.51","1.43M","0.17%"
"Sep 27, 2019","97.77","98.76","100.77","97.44","1.52M","-0.94%"
"Sep 26, 2019","98.70","101.60","101.60","96.55","1.97M","-1.69%"
"Sep 25, 2019","100.40","100.26","101.95","99.00","1.64M","0.08%"
"Sep 24, 2019","100.32","105.44","105.92","100.16","2.38M","-4.11%"
"Sep 23, 2019","104.62","106.39","107.00","104.52","1.95M","-1.60%"
"Sep 20, 2019","106.32","105.15","106.96","104.07","2.60M","0.62%"
"Sep 19, 2019","105.67","103.65","106.26","103.26","2.22M","2.61%"
