"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","9.30","9.47","9.49","9.03","776.02K","-0.64%"
"Nov 04, 2019","9.36","9.95","10.24","9.35","1.24M","-5.84%"
"Nov 01, 2019","9.94","9.71","10.07","9.27","1.54M","2.37%"
"Oct 31, 2019","9.71","10.21","10.25","9.50","1.35M","-6.18%"
"Oct 30, 2019","10.35","9.92","10.41","9.26","4.45M","-22.36%"
"Oct 28, 2019","13.33","12.26","13.53","12.25","1.52M","8.73%"
"Oct 25, 2019","12.26","11.16","12.75","11.15","1.44M","13.83%"
"Oct 24, 2019","10.77","11.91","11.94","10.62","842.08K","-9.27%"
"Oct 23, 2019","11.87","11.72","12.00","11.53","471.42K","1.45%"
"Oct 22, 2019","11.70","11.66","11.99","11.32","407.87K","1.92%"
"Oct 21, 2019","11.48","11.28","11.56","11.26","474.38K","2.41%"
"Oct 18, 2019","11.21","11.35","11.61","11.19","441.20K","-1.84%"
"Oct 17, 2019","11.42","11.33","11.50","11.09","564.89K","1.51%"
"Oct 16, 2019","11.25","11.37","11.65","11.23","360.57K","-1.32%"
"Oct 15, 2019","11.40","10.88","11.64","10.80","919.30K","5.17%"
"Oct 14, 2019","10.84","11.05","11.19","10.74","769.04K","-1.81%"
"Oct 11, 2019","11.04","11.50","11.66","10.98","857.31K","-3.24%"
"Oct 10, 2019","11.41","11.16","11.47","10.97","873.65K","2.24%"
"Oct 09, 2019","11.16","11.62","11.62","11.14","515.24K","-3.54%"
"Oct 08, 2019","11.57","12.10","12.17","11.42","988.90K","-4.30%"
"Oct 07, 2019","12.09","11.78","12.16","11.60","595.80K","5.22%"
"Oct 04, 2019","11.49","11.21","11.59","11.08","305.73K","2.77%"
"Oct 03, 2019","11.18","11.23","11.49","11.03","541.03K","-0.36%"
"Oct 02, 2019","11.22","11.19","11.50","11.08","404.69K","-0.80%"
"Oct 01, 2019","11.31","11.62","12.02","11.19","584.89K","-2.08%"
"Sep 30, 2019","11.55","12.07","12.07","11.37","605.77K","-4.55%"
"Sep 27, 2019","12.10","12.03","12.45","11.87","583.07K","0.58%"
"Sep 26, 2019","12.03","12.78","12.85","12.01","634.19K","-5.42%"
"Sep 25, 2019","12.72","12.45","12.88","12.42","688.52K","1.76%"
"Sep 24, 2019","12.50","12.69","12.77","12.31","698.12K","-0.95%"
"Sep 23, 2019","12.62","12.90","13.00","12.14","845.67K","-3.59%"
"Sep 20, 2019","13.09","12.22","13.45","12.09","1.91M","8.54%"
"Sep 19, 2019","12.06","12.30","12.64","11.95","713.37K","0.00%"
"Sep 18, 2019","12.06","12.36","12.40","11.74","547.76K","-2.51%"
"Sep 17, 2019","12.37","12.00","12.39","11.79","563.23K","1.98%"
"Sep 16, 2019","12.13","11.81","12.50","11.70","514.13K","2.88%"
"Sep 13, 2019","11.79","12.35","12.38","11.76","931.12K","-4.07%"
"Sep 12, 2019","12.29","12.59","12.59","11.88","739.12K","-2.69%"
"Sep 11, 2019","12.63","12.71","12.77","12.29","776.06K","-0.16%"
"Sep 10, 2019","12.65","11.94","12.69","11.72","978.92K","6.39%"
"Sep 09, 2019","11.89","11.75","11.92","11.58","473.66K","1.62%"
"Sep 06, 2019","11.70","11.87","12.24","11.50","582.46K","-1.10%"
"Sep 05, 2019","11.83","12.25","12.33","11.72","893.42K","-2.71%"
"Sep 04, 2019","12.16","11.39","12.29","11.39","1.59M","8.19%"
"Sep 03, 2019","11.24","10.89","11.60","10.70","1.33M","2.93%"
"Aug 30, 2019","10.92","10.78","11.17","10.46","738.55K","1.96%"
"Aug 29, 2019","10.71","10.45","10.76","10.36","2.00M","3.38%"
