"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","5.35","5.03","5.39","4.89","5.50M","11.69%"
"May 15, 2020","4.79","4.85","5.04","4.65","7.75M","-1.84%"
"May 14, 2020","4.88","4.44","4.93","4.35","9.88M","6.55%"
"May 13, 2020","4.58","5.02","5.09","4.52","8.64M","-7.29%"
"May 12, 2020","4.94","5.43","5.61","4.94","6.75M","-7.84%"
"May 11, 2020","5.36","5.44","5.59","5.17","6.63M","-2.72%"
"May 08, 2020","5.51","5.67","5.79","5.50","7.10M","-1.25%"
"May 07, 2020","5.58","5.98","6.04","5.47","7.81M","-4.94%"
"May 06, 2020","5.87","6.07","6.15","5.70","8.60M","-2.17%"
"May 05, 2020","6.00","6.32","6.43","5.91","7.30M","-2.44%"
"May 04, 2020","6.15","6.19","6.50","6.01","8.58M","-6.39%"
"Apr 30, 2020","6.57","6.01","6.57","5.83","10.58M","4.95%"
"Apr 29, 2020","6.26","6.57","6.63","6.06","9.52M","-1.88%"
"Apr 28, 2020","6.38","6.08","6.56","5.90","11.53M","8.87%"
"Apr 27, 2020","5.86","6.12","6.24","5.75","8.19M","-0.68%"
"Apr 24, 2020","5.90","6.00","6.08","5.03","10.38M","-4.84%"
"Apr 23, 2020","6.20","6.70","6.88","5.93","9.30M","-3.13%"
"Apr 22, 2020","6.40","5.87","6.45","5.83","7.53M","10.34%"
"Apr 20, 2020","5.80","5.60","5.93","5.44","6.63M","0.00%"
"Apr 17, 2020","5.80","5.68","5.80","5.35","6.03M","6.23%"
"Apr 16, 2020","5.46","5.65","5.84","5.37","10.07M","1.68%"
"Apr 15, 2020","5.37","5.20","5.70","4.95","7.69M","-1.10%"
"Apr 14, 2020","5.43","5.40","5.56","5.35","6.69M","3.43%"
"Apr 13, 2020","5.25","5.11","5.30","4.90","6.38M","0.57%"
"Apr 09, 2020","5.22","4.89","5.22","4.71","10.18M","9.89%"
"Apr 08, 2020","4.75","4.35","4.86","4.23","9.65M","7.95%"
"Apr 07, 2020","4.40","4.38","4.68","4.27","11.18M","9.73%"
"Apr 06, 2020","4.01","4.35","4.35","3.92","9.21M","2.30%"
"Apr 03, 2020","3.92","3.82","4.00","3.47","8.47M","3.16%"
"Apr 02, 2020","3.80","4.24","4.28","3.78","9.96M","-7.09%"
"Apr 01, 2020","4.09","4.29","4.38","3.96","6.63M","-11.09%"
"Mar 31, 2020","4.60","5.10","5.40","4.60","6.37M","-9.80%"
"Mar 30, 2020","5.10","5.80","6.04","5.10","9.16M","-11.30%"
"Mar 27, 2020","5.75","5.26","5.78","5.02","6.50M","2.13%"
"Mar 26, 2020","5.63","5.40","7.04","5.15","13.52M","4.84%"
"Mar 25, 2020","5.37","4.15","5.55","3.97","7.22M","33.25%"
"Mar 24, 2020","4.03","4.20","4.30","3.69","15.56M","7.47%"
