"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","12.95","13.15","13.17","12.85","441.51K","-1.97%"
"Nov 05, 2019","13.21","13.26","13.28","12.96","2.02M","-0.90%"
"Nov 04, 2019","13.33","13.08","13.33","12.99","1.98M","2.85%"
"Nov 01, 2019","12.96","12.55","12.97","12.49","2.52M","4.26%"
"Oct 31, 2019","12.43","13.69","13.98","12.30","3.27M","-8.60%"
"Oct 30, 2019","13.60","14.85","15.24","13.58","3.94M","-8.85%"
"Oct 29, 2019","14.92","13.46","15.00","13.15","7.90M","34.66%"
"Oct 28, 2019","11.08","10.92","11.19","10.91","1.53M","2.31%"
"Oct 25, 2019","10.83","10.38","10.83","10.34","1.24M","4.54%"
"Oct 24, 2019","10.36","10.03","10.37","9.93","797.18K","4.75%"
"Oct 23, 2019","9.89","10.00","10.03","9.83","670.24K","-2.08%"
"Oct 22, 2019","10.10","10.18","10.20","10.08","629.95K","-0.88%"
"Oct 21, 2019","10.19","10.06","10.35","9.95","806.54K","3.03%"
"Oct 18, 2019","9.89","9.79","9.94","9.78","508.42K","0.41%"
"Oct 17, 2019","9.85","9.85","10.03","9.72","489.88K","0.72%"
"Oct 16, 2019","9.78","9.86","9.87","9.72","478.37K","-0.91%"
"Oct 15, 2019","9.87","9.82","9.96","9.75","549.25K","1.33%"
"Oct 14, 2019","9.74","9.77","9.81","9.64","387.33K","-0.20%"
"Oct 11, 2019","9.76","9.79","9.95","9.74","542.59K","1.04%"
"Oct 10, 2019","9.66","9.69","9.82","9.56","541.15K","0.00%"
"Oct 09, 2019","9.66","9.67","9.72","9.56","572.67K","1.05%"
"Oct 08, 2019","9.56","9.71","9.79","9.49","659.88K","-2.05%"
"Oct 07, 2019","9.76","9.92","10.01","9.70","1.12M","-1.21%"
"Oct 04, 2019","9.88","9.55","9.99","9.54","1.24M","3.67%"
"Oct 03, 2019","9.53","9.21","9.57","9.16","1.68M","3.14%"
"Oct 02, 2019","9.24","9.14","9.24","9.01","1.12M","0.43%"
"Oct 01, 2019","9.20","9.18","9.32","9.14","953.06K","1.10%"
"Sep 30, 2019","9.10","8.96","9.13","8.96","1.10M","2.25%"
"Sep 27, 2019","8.90","9.01","9.21","8.79","654.32K","-1.77%"
"Sep 26, 2019","9.06","9.15","9.18","9.02","365.80K","-1.20%"
"Sep 25, 2019","9.17","8.92","9.19","8.92","792.73K","2.46%"
