"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","157.99","158.00","158.86","157.25","292.73K","-0.19%"
"Nov 05, 2019","158.29","156.25","158.80","156.25","730.28K","1.90%"
"Nov 04, 2019","155.34","154.43","155.47","153.29","650.43K","1.60%"
"Nov 01, 2019","152.89","150.65","153.19","150.46","757.94K","1.33%"
"Oct 31, 2019","150.89","151.41","152.00","147.77","737.03K","-0.73%"
"Oct 30, 2019","152.00","152.67","152.75","150.12","876.65K","-1.11%"
"Oct 29, 2019","153.70","151.60","154.51","150.00","639.12K","0.58%"
"Oct 28, 2019","152.81","150.88","153.29","150.70","777.67K","2.25%"
"Oct 25, 2019","149.45","149.61","150.04","147.01","623.96K","-0.12%"
"Oct 24, 2019","149.63","150.48","152.50","147.23","1.26M","4.29%"
"Oct 23, 2019","143.47","141.99","144.52","141.99","791.60K","0.72%"
"Oct 22, 2019","142.45","144.11","144.99","142.29","937.16K","-1.28%"
"Oct 21, 2019","144.30","143.77","145.30","143.56","568.08K","1.62%"
"Oct 18, 2019","142.00","139.87","142.64","139.87","721.79K","1.07%"
"Oct 17, 2019","140.49","140.97","142.18","140.43","663.16K","0.52%"
"Oct 16, 2019","139.77","139.75","141.26","139.63","564.67K","-0.32%"
"Oct 15, 2019","140.22","139.51","141.83","138.50","848.85K","1.01%"
"Oct 14, 2019","138.82","137.19","138.99","136.82","536.77K","0.40%"
"Oct 11, 2019","138.27","137.67","139.79","137.13","904.66K","3.18%"
"Oct 10, 2019","134.01","133.33","135.75","133.08","740.19K","1.38%"
"Oct 09, 2019","132.19","130.99","132.92","130.03","741.65K","2.31%"
"Oct 08, 2019","129.21","132.06","132.38","129.01","1.67M","-4.10%"
"Oct 07, 2019","134.73","135.17","136.52","134.69","727.87K","-1.07%"
"Oct 04, 2019","136.19","135.44","136.62","134.84","1.05M","0.75%"
"Oct 03, 2019","135.17","134.40","135.43","131.29","1.22M","-0.13%"
"Oct 02, 2019","135.34","138.82","138.82","135.14","1.07M","-3.84%"
"Oct 01, 2019","140.74","147.84","147.84","139.91","1.40M","-4.32%"
"Sep 30, 2019","147.10","148.58","148.58","146.26","924.07K","-0.30%"
"Sep 27, 2019","147.54","147.70","148.41","146.80","907.03K","0.97%"
"Sep 26, 2019","146.12","145.17","146.92","144.62","635.36K","0.45%"
"Sep 25, 2019","145.47","144.45","145.89","143.07","825.68K","0.39%"
"Sep 24, 2019","144.90","147.84","148.35","143.43","1.23M","-1.62%"
"Sep 23, 2019","147.29","143.84","147.74","143.27","1.39M","1.04%"
"Sep 20, 2019","145.78","147.56","148.60","145.31","1.56M","-1.03%"
"Sep 19, 2019","147.29","147.34","149.52","146.82","1.22M","-0.17%"
"Sep 18, 2019","147.54","145.09","147.89","144.06","1.25M","0.99%"
"Sep 17, 2019","146.09","146.38","147.25","144.66","845.85K","-0.91%"
"Sep 16, 2019","147.43","146.10","148.19","144.91","1.21M","0.00%"
"Sep 13, 2019","147.43","148.24","149.31","147.11","1.10M","0.72%"
"Sep 12, 2019","146.38","144.51","147.14","143.91","969.68K","0.56%"
"Sep 11, 2019","145.57","144.66","145.74","142.12","1.21M","0.65%"
"Sep 10, 2019","144.63","139.15","144.63","139.03","1.94M","4.90%"
"Sep 09, 2019","137.87","136.40","138.87","135.64","1.41M","2.32%"
"Sep 06, 2019","134.75","133.27","135.30","132.35","1.06M","1.00%"
"Sep 05, 2019","133.41","130.98","134.87","130.84","1.05M","3.20%"
"Sep 04, 2019","129.27","128.88","129.62","128.19","948.81K","1.63%"
"Sep 03, 2019","127.20","127.31","128.74","125.86","1.01M","-1.38%"
"Aug 30, 2019","128.98","129.81","130.03","127.78","668.36K","0.43%"
"Aug 29, 2019","128.43","127.51","129.23","127.51","805.00K","2.05%"
"Aug 28, 2019","125.85","123.98","126.31","123.95","839.48K","0.49%"
"Aug 27, 2019","125.24","127.21","127.58","124.10","1.36M","-0.72%"
"Aug 26, 2019","126.15","126.29","126.66","124.79","1.27M","1.33%"
"Aug 23, 2019","124.49","127.42","129.17","123.82","1.14M","-3.18%"
"Aug 22, 2019","128.58","128.99","129.53","127.60","729.91K","0.49%"
"Aug 21, 2019","127.95","128.04","128.68","127.22","760.60K","1.27%"
"Aug 20, 2019","126.35","126.91","127.97","124.80","698.12K","-1.31%"
"Aug 19, 2019","128.03","128.82","129.16","127.75","1.05M","1.34%"
"Aug 16, 2019","126.34","123.98","127.00","123.98","935.75K","2.92%"
"Aug 15, 2019","122.75","123.52","124.60","121.57","1.35M","0.29%"
"Aug 14, 2019","122.40","125.23","125.95","122.21","1.53M","-4.91%"
"Aug 13, 2019","128.72","125.18","129.71","125.15","2.16M","2.58%"
"Aug 12, 2019","125.48","129.30","129.45","125.18","1.62M","-4.81%"
"Aug 09, 2019","131.82","134.02","134.99","131.70","983.23K","-2.31%"
"Aug 08, 2019","134.94","131.80","135.00","131.68","1.07M","2.97%"
"Aug 07, 2019","131.05","130.72","131.27","127.61","1.40M","-1.67%"
"Aug 06, 2019","133.27","132.56","133.65","130.22","1.31M","2.16%"
"Aug 05, 2019","130.45","132.91","133.56","129.43","1.73M","-3.58%"
"Aug 02, 2019","135.30","139.39","139.53","135.13","1.95M","-3.74%"
"Aug 01, 2019","140.56","144.87","145.59","139.79","1.04M","-3.40%"
"Jul 31, 2019","145.51","148.38","148.76","144.07","795.82K","-2.03%"
"Jul 30, 2019","148.53","148.26","148.70","146.88","533.62K","-0.81%"
"Jul 29, 2019","149.74","149.78","151.28","148.98","803.02K","-0.13%"
"Jul 26, 2019","149.93","147.68","150.33","146.22","1.02M","2.01%"
"Jul 25, 2019","146.97","151.23","151.51","144.89","1.55M","-2.97%"
"Jul 24, 2019","151.47","148.16","151.93","148.16","809.72K","1.60%"
"Jul 23, 2019","149.09","148.71","149.62","148.43","594.82K","0.85%"
"Jul 22, 2019","147.83","148.80","149.03","146.26","738.42K","-0.56%"
"Jul 19, 2019","148.66","150.76","151.22","148.63","711.27K","-0.95%"
"Jul 18, 2019","150.08","147.82","150.64","147.38","697.98K","1.08%"
"Jul 17, 2019","148.47","150.38","150.76","148.07","653.27K","-1.60%"
"Jul 16, 2019","150.89","150.68","151.63","149.97","635.75K","0.40%"
"Jul 15, 2019","150.29","151.94","151.94","149.67","512.48K","-0.56%"
"Jul 12, 2019","151.14","150.47","151.33","149.78","403.38K","0.48%"
"Jul 11, 2019","150.42","149.14","150.61","147.58","573.50K","1.42%"
"Jul 10, 2019","148.32","150.49","151.65","147.99","523.81K","-1.25%"
"Jul 09, 2019","150.20","147.60","150.50","147.32","748.33K","0.85%"
"Jul 08, 2019","148.94","148.86","150.01","148.09","841.20K","-0.79%"
"Jul 05, 2019","150.12","148.31","150.13","147.53","724.24K","1.56%"
"Jul 03, 2019","147.82","147.15","148.25","146.43","633.69K","1.23%"
"Jul 02, 2019","146.02","145.51","146.71","145.01","947.10K","0.19%"
"Jul 01, 2019","145.75","147.56","148.49","144.29","1.59M","0.41%"
