"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","16.550","17.020","17.120","16.550","4.72M","-2.59%"
"Oct 24, 2019","16.990","16.860","17.125","16.720","4.81M","1.49%"
"Oct 23, 2019","16.740","16.340","16.740","16.300","3.58M","2.64%"
"Oct 22, 2019","16.310","16.370","16.680","16.220","4.12M","0.74%"
"Oct 21, 2019","16.190","16.320","16.320","15.840","3.38M","0.37%"
"Oct 18, 2019","16.130","16.390","16.520","16.020","3.62M","-1.59%"
"Oct 17, 2019","16.390","16.060","16.543","16.010","4.69M","2.12%"
"Oct 16, 2019","16.050","15.890","16.080","15.470","4.12M","1.20%"
"Oct 15, 2019","15.860","15.440","16.025","15.343","4.80M","2.65%"
"Oct 14, 2019","15.450","15.220","15.680","14.880","4.13M","1.51%"
"Oct 11, 2019","15.220","15.230","15.450","14.820","4.95M","2.08%"
"Oct 10, 2019","14.910","14.000","15.038","13.940","6.83M","6.96%"
"Oct 09, 2019","13.940","14.150","14.307","13.880","3.56M","-1.48%"
"Oct 08, 2019","14.150","14.370","14.600","14.100","3.52M","-3.02%"
"Oct 07, 2019","14.590","14.370","14.685","13.960","3.93M","1.53%"
"Oct 04, 2019","14.370","14.100","14.440","13.980","7.41M","2.20%"
"Oct 03, 2019","14.060","14.320","14.340","13.940","10.03M","-0.35%"
"Oct 02, 2019","14.110","14.500","14.500","13.870","9.25M","-3.49%"
"Oct 01, 2019","14.620","15.260","15.560","14.402","6.98M","-3.56%"
"Sep 30, 2019","15.160","15.300","15.339","14.790","4.94M","0.07%"
"Sep 27, 2019","15.150","15.540","15.600","15.020","4.52M","-2.76%"
"Sep 26, 2019","15.580","15.950","15.950","15.420","6.05M","-1.95%"
"Sep 25, 2019","15.890","15.890","16.270","15.790","4.01M","-1.43%"
"Sep 24, 2019","16.120","16.670","16.840","15.700","7.67M","-3.18%"
"Sep 23, 2019","16.650","16.850","17.180","16.630","4.47M","-1.13%"
"Sep 20, 2019","16.840","17.020","17.180","16.765","4.88M","-0.59%"
"Sep 19, 2019","16.940","17.030","17.120","16.500","3.51M","0.06%"
"Sep 18, 2019","16.930","17.180","17.240","16.780","3.50M","-1.40%"
"Sep 17, 2019","17.170","17.380","17.553","16.840","4.60M","-0.46%"
"Sep 16, 2019","17.250","16.680","17.270","16.680","4.65M","3.23%"
"Sep 13, 2019","16.710","16.810","16.978","16.466","5.19M","-0.24%"
"Sep 12, 2019","16.750","16.850","17.100","16.650","6.04M","0.12%"
"Sep 11, 2019","16.730","15.980","16.780","15.850","7.41M","2.58%"
"Sep 10, 2019","16.310","15.770","16.355","15.420","6.44M","2.71%"
"Sep 09, 2019","15.880","16.380","16.570","15.810","7.62M","-2.40%"
"Sep 06, 2019","16.270","16.000","16.360","15.260","5.41M","1.69%"
"Sep 05, 2019","16.000","16.160","16.202","15.320","7.18M","-0.87%"
"Sep 04, 2019","16.140","14.900","16.213","14.820","9.68M","9.42%"
"Sep 03, 2019","14.750","15.250","15.468","14.690","8.06M","-1.60%"
"Aug 30, 2019","14.990","15.400","15.480","14.940","5.09M","-2.85%"
"Aug 29, 2019","15.430","15.230","15.560","15.138","4.08M","2.39%"
"Aug 28, 2019","15.070","14.550","15.090","14.290","4.43M","3.43%"
"Aug 27, 2019","14.570","15.300","15.350","14.050","10.11M","-4.21%"
"Aug 26, 2019","15.210","15.320","15.440","14.900","4.39M","0.00%"
"Aug 23, 2019","15.210","15.450","15.610","15.160","5.09M","-2.25%"
"Aug 22, 2019","15.560","16.130","16.210","15.370","7.09M","-3.05%"
"Aug 21, 2019","16.050","15.500","16.225","15.500","8.32M","4.02%"
"Aug 20, 2019","15.430","15.610","15.730","15.060","5.45M","-1.47%"
"Aug 19, 2019","15.660","15.420","15.835","15.200","8.25M","3.37%"
"Aug 16, 2019","15.150","14.630","15.190","14.510","7.24M","4.92%"
"Aug 15, 2019","14.440","14.940","15.140","14.185","7.89M","-2.56%"
"Aug 14, 2019","14.820","14.260","14.970","14.220","9.73M","3.71%"
"Aug 13, 2019","14.290","13.840","14.413","13.800","8.14M","2.88%"
"Aug 12, 2019","13.890","14.780","14.880","13.760","15.46M","-5.96%"
"Aug 09, 2019","14.770","14.640","15.430","14.500","28.44M","-17.07%"
"Aug 08, 2019","17.810","17.010","17.887","16.950","13.22M","5.63%"
"Aug 07, 2019","16.860","16.800","17.000","16.520","4.89M","-1.17%"
"Aug 06, 2019","17.060","17.070","17.230","16.720","5.49M","1.55%"
"Aug 05, 2019","16.800","17.000","17.000","16.370","9.49M","-2.61%"
"Aug 02, 2019","17.250","17.980","17.980","17.070","8.69M","-3.09%"
"Aug 01, 2019","17.800","18.590","18.600","17.760","9.26M","-4.25%"
"Jul 31, 2019","18.590","19.040","20.510","17.250","12.26M","0.81%"
"Jul 30, 2019","18.440","18.200","18.520","17.950","6.15M","1.65%"
"Jul 29, 2019","18.140","18.400","18.460","18.010","5.58M","-0.98%"
"Jul 26, 2019","18.320","18.600","18.790","18.135","5.96M","-0.92%"
"Jul 25, 2019","18.490","18.530","18.770","18.300","6.84M","-0.43%"
"Jul 24, 2019","18.570","18.480","18.660","18.085","8.87M","3.11%"
"Jul 23, 2019","18.010","18.160","18.220","17.600","10.08M","-0.33%"
"Jul 22, 2019","18.070","18.170","18.550","18.000","9.98M","-0.06%"
"Jul 19, 2019","18.080","18.180","18.835","17.950","28.54M","-4.34%"
"Jul 18, 2019","18.900","19.160","20.040","18.660","25.80M","-10.30%"
"Jul 17, 2019","21.070","21.700","21.710","20.920","8.55M","-3.08%"
"Jul 16, 2019","21.740","21.870","21.940","21.520","3.66M","-0.59%"
"Jul 15, 2019","21.870","22.000","22.010","21.460","5.02M","-0.09%"
"Jul 12, 2019","21.890","22.580","22.600","21.790","6.73M","-2.71%"
"Jul 11, 2019","22.500","22.080","22.630","21.650","6.23M","2.37%"
"Jul 10, 2019","21.980","22.220","22.300","21.360","9.93M","-0.72%"
"Jul 09, 2019","22.140","23.160","23.169","21.550","18.32M","-4.40%"
"Jul 08, 2019","23.160","23.050","23.700","22.750","12.21M","0.00%"
"Jul 05, 2019","23.160","22.650","23.910","22.610","19.85M","1.31%"
"Jul 03, 2019","22.860","22.320","23.790","22.130","24.20M","2.19%"
"Jul 02, 2019","22.370","20.790","22.450","20.200","42.11M","16.27%"
"Jul 01, 2019","19.240","19.770","19.860","19.165","4.67M","-0.77%"
"Jun 28, 2019","19.390","18.800","19.430","18.730","4.41M","3.58%"
"Jun 27, 2019","18.720","18.280","18.750","18.181","3.27M","2.35%"
"Jun 26, 2019","18.290","18.430","18.450","17.850","4.01M","0.66%"
"Jun 25, 2019","18.170","18.440","18.780","18.080","4.17M","-1.36%"
"Jun 24, 2019","18.420","19.170","19.170","18.200","5.69M","-3.10%"
"Jun 21, 2019","19.010","19.280","19.579","18.930","3.99M","-2.01%"
"Jun 20, 2019","19.400","19.520","19.950","19.300","4.58M","-0.10%"
