"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","4.030","4.070","4.180","4.010","185.58K","-3.47%"
"Nov 05, 2019","4.175","4.100","4.310","4.060","546.88K","3.86%"
"Nov 04, 2019","4.020","3.660","4.030","3.633","646.69K","10.74%"
"Nov 01, 2019","3.630","3.330","3.640","3.292","403.83K","9.50%"
"Oct 31, 2019","3.315","3.430","3.450","3.280","483.57K","-3.07%"
"Oct 30, 2019","3.420","3.700","3.730","3.410","692.57K","-7.57%"
"Oct 29, 2019","3.700","3.690","3.780","3.610","275.99K","0.27%"
"Oct 28, 2019","3.690","3.680","3.770","3.670","386.11K","0.00%"
"Oct 25, 2019","3.690","3.700","3.805","3.652","451.46K","-0.54%"
"Oct 24, 2019","3.710","3.660","3.770","3.540","542.03K","-0.54%"
"Oct 23, 2019","3.730","3.660","3.780","3.660","332.03K","0.54%"
"Oct 22, 2019","3.710","3.790","3.835","3.660","753.75K","-2.37%"
"Oct 21, 2019","3.800","3.580","3.860","3.580","696.62K","5.26%"
"Oct 18, 2019","3.610","3.770","3.836","3.580","549.50K","-3.99%"
"Oct 17, 2019","3.760","3.480","3.790","3.420","655.50K","8.67%"
"Oct 16, 2019","3.460","3.440","3.545","3.350","404.60K","0.00%"
"Oct 15, 2019","3.460","3.510","3.625","3.450","533.46K","-1.98%"
"Oct 14, 2019","3.530","3.580","3.640","3.430","554.60K","-3.29%"
"Oct 11, 2019","3.650","3.440","3.670","3.250","1.48M","5.49%"
"Oct 10, 2019","3.460","3.770","3.820","3.386","884.48K","-3.89%"
"Oct 09, 2019","3.600","3.990","4.010","3.580","1.60M","-10.00%"
"Oct 08, 2019","4.000","4.280","4.280","3.990","775.16K","-7.19%"
"Oct 07, 2019","4.310","4.350","4.450","4.235","792.79K","-2.05%"
"Oct 04, 2019","4.400","4.280","4.455","4.210","618.82K","1.15%"
"Oct 03, 2019","4.350","4.390","4.390","3.790","2.06M","-4.81%"
"Oct 02, 2019","4.570","4.680","4.690","4.440","783.30K","-2.56%"
"Oct 01, 2019","4.690","4.690","5.260","4.585","1.98M","-1.47%"
"Sep 30, 2019","4.760","4.710","4.780","4.475","730.59K","0.00%"
"Sep 27, 2019","4.760","4.740","4.990","4.620","854.61K","0.42%"
"Sep 26, 2019","4.740","4.770","4.860","4.650","441.69K","-1.04%"
"Sep 25, 2019","4.790","4.490","4.855","4.470","670.77K","5.27%"
"Sep 24, 2019","4.550","4.510","4.570","4.360","1.12M","0.00%"
"Sep 23, 2019","4.550","4.400","4.575","4.300","1.31M","3.64%"
"Sep 20, 2019","4.390","4.360","4.420","4.180","1.15M","0.23%"
"Sep 19, 2019","4.380","4.500","4.500","4.320","1.03M","-0.68%"
"Sep 18, 2019","4.410","4.510","4.520","4.250","764.32K","-3.29%"
"Sep 17, 2019","4.560","4.790","4.790","4.280","685.17K","-4.80%"
"Sep 16, 2019","4.790","4.850","4.859","4.560","473.30K","-0.21%"
"Sep 13, 2019","4.800","4.730","4.860","4.630","588.07K","1.69%"
"Sep 12, 2019","4.720","4.820","4.960","4.600","690.34K","-1.87%"
"Sep 11, 2019","4.810","4.590","4.970","4.500","1.47M","5.48%"
"Sep 10, 2019","4.560","4.260","4.600","4.120","1.52M","6.54%"
"Sep 09, 2019","4.280","4.150","4.310","4.010","834.11K","3.13%"
"Sep 06, 2019","4.150","4.150","4.200","4.000","631.74K","1.22%"
"Sep 05, 2019","4.100","4.000","4.200","3.950","1.15M","3.27%"
"Sep 04, 2019","3.970","3.820","4.000","3.550","953.45K","4.47%"
"Sep 03, 2019","3.800","3.850","3.870","3.660","409.05K","0.53%"
"Aug 30, 2019","3.780","3.780","3.950","3.650","650.04K","1.34%"
"Aug 29, 2019","3.730","3.690","3.756","3.550","555.37K","1.63%"
"Aug 28, 2019","3.670","3.810","3.870","3.510","636.41K","-1.08%"
"Aug 27, 2019","3.710","3.910","3.940","3.650","740.90K","-6.55%"
"Aug 26, 2019","3.970","4.100","4.109","3.790","627.54K","-1.98%"
"Aug 23, 2019","4.050","4.010","4.130","3.960","748.81K","-0.25%"
"Aug 22, 2019","4.060","4.320","4.390","3.990","885.48K","-6.02%"
"Aug 21, 2019","4.320","4.250","4.500","4.250","728.11K","2.37%"
"Aug 20, 2019","4.220","4.400","4.400","4.140","914.96K","-4.31%"
"Aug 19, 2019","4.410","3.850","4.450","3.760","1.53M","20.16%"
"Aug 16, 2019","3.670","3.470","3.680","3.459","573.93K","6.69%"
"Aug 15, 2019","3.440","3.590","3.615","3.370","688.72K","-4.18%"
"Aug 14, 2019","3.590","3.790","3.835","3.540","887.24K","-7.24%"
