"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","16.27","16.37","16.43","16.22","1.72M","-0.43%"
"Oct 24, 2019","16.34","16.31","16.41","16.31","2.95M","0.49%"
"Oct 23, 2019","16.26","16.07","16.29","16.00","1.86M","0.81%"
"Oct 22, 2019","16.13","16.25","16.45","16.04","3.18M","-0.62%"
"Oct 21, 2019","16.23","15.98","16.27","15.95","2.78M","1.44%"
"Oct 18, 2019","16.00","15.89","16.08","15.88","2.84M","0.57%"
"Oct 17, 2019","15.91","15.92","16.00","15.79","8.35M","1.08%"
"Oct 16, 2019","15.74","15.12","15.91","15.12","7.10M","3.83%"
"Oct 15, 2019","15.16","15.25","15.34","15.11","4.93M","-0.59%"
"Oct 14, 2019","15.25","15.36","15.43","15.25","2.74M","-0.91%"
"Oct 11, 2019","15.39","15.37","15.51","15.29","2.77M","1.18%"
"Oct 10, 2019","15.21","14.91","15.36","14.89","6.05M","2.08%"
"Oct 09, 2019","14.90","14.97","14.97","14.80","2.04M","0.81%"
"Oct 08, 2019","14.78","15.00","15.04","14.76","2.57M","-1.14%"
"Oct 07, 2019","14.95","15.15","15.29","14.95","1.36M","-1.84%"
"Oct 04, 2019","15.23","14.70","15.25","14.70","2.01M","3.75%"
"Oct 03, 2019","14.68","14.66","14.68","14.44","1.13M","0.89%"
"Oct 02, 2019","14.55","14.87","14.87","14.49","1.29M","-2.09%"
"Oct 01, 2019","14.86","14.75","14.91","14.68","1.76M","0.00%"
"Sep 30, 2019","14.86","14.71","14.95","14.66","2.10M","1.36%"
"Sep 27, 2019","14.66","14.83","14.88","14.65","1.52M","-1.08%"
"Sep 26, 2019","14.82","14.83","14.92","14.70","1.55M","0.07%"
"Sep 25, 2019","14.81","14.52","14.83","14.47","2.15M","0.75%"
"Sep 24, 2019","14.70","15.02","15.08","14.68","1.29M","-1.80%"
"Sep 23, 2019","14.97","15.09","15.24","14.96","1.72M","-1.25%"
"Sep 20, 2019","15.16","15.12","15.23","15.03","3.03M","0.40%"
"Sep 19, 2019","15.10","15.00","15.18","14.90","1.38M","0.67%"
"Sep 18, 2019","15.00","15.03","15.08","14.78","1.41M","-0.73%"
"Sep 17, 2019","15.11","14.46","15.14","14.40","2.11M","3.71%"
"Sep 16, 2019","14.57","14.63","14.80","14.46","619.65K","-1.02%"
"Sep 13, 2019","14.72","14.63","14.74","14.43","1.28M","1.59%"
"Sep 12, 2019","14.49","14.55","14.64","14.46","1.33M","-0.21%"
"Sep 11, 2019","14.52","14.55","14.55","14.34","882.94K","0.69%"
"Sep 10, 2019","14.42","14.46","14.55","14.24","1.33M","-0.76%"
"Sep 09, 2019","14.53","14.63","14.76","14.47","1.74M","0.00%"
"Sep 06, 2019","14.53","14.59","14.74","14.21","1.50M","0.21%"
"Sep 05, 2019","14.50","14.79","14.89","14.42","1.68M","-0.62%"
"Sep 04, 2019","14.59","14.52","14.69","14.44","2.73M","1.81%"
"Sep 03, 2019","14.33","14.39","14.50","14.24","2.16M","-1.98%"
"Aug 30, 2019","14.62","14.17","14.64","14.14","4.16M","2.89%"
"Aug 29, 2019","14.21","13.90","14.31","13.80","1.97M","2.60%"
"Aug 28, 2019","13.85","13.64","13.97","13.61","3.63M","0.65%"
"Aug 27, 2019","13.76","13.36","13.79","13.35","3.83M","3.38%"
"Aug 26, 2019","13.31","13.21","13.34","13.15","1.00M","1.06%"
"Aug 23, 2019","13.17","13.31","13.48","13.17","1.83M","-1.64%"
"Aug 22, 2019","13.39","13.41","13.48","13.30","1.48M","0.00%"
"Aug 21, 2019","13.39","13.30","13.46","13.25","1.38M","1.52%"
"Aug 20, 2019","13.19","13.17","13.34","13.07","1.42M","0.46%"
"Aug 19, 2019","13.13","13.35","13.44","13.04","1.11M","-1.43%"
"Aug 16, 2019","13.32","13.19","13.37","13.13","1.91M","1.99%"
"Aug 15, 2019","13.06","13.34","13.34","12.93","2.48M","-1.14%"
"Aug 14, 2019","13.21","13.46","13.56","13.17","2.31M","-3.72%"
"Aug 13, 2019","13.72","13.60","13.82","13.48","2.29M","0.88%"
"Aug 12, 2019","13.60","13.90","13.92","13.55","1.00M","-3.55%"
"Aug 09, 2019","14.10","14.34","14.35","13.94","1.78M","-1.47%"
"Aug 08, 2019","14.31","14.04","14.42","14.03","4.52M","1.78%"
"Aug 07, 2019","14.06","13.53","14.13","13.46","5.53M","2.11%"
"Aug 06, 2019","13.77","13.43","13.77","13.38","4.04M","3.38%"
"Aug 05, 2019","13.32","13.46","13.47","13.09","2.52M","-2.99%"
"Aug 02, 2019","13.73","13.84","13.84","13.60","2.10M","-1.36%"
"Aug 01, 2019","13.92","14.00","14.25","13.88","2.78M","-0.50%"
"Jul 31, 2019","13.99","14.38","14.39","13.90","3.88M","-2.98%"
"Jul 30, 2019","14.42","14.52","14.58","14.35","1.58M","-0.48%"
"Jul 29, 2019","14.49","14.11","14.58","14.11","1.52M","2.26%"
"Jul 26, 2019","14.17","14.39","14.50","14.09","2.33M","-0.49%"
"Jul 25, 2019","14.24","14.49","14.59","14.24","3.00M","-1.45%"
"Jul 24, 2019","14.45","14.68","14.75","14.41","3.19M","-0.89%"
"Jul 23, 2019","14.58","14.83","14.89","14.52","3.63M","-1.49%"
"Jul 22, 2019","14.80","14.93","15.01","14.70","1.95M","-0.87%"
"Jul 19, 2019","14.93","15.06","15.11","14.88","2.79M","-1.06%"
"Jul 18, 2019","15.09","15.39","15.42","14.99","4.00M","-1.95%"
"Jul 17, 2019","15.39","14.95","15.53","14.95","2.64M","3.57%"
"Jul 16, 2019","14.86","15.03","15.06","14.76","1.76M","-0.87%"
"Jul 15, 2019","14.99","14.66","15.01","14.63","2.76M","2.53%"
"Jul 12, 2019","14.62","14.69","14.76","14.49","3.46M","-0.48%"
"Jul 11, 2019","14.69","14.64","14.74","14.41","1.77M","-0.14%"
"Jul 10, 2019","14.71","14.73","14.83","14.46","1.69M","0.27%"
"Jul 09, 2019","14.67","15.03","15.19","14.45","2.79M","-2.91%"
