"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","16.74","17.46","17.54","16.61","1.33M","-4.01%"
"Oct 29, 2019","17.44","17.35","17.55","17.12","1.63M","0.58%"
"Oct 28, 2019","17.34","16.92","17.36","16.62","3.83M","2.91%"
"Oct 25, 2019","16.85","16.05","16.86","16.04","1.80M","3.50%"
"Oct 24, 2019","16.28","16.26","16.34","15.72","1.17M","0.18%"
"Oct 23, 2019","16.25","16.47","16.47","16.12","1.19M","-0.55%"
"Oct 22, 2019","16.34","16.17","16.43","15.86","1.55M","1.18%"
"Oct 21, 2019","16.15","16.15","16.59","16.12","2.00M","1.44%"
"Oct 18, 2019","15.92","15.53","16.02","15.49","2.29M","-1.30%"
"Oct 17, 2019","16.13","15.86","16.14","15.78","1.51M","2.35%"
"Oct 16, 2019","15.76","15.30","15.87","15.29","2.19M","2.87%"
"Oct 15, 2019","15.32","15.22","15.66","15.02","1.87M","1.06%"
"Oct 14, 2019","15.16","15.12","15.27","14.70","2.09M","-0.39%"
"Oct 11, 2019","15.22","14.96","15.56","14.96","3.04M","4.18%"
"Oct 10, 2019","14.61","14.56","15.02","14.54","2.06M","0.41%"
"Oct 09, 2019","14.55","14.13","14.76","13.98","3.52M","3.41%"
"Oct 08, 2019","14.07","14.10","14.23","13.88","2.61M","-1.68%"
"Oct 07, 2019","14.31","14.39","14.52","14.18","2.05M","-0.42%"
"Oct 04, 2019","14.37","14.76","14.80","14.31","1.61M","-2.38%"
"Oct 03, 2019","14.72","14.42","14.76","14.01","2.43M","1.45%"
"Oct 02, 2019","14.51","14.96","15.00","14.50","2.06M","-4.10%"
"Oct 01, 2019","15.13","15.72","15.92","15.11","2.05M","-3.01%"
"Sep 30, 2019","15.60","15.52","15.72","15.26","2.71M","0.71%"
"Sep 27, 2019","15.49","15.38","15.81","15.23","2.12M","0.72%"
"Sep 26, 2019","15.38","15.61","15.76","15.17","1.45M","-2.10%"
"Sep 25, 2019","15.71","15.50","15.92","15.39","1.77M","2.15%"
"Sep 24, 2019","15.38","16.09","16.18","15.36","2.34M","-3.27%"
"Sep 23, 2019","15.90","15.65","16.02","15.48","1.72M","1.15%"
"Sep 20, 2019","15.72","16.04","16.22","15.71","2.71M","-1.69%"
"Sep 19, 2019","15.99","16.20","16.23","15.81","1.79M","-0.93%"
"Sep 18, 2019","16.14","16.17","16.19","15.79","2.20M","-0.62%"
"Sep 17, 2019","16.24","16.15","16.41","15.69","1.90M","0.37%"
"Sep 16, 2019","16.18","17.39","17.44","16.08","4.22M","-8.64%"
"Sep 13, 2019","17.71","16.92","17.79","16.90","2.83M","3.87%"
"Sep 12, 2019","17.05","16.86","17.32","16.51","2.33M","-0.64%"
"Sep 11, 2019","17.16","16.60","17.30","16.10","3.18M","3.44%"
"Sep 10, 2019","16.59","16.02","16.60","15.95","2.56M","2.60%"
"Sep 09, 2019","16.17","14.80","16.23","14.76","4.13M","10.38%"
"Sep 06, 2019","14.65","15.48","15.59","14.58","2.92M","-4.99%"
"Sep 05, 2019","15.42","14.75","15.56","14.73","3.93M","4.83%"
"Sep 04, 2019","14.71","13.86","14.82","13.68","4.21M","6.29%"
"Sep 03, 2019","13.84","14.38","14.39","13.58","7.06M","-5.34%"
"Aug 30, 2019","14.62","14.71","15.49","14.55","5.85M","1.18%"
"Aug 29, 2019","14.45","14.71","15.48","14.18","14.18M","-15.10%"
"Aug 28, 2019","17.02","16.55","17.21","16.45","2.63M","2.72%"
"Aug 27, 2019","16.57","16.99","17.01","16.45","1.92M","-1.78%"
"Aug 26, 2019","16.87","16.52","16.88","16.42","1.81M","2.68%"
"Aug 23, 2019","16.43","16.71","16.93","16.18","2.94M","-3.35%"
"Aug 22, 2019","17.00","16.61","17.04","16.54","3.12M","2.47%"
"Aug 21, 2019","16.59","15.95","16.68","15.85","3.16M","5.94%"
"Aug 20, 2019","15.66","15.60","15.77","15.21","3.11M","-0.82%"
"Aug 19, 2019","15.79","15.90","16.14","15.56","2.19M","1.02%"
"Aug 16, 2019","15.63","15.30","15.82","15.28","2.81M","3.03%"
"Aug 15, 2019","15.17","15.67","15.76","15.00","2.27M","-2.82%"
"Aug 14, 2019","15.61","16.11","16.11","15.48","3.06M","-6.69%"
"Aug 13, 2019","16.73","16.23","17.88","15.98","4.19M","2.95%"
"Aug 12, 2019","16.25","16.44","16.49","15.98","1.99M","-1.93%"
"Aug 09, 2019","16.57","17.42","17.47","16.45","2.09M","-5.42%"
"Aug 08, 2019","17.52","16.99","17.54","16.95","2.70M","3.18%"
"Aug 07, 2019","16.98","16.74","17.19","16.58","1.78M","-0.29%"
"Aug 06, 2019","17.03","16.74","17.04","16.33","2.89M","1.31%"
"Aug 05, 2019","16.81","16.98","17.20","16.03","4.12M","-4.11%"
"Aug 02, 2019","17.53","16.91","17.99","16.58","3.05M","4.28%"
"Aug 01, 2019","16.81","18.95","19.13","16.55","4.51M","-11.20%"
"Jul 31, 2019","18.93","18.73","19.18","18.55","1.94M","0.80%"
"Jul 30, 2019","18.78","18.77","18.83","18.45","1.68M","-0.42%"
"Jul 29, 2019","18.86","18.20","18.90","18.06","1.79M","4.03%"
"Jul 26, 2019","18.13","17.95","18.24","17.74","1.41M","1.23%"
