"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","218.86","217.85","219.36","216.82","249.22K","0.41%"
"Nov 05, 2019","217.96","219.74","220.33","217.54","555.42K","0.23%"
"Nov 04, 2019","217.47","221.61","222.72","217.00","563.37K","-1.15%"
"Nov 01, 2019","220.00","222.38","225.12","219.49","792.70K","-0.07%"
"Oct 31, 2019","220.15","224.34","225.03","219.65","417.57K","-2.24%"
"Oct 30, 2019","225.19","223.08","225.42","221.13","274.61K","1.30%"
"Oct 29, 2019","222.30","222.43","225.55","222.00","294.79K","-0.59%"
"Oct 28, 2019","223.63","221.43","224.46","220.31","338.25K","1.53%"
"Oct 25, 2019","220.25","221.12","223.22","219.94","298.28K","-0.57%"
"Oct 24, 2019","221.52","217.85","221.80","217.00","370.08K","2.52%"
"Oct 23, 2019","216.08","215.43","218.12","213.67","358.12K","0.82%"
"Oct 22, 2019","214.32","220.09","220.92","214.19","542.41K","-2.04%"
"Oct 21, 2019","218.78","219.24","220.91","218.01","304.79K","0.16%"
"Oct 18, 2019","218.43","220.21","222.73","216.10","458.87K","-1.10%"
"Oct 17, 2019","220.87","224.03","224.59","220.64","361.83K","-0.59%"
"Oct 16, 2019","222.18","226.00","226.00","221.46","426.11K","-2.05%"
"Oct 15, 2019","226.82","225.80","229.20","225.22","275.62K","0.69%"
"Oct 14, 2019","225.26","223.41","225.79","223.17","258.50K","0.49%"
"Oct 11, 2019","224.16","224.13","227.68","222.32","337.67K","1.58%"
"Oct 10, 2019","220.67","219.50","222.12","219.44","260.14K","0.08%"
"Oct 09, 2019","220.49","219.59","221.29","219.16","295.04K","1.78%"
"Oct 08, 2019","216.63","221.10","222.41","216.52","299.22K","-2.91%"
"Oct 07, 2019","223.12","224.34","224.89","222.49","330.90K","-0.67%"
"Oct 04, 2019","224.63","220.66","224.99","220.49","326.91K","1.99%"
"Oct 03, 2019","220.24","214.81","220.38","213.18","381.66K","1.94%"
"Oct 02, 2019","216.04","215.30","216.39","211.66","344.71K","-0.32%"
"Oct 01, 2019","216.73","221.83","223.98","216.51","528.80K","-2.09%"
"Sep 30, 2019","221.36","217.19","221.78","217.19","386.11K","1.97%"
"Sep 27, 2019","217.09","220.23","220.34","215.06","518.18K","-1.36%"
"Sep 26, 2019","220.08","216.20","220.72","215.94","373.39K","2.06%"
"Sep 25, 2019","215.64","213.16","216.17","211.46","410.31K","0.83%"
"Sep 24, 2019","213.86","217.68","219.44","213.00","369.79K","-1.32%"
"Sep 23, 2019","216.73","215.26","217.58","214.36","283.93K","0.07%"
"Sep 20, 2019","216.57","219.58","220.46","215.30","594.15K","-1.13%"
"Sep 19, 2019","219.05","218.53","220.82","216.80","411.05K","0.67%"
"Sep 18, 2019","217.59","215.62","217.87","214.25","593.50K","0.68%"
"Sep 17, 2019","216.13","213.03","216.78","212.63","486.36K","1.89%"
"Sep 16, 2019","212.13","210.46","216.00","210.45","453.29K","0.00%"
"Sep 13, 2019","212.13","216.99","217.86","211.16","536.31K","0.50%"
"Sep 12, 2019","211.08","216.69","217.88","208.98","667.81K","-1.64%"
"Sep 11, 2019","214.59","211.15","215.03","210.79","591.80K","2.00%"
"Sep 10, 2019","210.38","214.11","214.11","209.09","667.03K","-1.96%"
"Sep 09, 2019","214.58","218.93","219.03","211.62","772.88K","-1.38%"
"Sep 06, 2019","217.59","218.24","219.86","216.64","384.61K","-0.23%"
"Sep 05, 2019","218.09","215.18","219.40","213.70","669.84K","2.64%"
"Sep 04, 2019","212.49","207.63","212.51","207.63","403.71K","3.15%"
"Sep 03, 2019","206.01","206.53","208.80","205.33","533.12K","-0.27%"
"Aug 30, 2019","206.56","210.92","210.94","204.13","562.05K","-1.25%"
"Aug 29, 2019","209.18","207.63","210.18","206.52","354.85K","2.47%"
"Aug 28, 2019","204.14","209.35","209.35","203.27","902.20K","-3.27%"
"Aug 27, 2019","211.04","213.57","214.27","208.56","646.59K","-0.36%"
"Aug 26, 2019","211.80","212.85","213.71","210.70","420.22K","0.52%"
"Aug 23, 2019","210.71","215.71","218.19","210.08","624.20K","-2.94%"
"Aug 22, 2019","217.10","218.71","219.59","215.48","390.90K","-0.43%"
"Aug 21, 2019","218.04","215.40","218.17","213.42","330.82K","2.28%"
"Aug 20, 2019","213.18","212.90","214.84","210.97","454.31K","0.09%"
"Aug 19, 2019","212.99","212.20","213.84","210.76","419.53K","1.63%"
"Aug 16, 2019","209.57","206.12","210.10","205.21","433.46K","2.67%"
"Aug 15, 2019","204.12","205.67","206.06","201.95","519.32K","-0.46%"
"Aug 14, 2019","205.06","209.93","210.97","204.43","561.72K","-3.92%"
"Aug 13, 2019","213.42","207.17","213.54","206.96","446.67K","3.08%"
"Aug 12, 2019","207.04","207.43","209.30","205.14","410.40K","-0.59%"
"Aug 09, 2019","208.27","210.15","213.27","206.35","539.90K","-1.45%"
"Aug 08, 2019","211.33","203.43","211.82","203.43","546.05K","4.68%"
"Aug 07, 2019","201.89","195.89","202.97","195.74","800.06K","1.79%"
"Aug 06, 2019","198.34","210.00","210.00","195.39","1.13M","4.31%"
"Aug 05, 2019","190.15","190.59","193.04","186.81","1.00M","-2.66%"
"Aug 02, 2019","195.35","199.46","200.26","193.95","579.80K","-2.91%"
"Aug 01, 2019","201.21","203.32","206.45","200.28","472.80K","-0.94%"
"Jul 31, 2019","203.12","208.35","208.35","200.81","358.55K","-2.25%"
"Jul 30, 2019","207.80","208.52","210.04","207.13","275.72K","-1.36%"
"Jul 29, 2019","210.66","213.59","214.97","207.96","247.30K","-1.17%"
"Jul 26, 2019","213.15","214.22","215.03","212.95","222.77K","-0.04%"
"Jul 25, 2019","213.24","214.07","215.03","212.90","368.57K","-0.80%"
"Jul 24, 2019","214.95","213.19","215.39","212.12","404.40K","0.80%"
"Jul 23, 2019","213.24","212.33","213.88","209.63","304.92K","0.82%"
"Jul 22, 2019","211.50","210.13","212.71","209.47","392.88K","1.63%"
"Jul 19, 2019","208.10","209.64","211.11","207.97","417.98K","0.26%"
"Jul 18, 2019","207.56","208.89","209.68","206.38","576.11K","-1.02%"
