"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","276.02","273.49","276.78","272.61","721.30K","1.11%"
"Nov 05, 2019","273.00","273.14","275.73","271.70","1.40M","0.47%"
"Nov 04, 2019","271.72","272.40","273.52","266.53","1.18M","0.36%"
"Nov 01, 2019","270.75","269.32","275.71","268.69","1.43M","0.62%"
"Oct 31, 2019","269.08","272.46","275.23","266.63","1.88M","-1.60%"
"Oct 30, 2019","273.46","271.79","274.19","270.50","962.80K","0.30%"
"Oct 29, 2019","272.64","266.68","275.69","266.32","1.54M","1.86%"
"Oct 28, 2019","267.67","264.60","271.09","263.01","1.60M","1.75%"
"Oct 25, 2019","263.07","258.91","263.42","258.10","1.37M","1.38%"
"Oct 24, 2019","259.49","264.79","265.60","257.35","1.58M","-1.53%"
"Oct 23, 2019","263.51","252.68","272.96","251.63","2.75M","1.25%"
"Oct 22, 2019","260.25","253.16","264.96","253.16","2.88M","2.84%"
"Oct 21, 2019","253.07","250.93","254.30","249.49","2.44M","1.47%"
"Oct 18, 2019","249.40","248.90","250.36","246.20","1.53M","0.06%"
"Oct 17, 2019","249.25","245.98","250.08","245.22","1.43M","1.73%"
"Oct 16, 2019","245.02","247.13","248.52","244.34","1.75M","-1.57%"
"Oct 15, 2019","248.94","240.73","251.74","240.51","2.86M","6.01%"
"Oct 14, 2019","234.82","237.61","238.98","234.69","1.25M","-1.15%"
"Oct 11, 2019","237.55","239.81","244.92","236.97","1.57M","0.13%"
"Oct 10, 2019","237.23","237.40","239.64","235.68","1.15M","-0.43%"
"Oct 09, 2019","238.25","237.60","238.67","236.10","951.49K","1.16%"
"Oct 08, 2019","235.52","239.07","239.94","234.91","1.58M","-2.29%"
"Oct 07, 2019","241.03","241.75","242.51","240.42","1.25M","-0.31%"
"Oct 04, 2019","241.79","238.72","241.80","238.67","921.44K","1.49%"
"Oct 03, 2019","238.23","237.28","239.49","235.90","1.38M","0.14%"
"Oct 02, 2019","237.90","237.66","241.93","236.37","1.28M","-0.23%"
"Oct 01, 2019","238.44","241.35","241.44","235.12","1.70M","-0.69%"
"Sep 30, 2019","240.10","237.22","242.37","236.03","1.50M","1.01%"
"Sep 27, 2019","237.69","240.27","241.47","237.10","1.15M","-0.46%"
"Sep 26, 2019","238.80","243.79","244.77","235.45","2.45M","-2.13%"
"Sep 25, 2019","244.00","247.69","250.47","243.97","1.57M","-1.69%"
"Sep 24, 2019","248.19","252.62","252.97","246.17","1.91M","-1.28%"
"Sep 23, 2019","251.40","250.85","252.43","249.35","1.32M","-0.27%"
"Sep 20, 2019","252.09","255.58","256.14","251.55","2.20M","-1.32%"
"Sep 19, 2019","255.45","252.58","257.23","251.00","1.84M","1.45%"
"Sep 18, 2019","251.79","255.90","259.71","251.39","2.00M","-2.14%"
"Sep 17, 2019","257.29","258.49","259.26","255.82","1.22M","-0.50%"
"Sep 16, 2019","258.58","252.50","260.28","252.46","1.75M","2.17%"
"Sep 13, 2019","253.08","250.55","256.58","249.01","2.05M","1.98%"
"Sep 12, 2019","248.16","251.47","253.28","248.02","1.83M","-0.66%"
"Sep 11, 2019","249.81","253.00","254.50","248.39","1.38M","-1.10%"
"Sep 10, 2019","252.59","251.08","254.21","248.20","2.22M","0.85%"
"Sep 09, 2019","250.45","250.81","252.23","247.61","1.30M","0.43%"
"Sep 06, 2019","249.38","252.88","255.97","248.69","2.24M","-0.73%"
"Sep 05, 2019","251.22","254.40","255.37","249.22","2.88M","-1.18%"
"Sep 04, 2019","254.23","260.53","261.96","253.99","1.29M","-1.50%"
"Sep 03, 2019","258.10","259.81","260.50","256.31","1.04M","-1.31%"
"Aug 30, 2019","261.52","260.99","263.24","260.51","1.16M","0.67%"
"Aug 29, 2019","259.79","256.33","260.35","254.67","1.50M","2.36%"
"Aug 28, 2019","253.81","250.85","256.87","250.19","1.36M","1.00%"
"Aug 27, 2019","251.30","261.12","261.81","251.01","2.05M","-3.54%"
"Aug 26, 2019","260.51","262.36","264.15","259.84","1.24M","0.05%"
"Aug 23, 2019","260.38","261.35","264.24","259.29","1.38M","-0.26%"
"Aug 22, 2019","261.06","268.26","269.02","260.82","1.52M","-2.55%"
"Aug 21, 2019","267.88","268.21","269.39","266.50","981.11K","0.49%"
"Aug 20, 2019","266.57","271.79","272.80","266.33","1.45M","-2.50%"
"Aug 19, 2019","273.41","278.00","278.81","273.08","1.39M","-0.77%"
"Aug 16, 2019","275.54","276.87","278.26","275.05","776.36K","0.52%"
"Aug 15, 2019","274.11","273.31","275.59","270.96","1.19M","0.44%"
"Aug 14, 2019","272.90","283.39","284.27","272.53","1.49M","-4.88%"
"Aug 13, 2019","286.90","281.11","288.98","281.11","1.19M","1.74%"
"Aug 12, 2019","282.00","285.50","286.62","280.55","1.05M","-1.86%"
"Aug 09, 2019","287.33","288.12","289.94","285.20","1.08M","-0.46%"
"Aug 08, 2019","288.65","287.11","289.63","285.75","963.95K","0.75%"
"Aug 07, 2019","286.50","287.34","288.40","280.42","1.27M","-1.56%"
