"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","194.05","192.93","194.69","192.59","569.05K","0.48%"
"Nov 05, 2019","193.13","194.89","195.66","192.16","1.14M","-0.78%"
"Nov 04, 2019","194.65","197.02","197.24","194.42","789.67K","-0.61%"
"Nov 01, 2019","195.85","194.50","196.45","193.78","804.67K","1.39%"
"Oct 31, 2019","193.16","193.01","195.84","191.67","806.45K","-0.77%"
"Oct 30, 2019","194.65","189.22","194.83","187.58","803.36K","3.22%"
"Oct 29, 2019","188.57","187.97","192.25","187.60","2.50M","0.42%"
"Oct 28, 2019","187.79","189.44","189.98","187.65","821.81K","-0.46%"
"Oct 25, 2019","188.65","193.95","193.95","188.07","1.39M","-1.41%"
"Oct 24, 2019","191.34","191.73","192.06","190.13","1.29M","-0.05%"
"Oct 23, 2019","191.44","193.55","194.39","190.25","856.00K","-1.02%"
"Oct 22, 2019","193.42","194.55","196.75","190.90","719.45K","-0.83%"
"Oct 21, 2019","195.03","194.14","195.06","192.94","497.92K","1.10%"
"Oct 18, 2019","192.91","193.75","193.98","192.49","873.82K","-0.28%"
"Oct 17, 2019","193.45","193.36","195.07","192.63","458.03K","0.27%"
"Oct 16, 2019","192.93","191.66","192.95","190.38","513.69K","0.33%"
"Oct 15, 2019","192.29","192.39","193.37","191.58","515.63K","0.53%"
"Oct 14, 2019","191.28","190.89","192.67","190.15","363.27K","0.09%"
"Oct 11, 2019","191.10","190.96","192.73","190.29","552.52K","1.17%"
"Oct 10, 2019","188.89","186.57","189.93","185.99","658.03K","1.21%"
"Oct 09, 2019","186.64","188.10","188.80","185.51","522.56K","0.50%"
"Oct 08, 2019","185.71","189.10","189.19","185.65","654.36K","-2.48%"
"Oct 07, 2019","190.43","190.92","191.85","189.67","385.40K","-0.82%"
"Oct 04, 2019","192.00","187.84","192.09","187.84","497.88K","2.54%"
"Oct 03, 2019","187.24","186.00","187.50","184.55","657.60K","0.67%"
"Oct 02, 2019","186.00","188.23","189.35","184.52","830.34K","-1.96%"
"Oct 01, 2019","189.72","194.59","195.30","189.67","559.29K","-1.99%"
"Sep 30, 2019","193.57","193.58","194.38","193.11","608.76K","0.05%"
"Sep 27, 2019","193.47","195.45","195.95","192.11","506.83K","-0.65%"
"Sep 26, 2019","194.73","194.84","195.55","193.37","845.78K","0.16%"
"Sep 25, 2019","194.41","192.53","194.75","191.84","933.26K","0.94%"
"Sep 24, 2019","192.60","193.35","194.88","191.64","971.27K","-0.08%"
"Sep 23, 2019","192.76","191.66","193.84","191.23","622.68K","-0.12%"
"Sep 20, 2019","193.00","194.65","195.00","191.83","1.77M","-0.63%"
"Sep 19, 2019","194.22","193.94","195.65","193.42","556.38K","0.06%"
"Sep 18, 2019","194.11","193.80","194.57","191.73","556.90K","-0.21%"
"Sep 17, 2019","194.52","191.60","194.53","190.01","635.53K","1.78%"
"Sep 16, 2019","191.12","189.74","191.32","188.67","544.66K","0.13%"
"Sep 13, 2019","190.88","190.34","192.00","188.40","720.33K","0.59%"
"Sep 12, 2019","189.76","189.09","190.72","188.34","827.81K","0.73%"
"Sep 11, 2019","188.38","187.90","191.17","187.44","918.26K","0.58%"
"Sep 10, 2019","187.29","193.18","193.18","185.30","1.72M","-3.17%"
"Sep 09, 2019","193.43","196.40","196.40","192.46","661.33K","-0.95%"
"Sep 06, 2019","195.28","196.00","196.84","195.16","529.86K","-0.16%"
"Sep 05, 2019","195.60","197.29","198.09","195.05","628.55K","0.10%"
"Sep 04, 2019","195.40","193.39","195.47","193.11","680.28K","1.45%"
"Sep 03, 2019","192.61","193.29","194.11","191.43","732.57K","-1.15%"
"Aug 30, 2019","194.85","193.60","195.50","193.48","696.90K","1.38%"
"Aug 29, 2019","192.19","192.00","193.80","191.11","526.60K","0.86%"
"Aug 28, 2019","190.55","190.49","190.76","189.08","492.61K","-0.31%"
"Aug 27, 2019","191.14","192.14","193.10","190.07","675.64K","-0.20%"
"Aug 26, 2019","191.52","190.43","191.59","188.88","427.98K","1.27%"
"Aug 23, 2019","189.12","193.40","194.63","188.18","786.16K","-2.58%"
"Aug 22, 2019","194.12","193.49","194.73","191.73","493.50K","0.49%"
"Aug 21, 2019","193.17","192.73","193.92","191.99","651.87K","0.96%"
"Aug 20, 2019","191.33","193.80","194.57","191.11","683.38K","-1.53%"
"Aug 19, 2019","194.30","192.50","195.47","192.50","696.59K","1.46%"
"Aug 16, 2019","191.51","190.28","192.29","188.86","835.82K","1.23%"
"Aug 15, 2019","189.18","186.94","189.93","186.29","861.38K","1.08%"
"Aug 14, 2019","187.16","188.47","190.66","186.87","1.34M","-2.00%"
"Aug 13, 2019","190.98","186.18","191.29","185.20","888.81K","2.54%"
"Aug 12, 2019","186.25","188.03","189.07","185.59","516.68K","-1.68%"
"Aug 09, 2019","189.43","189.93","191.11","187.30","693.49K","-0.14%"
"Aug 08, 2019","189.70","187.19","190.35","187.06","925.39K","1.79%"
"Aug 07, 2019","186.37","186.15","187.16","183.33","871.99K","-0.54%"
"Aug 06, 2019","187.39","183.51","187.51","183.28","840.41K","2.26%"
"Aug 05, 2019","183.25","188.91","189.30","181.89","1.32M","-4.08%"
"Aug 02, 2019","191.04","189.91","192.29","188.77","810.84K","0.56%"
"Aug 01, 2019","189.97","188.94","193.36","188.39","721.40K","0.38%"
"Jul 31, 2019","189.25","192.91","194.13","187.87","811.83K","-2.03%"
"Jul 30, 2019","193.17","195.14","195.14","192.43","877.69K","-1.34%"
"Jul 29, 2019","195.79","194.56","197.04","194.08","840.21K","0.63%"
"Jul 26, 2019","194.56","196.71","198.00","192.97","1.85M","-1.16%"
"Jul 25, 2019","196.85","196.99","197.39","195.70","827.45K","0.49%"
"Jul 24, 2019","195.89","194.23","195.92","193.36","683.68K","0.61%"
"Jul 23, 2019","194.70","194.19","195.01","193.37","629.92K","0.28%"
"Jul 22, 2019","194.15","195.10","195.71","193.87","493.75K","-0.39%"
"Jul 19, 2019","194.91","197.40","197.40","194.67","593.26K","-1.08%"
"Jul 18, 2019","197.04","195.23","197.44","194.10","660.94K","1.17%"
"Jul 17, 2019","194.76","196.95","197.30","194.73","584.16K","-1.18%"
"Jul 16, 2019","197.08","197.90","197.96","196.69","454.33K","-0.23%"
"Jul 15, 2019","197.53","197.90","197.99","197.12","739.43K","0.03%"
"Jul 12, 2019","197.47","197.49","197.60","196.25","450.84K","0.42%"
"Jul 11, 2019","196.64","197.95","197.95","196.10","584.78K","-0.60%"
"Jul 10, 2019","197.82","197.03","197.94","196.13","630.65K","0.65%"
"Jul 09, 2019","196.55","195.76","196.60","194.92","629.17K","0.04%"
"Jul 08, 2019","196.47","197.28","197.67","196.44","635.63K","-0.56%"
"Jul 05, 2019","197.58","198.05","198.05","195.74","444.34K","-0.45%"
"Jul 03, 2019","198.48","196.18","198.61","196.09","481.80K","1.30%"
"Jul 02, 2019","195.93","195.44","196.50","194.43","588.86K","0.40%"
"Jul 01, 2019","195.14","194.37","195.15","192.96","739.98K","1.12%"
"Jun 28, 2019","192.98","193.20","193.69","191.94","905.74K","0.21%"
"Jun 27, 2019","192.57","190.20","192.76","189.43","490.73K","1.41%"
"Jun 26, 2019","189.89","193.21","194.25","189.53","861.62K","-1.74%"
"Jun 25, 2019","193.25","193.40","194.51","193.09","737.73K","-0.14%"
"Jun 24, 2019","193.52","192.43","194.15","192.38","870.95K","0.78%"
"Jun 21, 2019","192.02","193.55","194.00","191.89","1.54M","-0.78%"
"Jun 20, 2019","193.52","192.81","194.00","191.97","930.36K","0.79%"
"Jun 19, 2019","192.00","189.67","192.25","189.67","759.11K","0.98%"
"Jun 18, 2019","190.13","189.57","190.87","188.77","657.72K","0.70%"
"Jun 17, 2019","188.81","191.24","191.48","188.52","632.26K","-1.02%"
"Jun 14, 2019","190.76","189.13","191.71","188.69","678.04K","0.57%"
"Jun 13, 2019","189.68","189.33","190.26","188.52","788.03K","0.24%"
"Jun 12, 2019","189.23","189.99","191.58","188.91","781.36K","-0.12%"
"Jun 11, 2019","189.45","191.47","191.97","188.69","878.68K","-0.74%"
"Jun 10, 2019","190.87","191.71","192.78","190.51","1.01M","0.33%"
"Jun 07, 2019","190.24","187.25","191.60","187.23","1.04M","1.33%"
"Jun 06, 2019","187.74","187.92","188.30","186.66","792.33K","0.15%"
"Jun 05, 2019","187.46","183.46","187.48","182.96","1.09M","2.54%"
"Jun 04, 2019","182.81","183.00","183.25","180.75","1.02M","0.39%"
"Jun 03, 2019","182.10","180.50","182.23","179.93","867.95K","1.13%"
"May 31, 2019","180.07","180.93","182.14","179.65","933.36K","-0.93%"
"May 30, 2019","181.76","179.84","182.14","179.59","1.08M","1.47%"
"May 29, 2019","179.12","178.89","179.71","177.01","878.09K","-0.11%"
"May 28, 2019","179.31","178.00","180.20","177.51","2.30M","0.85%"
"May 24, 2019","177.79","178.57","178.61","176.75","864.73K","-0.26%"
"May 23, 2019","178.25","180.22","180.25","177.40","1.10M","-1.50%"
"May 22, 2019","180.96","179.54","181.12","178.48","1.02M","0.34%"
"May 21, 2019","180.35","179.15","180.79","179.15","881.08K","1.02%"
"May 20, 2019","178.53","180.21","180.52","178.10","762.19K","-1.11%"
"May 17, 2019","180.54","179.85","181.66","179.52","1.10M","-0.64%"
"May 16, 2019","181.70","179.28","182.37","179.13","994.45K","1.58%"
"May 15, 2019","178.88","176.96","180.66","176.58","752.32K","0.47%"
"May 14, 2019","178.05","176.63","179.70","176.60","772.46K","1.03%"
"May 13, 2019","176.23","176.55","177.15","175.33","754.70K","-1.60%"
"May 10, 2019","179.10","176.35","179.67","175.15","755.67K","1.47%"
"May 09, 2019","176.51","176.34","177.26","174.85","639.86K","-0.51%"
"May 08, 2019","177.42","176.76","178.80","176.25","659.21K","0.36%"
"May 07, 2019","176.79","178.74","179.09","176.08","806.96K","-1.61%"
"May 06, 2019","179.68","176.69","180.21","176.69","831.60K","0.52%"
"May 03, 2019","178.75","177.08","179.37","177.02","866.72K","1.29%"
"May 02, 2019","176.48","175.57","176.91","174.26","687.13K","0.43%"
"May 01, 2019","175.72","179.84","179.85","175.52","853.55K","-2.45%"
"Apr 30, 2019","180.14","177.74","180.35","176.35","1.01M","0.88%"
"Apr 29, 2019","178.57","179.79","180.70","177.98","787.27K","-0.89%"
"Apr 26, 2019","180.17","180.40","182.60","177.09","899.58K","0.31%"
"Apr 25, 2019","179.61","177.34","180.06","176.91","883.61K","0.74%"
"Apr 24, 2019","178.29","178.39","180.10","177.96","1.09M","-0.05%"
"Apr 23, 2019","178.38","174.93","178.47","174.74","900.00K","2.00%"
"Apr 22, 2019","174.89","174.66","175.94","174.50","600.54K","-0.16%"
"Apr 18, 2019","175.17","174.59","175.86","173.32","838.32K","-0.11%"
"Apr 17, 2019","175.37","178.01","178.87","173.84","955.88K","-0.88%"
"Apr 16, 2019","176.93","175.87","176.96","175.85","718.22K","0.55%"
"Apr 15, 2019","175.96","176.03","176.75","175.67","553.97K","-0.09%"
"Apr 12, 2019","176.12","175.21","176.30","174.65","724.18K","1.28%"
"Apr 11, 2019","173.89","172.82","174.21","171.89","939.29K","0.61%"
"Apr 10, 2019","172.84","172.21","173.03","171.95","390.12K","0.49%"
"Apr 09, 2019","172.00","171.86","172.34","171.39","730.99K","-0.46%"
"Apr 08, 2019","172.79","172.20","172.87","171.62","430.54K","0.12%"
"Apr 05, 2019","172.59","172.50","173.52","171.94","672.74K","0.03%"
"Apr 04, 2019","172.54","173.06","173.60","171.60","537.63K","-0.12%"
"Apr 03, 2019","172.74","173.77","173.98","171.83","1.07M","-0.23%"
"Apr 02, 2019","173.14","174.10","175.26","172.89","836.73K","-0.17%"
"Apr 01, 2019","173.44","171.72","173.58","171.29","1.03M","1.61%"
"Mar 29, 2019","170.70","170.00","170.83","169.53","1.17M","0.90%"
"Mar 28, 2019","169.17","168.42","169.32","167.92","676.62K","0.71%"
"Mar 27, 2019","167.98","167.86","168.68","166.90","982.21K","0.13%"
"Mar 26, 2019","167.76","166.90","167.85","166.02","777.18K","0.67%"
"Mar 25, 2019","166.64","166.57","166.95","165.22","814.83K","0.20%"
"Mar 22, 2019","166.31","166.11","167.68","165.91","822.72K","-1.12%"
"Mar 21, 2019","168.20","165.63","168.59","165.33","784.76K","1.50%"
"Mar 20, 2019","165.71","167.52","167.97","165.67","716.23K","-1.34%"
"Mar 19, 2019","167.96","169.20","169.47","167.74","702.53K","-0.73%"
"Mar 18, 2019","169.20","170.00","170.72","168.81","825.86K","-0.47%"
"Mar 15, 2019","170.00","168.72","170.27","167.95","1.83M","0.84%"
"Mar 14, 2019","168.58","167.26","169.25","167.06","833.41K","0.89%"
"Mar 13, 2019","167.09","166.75","168.45","166.66","818.31K","0.37%"
"Mar 12, 2019","166.48","164.87","167.01","164.44","959.49K","1.07%"
"Mar 11, 2019","164.71","162.79","164.74","162.66","1.06M","1.65%"
"Mar 08, 2019","162.04","161.59","162.17","160.29","934.74K","-0.31%"
"Mar 07, 2019","162.55","163.40","163.99","161.75","1.64M","-0.88%"
"Mar 06, 2019","164.00","166.52","166.56","163.31","2.53M","4.29%"
"Mar 05, 2019","157.25","171.32","172.69","156.09","6.70M","-7.84%"
"Mar 04, 2019","170.63","171.99","172.35","169.75","1.66M","-0.59%"
"Mar 01, 2019","171.65","172.75","172.91","170.88","899.81K","0.07%"
"Feb 28, 2019","171.53","171.10","172.30","170.66","1.21M","0.20%"
"Feb 27, 2019","171.19","170.68","171.44","170.17","662.02K","-0.09%"
"Feb 26, 2019","171.35","170.95","172.10","170.63","993.36K","0.11%"
"Feb 25, 2019","171.17","172.28","173.22","170.99","982.53K","-0.52%"
"Feb 22, 2019","172.06","172.46","172.66","171.38","998.07K","-0.20%"
"Feb 21, 2019","172.40","172.93","173.34","171.95","929.22K","-0.23%"
"Feb 20, 2019","172.80","172.74","173.32","171.66","1.01M","0.08%"
"Feb 19, 2019","172.66","171.31","173.53","170.89","1.08M","0.40%"
"Feb 15, 2019","171.97","171.45","172.10","170.29","1.26M","1.39%"
"Feb 14, 2019","169.62","171.60","172.13","169.58","961.08K","-1.93%"
"Feb 13, 2019","172.96","171.58","173.09","171.24","1.07M","0.98%"
"Feb 12, 2019","171.28","171.61","172.18","170.42","1.10M","0.30%"
"Feb 11, 2019","170.76","168.73","170.82","168.26","1.10M","1.54%"
"Feb 08, 2019","168.17","166.48","168.17","166.39","847.91K","0.77%"
"Feb 07, 2019","166.88","167.27","167.63","164.69","1.06M","-0.87%"
