"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","5.6000","5.0800","5.6100","5.0600","9.03M","8.95%"
"Oct 24, 2019","5.1400","5.0800","5.1500","4.9400","4.64M","1.38%"
"Oct 23, 2019","5.0700","4.7900","5.0800","4.6800","4.65M","4.32%"
"Oct 22, 2019","4.8600","4.8200","4.8850","4.7010","3.39M","0.83%"
"Oct 21, 2019","4.8200","4.6600","4.9000","4.5200","4.86M","1.47%"
"Oct 18, 2019","4.7500","4.9500","4.9500","4.6300","5.45M","-3.65%"
"Oct 17, 2019","4.9300","4.9900","5.0600","4.8700","4.02M","1.44%"
"Oct 16, 2019","4.8600","5.3000","5.3000","4.8500","11.43M","-10.50%"
"Oct 15, 2019","5.4300","5.2400","5.5400","5.1200","17.69M","24.54%"
"Oct 14, 2019","4.3600","4.7300","4.7500","4.2300","10.89M","-7.43%"
"Oct 11, 2019","4.7100","4.6400","4.8800","4.6300","5.70M","1.95%"
"Oct 10, 2019","4.6200","5.2200","5.2500","4.4400","12.18M","-14.29%"
"Oct 09, 2019","5.3900","5.2500","5.4300","5.2300","3.48M","1.70%"
"Oct 08, 2019","5.3000","5.2500","5.3650","5.0800","4.77M","-1.67%"
"Oct 07, 2019","5.3900","5.3700","5.5250","5.1700","4.54M","0.56%"
"Oct 04, 2019","5.3600","5.4400","5.5300","5.2901","2.60M","0.00%"
"Oct 03, 2019","5.3600","5.2000","5.3700","5.0700","6.45M","3.68%"
"Oct 02, 2019","5.1700","5.0000","5.4200","4.8500","8.12M","1.97%"
"Oct 01, 2019","5.0700","5.2000","5.3400","4.9200","4.68M","-2.31%"
"Sep 30, 2019","5.1900","5.4500","5.4700","5.1000","4.19M","-5.12%"
"Sep 27, 2019","5.4700","5.6100","5.6800","5.4300","2.81M","-3.01%"
"Sep 26, 2019","5.6400","5.6700","5.7064","5.4400","3.32M","1.99%"
"Sep 25, 2019","5.5300","5.6500","5.7800","5.3400","4.87M","-2.98%"
"Sep 24, 2019","5.7000","6.0600","6.0800","5.6600","4.13M","-5.79%"
"Sep 23, 2019","6.0500","6.0400","6.2397","6.0271","2.55M","-1.79%"
"Sep 20, 2019","6.1600","6.0500","6.2210","5.9300","2.75M","1.82%"
"Sep 19, 2019","6.0500","6.2300","6.3000","6.0400","2.35M","-3.66%"
"Sep 18, 2019","6.2800","6.2500","6.3500","6.1200","2.31M","0.80%"
"Sep 17, 2019","6.2300","6.5300","6.6100","6.1600","4.17M","-5.75%"
"Sep 16, 2019","6.6100","6.6200","6.7500","6.5784","2.10M","-1.64%"
"Sep 13, 2019","6.7200","6.6400","6.8200","6.5400","2.68M","1.05%"
"Sep 12, 2019","6.6500","6.7500","6.8600","6.6200","2.40M","-3.62%"
"Sep 11, 2019","6.9000","6.9400","7.0400","6.8301","3.07M","-1.29%"
"Sep 10, 2019","6.9900","6.7500","7.0000","6.6300","2.57M","2.79%"
"Sep 09, 2019","6.8000","7.1100","7.1400","6.7500","3.28M","-3.68%"
"Sep 06, 2019","7.0600","6.8500","7.1400","6.7700","4.46M","3.07%"
"Sep 05, 2019","6.8500","6.7500","6.9000","6.6501","4.01M","1.63%"
"Sep 04, 2019","6.7400","6.5800","6.7700","6.4000","3.28M","4.01%"
"Sep 03, 2019","6.4800","6.2000","6.5400","6.1400","2.43M","3.51%"
"Aug 30, 2019","6.2600","6.4700","6.5300","6.2500","3.03M","-2.95%"
"Aug 29, 2019","6.4500","6.3200","6.4650","6.1819","3.62M","3.70%"
"Aug 28, 2019","6.2200","5.9200","6.2500","5.7900","4.05M","3.84%"
"Aug 27, 2019","5.9900","6.4100","6.4400","5.8800","5.37M","-6.55%"
"Aug 26, 2019","6.4100","6.6600","6.6600","6.2236","3.81M","-2.29%"
"Aug 23, 2019","6.5600","6.4400","6.8000","6.4200","5.44M","0.77%"
"Aug 22, 2019","6.5100","6.6000","6.7200","6.4100","3.19M","-1.06%"
"Aug 21, 2019","6.5800","6.3300","6.6500","6.2600","4.22M","5.28%"
"Aug 20, 2019","6.2500","6.2100","6.3500","6.1200","2.65M","0.16%"
"Aug 19, 2019","6.2400","6.3400","6.3400","6.1000","3.48M","0.97%"
"Aug 16, 2019","6.1800","6.0600","6.2700","6.0100","3.88M","3.69%"
"Aug 15, 2019","5.9600","6.2800","6.4300","5.8250","8.38M","-6.73%"
"Aug 14, 2019","6.3900","6.7000","6.7400","6.3819","5.05M","-7.66%"
"Aug 13, 2019","6.9200","6.5700","6.9599","6.4800","4.55M","5.49%"
"Aug 12, 2019","6.5600","6.3200","6.5700","6.2100","3.80M","3.47%"
"Aug 09, 2019","6.3400","6.6600","6.6900","6.3400","7.33M","-5.37%"
"Aug 08, 2019","6.7000","6.9900","7.0200","6.5600","5.43M","-2.33%"
"Aug 07, 2019","6.8600","7.0800","7.1200","6.7100","8.08M","-4.46%"
"Aug 06, 2019","7.1800","7.2500","7.6000","6.8350","15.38M","2.13%"
"Aug 05, 2019","7.0300","7.0700","7.2000","6.7201","16.35M","-4.09%"
"Aug 02, 2019","7.3300","6.7400","7.4500","6.3000","34.63M","40.96%"
"Aug 01, 2019","5.2000","5.3500","5.4100","5.0200","6.31M","-3.35%"
"Jul 31, 2019","5.3800","5.5500","5.6100","5.3700","3.10M","-2.18%"
"Jul 30, 2019","5.5000","5.2500","5.6800","5.2400","3.32M","2.80%"
"Jul 29, 2019","5.3500","5.5000","5.5400","5.2150","3.94M","-2.73%"
"Jul 26, 2019","5.5000","5.6500","5.7900","5.4249","5.24M","-5.82%"
"Jul 25, 2019","5.8400","6.0600","6.2300","5.7900","2.71M","-3.79%"
"Jul 24, 2019","6.0700","6.1000","6.1600","5.9100","3.02M","-1.62%"
"Jul 23, 2019","6.1700","6.2000","6.2300","6.0500","1.66M","0.00%"
"Jul 22, 2019","6.1700","6.4000","6.4000","6.1200","2.25M","-3.44%"
"Jul 19, 2019","6.3900","6.4100","6.5000","6.3500","1.13M","-0.93%"
"Jul 18, 2019","6.4500","6.5500","6.6000","6.3500","2.10M","-1.68%"
"Jul 17, 2019","6.5600","6.3600","6.6800","6.3200","2.84M","4.13%"
"Jul 16, 2019","6.3000","6.2600","6.4350","6.1750","10.76M","0.16%"
"Jul 15, 2019","6.2900","6.1300","6.3450","6.0000","2.67M","1.13%"
"Jul 12, 2019","6.2200","6.5200","6.5400","6.1400","4.11M","-5.04%"
"Jul 11, 2019","6.5500","6.6400","6.7000","6.5100","2.07M","-1.36%"
"Jul 10, 2019","6.6400","6.8000","6.8300","6.6200","1.45M","-1.63%"
"Jul 09, 2019","6.7500","6.6500","6.8200","6.5600","2.11M","0.00%"
"Jul 08, 2019","6.7500","6.8100","6.8100","6.6100","2.69M","-1.46%"
"Jul 05, 2019","6.8500","6.8700","6.9000","6.7700","1.42M","-0.72%"
"Jul 03, 2019","6.9000","6.8400","6.9900","6.7500","1.67M","0.88%"
"Jul 02, 2019","6.8400","6.9800","7.0000","6.8100","1.70M","-2.01%"
"Jul 01, 2019","6.9800","7.0700","7.1100","6.9000","1.63M","-0.43%"
"Jun 28, 2019","7.0100","7.0800","7.1700","6.9500","2.27M","-0.85%"
"Jun 27, 2019","7.0700","6.9600","7.1400","6.9200","2.34M","1.29%"
"Jun 26, 2019","6.9800","7.0000","7.0350","6.9100","1.84M","0.87%"
"Jun 25, 2019","6.9200","7.0800","7.1700","6.9100","2.54M","-2.67%"
"Jun 24, 2019","7.1100","6.7300","7.2100","6.6365","5.39M","5.65%"
"Jun 21, 2019","6.7300","6.6000","6.7400","6.3500","3.84M","0.15%"
"Jun 20, 2019","6.7200","6.8300","6.8700","6.7000","2.21M","-0.30%"
"Jun 19, 2019","6.7400","6.8000","6.9100","6.7200","2.58M","-1.03%"
"Jun 18, 2019","6.8100","6.8800","6.9600","6.7700","2.07M","-0.87%"
"Jun 17, 2019","6.8700","6.8400","6.9000","6.6700","2.11M","1.18%"
"Jun 14, 2019","6.7900","6.9000","6.9100","6.7400","2.15M","-2.44%"
"Jun 13, 2019","6.9600","7.2300","7.2900","6.8900","3.25M","-3.73%"
"Jun 12, 2019","7.2300","7.1700","7.4200","7.1150","3.13M","-1.63%"
"Jun 11, 2019","7.3500","7.4900","7.4900","7.0700","3.55M","-1.21%"
"Jun 10, 2019","7.4400","7.4500","7.6000","7.4000","3.39M","2.34%"
"Jun 07, 2019","7.2700","6.9500","7.4816","6.9300","8.06M","5.52%"
"Jun 06, 2019","6.8900","6.7300","6.9000","6.5700","3.08M","2.68%"
"Jun 05, 2019","6.7100","7.0200","7.0200","6.5900","3.71M","-1.61%"
"Jun 04, 2019","6.8200","6.4300","6.8200","6.4200","3.60M","7.74%"
"Jun 03, 2019","6.3300","6.6400","6.7700","6.2900","5.51M","-3.95%"
"May 31, 2019","6.5900","6.8300","6.8300","6.5262","4.07M","-4.63%"
"May 30, 2019","6.9100","7.0000","7.1800","6.8000","3.93M","-1.29%"
"May 29, 2019","7.0000","7.0700","7.0899","6.8800","4.51M","-3.31%"
"May 28, 2019","7.2400","7.6700","7.6800","7.1000","8.51M","-1.50%"
"May 24, 2019","7.3500","6.7100","7.4300","6.6400","12.82M","14.66%"
"May 23, 2019","6.4100","6.6600","6.6819","6.3800","2.69M","-4.90%"
"May 22, 2019","6.7400","6.8200","6.9000","6.7124","1.88M","-1.32%"
"May 21, 2019","6.8300","6.8000","7.0800","6.7700","2.85M","3.02%"
"May 20, 2019","6.6300","6.8000","6.8000","6.6200","1.97M","-2.93%"
"May 17, 2019","6.8300","6.9700","7.0000","6.8000","2.34M","-1.44%"
"May 16, 2019","6.9300","6.9900","7.1300","6.9300","2.95M","-1.42%"
"May 15, 2019","7.0300","6.8700","7.0516","6.7900","2.96M","1.15%"
"May 14, 2019","6.9500","6.8500","7.0799","6.8000","3.46M","2.81%"
"May 13, 2019","6.7600","7.0200","7.0700","6.6800","4.42M","-6.37%"
"May 10, 2019","7.2200","6.7500","7.2200","6.7400","5.76M","7.12%"
"May 09, 2019","6.7400","6.8800","6.9440","6.6700","2.90M","-2.88%"
"May 08, 2019","6.9400","6.6500","7.1500","6.6100","4.12M","4.05%"
"May 07, 2019","6.6700","6.8400","6.8400","6.6100","4.38M","-3.19%"
"May 06, 2019","6.8900","6.7600","6.9000","6.6600","3.85M","-0.72%"
"May 03, 2019","6.9400","7.1600","7.3500","6.9300","5.67M","-2.66%"
"May 02, 2019","7.1300","7.4000","7.4000","6.9700","5.00M","-4.55%"
"May 01, 2019","7.4700","7.6500","7.6500","7.4000","2.76M","-2.10%"
"Apr 30, 2019","7.6300","7.3500","7.6700","7.3300","4.99M","3.25%"
"Apr 29, 2019","7.3900","7.5500","7.5500","7.3400","4.12M","-2.12%"
"Apr 26, 2019","7.5500","7.7100","7.7400","7.5200","3.73M","-1.44%"
"Apr 25, 2019","7.6600","7.8100","7.8200","7.6000","3.22M","-1.79%"
"Apr 24, 2019","7.8000","7.7800","7.9100","7.7600","3.43M","-0.13%"
"Apr 23, 2019","7.8100","7.8500","7.9200","7.7200","4.00M","-0.64%"
"Apr 22, 2019","7.8600","7.6000","7.9198","7.5800","6.29M","2.75%"
"Apr 18, 2019","7.6500","8.0300","8.0400","7.5500","10.34M","-2.17%"
"Apr 17, 2019","7.8200","8.4600","8.5000","7.8000","15.27M","-10.01%"
"Apr 16, 2019","8.6900","8.6700","8.9162","8.6600","3.34M","1.05%"
"Apr 15, 2019","8.6000","8.7400","9.1300","8.4800","13.49M","-14.85%"
"Apr 12, 2019","10.1000","9.8500","10.1150","9.8500","4.71M","2.96%"
"Apr 11, 2019","9.8100","9.9200","10.0300","9.6500","2.77M","-2.10%"
"Apr 10, 2019","10.0200","9.6200","10.0400","9.5616","2.67M","3.62%"
"Apr 09, 2019","9.6700","9.8700","9.9057","9.5345","2.97M","-3.30%"
"Apr 08, 2019","10.0000","10.0300","10.0850","9.8600","2.67M","-0.79%"
"Apr 05, 2019","10.0800","10.0100","10.1400","9.9600","3.27M","1.51%"
"Apr 04, 2019","9.9300","9.7600","10.0200","9.7600","3.83M","1.33%"
"Apr 03, 2019","9.8000","9.7400","9.9900","9.6300","3.92M","0.00%"
"Apr 02, 2019","9.8000","9.8500","10.1700","9.7600","4.53M","-1.41%"
"Apr 01, 2019","9.9400","9.4400","9.9750","9.3600","4.89M","6.65%"
"Mar 29, 2019","9.3200","9.2000","9.4100","9.0519","2.84M","1.64%"
"Mar 28, 2019","9.1700","9.1200","9.4000","8.7350","4.26M","-0.33%"
"Mar 27, 2019","9.2000","9.6700","9.6800","9.0700","3.30M","-4.66%"
"Mar 26, 2019","9.6500","9.7300","9.8300","9.5600","2.86M","-0.10%"
"Mar 25, 2019","9.6600","9.5000","9.7200","9.2500","3.89M","1.36%"
"Mar 22, 2019","9.5300","9.8900","9.9481","9.4500","4.29M","-5.27%"
"Mar 21, 2019","10.0600","9.9900","10.1600","9.8000","3.17M","-0.59%"
"Mar 20, 2019","10.1200","10.1800","10.3400","9.9900","4.65M","-2.79%"
"Mar 19, 2019","10.4100","10.4900","10.6700","10.1100","7.99M","1.66%"
"Mar 18, 2019","10.2400","9.5000","10.3000","9.5000","8.99M","6.67%"
"Mar 15, 2019","9.6000","9.4000","9.6250","9.3600","3.15M","0.84%"
"Mar 14, 2019","9.5200","9.5000","9.5800","9.3800","2.42M","-0.83%"
"Mar 13, 2019","9.6000","9.7000","9.8200","9.5233","3.71M","0.10%"
"Mar 12, 2019","9.5900","9.6100","9.8600","9.5300","3.48M","-1.74%"
"Mar 11, 2019","9.7600","9.5600","9.7900","9.4600","2.71M","2.20%"
"Mar 08, 2019","9.5500","9.3000","9.5500","9.1500","4.29M","-0.62%"
"Mar 07, 2019","9.6100","10.0500","10.1200","9.5300","5.46M","-4.66%"
"Mar 06, 2019","10.0800","10.3200","10.5300","9.9614","5.59M","-2.80%"
"Mar 05, 2019","10.3700","10.3400","10.5200","10.2100","5.54M","-0.48%"
"Mar 04, 2019","10.4200","10.4700","10.6800","10.1100","7.20M","2.76%"
"Mar 01, 2019","10.1400","10.4100","10.4529","10.0300","4.34M","-2.12%"
"Feb 28, 2019","10.3600","10.1600","10.5600","10.0600","7.39M","1.67%"
"Feb 27, 2019","10.1900","10.2600","10.3500","9.9300","4.93M","-1.26%"
"Feb 26, 2019","10.3200","9.8200","10.3200","9.7200","7.53M","6.50%"
"Feb 25, 2019","9.6900","10.0900","10.1100","9.6100","6.55M","-4.81%"
"Feb 22, 2019","10.1800","10.4800","10.5900","9.8200","8.44M","-1.93%"
"Feb 21, 2019","10.3800","10.2700","10.5300","10.2000","7.40M","2.27%"
"Feb 20, 2019","10.1500","9.7000","10.2200","9.5800","7.88M","4.53%"
"Feb 19, 2019","9.7100","9.5000","9.7700","9.4600","4.90M","1.15%"
"Feb 15, 2019","9.6000","9.6900","9.9100","9.3300","9.28M","5.61%"
"Feb 14, 2019","9.0900","9.1000","9.2800","8.9000","4.36M","-1.62%"
"Feb 13, 2019","9.2400","9.2100","9.5000","9.0837","7.49M","2.10%"
"Feb 12, 2019","9.0500","8.1900","9.2000","8.0800","9.98M","8.00%"
"Feb 11, 2019","8.3800","9.4200","9.4700","8.3120","10.68M","-11.13%"
"Feb 08, 2019","9.4300","9.7100","9.7700","9.1300","6.67M","-1.46%"
"Feb 07, 2019","9.5700","9.3000","9.8900","9.0700","9.28M","-1.34%"
"Feb 06, 2019","9.7000","10.0200","10.3000","9.5000","11.95M","-9.43%"
"Feb 05, 2019","10.7100","10.8600","10.8900","9.2500","23.14M","-1.20%"
"Feb 04, 2019","10.8400","10.1000","10.9500","10.0000","29.82M","12.68%"
"Feb 01, 2019","9.6200","9.0500","10.0000","8.9000","28.69M","10.07%"
"Jan 31, 2019","8.7400","7.7600","8.9300","7.6700","13.81M","14.10%"
"Jan 30, 2019","7.6600","7.4000","7.7500","7.2700","5.26M","5.36%"
"Jan 29, 2019","7.2700","7.4300","7.5800","7.1600","4.10M","-1.36%"
"Jan 28, 2019","7.3700","7.1100","7.5300","6.9800","5.95M","2.93%"
"Jan 25, 2019","7.1600","7.0900","7.3100","6.9800","4.10M","3.17%"
"Jan 24, 2019","6.9400","6.8700","7.0400","6.8438","2.33M","0.29%"
"Jan 23, 2019","6.9200","6.9200","7.2500","6.7817","5.49M","-2.26%"
"Jan 22, 2019","7.0800","7.2000","7.4400","6.9500","9.55M","5.99%"
"Jan 18, 2019","6.6800","6.5500","6.6962","6.2400","3.95M","3.09%"
"Jan 17, 2019","6.4800","6.4600","6.5900","6.3000","2.48M","-2.56%"
"Jan 16, 2019","6.6500","6.7500","6.8700","6.4900","3.93M","-0.75%"
"Jan 15, 2019","6.7000","7.0500","7.1200","6.6000","6.38M","-4.96%"
"Jan 14, 2019","7.0500","7.0300","7.1400","6.8300","6.63M","1.88%"
"Jan 11, 2019","6.9200","6.4300","7.2000","6.3900","16.45M","5.17%"
"Jan 10, 2019","6.5800","6.6900","6.9800","6.4100","9.51M","-3.09%"
"Jan 09, 2019","6.7900","6.3800","6.9000","6.2500","7.27M","7.27%"
"Jan 08, 2019","6.3300","6.5700","6.5700","6.0600","6.10M","-1.25%"
"Jan 07, 2019","6.4100","6.2500","6.4700","6.0900","6.05M","6.13%"
"Jan 04, 2019","6.0400","6.1500","6.1600","5.9700","3.69M","1.17%"
"Jan 03, 2019","5.9700","5.9600","6.1300","5.8500","3.61M","-0.67%"
"Jan 02, 2019","6.0100","5.6400","6.1900","5.4500","7.72M","5.62%"
"Dec 31, 2018","5.6900","5.9200","6.1000","5.6000","9.54M","-9.11%"
"Dec 28, 2018","6.2600","6.3300","6.3700","5.9000","22.92M","12.39%"
"Dec 27, 2018","5.5700","5.6200","5.7500","5.3100","8.68M","-4.30%"
"Dec 26, 2018","5.8200","5.6900","6.1000","5.6000","6.97M","4.86%"
"Dec 24, 2018","5.5500","4.5500","5.6700","4.5500","7.19M","14.43%"
"Dec 21, 2018","4.8500","5.3400","5.3400","4.7000","6.93M","-7.27%"
"Dec 20, 2018","5.2300","5.4900","5.6000","5.0700","4.93M","-3.15%"
"Dec 19, 2018","5.4000","5.9100","5.9500","5.3600","7.05M","-7.69%"
"Dec 18, 2018","5.8500","5.6100","6.1700","5.5800","12.73M","7.73%"
"Dec 17, 2018","5.4300","5.4800","5.7400","5.3000","3.78M","-3.04%"
"Dec 14, 2018","5.6000","5.1200","5.7900","4.8500","6.92M","7.07%"
"Dec 13, 2018","5.2300","5.7100","5.7600","5.1600","7.07M","-9.98%"
"Dec 12, 2018","5.8100","6.1000","6.2900","5.7800","9.53M","-5.37%"
"Dec 11, 2018","6.1400","5.7800","6.2790","5.6500","9.86M","9.45%"
"Dec 10, 2018","5.6100","5.6000","5.8800","5.2600","9.21M","7.27%"
"Dec 07, 2018","5.2300","6.2500","6.5900","4.9600","29.88M","-5.60%"
"Dec 06, 2018","5.5400","3.9000","5.5900","3.7500","30.81M","22.84%"
"Dec 04, 2018","4.5100","4.9300","5.1800","4.4200","30.11M","-25.45%"
"Dec 03, 2018","6.0500","6.5000","6.9100","5.6000","35.46M","-23.42%"
"Nov 30, 2018","7.9000","8.0000","8.0800","7.7300","1.75M","-0.38%"
"Nov 29, 2018","7.9300","8.4500","8.5100","7.9000","2.50M","-6.60%"
"Nov 28, 2018","8.4900","7.9000","8.5500","7.8000","3.03M","9.69%"
"Nov 27, 2018","7.7400","8.1500","8.2800","7.6300","2.33M","-4.21%"
"Nov 26, 2018","8.0800","9.2000","9.2200","8.0300","2.36M","-8.60%"
"Nov 23, 2018","8.8400","8.8200","9.0300","8.5500","615.25K","0.11%"
"Nov 21, 2018","8.8300","8.9000","9.3300","8.7800","1.56M","0.23%"
"Nov 20, 2018","8.8100","8.5900","9.3000","8.3500","2.38M","-2.65%"
"Nov 19, 2018","9.0500","9.6100","9.6100","9.0000","2.39M","-7.08%"
"Nov 16, 2018","9.7400","10.3000","10.3100","9.5500","1.66M","-5.34%"
"Nov 15, 2018","10.2900","9.5500","10.4400","9.4100","2.23M","7.86%"
"Nov 14, 2018","9.5400","10.0100","10.2400","9.2600","3.25M","-7.38%"
"Nov 13, 2018","10.3000","11.2500","11.4600","10.2400","3.20M","-8.69%"
"Nov 12, 2018","11.2800","12.4400","12.5000","11.2133","2.39M","-8.37%"
"Nov 09, 2018","12.3100","12.3600","12.6354","11.7801","4.30M","-2.38%"
"Nov 08, 2018","12.6100","13.0800","13.1400","12.5300","2.66M","-4.61%"
"Nov 07, 2018","13.2200","13.2400","13.4500","12.2300","5.17M","3.93%"
"Nov 06, 2018","12.7200","12.2200","12.9800","11.8700","3.94M","3.84%"
"Nov 05, 2018","12.2500","12.2000","12.2800","11.5600","2.03M","2.08%"
"Nov 02, 2018","12.0000","11.7500","12.3500","11.3100","2.14M","3.72%"
"Nov 01, 2018","11.5700","12.2100","12.7000","11.1749","1.87M","-3.05%"
"Oct 31, 2018","11.9338","10.5650","12.0000","10.4000","2.18M","17.81%"
"Oct 30, 2018","10.1300","9.5000","10.6400","9.4500","1.78M","3.79%"
"Oct 29, 2018","9.7600","12.1450","12.2900","9.5992","3.20M","-17.22%"
"Oct 26, 2018","11.7900","11.9150","12.5500","11.6000","1.53M","-4.84%"
"Oct 25, 2018","12.3900","10.8421","12.8100","10.6000","1.86M","9.94%"
"Oct 24, 2018","11.2700","12.5200","12.7800","11.2244","1.56M","-7.20%"
"Oct 23, 2018","12.1441","10.5550","13.2500","10.5000","3.81M","0.95%"
"Oct 22, 2018","12.0300","13.9430","14.1900","11.5961","4.02M","-13.70%"
"Oct 19, 2018","13.9390","15.1050","15.4100","13.5500","2.12M","-6.38%"
"Oct 18, 2018","14.8886","15.3258","15.8606","14.8596","2.41M","-0.20%"
"Oct 17, 2018","14.9178","12.9100","15.2142","12.9100","3.63M","3.38%"
"Oct 16, 2018","14.4300","15.8000","16.1898","14.1960","3.55M","-5.99%"
"Oct 15, 2018","15.3500","15.0110","15.5644","14.7837","2.51M","4.78%"
"Oct 12, 2018","14.6500","15.3450","15.4500","14.5600","2.74M","-2.98%"
"Oct 11, 2018","15.1000","14.7581","15.7466","14.2798","3.53M","-1.30%"
"Oct 10, 2018","15.2987","13.4000","15.8940","12.8200","5.35M","14.13%"
"Oct 09, 2018","13.4047","12.7618","13.9183","12.6639","1.58M","0.86%"
"Oct 08, 2018","13.2900","12.9500","13.3300","12.6200","1.17M","5.56%"
"Oct 05, 2018","12.5900","12.7500","12.9800","12.3000","916.15K","-0.71%"
"Oct 04, 2018","12.6800","13.2009","13.4000","12.5300","1.16M","-3.93%"
"Oct 03, 2018","13.1991","12.6350","13.4500","12.4000","1.73M","5.52%"
"Oct 02, 2018","12.5090","13.5000","13.8000","12.3177","2.70M","-9.68%"
"Oct 01, 2018","13.8500","14.5774","14.9000","13.6235","1.70M","-0.61%"
"Sep 28, 2018","13.9352","13.2000","14.3200","13.2000","1.12M","2.16%"
"Sep 27, 2018","13.6400","14.4601","14.8500","13.4200","2.17M","-6.77%"
"Sep 26, 2018","14.6300","14.9936","15.8300","14.4860","1.36M","-3.00%"
"Sep 25, 2018","15.0822","15.7000","15.9000","14.9500","1.49M","-2.07%"
"Sep 24, 2018","15.4006","15.0000","15.8000","14.7406","1.26M","0.62%"
"Sep 21, 2018","15.3064","15.1250","15.4000","14.3500","1.65M","-0.93%"
"Sep 20, 2018","15.4500","15.3067","15.8500","14.4251","2.59M","3.07%"
"Sep 19, 2018","14.9900","16.3707","16.6584","14.3300","4.92M","-6.32%"
"Sep 18, 2018","16.0009","15.6600","16.1700","15.2243","2.75M","6.67%"
"Sep 17, 2018","15.0000","15.5300","15.7100","14.4930","2.23M","0.12%"
"Sep 14, 2018","14.9816","12.2586","15.0413","12.1200","4.18M","12.76%"
"Sep 13, 2018","13.2866","15.6000","15.9324","12.9923","5.00M","-16.81%"
"Sep 12, 2018","15.9715","16.1900","16.8598","14.7970","3.38M","-3.20%"
"Sep 11, 2018","16.5000","16.5300","16.7600","15.9908","1.99M","0.06%"
"Sep 10, 2018","16.4900","15.5647","16.6000","15.3742","2.70M","6.46%"
"Sep 07, 2018","15.4900","15.7537","16.3044","15.1000","3.84M","-4.72%"
"Sep 06, 2018","16.2567","13.9200","16.2567","13.4200","4.77M","15.87%"
"Sep 05, 2018","14.0300","14.5600","15.1500","13.3200","4.70M","-0.21%"
"Sep 04, 2018","14.0600","13.4745","14.1000","13.0500","3.70M","8.49%"
"Aug 31, 2018","12.9600","12.3080","13.0011","12.2439","2.38M","5.28%"
"Aug 30, 2018","12.3100","12.0100","13.0688","11.8000","3.73M","-2.30%"
"Aug 29, 2018","12.6000","11.8500","12.6600","11.4974","4.02M","11.70%"
"Aug 28, 2018","11.2800","11.1050","11.5000","10.3268","4.57M","-3.34%"
"Aug 27, 2018","11.6700","12.0900","12.8528","11.2800","6.32M","8.53%"
"Aug 24, 2018","10.7530","9.2200","10.8500","9.1040","5.21M","23.30%"
"Aug 23, 2018","8.7209","8.6700","8.9300","8.4500","776.82K","0.59%"
"Aug 22, 2018","8.6700","8.6057","8.7700","8.2700","921.94K","-0.88%"
"Aug 21, 2018","8.7473","8.8724","9.1584","8.3663","1.52M","0.31%"
"Aug 20, 2018","8.7200","8.1700","8.7520","8.1200","1.34M","8.05%"
"Aug 17, 2018","8.0700","7.7900","8.1386","7.6900","608.17K","2.42%"
"Aug 16, 2018","7.8797","7.9850","8.1500","7.6044","793.15K","-1.75%"
"Aug 15, 2018","8.0200","7.6000","8.0581","7.0500","1.79M","19.88%"
"Aug 14, 2018","6.6900","7.2305","7.3500","6.5900","1.58M","-8.86%"
"Aug 13, 2018","7.3400","7.7714","7.8000","7.2400","669.57K","-5.65%"
"Aug 10, 2018","7.7797","7.9225","8.1000","7.7498","348.39K","-2.14%"
"Aug 09, 2018","7.9500","7.6750","7.9500","7.6000","501.02K","4.61%"
"Aug 08, 2018","7.6000","7.6050","7.7800","7.5000","428.99K","0.99%"
"Aug 07, 2018","7.5255","7.8288","7.9600","7.4959","965.34K","-5.81%"
"Aug 06, 2018","7.9900","7.9150","8.0500","7.9100","312.92K","1.15%"
"Aug 03, 2018","7.8990","8.1900","8.2600","7.8333","509.01K","-2.12%"
"Aug 02, 2018","8.0700","8.0250","8.2200","7.8200","668.38K","-0.86%"
