"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","102.99","103.77","103.77","102.28","461.33K","-1.36%"
"Nov 05, 2019","104.41","104.23","104.82","103.46","1.51M","0.20%"
"Nov 04, 2019","104.20","103.00","104.36","102.85","1.10M","1.38%"
"Nov 01, 2019","102.78","101.25","102.80","100.83","1.21M","2.44%"
"Oct 31, 2019","100.33","100.56","101.14","99.47","980.07K","-0.49%"
"Oct 30, 2019","100.82","100.50","100.97","99.27","1.06M","-0.16%"
"Oct 29, 2019","100.98","100.50","101.48","100.33","882.56K","-0.21%"
"Oct 28, 2019","101.19","100.57","101.82","100.28","1.48M","0.96%"
"Oct 25, 2019","100.23","101.68","102.00","100.12","1.88M","-1.53%"
"Oct 24, 2019","101.79","102.00","102.24","101.28","1.19M","0.20%"
"Oct 23, 2019","101.59","101.50","101.74","98.40","2.03M","2.52%"
"Oct 22, 2019","99.09","99.44","99.97","98.96","1.28M","-1.31%"
"Oct 21, 2019","100.41","99.70","100.52","99.38","1.37M","1.42%"
"Oct 18, 2019","99.00","98.61","99.64","98.50","1.32M","0.36%"
"Oct 17, 2019","98.64","99.00","99.49","98.49","816.04K","-0.14%"
"Oct 16, 2019","98.78","98.13","98.88","98.08","1.25M","0.37%"
"Oct 15, 2019","98.42","97.40","98.85","96.84","1.11M","1.56%"
"Oct 14, 2019","96.91","96.89","97.36","96.64","1.28M","-0.07%"
"Oct 11, 2019","96.98","96.57","98.23","96.57","1.33M","1.54%"
"Oct 10, 2019","95.51","94.91","96.32","94.72","783.02K","0.59%"
"Oct 09, 2019","94.95","94.40","95.50","93.74","1.00M","1.90%"
"Oct 08, 2019","93.18","94.57","94.57","92.94","917.30K","-2.30%"
"Oct 07, 2019","95.37","95.71","96.36","95.25","986.17K","-0.80%"
"Oct 04, 2019","96.14","94.56","96.18","94.56","873.68K","1.61%"
"Oct 03, 2019","94.62","93.55","94.64","92.60","889.69K","1.32%"
"Oct 02, 2019","93.39","94.44","94.60","92.80","1.30M","-1.98%"
"Oct 01, 2019","95.28","97.00","97.67","95.12","1.64M","-1.26%"
"Sep 30, 2019","96.50","96.50","96.67","95.81","988.15K","0.80%"
"Sep 27, 2019","95.73","96.81","96.81","95.47","1.59M","-0.70%"
"Sep 26, 2019","96.40","96.10","96.91","95.62","1.50M","0.32%"
"Sep 25, 2019","96.09","93.72","96.32","93.36","1.43M","2.41%"
"Sep 24, 2019","93.83","94.08","94.58","92.92","1.57M","0.20%"
"Sep 23, 2019","93.64","93.18","94.14","92.73","1.17M","-0.19%"
"Sep 20, 2019","93.82","94.56","94.85","93.64","1.56M","-0.45%"
"Sep 19, 2019","94.24","94.33","95.43","94.07","963.10K","-0.04%"
"Sep 18, 2019","94.28","94.76","94.98","93.08","1.46M","-0.84%"
"Sep 17, 2019","95.08","94.60","95.23","93.64","1.33M","0.03%"
"Sep 16, 2019","95.05","94.44","95.95","94.22","1.83M","0.36%"
"Sep 13, 2019","94.71","94.30","95.05","93.92","2.13M","0.81%"
"Sep 12, 2019","93.95","91.97","94.19","91.12","2.28M","2.68%"
"Sep 11, 2019","91.50","89.96","91.53","89.01","1.12M","2.12%"
"Sep 10, 2019","89.60","88.47","89.67","87.76","1.43M","0.71%"
"Sep 09, 2019","88.97","89.96","89.97","88.33","1.30M","-0.39%"
"Sep 06, 2019","89.32","90.00","90.24","88.82","1.03M","-0.52%"
"Sep 05, 2019","89.79","87.77","89.94","87.77","1.20M","3.56%"
"Sep 04, 2019","86.70","86.73","87.33","86.49","846.39K","1.18%"
"Sep 03, 2019","85.69","86.33","86.68","85.36","981.67K","-2.11%"
"Aug 30, 2019","87.54","88.31","88.54","87.23","883.64K","-0.09%"
"Aug 29, 2019","87.62","86.37","87.85","86.37","1.15M","2.85%"
"Aug 28, 2019","85.19","84.66","85.77","84.08","894.24K","0.18%"
"Aug 27, 2019","85.04","85.82","86.07","84.75","754.16K","-0.26%"
"Aug 26, 2019","85.26","86.17","86.31","84.85","1.14M","-0.16%"
"Aug 23, 2019","85.40","87.41","88.74","85.09","1.39M","-2.79%"
"Aug 22, 2019","87.85","88.65","88.82","87.18","1.02M","-0.35%"
"Aug 21, 2019","88.16","87.55","88.36","87.35","1.60M","1.64%"
"Aug 20, 2019","86.74","88.01","88.01","86.68","1.20M","-1.66%"
"Aug 19, 2019","88.20","87.70","88.88","87.41","1.39M","1.84%"
"Aug 16, 2019","86.61","85.28","86.78","84.85","1.02M","2.63%"
"Aug 15, 2019","84.39","85.42","85.65","83.78","1.78M","-1.03%"
"Aug 14, 2019","85.27","86.20","87.19","85.24","1.83M","-3.11%"
"Aug 13, 2019","88.01","85.73","89.35","85.61","1.81M","2.25%"
"Aug 12, 2019","86.07","86.22","86.85","85.64","1.47M","-0.97%"
"Aug 09, 2019","86.91","88.46","88.50","86.79","1.34M","-2.06%"
"Aug 08, 2019","88.74","88.44","89.10","87.90","1.75M","1.09%"
"Aug 07, 2019","87.78","86.26","88.07","85.69","1.30M","0.58%"
"Aug 06, 2019","87.27","87.08","87.67","86.31","1.57M","1.23%"
"Aug 05, 2019","86.21","87.29","87.50","85.25","2.06M","-3.23%"
"Aug 02, 2019","89.09","90.13","90.13","88.60","2.02M","-1.88%"
"Aug 01, 2019","90.80","93.21","93.88","90.57","1.53M","-2.70%"
"Jul 31, 2019","93.32","95.02","95.15","92.91","1.16M","-1.52%"
"Jul 30, 2019","94.76","94.97","95.47","94.55","1.19M","-1.18%"
"Jul 29, 2019","95.89","95.41","96.05","94.78","1.50M","0.64%"
"Jul 26, 2019","95.28","93.91","95.42","93.71","1.71M","1.51%"
"Jul 25, 2019","93.86","92.11","93.91","91.54","3.46M","1.60%"
"Jul 24, 2019","92.38","94.44","95.70","91.67","4.02M","-6.08%"
"Jul 23, 2019","98.36","97.84","98.59","97.03","2.35M","1.25%"
"Jul 22, 2019","97.15","96.87","97.60","96.68","1.33M","0.53%"
"Jul 19, 2019","96.64","97.19","97.77","96.62","2.03M","0.19%"
"Jul 18, 2019","96.46","96.98","97.04","95.97","2.06M","-0.55%"
"Jul 17, 2019","96.99","97.97","98.14","96.96","951.32K","-0.88%"
"Jul 16, 2019","97.85","98.47","98.47","97.30","1.31M","-1.17%"
"Jul 15, 2019","99.01","99.08","99.31","98.09","616.84K","-0.04%"
"Jul 12, 2019","99.05","97.49","99.07","97.49","784.20K","2.22%"
"Jul 11, 2019","96.90","97.33","98.03","96.47","947.01K","-0.64%"
"Jul 10, 2019","97.52","98.04","98.44","97.40","1.13M","-0.06%"
"Jul 09, 2019","97.58","96.96","97.72","96.71","1.09M","0.02%"
"Jul 08, 2019","97.56","97.73","97.98","97.33","888.31K","-0.77%"
"Jul 05, 2019","98.32","98.14","98.41","96.77","742.28K","-0.80%"
"Jul 03, 2019","99.11","98.94","99.24","97.84","682.74K","0.73%"
"Jul 02, 2019","98.39","97.90","98.50","97.34","1.00M","0.53%"
"Jul 01, 2019","97.87","97.63","98.34","97.05","1.29M","2.01%"
"Jun 28, 2019","95.94","96.00","96.33","95.25","1.97M","0.30%"
"Jun 27, 2019","95.65","95.89","96.16","95.22","895.26K","0.23%"
"Jun 26, 2019","95.43","95.55","95.73","95.11","1.23M","0.68%"
"Jun 25, 2019","94.79","95.13","95.65","94.78","849.86K","-0.87%"
"Jun 24, 2019","95.62","95.61","95.82","95.53","943.71K","0.12%"
"Jun 21, 2019","95.51","95.98","96.12","95.01","2.38M","-0.39%"
"Jun 20, 2019","95.88","95.98","96.13","95.34","1.51M","1.54%"
"Jun 19, 2019","94.43","94.70","94.86","93.99","1.33M","0.35%"
