"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","89.58","88.48","89.94","88.48","1.05M","0.63%"
"Oct 24, 2019","89.02","89.72","90.19","88.85","584.61K","-0.39%"
"Oct 23, 2019","89.37","90.10","90.27","88.73","1.04M","-1.13%"
"Oct 22, 2019","90.39","88.86","91.02","88.19","655.54K","1.15%"
"Oct 21, 2019","89.36","89.83","89.83","88.75","788.10K","0.45%"
"Oct 18, 2019","88.96","88.68","89.72","88.64","952.89K","-0.09%"
"Oct 17, 2019","89.04","89.57","89.58","88.57","810.44K","-0.08%"
"Oct 16, 2019","89.11","88.59","89.75","88.26","1.18M","1.20%"
"Oct 15, 2019","88.05","86.80","88.86","86.78","846.04K","1.69%"
"Oct 14, 2019","86.59","85.91","86.82","85.85","492.94K","0.38%"
"Oct 11, 2019","86.26","84.85","87.22","84.85","1.06M","3.72%"
"Oct 10, 2019","83.17","82.17","83.97","82.17","832.87K","1.61%"
"Oct 09, 2019","81.85","81.84","82.30","81.05","782.09K","1.60%"
"Oct 08, 2019","80.56","82.33","82.91","80.53","967.23K","-4.10%"
"Oct 07, 2019","84.00","83.16","84.82","82.59","953.16K","0.68%"
"Oct 04, 2019","83.43","82.98","84.15","82.96","1.43M","1.00%"
"Oct 03, 2019","82.60","81.78","83.51","81.46","1.16M","0.46%"
"Oct 02, 2019","82.22","83.75","84.69","80.57","1.85M","-3.40%"
"Oct 01, 2019","85.11","87.59","88.35","85.01","1.15M","-2.64%"
"Sep 30, 2019","87.42","87.27","87.96","86.92","912.37K","0.62%"
"Sep 27, 2019","86.88","87.96","88.59","86.45","816.97K","-0.95%"
"Sep 26, 2019","87.71","88.26","88.34","86.79","514.18K","-0.41%"
"Sep 25, 2019","88.07","86.66","88.31","85.88","772.03K","1.59%"
"Sep 24, 2019","86.69","88.50","89.12","86.32","1.23M","-1.48%"
"Sep 23, 2019","87.99","88.06","89.30","87.77","1.14M","1.06%"
"Sep 20, 2019","87.07","89.87","90.05","86.95","1.69M","-2.68%"
"Sep 19, 2019","89.47","89.60","90.24","89.05","784.79K","-0.04%"
"Sep 18, 2019","89.51","89.52","90.14","88.75","794.53K","-0.15%"
"Sep 17, 2019","89.64","89.08","89.90","87.93","1.02M","0.06%"
"Sep 16, 2019","89.59","89.56","90.92","88.71","1.29M","-0.65%"
"Sep 13, 2019","90.18","90.02","91.56","89.56","1.41M","-1.06%"
"Sep 12, 2019","91.15","90.80","91.45","88.96","1.24M","0.05%"
"Sep 11, 2019","91.10","90.49","91.14","88.83","806.49K","0.37%"
"Sep 10, 2019","90.76","89.44","90.76","88.47","1.10M","0.50%"
"Sep 09, 2019","90.31","89.55","90.78","89.01","1.06M","1.76%"
"Sep 06, 2019","88.75","88.26","89.08","87.03","719.84K","0.66%"
"Sep 05, 2019","88.17","85.82","88.28","85.47","1.09M","4.73%"
"Sep 04, 2019","84.19","82.91","84.23","82.75","935.58K","3.22%"
"Sep 03, 2019","81.56","82.90","82.90","80.88","1.20M","-1.94%"
"Aug 30, 2019","83.17","84.14","84.82","82.83","1.12M","-0.16%"
"Aug 29, 2019","83.30","83.51","84.31","82.67","816.41K","0.75%"
"Aug 28, 2019","82.68","80.72","82.84","80.13","744.84K","2.05%"
"Aug 27, 2019","81.02","81.76","82.37","80.97","773.13K","0.20%"
"Aug 26, 2019","80.86","80.79","81.36","79.99","671.52K","1.23%"
"Aug 23, 2019","79.88","82.51","83.01","79.45","1.26M","-4.36%"
"Aug 22, 2019","83.52","84.08","84.55","83.06","530.15K","0.11%"
"Aug 21, 2019","83.43","83.71","83.89","83.06","805.41K","1.51%"
"Aug 20, 2019","82.19","82.87","83.22","81.02","908.46K","-1.64%"
"Aug 19, 2019","83.56","83.47","83.97","82.51","931.66K","2.09%"
"Aug 16, 2019","81.85","80.09","82.12","79.87","802.39K","3.36%"
"Aug 15, 2019","79.19","79.93","80.52","78.56","1.23M","-0.41%"
"Aug 14, 2019","79.52","81.50","81.52","79.36","1.27M","-4.83%"
"Aug 13, 2019","83.56","82.18","84.83","81.47","1.08M","1.21%"
"Aug 12, 2019","82.56","82.83","83.66","82.14","1.05M","-1.17%"
"Aug 09, 2019","83.54","84.73","85.30","83.07","868.25K","-2.25%"
"Aug 08, 2019","85.46","83.89","85.72","83.75","1.32M","2.32%"
"Aug 07, 2019","83.52","81.80","83.69","80.93","1.75M","0.38%"
"Aug 06, 2019","83.20","81.75","83.49","81.72","1.49M","2.73%"
"Aug 05, 2019","80.99","81.14","81.99","80.77","1.69M","-2.71%"
"Aug 02, 2019","83.25","83.09","83.57","80.54","1.31M","-0.45%"
"Aug 01, 2019","83.63","88.55","88.83","82.34","2.27M","-4.59%"
"Jul 31, 2019","87.65","85.74","88.98","84.95","3.56M","7.45%"
"Jul 30, 2019","81.57","80.93","81.72","79.99","1.42M","-0.74%"
"Jul 29, 2019","82.18","82.32","82.75","81.61","766.75K","-0.27%"
"Jul 26, 2019","82.40","82.06","82.54","81.07","1.49M","0.60%"
"Jul 25, 2019","81.91","83.22","83.41","81.27","1.69M","-2.12%"
"Jul 24, 2019","83.68","81.93","83.68","81.93","1.09M","1.80%"
"Jul 23, 2019","82.20","81.71","82.92","80.15","1.64M","2.63%"
"Jul 22, 2019","80.09","80.39","81.44","79.92","1.28M","0.00%"
"Jul 19, 2019","80.09","79.02","81.99","78.69","1.19M","1.83%"
"Jul 18, 2019","78.65","77.97","78.67","77.71","918.53K","0.37%"
"Jul 17, 2019","78.36","79.80","80.00","78.23","1.17M","-2.04%"
"Jul 16, 2019","79.99","79.53","80.91","78.19","1.39M","-0.98%"
"Jul 15, 2019","80.78","80.23","80.90","78.72","1.29M","0.72%"
"Jul 12, 2019","80.20","78.14","80.50","78.04","908.12K","3.19%"
"Jul 11, 2019","77.72","77.36","77.81","76.87","657.61K","0.26%"
"Jul 10, 2019","77.52","76.36","77.68","75.91","1.35M","1.91%"
"Jul 09, 2019","76.07","76.23","76.45","74.91","1.73M","-0.91%"
"Jul 08, 2019","76.77","78.72","79.16","76.51","1.19M","-3.06%"
"Jul 05, 2019","79.19","78.67","79.72","78.56","930.89K","-0.16%"
"Jul 03, 2019","79.32","80.01","80.17","79.24","437.54K","-0.33%"
"Jul 02, 2019","79.58","80.80","81.09","78.83","1.03M","-1.40%"
"Jul 01, 2019","80.71","82.50","82.99","79.91","1.35M","-0.15%"
"Jun 28, 2019","80.83","81.01","82.51","80.83","5.89M","-0.28%"
"Jun 27, 2019","81.06","80.05","81.06","79.85","1.75M","2.71%"
"Jun 26, 2019","78.92","78.24","79.75","77.27","1.28M","1.04%"
"Jun 25, 2019","78.11","78.11","78.47","77.61","1.14M","-0.26%"
"Jun 24, 2019","78.31","78.17","79.07","77.11","963.61K","-0.14%"
"Jun 21, 2019","78.42","78.48","78.75","77.95","1.44M","-0.06%"
"Jun 20, 2019","78.47","78.27","78.70","77.28","1.29M","2.11%"
"Jun 19, 2019","76.85","77.32","77.71","76.52","1.18M","0.07%"
"Jun 18, 2019","76.80","76.48","78.41","76.43","1.01M","1.27%"
"Jun 17, 2019","75.84","75.14","76.15","74.55","1.08M","0.68%"
"Jun 14, 2019","75.33","75.93","75.93","74.24","1.11M","-1.00%"
"Jun 13, 2019","76.09","74.64","76.13","74.27","1.27M","1.60%"
"Jun 12, 2019","74.89","76.13","76.21","74.78","1.02M","-1.64%"
"Jun 11, 2019","76.14","77.17","77.55","75.98","1.06M","0.57%"
"Jun 10, 2019","75.71","74.75","76.77","74.50","1.40M","3.15%"
"Jun 07, 2019","73.40","73.45","74.30","72.62","1.18M","0.66%"
"Jun 06, 2019","72.92","72.35","73.31","71.89","2.33M","0.57%"
"Jun 05, 2019","72.51","70.73","72.66","70.14","2.80M","2.84%"
"Jun 04, 2019","70.51","68.44","70.70","68.31","3.18M","5.49%"
"Jun 03, 2019","66.84","64.20","67.14","64.09","2.09M","4.37%"
"May 31, 2019","64.04","65.84","65.92","63.36","3.82M","-6.74%"
"May 30, 2019","68.67","68.73","69.66","68.24","1.33M","0.09%"
"May 29, 2019","68.61","68.32","69.10","67.82","1.47M","-0.74%"
"May 28, 2019","69.12","68.45","69.49","68.20","2.12M","1.93%"
"May 24, 2019","67.81","68.40","68.61","67.17","2.09M","0.13%"
"May 23, 2019","67.72","68.64","68.67","66.92","2.80M","-2.35%"
"May 22, 2019","69.35","71.84","71.92","69.01","2.61M","-4.19%"
"May 21, 2019","72.38","73.25","73.66","72.31","1.16M","-0.48%"
"May 20, 2019","72.73","72.78","73.49","72.33","1.32M","-1.25%"
"May 17, 2019","73.65","73.29","74.61","73.16","1.62M","-0.08%"
"May 16, 2019","73.71","75.31","75.32","73.50","2.00M","-1.77%"
"May 15, 2019","75.04","73.75","75.62","72.69","1.65M","0.41%"
"May 14, 2019","74.73","73.83","75.23","73.45","1.24M","1.94%"
"May 13, 2019","73.31","75.34","75.41","72.61","2.19M","-5.08%"
"May 10, 2019","77.23","77.30","78.00","75.75","1.22M","-0.87%"
"May 09, 2019","77.91","77.95","78.52","76.14","1.87M","-2.27%"
"May 08, 2019","79.72","79.42","80.84","79.22","1.83M","0.37%"
"May 07, 2019","79.43","78.31","79.58","78.06","2.44M","-0.34%"
"May 06, 2019","79.70","77.90","79.94","77.32","1.78M","-0.60%"
"May 03, 2019","80.18","79.59","80.66","78.82","1.47M","0.50%"
"May 02, 2019","79.78","75.01","80.41","74.02","2.93M","-4.62%"
"May 01, 2019","83.64","85.98","86.15","83.56","1.53M","-2.40%"
"Apr 30, 2019","85.70","85.49","86.14","84.54","1.37M","-0.16%"
"Apr 29, 2019","85.84","86.15","86.64","85.71","973.07K","-0.77%"
"Apr 26, 2019","86.51","86.31","87.03","85.36","1.39M","1.24%"
"Apr 25, 2019","85.45","88.13","88.26","85.17","1.70M","-3.93%"
"Apr 24, 2019","88.95","89.49","89.55","88.89","1.18M","-0.60%"
"Apr 23, 2019","89.49","89.56","89.79","88.84","1.08M","-0.28%"
"Apr 22, 2019","89.74","89.75","90.53","89.45","888.20K","-0.66%"
"Apr 18, 2019","90.34","90.17","90.67","89.36","1.29M","-0.42%"
"Apr 17, 2019","90.72","90.78","91.32","90.40","1.17M","0.67%"
"Apr 16, 2019","90.12","89.70","90.25","89.36","1.17M","0.45%"
"Apr 15, 2019","89.72","90.68","90.88","89.36","954.49K","-1.18%"
"Apr 12, 2019","90.79","89.99","91.22","89.81","1.38M","1.92%"
"Apr 11, 2019","89.08","88.55","89.14","87.94","861.80K","0.59%"
"Apr 10, 2019","88.56","87.31","88.63","87.05","778.49K","1.20%"
"Apr 09, 2019","87.51","87.36","87.72","86.73","1.50M","-1.11%"
"Apr 08, 2019","88.49","87.00","88.61","86.90","1.37M","1.78%"
"Apr 05, 2019","86.94","86.55","87.25","86.38","901.44K","0.58%"
"Apr 04, 2019","86.44","85.12","86.75","84.97","1.01M","1.72%"
"Apr 03, 2019","84.98","84.16","85.80","84.14","1.47M","2.47%"
"Apr 02, 2019","82.93","82.60","83.08","82.04","1.16M","0.42%"
"Apr 01, 2019","82.58","80.68","82.67","80.39","1.30M","3.89%"
"Mar 29, 2019","79.49","79.35","79.96","79.09","1.55M","0.86%"
"Mar 28, 2019","78.81","78.13","79.60","78.07","1.08M","1.42%"
"Mar 27, 2019","77.71","79.18","79.48","77.35","1.72M","-1.61%"
"Mar 26, 2019","78.98","78.61","79.29","78.34","809.02K","1.23%"
"Mar 25, 2019","78.02","77.60","78.59","77.11","1.18M","0.53%"
"Mar 22, 2019","77.61","80.19","80.60","77.58","1.72M","-4.07%"
"Mar 21, 2019","80.90","80.40","81.37","80.00","1.27M","0.58%"
"Mar 20, 2019","80.43","82.59","82.73","80.17","2.09M","-2.87%"
"Mar 19, 2019","82.81","81.67","83.60","81.57","1.95M","2.23%"
"Mar 18, 2019","81.00","81.75","81.97","80.52","1.86M","-1.17%"
"Mar 15, 2019","81.96","81.64","82.54","81.31","2.19M","1.06%"
"Mar 14, 2019","81.10","82.00","82.00","80.67","1.25M","-1.52%"
"Mar 13, 2019","82.35","82.69","83.43","82.33","1.48M","-0.15%"
"Mar 12, 2019","82.47","82.89","83.43","82.42","1.19M","-0.13%"
"Mar 11, 2019","82.58","81.99","83.08","81.88","1.31M","0.97%"
"Mar 08, 2019","81.79","81.24","82.11","81.01","1.73M","-0.43%"
"Mar 07, 2019","82.14","81.86","82.53","80.84","1.42M","-0.39%"
"Mar 06, 2019","82.46","83.64","84.24","82.31","1.43M","-1.82%"
"Mar 05, 2019","83.99","83.90","84.36","83.43","1.36M","0.05%"
"Mar 04, 2019","83.95","84.46","84.96","82.87","3.01M","-0.38%"
"Mar 01, 2019","84.27","83.99","84.82","83.43","1.68M","1.40%"
"Feb 28, 2019","83.11","82.95","83.31","82.28","1.94M","-0.24%"
"Feb 27, 2019","83.31","82.55","83.59","82.01","1.06M","0.65%"
"Feb 26, 2019","82.77","82.58","83.31","82.39","883.32K","-0.34%"
"Feb 25, 2019","83.05","83.03","83.94","82.76","1.36M","0.84%"
"Feb 22, 2019","82.36","81.43","82.41","81.15","926.15K","1.53%"
"Feb 21, 2019","81.12","81.36","82.03","80.90","1.07M","-0.72%"
"Feb 20, 2019","81.71","81.64","82.41","81.50","1.07M","0.50%"
"Feb 19, 2019","81.30","80.74","81.62","80.70","1.20M","0.43%"
"Feb 15, 2019","80.95","80.35","81.18","79.79","1.59M","1.63%"
"Feb 14, 2019","79.65","78.72","80.00","77.90","1.79M","0.16%"
"Feb 13, 2019","79.52","79.24","79.96","78.70","2.43M","3.06%"
"Feb 12, 2019","77.16","76.54","77.65","76.39","2.21M","1.45%"
"Feb 11, 2019","76.06","75.70","76.68","75.46","1.42M","0.49%"
"Feb 08, 2019","75.69","75.74","75.81","73.63","2.07M","-0.70%"
"Feb 07, 2019","76.22","77.25","77.57","75.66","2.30M","-2.63%"
"Feb 06, 2019","78.28","78.47","79.04","78.13","1.57M","-0.48%"
"Feb 05, 2019","78.66","78.23","78.99","78.11","1.82M","0.09%"
"Feb 04, 2019","78.59","78.08","78.76","76.44","2.99M","0.73%"
"Feb 01, 2019","78.02","78.21","78.72","77.09","4.40M","-1.40%"
"Jan 31, 2019","79.13","76.00","79.72","75.95","4.07M","7.24%"
"Jan 30, 2019","73.79","72.58","73.98","71.92","1.97M","1.88%"
"Jan 29, 2019","72.43","72.56","72.96","71.86","1.99M","-0.82%"
"Jan 28, 2019","73.03","72.42","73.19","71.82","1.60M","0.04%"
"Jan 25, 2019","73.00","72.00","73.48","71.84","2.45M","1.64%"
"Jan 24, 2019","71.82","70.50","71.96","70.34","1.13M","2.23%"
"Jan 23, 2019","70.25","71.71","71.71","69.36","1.49M","-2.05%"
"Jan 22, 2019","71.72","72.38","72.61","71.16","1.54M","-1.66%"
"Jan 18, 2019","72.93","71.59","73.47","70.92","2.24M","2.52%"
"Jan 17, 2019","71.14","69.95","71.15","69.59","1.85M","1.12%"
"Jan 16, 2019","70.35","69.31","71.10","69.09","1.80M","0.76%"
"Jan 15, 2019","69.82","70.33","70.80","68.48","2.79M","-0.78%"
"Jan 14, 2019","70.37","69.12","70.75","68.71","1.67M","1.35%"
"Jan 11, 2019","69.43","70.23","70.33","68.92","1.69M","-1.14%"
"Jan 10, 2019","70.23","69.25","70.30","68.80","2.10M","0.99%"
"Jan 09, 2019","69.54","67.76","70.92","67.76","4.29M","3.78%"
"Jan 08, 2019","67.01","64.73","67.03","64.73","3.05M","5.41%"
"Jan 07, 2019","63.57","62.80","63.91","62.18","1.82M","1.52%"
"Jan 04, 2019","62.62","60.90","63.01","60.89","2.15M","3.64%"
"Jan 03, 2019","60.42","60.92","61.08","58.91","2.72M","-1.19%"
"Jan 02, 2019","61.15","60.35","61.80","59.21","2.15M","-0.68%"
"Dec 31, 2018","61.57","61.50","61.67","60.32","1.52M","0.31%"
"Dec 28, 2018","61.38","62.00","62.21","60.74","1.63M","-0.94%"
"Dec 27, 2018","61.96","60.39","61.96","59.28","1.78M","0.36%"
"Dec 26, 2018","61.74","60.39","61.74","58.80","1.68M","2.76%"
