"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","2.76","2.75","2.78","2.48","1.56M","-4.50%"
"Oct 29, 2019","2.89","2.83","2.95","2.83","470.46K","0.00%"
"Oct 28, 2019","2.89","2.76","2.90","2.76","289.71K","3.96%"
"Oct 25, 2019","2.78","2.76","2.83","2.74","250.60K","1.09%"
"Oct 24, 2019","2.75","2.77","2.77","2.71","220.47K","0.73%"
"Oct 23, 2019","2.73","2.63","2.74","2.60","243.94K","3.80%"
"Oct 22, 2019","2.63","2.71","2.71","2.60","306.87K","-3.31%"
"Oct 21, 2019","2.72","2.69","2.75","2.63","234.44K","2.26%"
"Oct 18, 2019","2.66","2.53","2.69","2.53","387.18K","3.91%"
"Oct 17, 2019","2.56","2.64","2.64","2.55","278.17K","-3.03%"
"Oct 16, 2019","2.64","2.68","2.70","2.61","164.64K","-1.49%"
"Oct 15, 2019","2.68","2.62","2.72","2.62","184.46K","1.90%"
"Oct 14, 2019","2.63","2.66","2.66","2.56","269.30K","-1.50%"
"Oct 11, 2019","2.67","2.62","2.75","2.62","247.94K","3.49%"
"Oct 10, 2019","2.58","2.63","2.63","2.56","301.68K","-1.53%"
"Oct 09, 2019","2.62","2.64","2.67","2.58","259.26K","-0.38%"
"Oct 08, 2019","2.63","2.71","2.74","2.62","303.94K","-3.66%"
"Oct 07, 2019","2.73","2.73","2.82","2.71","334.85K","-0.36%"
"Oct 04, 2019","2.74","2.68","2.75","2.66","382.54K","1.86%"
"Oct 03, 2019","2.69","2.72","2.75","2.62","536.82K","-1.47%"
"Oct 02, 2019","2.73","2.77","2.77","2.66","427.52K","-2.50%"
"Oct 01, 2019","2.80","2.72","2.83","2.70","593.86K","1.08%"
"Sep 30, 2019","2.77","2.86","2.87","2.76","525.29K","-2.81%"
"Sep 27, 2019","2.85","2.92","2.99","2.85","311.08K","-2.06%"
"Sep 26, 2019","2.91","3.03","3.04","2.87","268.12K","-3.96%"
"Sep 25, 2019","3.03","3.10","3.11","3.02","280.43K","-2.57%"
"Sep 24, 2019","3.11","3.08","3.14","3.04","554.10K","1.30%"
"Sep 23, 2019","3.07","3.00","3.08","2.92","330.82K","3.37%"
"Sep 20, 2019","2.97","2.88","3.06","2.88","2.51M","2.77%"
"Sep 19, 2019","2.89","2.94","2.99","2.88","504.20K","-1.03%"
"Sep 18, 2019","2.92","3.09","3.10","2.88","585.41K","-5.19%"
"Sep 17, 2019","3.08","3.12","3.17","3.06","432.70K","-1.60%"
