"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","12.72","12.76","12.88","12.52","1.04M","0.55%"
"Nov 04, 2019","12.65","12.52","12.77","12.19","1.31M","4.46%"
"Nov 01, 2019","12.11","11.45","12.16","11.34","1.11M","6.23%"
"Oct 31, 2019","11.40","10.95","11.40","10.30","1.73M","4.11%"
"Oct 30, 2019","10.95","11.60","11.75","10.85","2.77M","-6.09%"
"Oct 29, 2019","11.66","12.55","12.65","11.58","2.05M","-7.09%"
"Oct 28, 2019","12.55","13.55","13.82","12.39","1.89M","-8.06%"
"Oct 25, 2019","13.65","13.77","13.95","13.55","405.08K","-1.16%"
"Oct 24, 2019","13.81","14.17","14.18","13.79","451.17K","-2.47%"
"Oct 23, 2019","14.16","14.10","14.19","14.03","290.21K","0.57%"
"Oct 22, 2019","14.08","13.92","14.31","13.91","377.12K","1.00%"
"Oct 21, 2019","13.94","13.77","14.02","13.71","358.19K","1.98%"
"Oct 18, 2019","13.67","13.52","13.83","13.45","566.29K","0.96%"
"Oct 17, 2019","13.54","13.59","13.70","13.51","329.16K","-0.44%"
"Oct 16, 2019","13.60","13.70","13.80","13.60","218.22K","-0.66%"
"Oct 15, 2019","13.69","13.51","13.73","13.45","465.62K","1.33%"
"Oct 14, 2019","13.51","13.86","13.98","13.40","895.60K","-3.36%"
"Oct 11, 2019","13.98","14.02","14.07","13.83","510.81K","0.07%"
"Oct 10, 2019","13.97","13.95","14.08","13.80","366.79K","0.65%"
"Oct 09, 2019","13.88","13.95","14.10","13.81","667.26K","1.46%"
"Oct 08, 2019","13.68","14.43","14.54","13.65","808.18K","-5.13%"
"Oct 07, 2019","14.42","14.75","14.81","14.41","485.21K","-2.24%"
"Oct 04, 2019","14.75","14.86","14.88","14.69","320.84K","0.34%"
"Oct 03, 2019","14.70","14.85","14.90","14.55","580.59K","-0.47%"
"Oct 02, 2019","14.77","15.31","15.40","14.71","618.66K","-3.46%"
"Oct 01, 2019","15.30","15.96","16.13","15.12","873.37K","-4.43%"
"Sep 30, 2019","16.01","15.95","16.14","15.77","325.12K","0.38%"
"Sep 27, 2019","15.95","15.85","16.00","15.73","187.29K","0.89%"
"Sep 26, 2019","15.81","16.01","16.02","15.45","338.10K","-0.69%"
"Sep 25, 2019","15.92","15.85","16.05","15.79","233.06K","0.57%"
"Sep 24, 2019","15.83","15.68","15.88","15.65","202.77K","0.44%"
"Sep 23, 2019","15.76","15.80","16.12","15.75","316.11K","-1.38%"
"Sep 20, 2019","15.98","15.80","15.99","15.65","408.09K","1.52%"
"Sep 19, 2019","15.74","15.93","15.96","15.62","181.69K","-0.44%"
"Sep 18, 2019","15.81","15.68","16.03","15.61","279.98K","0.64%"
"Sep 17, 2019","15.71","16.05","16.05","15.60","240.18K","-1.94%"
"Sep 16, 2019","16.02","15.99","16.16","15.75","339.80K","0.63%"
"Sep 13, 2019","15.92","16.14","16.33","15.78","302.40K","0.38%"
"Sep 12, 2019","15.86","16.45","16.49","15.86","315.51K","-3.88%"
"Sep 11, 2019","16.50","16.74","16.74","16.47","242.19K","-1.08%"
"Sep 10, 2019","16.68","16.39","16.70","16.34","474.74K","1.58%"
"Sep 09, 2019","16.42","16.00","16.49","16.00","300.77K","2.95%"
"Sep 06, 2019","15.95","16.22","16.30","15.95","196.03K","-2.03%"
"Sep 05, 2019","16.28","16.07","16.40","15.88","435.89K","3.04%"
"Sep 04, 2019","15.80","15.70","16.30","15.59","540.02K","1.35%"
"Sep 03, 2019","15.59","15.47","15.61","15.18","326.75K","0.78%"
"Aug 30, 2019","15.47","15.47","15.54","15.12","699.01K","1.44%"
"Aug 29, 2019","15.25","14.86","15.28","14.86","266.55K","2.83%"
"Aug 28, 2019","14.83","14.95","14.95","14.70","297.73K","-0.74%"
"Aug 27, 2019","14.94","15.24","15.35","14.90","215.36K","-1.84%"
"Aug 26, 2019","15.22","15.81","15.81","15.18","296.38K","-3.06%"
"Aug 23, 2019","15.70","15.58","15.88","15.50","411.06K","1.49%"
"Aug 22, 2019","15.47","15.35","15.65","15.28","344.83K","1.58%"
"Aug 21, 2019","15.23","15.00","15.25","14.91","464.45K","2.63%"
"Aug 20, 2019","14.84","15.07","15.07","14.76","354.32K","-1.33%"
"Aug 19, 2019","15.04","15.06","15.20","14.92","358.78K","0.53%"
"Aug 16, 2019","14.96","14.52","14.96","14.48","389.36K","3.24%"
"Aug 15, 2019","14.49","14.69","14.95","14.41","485.79K","-1.09%"
"Aug 14, 2019","14.65","15.06","15.13","14.53","500.73K","-2.07%"
"Aug 13, 2019","14.96","14.81","15.12","14.56","712.91K","1.84%"
"Aug 12, 2019","14.69","16.00","16.23","14.60","1.16M","-8.19%"
"Aug 09, 2019","16.00","16.50","16.75","15.96","305.00K","-2.79%"
"Aug 08, 2019","16.46","16.06","16.47","16.03","795.41K","2.17%"
"Aug 07, 2019","16.11","16.36","16.40","15.87","693.46K","-2.13%"
"Aug 06, 2019","16.46","16.97","17.01","16.42","449.16K","-3.63%"
"Aug 05, 2019","17.08","17.38","17.38","16.97","594.05K","-0.41%"
"Aug 02, 2019","17.15","17.50","17.50","17.07","400.11K","-1.04%"
"Aug 01, 2019","17.33","17.50","17.61","17.33","331.16K","-1.14%"
"Jul 31, 2019","17.53","17.59","17.69","17.47","281.38K","-0.40%"
"Jul 30, 2019","17.60","17.54","17.60","17.30","286.80K","0.34%"
"Jul 29, 2019","17.54","17.13","17.59","17.06","397.56K","2.39%"
"Jul 26, 2019","17.13","17.00","17.47","16.96","679.81K","-0.35%"
"Jul 25, 2019","17.19","17.40","17.83","17.05","791.73K","-1.15%"
"Jul 24, 2019","17.39","17.25","17.65","17.25","218.87K","0.52%"
"Jul 23, 2019","17.30","17.06","17.41","17.06","302.54K","1.41%"
"Jul 22, 2019","17.06","17.07","17.13","16.93","507.09K","0.59%"
"Jul 19, 2019","16.96","17.00","17.10","16.75","416.18K","0.00%"
"Jul 18, 2019","16.96","16.85","17.07","16.71","415.26K","0.30%"
"Jul 17, 2019","16.91","17.05","17.26","16.81","679.41K","-2.03%"
"Jul 16, 2019","17.26","17.52","17.57","17.05","664.13K","-1.48%"
"Jul 15, 2019","17.52","17.75","18.01","17.50","595.79K","-1.07%"
"Jul 12, 2019","17.71","17.99","17.99","17.56","487.97K","-0.84%"
"Jul 11, 2019","17.86","18.09","18.10","17.82","234.24K","-0.72%"
"Jul 10, 2019","17.99","18.01","18.09","17.87","225.95K","0.00%"
"Jul 09, 2019","17.99","18.02","18.11","17.75","362.51K","-0.06%"
"Jul 08, 2019","18.00","17.68","18.03","17.64","589.90K","1.75%"
"Jul 05, 2019","17.69","17.65","17.79","17.59","453.46K","0.40%"
"Jul 03, 2019","17.62","17.35","17.68","17.35","332.44K","1.85%"
"Jul 02, 2019","17.30","17.15","17.38","16.94","692.62K","1.70%"
"Jul 01, 2019","17.01","17.09","17.35","16.99","519.33K","0.18%"
"Jun 28, 2019","16.98","16.91","17.10","16.87","319.01K","0.47%"
"Jun 27, 2019","16.90","16.89","17.09","16.87","344.35K","0.00%"
"Jun 26, 2019","16.90","16.97","17.07","16.90","330.57K","0.12%"
"Jun 25, 2019","16.88","17.01","17.09","16.85","778.96K","-0.59%"
"Jun 24, 2019","16.98","16.96","17.29","16.95","699.52K","0.06%"
"Jun 21, 2019","16.97","17.10","17.12","16.88","606.06K","-0.76%"
"Jun 20, 2019","17.10","17.11","17.32","16.91","851.07K","1.18%"
"Jun 19, 2019","16.90","17.09","17.15","16.90","436.17K","-0.76%"
"Jun 18, 2019","17.03","17.03","17.29","16.99","430.97K","0.24%"
"Jun 17, 2019","16.99","16.99","17.07","16.88","353.11K","0.24%"
"Jun 14, 2019","16.95","17.05","17.10","16.87","367.47K","0.00%"
"Jun 13, 2019","16.95","16.90","17.09","16.81","334.91K","0.59%"
"Jun 12, 2019","16.85","17.30","17.35","16.83","554.66K","-2.60%"
"Jun 11, 2019","17.30","17.23","17.56","17.23","280.51K","0.58%"
"Jun 10, 2019","17.20","17.43","17.60","17.17","321.38K","-1.26%"
"Jun 07, 2019","17.42","17.42","17.56","17.25","396.82K","-0.11%"
"Jun 06, 2019","17.44","17.41","17.55","17.30","277.30K","-0.11%"
"Jun 05, 2019","17.46","17.52","17.71","17.17","288.62K","-0.34%"
"Jun 04, 2019","17.52","17.31","17.74","17.31","454.56K","1.33%"
"Jun 03, 2019","17.29","17.26","17.58","17.24","377.74K","0.46%"
"May 31, 2019","17.21","17.00","17.21","16.66","254.70K","1.00%"
"May 30, 2019","17.04","17.15","17.45","17.00","223.23K","-0.58%"
"May 29, 2019","17.14","17.11","17.16","16.61","569.53K","-0.23%"
"May 28, 2019","17.18","17.50","17.52","17.14","532.03K","-1.21%"
"May 24, 2019","17.39","17.63","17.82","17.37","702.17K","-0.91%"
"May 23, 2019","17.55","18.00","18.05","17.51","736.78K","-2.82%"
"May 22, 2019","18.06","18.35","18.41","18.01","320.72K","-1.90%"
"May 21, 2019","18.41","18.42","18.50","18.36","301.49K","0.00%"
"May 20, 2019","18.41","18.68","18.79","18.34","393.32K","-0.97%"
"May 17, 2019","18.59","19.00","19.00","18.55","495.93K","-1.38%"
"May 16, 2019","18.85","18.44","19.04","18.43","516.72K","2.11%"
"May 15, 2019","18.46","18.56","18.63","18.26","255.93K","-0.38%"
"May 14, 2019","18.53","18.29","18.61","18.27","289.05K","1.42%"
"May 13, 2019","18.27","18.28","18.48","18.16","556.86K","-1.03%"
"May 10, 2019","18.46","18.51","18.67","18.37","452.43K","-0.32%"
"May 09, 2019","18.52","18.52","18.55","18.28","424.63K","-0.38%"
"May 08, 2019","18.59","18.54","18.83","18.51","317.46K","-0.27%"
"May 07, 2019","18.64","18.79","18.88","18.43","597.26K","-3.67%"
"May 06, 2019","19.35","19.29","19.39","19.10","527.65K","-0.36%"
"May 03, 2019","19.42","19.25","19.43","19.12","786.39K","1.46%"
"May 02, 2019","19.14","19.11","19.24","18.95","438.59K","0.21%"
"May 01, 2019","19.10","19.28","19.36","18.95","694.77K","-0.88%"
"Apr 30, 2019","19.27","19.66","19.68","19.09","803.60K","-0.36%"
"Apr 29, 2019","19.34","19.87","19.90","19.23","851.32K","-0.26%"
"Apr 26, 2019","19.39","19.23","19.45","19.18","652.35K","0.99%"
"Apr 25, 2019","19.20","18.88","19.30","18.88","763.32K","1.69%"
"Apr 24, 2019","18.88","18.93","19.09","18.80","477.90K","-0.21%"
"Apr 23, 2019","18.92","18.92","19.24","18.88","631.00K","0.37%"
"Apr 22, 2019","18.85","18.66","19.01","18.65","520.53K","1.18%"
"Apr 18, 2019","18.63","18.61","18.73","18.41","558.33K","0.11%"
"Apr 17, 2019","18.61","18.89","18.93","18.55","397.76K","-1.48%"
"Apr 16, 2019","18.89","18.75","18.94","18.70","495.11K","0.75%"
"Apr 15, 2019","18.75","18.63","18.75","18.55","473.22K","0.81%"
