"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","54.54","54.48","54.82","54.48","3.90K","-0.18%"
"Oct 15, 2019","54.64","55.39","55.39","54.45","187.80K","-0.96%"
"Oct 14, 2019","55.17","55.72","55.75","54.80","344.40K","-0.74%"
"Oct 11, 2019","55.58","54.65","56.43","54.65","294.90K","1.09%"
"Oct 10, 2019","54.98","54.90","55.10","54.12","166.20K","0.33%"
"Oct 09, 2019","54.80","55.21","55.75","54.62","388.40K","-0.72%"
"Oct 08, 2019","55.20","55.77","56.20","54.65","485.40K","-1.43%"
"Oct 07, 2019","56.00","55.45","56.40","54.70","902.70K","1.01%"
"Oct 04, 2019","55.44","52.92","55.52","52.68","992.40K","4.76%"
"Oct 03, 2019","52.92","51.15","53.08","51.01","663.30K","3.60%"
"Oct 02, 2019","51.08","49.99","51.65","49.90","771.10K","2.96%"
"Oct 01, 2019","49.61","49.52","50.09","49.18","247.80K","0.32%"
"Sep 30, 2019","49.45","49.50","50.23","49.28","343.50K","0.28%"
"Sep 27, 2019","49.31","49.59","50.07","48.98","307.10K","-0.22%"
"Sep 26, 2019","49.42","49.29","49.62","48.75","236.30K","1.17%"
"Sep 25, 2019","48.85","49.03","49.20","48.04","378.60K","-0.16%"
"Sep 24, 2019","48.93","49.13","49.52","48.22","618.40K","-0.16%"
"Sep 23, 2019","49.01","50.11","50.40","48.98","583.30K","-2.49%"
"Sep 20, 2019","50.26","49.59","50.26","49.15","195.50K","1.03%"
"Sep 19, 2019","49.75","49.30","50.29","49.15","285.20K","0.91%"
"Sep 18, 2019","49.30","50.25","50.25","48.50","139.70K","0.45%"
"Sep 17, 2019","49.08","48.20","49.34","47.77","181.20K","1.80%"
"Sep 16, 2019","48.21","48.30","48.31","47.30","140.10K","0.23%"
"Sep 13, 2019","48.10","49.06","49.06","48.04","255.10K","-1.23%"
"Sep 12, 2019","48.70","49.63","50.19","48.60","376.70K","-1.54%"
"Sep 11, 2019","49.46","48.06","49.46","47.99","165.10K","3.45%"
"Sep 10, 2019","47.81","48.21","48.31","47.32","652.30K","-0.25%"
"Sep 09, 2019","47.93","48.18","48.18","47.19","442.30K","-0.13%"
"Sep 06, 2019","47.99","48.64","49.16","47.84","255.80K","-0.91%"
"Sep 05, 2019","48.43","48.65","49.20","48.12","432.70K","0.71%"
"Sep 04, 2019","48.09","48.17","48.30","47.62","181.00K","1.03%"
"Sep 03, 2019","47.60","48.23","49.08","47.48","165.40K","-1.24%"
"Sep 02, 2019","48.20","49.48","49.48","48.20","248.60K","-2.59%"
"Aug 30, 2019","49.48","48.00","49.48","47.46","474.80K","3.38%"
"Aug 29, 2019","47.86","46.54","48.47","45.99","1.36M","4.04%"
"Aug 28, 2019","46.00","46.00","46.35","45.53","403.30K","0.37%"
"Aug 27, 2019","45.83","45.81","46.87","45.25","410.80K","0.20%"
"Aug 26, 2019","45.74","46.60","46.64","45.25","444.50K","-0.57%"
"Aug 23, 2019","46.00","47.16","47.24","46.00","346.80K","-2.54%"
"Aug 22, 2019","47.20","48.58","48.58","47.05","374.50K","-2.28%"
"Aug 21, 2019","48.30","47.32","48.30","47.32","504.40K","2.18%"
"Aug 20, 2019","47.27","47.93","47.95","46.44","439.50K","-0.69%"
"Aug 19, 2019","47.60","48.10","48.50","47.16","468.00K","1.34%"
"Aug 16, 2019","46.97","47.68","47.68","46.05","495.70K","0.62%"
"Aug 15, 2019","46.68","48.79","48.79","46.51","705.40K","-2.95%"
"Aug 14, 2019","48.10","49.14","49.31","47.47","801.60K","-2.12%"
"Aug 13, 2019","49.14","49.40","49.65","48.35","740.50K","-0.53%"
"Aug 12, 2019","49.40","50.35","50.35","49.10","662.60K","-1.89%"
"Aug 09, 2019","50.35","50.91","51.65","49.72","509.20K","-1.10%"
"Aug 08, 2019","50.91","50.57","51.49","50.13","425.40K","0.81%"
"Aug 07, 2019","50.50","52.00","52.00","49.98","1.12M","-2.94%"
"Aug 06, 2019","52.03","51.38","52.03","50.43","297.80K","2.56%"
"Aug 05, 2019","50.73","51.33","52.16","50.31","168.10K","-1.21%"
"Aug 02, 2019","51.35","51.97","52.20","51.10","118.40K","-1.21%"
"Aug 01, 2019","51.98","50.48","52.82","50.48","565.30K","3.16%"
"Jul 31, 2019","50.39","49.71","50.83","49.71","660.90K","1.02%"
"Jul 30, 2019","49.88","49.95","50.61","49.70","270.50K","-0.06%"
"Jul 29, 2019","49.91","50.49","50.90","49.91","140.80K","-0.54%"
"Jul 26, 2019","50.18","49.85","51.03","49.47","285.30K","1.07%"
"Jul 25, 2019","49.65","50.56","50.68","49.41","620.70K","-0.90%"
"Jul 24, 2019","50.10","50.08","50.87","48.60","432.40K","0.20%"
"Jul 23, 2019","50.00","51.01","51.24","49.93","232.20K","-1.96%"
"Jul 22, 2019","51.00","52.21","52.38","51.00","185.80K","-2.73%"
"Jul 19, 2019","52.43","52.35","52.43","51.43","103.90K","0.77%"
"Jul 18, 2019","52.03","52.34","52.52","51.67","77.70K","-0.55%"
"Jul 17, 2019","52.32","52.98","53.54","51.82","242.00K","-0.48%"
"Jul 16, 2019","52.57","51.81","52.57","51.24","145.00K","1.49%"
"Jul 15, 2019","51.80","52.74","52.97","51.29","150.60K","-1.61%"
"Jul 12, 2019","52.65","52.50","53.32","52.04","513.40K","0.36%"
"Jul 11, 2019","52.46","53.28","53.36","52.37","115.60K","-1.54%"
"Jul 10, 2019","53.28","52.15","53.88","52.09","270.40K","2.17%"
"Jul 08, 2019","52.15","52.03","52.50","51.58","169.70K","0.25%"
"Jul 05, 2019","52.02","51.20","52.02","50.69","456.80K","2.00%"
"Jul 04, 2019","51.00","50.30","51.37","50.29","110.30K","1.43%"
"Jul 03, 2019","50.28","50.26","50.28","49.48","310.90K","0.76%"
"Jul 02, 2019","49.90","50.08","50.27","49.55","172.00K","0.16%"
"Jul 01, 2019","49.82","50.11","50.18","49.43","404.40K","-0.76%"
"Jun 28, 2019","50.20","48.76","50.20","48.71","313.40K","3.23%"
"Jun 27, 2019","48.63","48.74","48.90","48.29","296.20K","0.00%"
"Jun 26, 2019","48.63","49.13","49.67","48.53","316.50K","-1.00%"
"Jun 25, 2019","49.12","49.68","49.94","48.98","141.40K","-1.50%"
"Jun 24, 2019","49.87","50.26","50.47","49.37","130.80K","-0.34%"
"Jun 21, 2019","50.04","50.04","50.37","49.65","163.90K","0.56%"
"Jun 19, 2019","49.76","49.26","49.77","49.26","154.60K","2.01%"
"Jun 18, 2019","48.78","48.90","49.74","48.60","174.10K","-0.49%"
"Jun 17, 2019","49.02","49.22","50.16","48.78","402.90K","-0.06%"
"Jun 14, 2019","49.05","48.78","49.72","48.78","416.20K","-0.85%"
"Jun 13, 2019","49.47","48.47","49.49","48.01","232.60K","3.17%"
"Jun 12, 2019","47.95","49.17","49.54","47.95","215.30K","-1.86%"
"Jun 11, 2019","48.86","49.30","50.00","48.86","169.10K","-1.01%"
"Jun 10, 2019","49.36","49.90","50.12","49.15","257.00K","-0.48%"
"Jun 07, 2019","49.60","49.00","50.25","48.80","309.40K","1.22%"
"Jun 06, 2019","49.00","48.70","49.64","48.58","178.20K","-0.41%"
"Jun 05, 2019","49.20","48.61","49.39","48.61","264.30K","1.44%"
"Jun 04, 2019","48.50","50.14","50.15","47.81","937.40K","-3.27%"
"Jun 03, 2019","50.14","50.96","50.96","50.07","304.00K","-0.71%"
"May 31, 2019","50.50","49.59","50.50","49.05","327.30K","1.69%"
"May 30, 2019","49.66","48.81","50.59","48.30","324.40K","1.12%"
"May 29, 2019","49.11","47.84","49.23","47.10","484.30K","2.63%"
"May 28, 2019","47.85","48.00","48.89","47.60","864.60K","-0.64%"
"May 27, 2019","48.16","49.24","49.24","47.96","162.20K","-0.60%"
"May 24, 2019","48.45","49.28","49.28","47.95","153.60K","-1.24%"
"May 23, 2019","49.06","48.85","49.50","48.54","147.80K","-0.06%"
"May 22, 2019","49.09","49.01","50.00","48.44","199.90K","0.18%"
"May 21, 2019","49.00","46.95","49.39","46.91","217.30K","4.14%"
"May 20, 2019","47.05","46.44","47.44","46.13","223.40K","1.31%"
"May 17, 2019","46.44","47.62","47.62","45.79","886.10K","-2.07%"
"May 16, 2019","47.42","47.95","48.29","46.52","312.50K","-0.96%"
"May 15, 2019","47.88","47.74","47.93","46.30","417.50K","-0.25%"
"May 14, 2019","48.00","48.97","48.97","47.72","132.40K","-0.56%"
"May 13, 2019","48.27","48.49","48.50","47.47","327.20K","-0.47%"
"May 10, 2019","48.50","49.74","49.78","48.37","231.90K","-2.14%"
"May 09, 2019","49.56","50.89","50.89","49.56","296.80K","-2.63%"
"May 08, 2019","50.90","51.19","51.22","50.47","179.90K","0.47%"
"May 07, 2019","50.66","49.80","50.66","49.05","132.20K","0.92%"
"May 06, 2019","50.20","50.70","50.95","49.80","215.00K","-1.91%"
"May 03, 2019","51.18","50.47","51.18","49.72","206.60K","2.36%"
"May 02, 2019","50.00","50.69","50.78","49.47","144.90K","-1.57%"
"Apr 30, 2019","50.80","49.92","50.80","49.38","387.70K","1.82%"
"Apr 29, 2019","49.89","51.48","51.48","49.64","229.60K","-1.44%"
"Apr 26, 2019","50.62","50.80","50.89","49.84","273.20K","0.48%"
"Apr 25, 2019","50.38","49.78","50.38","48.88","319.20K","1.18%"
"Apr 24, 2019","49.79","47.89","49.79","47.47","759.90K","3.06%"
"Apr 23, 2019","48.31","46.63","48.49","46.63","314.80K","3.63%"
"Apr 22, 2019","46.62","47.62","47.62","46.51","129.90K","-1.65%"
"Apr 18, 2019","47.40","46.38","47.40","45.91","439.10K","2.60%"
"Apr 17, 2019","46.20","47.31","47.57","45.63","554.60K","-1.93%"
"Apr 16, 2019","47.11","48.65","48.65","47.11","236.70K","-2.67%"
"Apr 15, 2019","48.40","48.75","48.75","48.07","155.80K","-0.21%"
"Apr 12, 2019","48.50","48.46","48.84","47.68","264.90K","-0.41%"
"Apr 11, 2019","48.70","48.99","48.99","48.05","327.30K","-0.61%"
"Apr 10, 2019","49.00","49.08","49.08","48.34","287.60K","-0.06%"
"Apr 09, 2019","49.03","49.32","49.32","47.85","625.60K","-0.26%"
"Apr 08, 2019","49.16","49.49","49.85","48.63","381.00K","-0.65%"
"Apr 05, 2019","49.48","49.20","49.94","48.79","406.30K","0.37%"
"Apr 04, 2019","49.30","50.28","50.30","49.30","413.60K","-1.30%"
"Apr 03, 2019","49.95","50.35","50.70","49.33","273.00K","-0.89%"
"Apr 02, 2019","50.40","50.80","50.80","49.66","313.80K","-0.63%"
"Apr 01, 2019","50.72","50.56","51.24","49.78","383.10K","1.48%"
"Mar 29, 2019","49.98","50.16","50.16","49.04","475.10K","1.52%"
"Mar 28, 2019","49.23","49.60","49.82","48.75","387.70K","-0.75%"
"Mar 27, 2019","49.60","49.52","49.70","48.51","340.30K","-1.61%"
"Mar 26, 2019","50.41","50.59","50.59","49.40","452.20K","1.33%"
"Mar 25, 2019","49.75","50.35","51.64","49.57","318.70K","-0.34%"
"Mar 22, 2019","49.92","50.00","50.33","49.13","421.70K","-1.71%"
"Mar 21, 2019","50.79","50.26","51.02","48.66","1.68M","0.57%"
"Mar 20, 2019","50.50","52.54","52.75","50.50","228.40K","-3.44%"
"Mar 19, 2019","52.30","52.75","53.48","52.30","173.10K","-1.38%"
"Mar 18, 2019","53.03","52.17","53.03","51.63","246.70K","1.79%"
"Mar 15, 2019","52.10","53.00","53.02","52.10","371.00K","-1.62%"
"Mar 14, 2019","52.96","52.94","53.18","51.79","289.50K","-0.73%"
"Mar 13, 2019","53.35","53.53","53.53","52.17","186.80K","-0.06%"
"Mar 12, 2019","53.38","53.46","53.79","53.01","155.60K","-0.39%"
"Mar 11, 2019","53.59","52.66","53.90","52.10","440.70K","2.66%"
"Mar 08, 2019","52.20","50.92","52.35","50.63","364.40K","1.42%"
"Mar 07, 2019","51.47","52.18","52.23","50.82","233.80K","-1.40%"
