"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","5.07","5.08","5.08","5.07","25.90K","0.20%"
"Oct 28, 2019","5.06","5.11","5.11","4.98","457.28K","-1.56%"
"Oct 25, 2019","5.14","5.11","5.15","5.09","394.15K","0.78%"
"Oct 24, 2019","5.10","5.10","5.10","5.06","539.84K","0.59%"
"Oct 23, 2019","5.07","5.04","5.09","5.04","210.88K","0.80%"
"Oct 22, 2019","5.03","5.05","5.06","5.03","324.36K","-0.20%"
"Oct 21, 2019","5.04","5.02","5.04","5.01","1.36M","0.40%"
"Oct 18, 2019","5.02","5.01","5.07","5.01","308.10K","0.20%"
"Oct 17, 2019","5.01","5.01","5.04","4.97","944.69K","0.80%"
"Oct 16, 2019","4.97","4.95","4.97","4.92","423.73K","0.40%"
"Oct 15, 2019","4.95","4.96","4.96","4.93","677.82K","0.00%"
"Oct 14, 2019","4.95","4.90","4.98","4.90","342.05K","2.91%"
"Oct 11, 2019","4.81","4.82","4.85","4.80","307.92K","0.21%"
"Oct 10, 2019","4.80","4.78","4.82","4.76","316.52K","1.05%"
"Oct 09, 2019","4.75","4.69","4.77","4.67","334.43K","0.42%"
"Oct 08, 2019","4.73","4.74","4.77","4.70","585.81K","1.50%"
"Oct 07, 2019","4.66","4.69","4.74","4.66","399.76K","-0.85%"
"Oct 04, 2019","4.70","4.65","4.72","4.63","319.18K","1.29%"
"Oct 03, 2019","4.64","4.62","4.68","4.59","216.82K","0.43%"
"Oct 02, 2019","4.62","4.59","4.62","4.56","382.78K","-0.65%"
"Oct 01, 2019","4.65","4.63","4.67","4.63","497.93K","4.26%"
"Sep 30, 2019","4.46","4.49","4.52","4.44","429.48K","-0.89%"
"Sep 27, 2019","4.50","4.58","4.58","4.46","291.43K","-1.96%"
"Sep 26, 2019","4.59","4.50","4.62","4.50","961.49K","1.10%"
"Sep 25, 2019","4.54","4.49","4.57","4.48","501.22K","-1.09%"
"Sep 24, 2019","4.59","4.59","4.64","4.55","833.19K","-0.86%"
"Sep 23, 2019","4.63","4.45","4.64","4.45","1.01M","2.43%"
"Sep 20, 2019","4.52","4.64","4.67","4.49","1.70M","-2.16%"
"Sep 19, 2019","4.62","4.63","4.67","4.61","564.20K","-0.22%"
"Sep 18, 2019","4.63","4.64","4.67","4.59","307.54K","-0.64%"
"Sep 17, 2019","4.66","4.66","4.67","4.63","291.61K","0.43%"
"Sep 16, 2019","4.64","4.65","4.67","4.63","203.01K","-1.07%"
"Sep 13, 2019","4.69","4.61","4.75","4.61","845.16K","0.86%"
"Sep 12, 2019","4.65","4.60","4.66","4.57","288.45K","2.20%"
"Sep 11, 2019","4.55","4.47","4.57","4.47","191.33K","0.89%"
"Sep 10, 2019","4.51","4.41","4.53","4.41","187.16K","0.00%"
"Sep 09, 2019","4.51","4.57","4.57","4.50","145.99K","-0.44%"
"Sep 06, 2019","4.53","4.60","4.60","4.52","268.37K","-1.09%"
"Sep 05, 2019","4.58","4.55","4.60","4.55","274.25K","0.44%"
