"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","29.70","32.60","32.60","27.61","2.60M","-18.72%"
"Oct 29, 2019","36.54","36.47","36.85","36.23","409.70K","-0.57%"
"Oct 28, 2019","36.75","36.50","37.10","36.50","461.08K","0.77%"
"Oct 25, 2019","36.47","36.15","36.64","36.15","329.57K","0.94%"
"Oct 24, 2019","36.13","36.50","36.80","36.01","429.45K","-0.93%"
"Oct 23, 2019","36.47","36.48","36.70","36.27","555.26K","0.39%"
"Oct 22, 2019","36.33","36.26","36.36","36.10","855.93K","0.22%"
"Oct 21, 2019","36.25","36.10","36.70","35.12","486.68K","1.12%"
"Oct 18, 2019","35.85","36.17","36.34","35.81","502.53K","-1.21%"
"Oct 17, 2019","36.29","36.66","36.74","36.16","561.68K","-0.58%"
"Oct 16, 2019","36.50","36.56","37.12","36.27","662.91K","-0.52%"
"Oct 15, 2019","36.69","35.72","37.35","35.41","1.73M","2.37%"
"Oct 14, 2019","35.84","35.90","36.21","35.78","433.54K","-0.39%"
"Oct 11, 2019","35.98","35.86","36.30","35.79","973.71K","1.58%"
"Oct 10, 2019","35.42","35.73","36.05","35.37","509.03K","-0.70%"
"Oct 09, 2019","35.67","35.72","36.19","35.61","412.27K","0.54%"
"Oct 08, 2019","35.48","36.58","36.66","35.45","473.21K","-3.80%"
"Oct 07, 2019","36.88","36.52","37.52","36.52","470.86K","0.33%"
"Oct 04, 2019","36.76","37.66","38.08","36.65","439.55K","-2.47%"
"Oct 03, 2019","37.69","37.61","38.09","37.20","429.23K","-0.24%"
"Oct 02, 2019","37.78","37.53","37.96","37.45","543.12K","-0.45%"
"Oct 01, 2019","37.95","38.37","38.71","37.91","478.74K","-0.37%"
"Sep 30, 2019","38.09","38.16","38.49","37.81","687.52K","0.18%"
"Sep 27, 2019","38.02","38.50","38.82","37.68","627.78K","-0.47%"
"Sep 26, 2019","38.20","38.73","38.87","37.73","2.06M","-1.37%"
"Sep 25, 2019","38.73","41.11","41.52","38.71","809.94K","-5.84%"
"Sep 24, 2019","41.13","41.42","41.73","40.79","367.83K","-0.15%"
"Sep 23, 2019","41.19","40.35","41.44","40.05","501.48K","1.30%"
"Sep 20, 2019","40.66","42.49","42.49","40.57","993.73K","-3.83%"
"Sep 19, 2019","42.28","42.07","42.72","42.07","495.09K","0.67%"
"Sep 18, 2019","42.00","41.87","42.14","41.52","496.74K","0.50%"
"Sep 17, 2019","41.79","41.47","41.94","41.19","457.03K","0.72%"
"Sep 16, 2019","41.49","40.87","41.98","40.81","581.28K","0.61%"
"Sep 13, 2019","41.24","41.81","42.61","41.15","467.02K","-1.10%"
"Sep 12, 2019","41.70","40.80","42.01","40.06","606.23K","2.79%"
"Sep 11, 2019","40.57","41.15","41.15","40.20","663.03K","-0.61%"
"Sep 10, 2019","40.82","40.85","41.34","40.48","696.25K","-0.44%"
"Sep 09, 2019","41.00","40.84","41.40","40.35","496.00K","0.39%"
"Sep 06, 2019","40.84","41.59","41.59","40.75","385.41K","-1.66%"
"Sep 05, 2019","41.53","41.20","41.93","41.20","497.29K","1.24%"
"Sep 04, 2019","41.02","41.85","41.96","40.60","492.16K","-1.35%"
"Sep 03, 2019","41.58","42.55","42.85","41.36","377.87K","-2.67%"
"Aug 30, 2019","42.72","42.68","42.96","41.80","787.57K","0.28%"
"Aug 29, 2019","42.60","43.68","44.14","42.42","490.86K","-1.82%"
"Aug 28, 2019","43.39","43.45","44.18","43.32","884.80K","-1.07%"
"Aug 27, 2019","43.86","45.73","46.06","43.71","691.37K","-3.71%"
"Aug 26, 2019","45.55","45.47","46.42","45.22","611.27K","1.36%"
"Aug 23, 2019","44.94","50.15","51.47","43.53","1.69M","-11.81%"
"Aug 22, 2019","50.96","51.56","51.70","50.63","454.51K","-0.82%"
"Aug 21, 2019","51.38","50.91","51.79","50.46","437.80K","2.35%"
"Aug 20, 2019","50.20","50.12","50.41","49.71","578.34K","0.38%"
"Aug 19, 2019","50.01","49.37","50.42","49.37","373.42K","2.46%"
"Aug 16, 2019","48.81","47.93","49.01","47.93","211.03K","2.39%"
"Aug 15, 2019","47.67","47.82","48.40","47.45","231.95K","-0.06%"
"Aug 14, 2019","47.70","47.44","48.05","47.34","212.42K","-0.85%"
"Aug 13, 2019","48.11","47.50","48.97","47.50","212.36K","0.82%"
"Aug 12, 2019","47.72","47.67","48.29","47.59","202.13K","-0.77%"
"Aug 09, 2019","48.09","47.89","48.72","47.89","234.17K","-0.19%"
"Aug 08, 2019","48.18","46.75","48.24","46.75","358.84K","3.95%"
