"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","1.50","1.49","1.50","1.48","5.20K","0.67%"
"Nov 19, 2019","1.49","1.50","1.50","1.48","4.90K","0.68%"
"Nov 18, 2019","1.48","1.48","1.52","1.48","26.10K","-0.67%"
"Nov 14, 2019","1.49","1.49","1.53","1.48","32.80K","-0.67%"
"Nov 13, 2019","1.50","1.53","1.53","1.48","25.30K","-1.96%"
"Nov 12, 2019","1.53","1.54","1.59","1.48","50.30K","0.66%"
"Nov 11, 2019","1.52","1.56","1.56","1.47","126.40K","-1.94%"
"Nov 08, 2019","1.55","1.54","1.56","1.52","44.90K","-1.27%"
"Nov 07, 2019","1.57","1.55","1.63","1.51","140.80K","0.00%"
"Nov 06, 2019","1.57","1.58","1.60","1.51","82.30K","-1.87%"
"Nov 05, 2019","1.60","1.60","1.61","1.59","19.30K","0.00%"
"Nov 04, 2019","1.60","1.59","1.61","1.56","38.80K","0.00%"
"Nov 01, 2019","1.60","1.59","1.61","1.57","32.40K","0.63%"
"Oct 31, 2019","1.59","1.61","1.64","1.59","38.40K","-1.24%"
"Oct 30, 2019","1.61","1.62","1.63","1.61","17.60K","-0.62%"
"Oct 29, 2019","1.62","1.62","1.64","1.61","7.50K","0.62%"
"Oct 28, 2019","1.61","1.60","1.63","1.60","23.80K","0.62%"
"Oct 25, 2019","1.60","1.64","1.64","1.60","25.10K","-1.23%"
"Oct 24, 2019","1.62","1.64","1.64","1.60","33.00K","-1.22%"
"Oct 23, 2019","1.64","1.62","1.65","1.62","105.90K","0.00%"
"Oct 22, 2019","1.64","1.64","1.64","1.62","33.90K","1.86%"
"Oct 21, 2019","1.61","1.66","1.66","1.61","36.80K","-2.42%"
"Oct 18, 2019","1.65","1.69","1.69","1.64","7.80K","0.61%"
"Oct 17, 2019","1.64","1.66","1.68","1.63","18.00K","0.00%"
"Oct 16, 2019","1.64","1.68","1.69","1.64","26.70K","-2.38%"
"Oct 15, 2019","1.68","1.70","1.70","1.65","28.00K","1.82%"
"Oct 14, 2019","1.65","1.65","1.75","1.58","197.80K","-1.20%"
"Oct 11, 2019","1.67","1.66","1.72","1.66","24.50K","-1.76%"
"Oct 10, 2019","1.70","1.70","1.71","1.68","6.80K","-1.16%"
"Oct 09, 2019","1.72","1.66","1.72","1.66","42.90K","5.52%"
"Oct 08, 2019","1.63","1.66","1.67","1.63","5.40K","0.62%"
"Oct 07, 2019","1.62","1.66","1.67","1.62","17.40K","-2.41%"
"Oct 04, 2019","1.66","1.67","1.69","1.62","26.20K","2.47%"
"Oct 03, 2019","1.62","1.65","1.67","1.62","6.60K","-2.41%"
"Oct 02, 2019","1.66","1.70","1.70","1.58","45.60K","-2.35%"
"Oct 01, 2019","1.70","1.70","1.70","1.67","19.90K","-1.16%"
"Sep 30, 2019","1.72","1.74","1.76","1.67","68.30K","-1.71%"
"Sep 27, 2019","1.75","1.74","1.79","1.74","16.30K","0.00%"
"Sep 26, 2019","1.75","1.73","1.79","1.73","19.20K","0.57%"
"Sep 25, 2019","1.74","1.79","1.82","1.73","56.20K","-2.79%"
"Sep 24, 2019","1.79","1.75","1.89","1.75","177.60K","4.07%"
"Sep 23, 2019","1.72","1.75","1.78","1.72","20.10K","-1.71%"
"Sep 20, 2019","1.75","1.79","1.81","1.74","38.80K","0.00%"
"Sep 19, 2019","1.75","1.79","1.80","1.75","38.90K","-1.13%"
"Sep 18, 2019","1.77","1.78","1.84","1.73","122.40K","1.14%"
"Sep 17, 2019","1.75","1.74","1.86","1.74","133.30K","1.16%"
"Sep 16, 2019","1.73","1.83","1.93","1.72","143.30K","-6.49%"
"Sep 13, 2019","1.85","2.06","2.26","1.83","827.90K","-9.76%"
"Sep 12, 2019","2.05","1.95","2.50","1.85","2.48M","24.24%"
"Sep 11, 2019","1.65","1.64","1.70","1.64","63.10K","-0.60%"
"Sep 10, 2019","1.66","1.81","1.81","1.65","85.30K","-8.29%"
"Sep 09, 2019","1.81","1.58","1.88","1.58","347.60K","15.29%"
"Sep 06, 2019","1.57","1.49","1.58","1.49","65.10K","6.08%"
"Sep 05, 2019","1.48","1.48","1.49","1.47","61.40K","0.00%"
"Sep 04, 2019","1.48","1.45","1.49","1.42","46.70K","2.07%"
"Sep 03, 2019","1.45","1.44","1.46","1.44","7.50K","1.40%"
"Sep 02, 2019","1.43","1.46","1.46","1.41","36.00K","-1.38%"
"Aug 30, 2019","1.45","1.48","1.48","1.41","66.60K","-1.36%"
"Aug 29, 2019","1.47","1.52","1.53","1.46","32.50K","-3.29%"
"Aug 28, 2019","1.52","1.41","1.57","1.40","82.90K","8.57%"
"Aug 27, 2019","1.40","1.45","1.45","1.40","12.90K","-1.41%"
"Aug 26, 2019","1.42","1.40","1.50","1.40","7.00K","1.43%"
"Aug 23, 2019","1.40","1.50","1.50","1.36","48.30K","-6.04%"
"Aug 22, 2019","1.49","1.55","1.55","1.49","15.20K","-3.87%"
"Aug 21, 2019","1.55","1.54","1.56","1.52","13.50K","1.97%"
"Aug 20, 2019","1.52","1.52","1.55","1.45","24.00K","0.00%"
"Aug 19, 2019","1.52","1.55","1.57","1.52","23.70K","-1.94%"
"Aug 16, 2019","1.55","1.56","1.60","1.51","17.80K","-0.64%"
"Aug 15, 2019","1.56","1.62","1.65","1.55","52.50K","-3.70%"
"Aug 14, 2019","1.62","1.66","1.67","1.62","33.70K","-2.99%"
"Aug 13, 2019","1.67","1.67","1.70","1.67","20.80K","-0.60%"
"Aug 12, 2019","1.68","1.67","1.70","1.66","16.20K","0.60%"
"Aug 09, 2019","1.67","1.68","1.69","1.67","34.70K","-0.60%"
"Aug 08, 2019","1.68","1.68","1.69","1.66","36.80K","1.20%"
"Aug 07, 2019","1.66","1.71","1.73","1.65","61.90K","-1.78%"
"Aug 06, 2019","1.69","1.70","1.73","1.69","20.90K","-0.59%"
"Aug 05, 2019","1.70","1.73","1.74","1.65","68.20K","-2.30%"
"Aug 02, 2019","1.74","1.79","1.81","1.74","84.90K","-3.87%"
"Aug 01, 2019","1.81","1.82","1.84","1.80","7.80K","1.12%"
"Jul 31, 2019","1.79","1.81","1.85","1.79","30.00K","-1.10%"
"Jul 30, 2019","1.81","1.80","1.83","1.78","21.80K","0.56%"
"Jul 29, 2019","1.80","1.78","1.80","1.77","4.40K","1.12%"
"Jul 26, 2019","1.78","1.78","1.80","1.77","4.40K","0.00%"
"Jul 25, 2019","1.78","1.78","1.81","1.78","6.20K","0.00%"
"Jul 24, 2019","1.78","1.81","1.81","1.78","4.20K","-1.11%"
"Jul 23, 2019","1.80","1.79","1.81","1.78","14.70K","1.12%"
"Jul 22, 2019","1.78","1.78","1.80","1.77","20.20K","0.00%"
"Jul 19, 2019","1.78","1.80","1.82","1.78","38.30K","-0.56%"
"Jul 18, 2019","1.79","1.81","1.86","1.79","15.90K","-3.24%"
"Jul 17, 2019","1.85","1.80","1.85","1.80","47.00K","2.78%"
"Jul 16, 2019","1.80","1.80","1.82","1.80","21.90K","0.00%"
"Jul 15, 2019","1.80","1.87","1.89","1.78","133.80K","-3.23%"
"Jul 12, 2019","1.86","1.89","1.94","1.82","124.20K","-0.53%"
"Jul 11, 2019","1.87","1.79","1.96","1.76","323.90K","4.47%"
"Jul 10, 2019","1.79","1.80","1.84","1.74","130.20K","-1.10%"
"Jul 08, 2019","1.81","1.71","1.88","1.71","249.80K","5.85%"
"Jul 05, 2019","1.71","1.69","1.71","1.65","42.00K","2.40%"
"Jul 04, 2019","1.67","1.70","1.70","1.67","41.60K","-1.76%"
"Jul 03, 2019","1.70","1.70","1.72","1.70","6.10K","-0.58%"
"Jul 02, 2019","1.71","1.70","1.71","1.69","9.50K","0.00%"
"Jul 01, 2019","1.71","1.71","1.71","1.69","17.90K","0.00%"
"Jun 28, 2019","1.71","1.70","1.71","1.69","15.50K","0.59%"
"Jun 27, 2019","1.70","1.72","1.72","1.68","10.70K","-0.58%"
"Jun 26, 2019","1.71","1.70","1.71","1.68","25.50K","0.59%"
"Jun 25, 2019","1.70","1.72","1.74","1.69","17.10K","0.00%"
"Jun 24, 2019","1.70","1.72","1.72","1.69","16.20K","-0.58%"
"Jun 21, 2019","1.71","1.78","1.78","1.69","65.30K","-3.93%"
"Jun 19, 2019","1.78","1.75","1.80","1.72","35.10K","1.14%"
"Jun 18, 2019","1.76","1.69","1.80","1.69","50.60K","3.53%"
"Jun 17, 2019","1.70","1.70","1.74","1.68","13.00K","-1.73%"
"Jun 14, 2019","1.73","1.72","1.73","1.69","3.80K","1.17%"
"Jun 13, 2019","1.71","1.71","1.73","1.69","74.20K","1.18%"
"Jun 12, 2019","1.69","1.73","1.73","1.69","34.80K","-2.87%"
"Jun 11, 2019","1.74","1.80","1.82","1.74","21.70K","-3.33%"
"Jun 10, 2019","1.80","1.70","1.84","1.67","90.80K","3.45%"
"Jun 07, 2019","1.74","1.66","1.75","1.66","71.50K","4.82%"
"Jun 06, 2019","1.66","1.66","1.68","1.63","12.40K","3.11%"
"Jun 05, 2019","1.61","1.64","1.66","1.61","23.10K","0.00%"
"Jun 04, 2019","1.61","1.60","1.65","1.60","22.00K","0.62%"
"Jun 03, 2019","1.60","1.64","1.64","1.60","13.60K","0.63%"
"May 31, 2019","1.59","1.65","1.65","1.59","55.20K","-1.85%"
"May 30, 2019","1.62","1.70","1.72","1.61","42.40K","-4.71%"
"May 29, 2019","1.70","1.73","1.77","1.69","45.00K","-1.16%"
"May 28, 2019","1.72","1.73","1.77","1.72","7.50K","0.00%"
"May 27, 2019","1.72","1.88","1.88","1.71","101.40K","-9.47%"
"May 24, 2019","1.90","1.82","1.90","1.70","54.50K","4.40%"
"May 23, 2019","1.82","1.68","1.82","1.68","59.50K","8.33%"
"May 22, 2019","1.68","1.59","1.69","1.57","19.90K","5.66%"
"May 21, 2019","1.59","1.60","1.64","1.59","6.50K","1.27%"
"May 20, 2019","1.57","1.60","1.61","1.57","7.70K","-1.26%"
"May 17, 2019","1.59","1.61","1.63","1.58","10.80K","-0.62%"
"May 16, 2019","1.60","1.62","1.62","1.57","5.60K","-1.23%"
"May 15, 2019","1.62","1.71","1.71","1.60","30.60K","-4.71%"
"May 14, 2019","1.70","1.72","1.73","1.70","10.30K","-1.16%"
"May 13, 2019","1.72","1.75","1.77","1.72","10.60K","-1.71%"
"May 10, 2019","1.75","1.77","1.77","1.71","21.10K","-1.69%"
"May 09, 2019","1.78","1.80","1.80","1.76","1.70K","-0.56%"
"May 08, 2019","1.79","1.75","1.80","1.75","15.20K","1.70%"
"May 07, 2019","1.76","1.78","1.79","1.75","10.30K","0.00%"
"May 06, 2019","1.76","1.79","1.79","1.76","13.80K","-2.22%"
"May 03, 2019","1.80","1.78","1.83","1.77","19.70K","1.69%"
"May 02, 2019","1.77","1.77","1.84","1.75","2.50K","0.00%"
"Apr 30, 2019","1.77","1.81","1.81","1.72","29.30K","-1.67%"
"Apr 29, 2019","1.80","1.81","1.84","1.77","16.10K","1.69%"
"Apr 26, 2019","1.77","1.78","1.78","1.69","23.40K","0.57%"
"Apr 25, 2019","1.76","1.74","1.80","1.68","15.50K","1.73%"
"Apr 24, 2019","1.73","1.75","1.77","1.70","59.00K","-2.26%"
"Apr 23, 2019","1.77","1.72","1.81","1.72","15.50K","0.57%"
"Apr 22, 2019","1.76","1.77","1.80","1.75","11.70K","-1.68%"
"Apr 18, 2019","1.79","1.76","1.82","1.76","6.60K","0.56%"
"Apr 17, 2019","1.78","1.79","1.80","1.75","11.40K","1.14%"
"Apr 16, 2019","1.76","1.83","1.83","1.76","39.90K","-4.86%"
"Apr 15, 2019","1.85","1.90","1.91","1.85","15.80K","-2.12%"
"Apr 12, 2019","1.89","1.88","1.91","1.84","25.20K","0.53%"
"Apr 11, 2019","1.88","1.88","1.90","1.85","3.10K","0.00%"
"Apr 10, 2019","1.88","1.93","1.94","1.88","12.60K","-3.09%"
"Apr 09, 2019","1.94","1.90","1.95","1.87","10.70K","1.04%"
"Apr 08, 2019","1.92","1.89","1.92","1.87","21.20K","1.05%"
"Apr 05, 2019","1.90","1.88","1.94","1.88","15.60K","1.06%"
"Apr 04, 2019","1.88","1.89","1.91","1.84","41.00K","1.08%"
"Apr 03, 2019","1.86","1.93","1.95","1.83","55.60K","-4.12%"
"Apr 02, 2019","1.94","2.00","2.00","1.88","98.20K","-3.00%"
"Apr 01, 2019","2.00","1.98","2.04","1.97","14.40K","0.00%"
"Mar 29, 2019","2.00","2.05","2.06","2.00","90.30K","-2.44%"
"Mar 28, 2019","2.05","2.02","2.11","2.00","80.50K","-0.97%"
"Mar 27, 2019","2.07","2.16","2.16","2.07","48.60K","-4.17%"
"Mar 26, 2019","2.16","2.15","2.16","2.11","24.50K","2.86%"
"Mar 25, 2019","2.10","2.10","2.25","2.10","40.00K","0.00%"
