"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","20.66","21.27","21.35","20.49","3.04M","-6.68%"
"Oct 25, 2019","22.14","22.83","22.93","21.48","3.20M","0.32%"
"Oct 24, 2019","22.07","21.32","22.09","21.03","2.74M","4.60%"
"Oct 23, 2019","21.10","20.81","21.66","20.81","4.07M","4.09%"
"Oct 22, 2019","20.27","20.65","20.68","19.91","2.92M","0.00%"
"Oct 21, 2019","20.27","21.13","21.21","19.96","2.07M","-2.74%"
"Oct 18, 2019","20.84","20.73","21.01","20.43","1.95M","1.21%"
"Oct 17, 2019","20.59","19.88","20.93","19.88","2.36M","2.85%"
"Oct 16, 2019","20.02","19.94","20.05","19.65","1.95M","2.30%"
"Oct 15, 2019","19.57","19.95","20.17","19.56","2.32M","-3.31%"
"Oct 14, 2019","20.24","20.00","20.45","19.99","1.93M","3.37%"
"Oct 11, 2019","19.58","20.65","20.69","19.53","4.39M","-7.29%"
"Oct 10, 2019","21.12","21.21","21.26","20.65","3.09M","-0.80%"
"Oct 09, 2019","21.29","21.02","21.50","20.98","2.92M","0.61%"
"Oct 08, 2019","21.16","20.80","21.19","20.58","3.14M","4.08%"
"Oct 07, 2019","20.33","20.08","20.56","20.06","2.87M","0.74%"
"Oct 04, 2019","20.18","19.58","20.24","19.51","3.82M","3.81%"
"Oct 03, 2019","19.44","19.27","20.07","19.09","3.72M","-0.61%"
"Oct 02, 2019","19.56","19.20","19.65","18.95","3.82M","3.00%"
"Oct 01, 2019","18.99","18.14","19.61","18.04","4.42M","3.94%"
"Sep 30, 2019","18.27","18.49","18.87","18.23","5.49M","-4.09%"
"Sep 27, 2019","19.05","19.24","19.47","18.72","4.60M","-5.08%"
"Sep 26, 2019","20.07","20.56","20.84","20.06","2.32M","-1.57%"
"Sep 25, 2019","20.39","20.86","21.06","20.28","3.61M","-3.36%"
"Sep 24, 2019","21.10","20.36","21.16","20.28","3.45M","2.78%"
"Sep 23, 2019","20.53","20.02","20.68","20.01","4.60M","1.53%"
"Sep 20, 2019","20.22","19.68","20.29","19.57","4.89M","2.85%"
"Sep 19, 2019","19.66","19.34","19.91","19.23","3.52M","2.93%"
"Sep 18, 2019","19.10","19.56","19.74","18.55","4.48M","-3.29%"
"Sep 17, 2019","19.75","19.48","19.88","19.21","4.04M","2.86%"
"Sep 16, 2019","19.20","19.25","19.54","18.78","3.91M","1.91%"
"Sep 13, 2019","18.84","19.53","19.85","18.81","6.01M","-3.83%"
"Sep 12, 2019","19.59","21.10","21.26","19.54","5.37M","-1.85%"
"Sep 11, 2019","19.96","20.01","20.72","19.86","3.51M","1.06%"
"Sep 10, 2019","19.75","20.16","20.34","19.70","4.25M","-3.04%"
"Sep 09, 2019","20.37","21.16","21.16","20.25","3.77M","-2.16%"
"Sep 06, 2019","20.82","21.89","22.04","20.80","4.90M","-4.10%"
"Sep 05, 2019","21.71","22.49","22.55","21.61","4.57M","-5.32%"
"Sep 04, 2019","22.93","22.43","22.95","22.27","2.00M","0.48%"
"Sep 03, 2019","22.82","22.84","23.43","22.71","3.33M","0.31%"
"Aug 30, 2019","22.75","22.26","23.25","22.19","2.94M","0.93%"
"Aug 29, 2019","22.54","23.06","23.08","21.94","4.76M","-3.26%"
"Aug 28, 2019","23.30","23.47","23.85","22.84","3.70M","-0.85%"
"Aug 27, 2019","23.50","22.56","23.66","22.56","4.16M","4.35%"
"Aug 26, 2019","22.52","22.64","22.90","22.31","2.85M","-0.04%"
"Aug 23, 2019","22.53","21.92","22.77","21.79","3.72M","4.40%"
"Aug 22, 2019","21.58","21.59","21.91","21.24","2.12M","-0.51%"
"Aug 21, 2019","21.69","21.28","21.81","21.14","2.22M","0.70%"
"Aug 20, 2019","21.54","20.61","21.85","20.60","3.26M","6.21%"
"Aug 19, 2019","20.28","20.26","20.73","19.98","2.51M","-3.61%"
"Aug 16, 2019","21.04","20.56","21.10","20.52","3.95M","3.44%"
"Aug 15, 2019","20.34","19.95","20.60","19.65","3.74M","0.99%"
"Aug 14, 2019","20.14","19.96","20.69","19.85","4.76M","2.91%"
"Aug 13, 2019","19.57","20.16","20.25","18.58","5.22M","-2.69%"
"Aug 12, 2019","20.11","20.67","20.89","20.09","2.15M","-0.64%"
"Aug 09, 2019","20.24","20.54","20.61","20.17","1.89M","-1.56%"
"Aug 08, 2019","20.56","20.80","20.81","19.92","4.18M","-2.10%"
"Aug 07, 2019","21.00","21.37","21.74","20.90","4.84M","1.55%"
"Aug 06, 2019","20.68","20.12","20.89","20.04","3.76M","2.83%"
"Aug 05, 2019","20.11","19.71","20.39","19.48","6.52M","3.87%"
"Aug 02, 2019","19.36","18.69","19.54","18.63","4.69M","3.14%"
"Aug 01, 2019","18.77","17.01","19.00","16.96","4.76M","10.02%"
"Jul 31, 2019","17.06","17.62","18.12","16.82","5.65M","-8.96%"
"Jul 30, 2019","18.74","18.96","19.08","18.72","1.60M","-1.06%"
"Jul 29, 2019","18.94","18.64","18.95","18.42","1.73M","2.88%"
"Jul 26, 2019","18.41","18.79","18.90","18.34","1.81M","-1.97%"
"Jul 25, 2019","18.78","19.00","19.16","18.58","2.42M","-0.95%"
"Jul 24, 2019","18.96","18.95","19.07","18.73","2.06M","1.61%"
"Jul 23, 2019","18.66","18.89","19.13","18.48","2.76M","-1.01%"
"Jul 22, 2019","18.85","19.23","19.28","18.84","2.68M","-1.87%"
"Jul 19, 2019","19.21","19.26","19.54","19.02","4.28M","-2.09%"
"Jul 18, 2019","19.62","18.66","19.63","18.31","6.71M","6.05%"
"Jul 17, 2019","18.50","17.87","18.57","17.84","2.52M","3.93%"
