"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","4.170","4.240","4.240","4.150","1.00M","-1.88%"
"Oct 28, 2019","4.250","4.260","4.355","4.220","5.10M","-0.93%"
"Oct 25, 2019","4.290","4.100","4.310","4.100","6.04M","4.63%"
"Oct 24, 2019","4.100","4.240","4.240","4.090","3.12M","-3.30%"
"Oct 23, 2019","4.240","4.320","4.330","4.130","6.60M","-0.93%"
"Oct 22, 2019","4.280","4.170","4.330","4.150","3.43M","2.39%"
"Oct 21, 2019","4.180","4.180","4.240","4.100","3.21M","-0.24%"
"Oct 18, 2019","4.190","4.230","4.260","4.140","1.52M","0.48%"
"Oct 17, 2019","4.170","4.150","4.250","4.140","4.21M","0.97%"
"Oct 16, 2019","4.130","4.150","4.160","4.060","2.61M","-0.24%"
"Oct 15, 2019","4.140","4.130","4.220","4.075","8.55M","-0.24%"
"Oct 14, 2019","4.150","4.190","4.230","4.125","2.32M","-0.95%"
"Oct 11, 2019","4.190","4.280","4.280","4.170","6.60M","-0.71%"
"Oct 10, 2019","4.220","4.210","4.240","4.140","6.11M","-0.24%"
"Oct 09, 2019","4.230","4.280","4.330","4.160","5.00M","-1.17%"
"Oct 08, 2019","4.280","4.380","4.390","4.220","7.74M","-2.51%"
"Oct 07, 2019","4.390","4.460","4.530","4.350","5.60M","-2.44%"
"Oct 04, 2019","4.500","4.360","4.510","4.300","3.77M","4.17%"
"Oct 03, 2019","4.320","4.230","4.365","4.120","9.46M","2.37%"
"Oct 02, 2019","4.220","4.270","4.270","4.150","5.75M","-2.31%"
"Oct 01, 2019","4.320","4.390","4.415","4.290","5.76M","-1.82%"
"Sep 30, 2019","4.400","4.530","4.560","4.330","8.24M","-3.51%"
"Sep 27, 2019","4.560","4.550","4.570","4.420","6.19M","0.00%"
"Sep 26, 2019","4.560","4.560","4.620","4.490","4.40M","0.22%"
"Sep 25, 2019","4.550","4.590","4.640","4.490","4.49M","-1.30%"
"Sep 24, 2019","4.610","4.620","4.650","4.520","9.26M","0.00%"
"Sep 23, 2019","4.610","4.620","4.680","4.480","5.19M","-0.86%"
"Sep 20, 2019","4.650","4.680","4.730","4.620","12.50M","-1.69%"
"Sep 19, 2019","4.730","4.780","4.830","4.640","3.78M","-0.84%"
"Sep 18, 2019","4.770","4.820","4.880","4.670","10.85M","-0.21%"
"Sep 17, 2019","4.780","4.700","4.795","4.650","5.44M","1.70%"
