"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","0.3081","0.3250","0.3250","0.3073","1.35M","-6.30%"
"Oct 29, 2019","0.3288","0.3310","0.3349","0.3123","1.15M","-0.78%"
"Oct 28, 2019","0.3314","0.3368","0.3400","0.3262","1.08M","0.30%"
"Oct 25, 2019","0.3304","0.3282","0.3320","0.3230","1.13M","0.18%"
"Oct 24, 2019","0.3298","0.3400","0.3484","0.3225","965.99K","-2.74%"
"Oct 23, 2019","0.3391","0.3378","0.3540","0.3250","1.17M","0.33%"
"Oct 22, 2019","0.3380","0.3243","0.3450","0.3136","1.64M","5.63%"
"Oct 21, 2019","0.3200","0.3385","0.3425","0.3060","2.32M","-4.82%"
"Oct 18, 2019","0.3362","0.3498","0.3500","0.3301","1.08M","-3.36%"
"Oct 17, 2019","0.3479","0.3644","0.3644","0.3300","2.17M","-2.41%"
"Oct 16, 2019","0.3565","0.3798","0.3800","0.3550","1.72M","-4.22%"
"Oct 15, 2019","0.3722","0.4400","0.4400","0.3650","3.95M","-0.27%"
"Oct 14, 2019","0.3732","0.3850","0.3850","0.3602","808.82K","0.05%"
"Oct 11, 2019","0.3730","0.3800","0.3850","0.3652","977.44K","1.22%"
"Oct 10, 2019","0.3685","0.3760","0.3800","0.3400","1.40M","-3.53%"
"Oct 09, 2019","0.3820","0.3896","0.3896","0.3650","1.03M","0.53%"
"Oct 08, 2019","0.3800","0.3978","0.4000","0.3700","2.50M","-7.16%"
"Oct 07, 2019","0.4093","0.4347","0.4423","0.3900","2.21M","-5.93%"
"Oct 04, 2019","0.4351","0.4400","0.4621","0.4201","847.78K","-4.39%"
"Oct 03, 2019","0.4551","0.4482","0.4600","0.4120","1.03M","2.69%"
"Oct 02, 2019","0.4432","0.4500","0.4777","0.4250","1.33M","-1.51%"
"Oct 01, 2019","0.4500","0.5014","0.5180","0.4489","1.01M","-11.33%"
"Sep 30, 2019","0.5075","0.5192","0.5200","0.4821","874.27K","1.10%"
"Sep 27, 2019","0.5020","0.5000","0.5250","0.4955","310.39K","-1.03%"
"Sep 26, 2019","0.5072","0.5100","0.5105","0.4800","868.06K","0.58%"
"Sep 25, 2019","0.5043","0.5300","0.5369","0.5000","833.12K","-4.36%"
"Sep 24, 2019","0.5273","0.5669","0.5699","0.5228","818.08K","-7.67%"
