"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","119.19","119.02","119.48","118.90","710.26K","0.35%"
"Nov 05, 2019","118.77","119.73","119.73","117.76","2.63M","-0.71%"
"Nov 04, 2019","119.62","119.62","120.50","119.01","1.96M","0.40%"
"Nov 01, 2019","119.14","118.41","119.45","118.17","2.04M","1.59%"
"Oct 31, 2019","117.28","117.79","118.21","116.89","2.51M","-0.67%"
"Oct 30, 2019","118.07","117.44","118.17","116.86","2.26M","0.55%"
"Oct 29, 2019","117.42","118.09","118.83","117.08","2.76M","-0.98%"
"Oct 28, 2019","118.58","118.64","119.30","118.07","2.55M","0.27%"
"Oct 25, 2019","118.26","116.36","118.51","116.27","2.32M","1.59%"
"Oct 24, 2019","116.41","116.44","116.90","116.14","2.62M","-0.07%"
"Oct 23, 2019","116.49","118.42","119.23","115.51","3.94M","-1.79%"
"Oct 22, 2019","118.61","118.67","119.35","118.29","3.92M","-0.37%"
"Oct 21, 2019","119.05","117.55","119.38","117.49","4.32M","1.96%"
"Oct 18, 2019","116.76","119.73","119.98","116.67","6.20M","-1.96%"
"Oct 17, 2019","119.10","118.01","119.33","117.96","3.03M","1.44%"
"Oct 16, 2019","117.41","117.63","117.99","117.07","2.15M","-0.15%"
"Oct 15, 2019","117.59","117.03","118.19","116.73","3.07M","1.03%"
"Oct 14, 2019","116.39","116.14","117.00","115.94","1.88M","-0.01%"
"Oct 11, 2019","116.40","116.74","117.57","116.19","2.88M","1.20%"
"Oct 10, 2019","115.02","114.81","115.78","113.93","2.40M","0.97%"
"Oct 09, 2019","113.92","113.25","114.77","113.23","2.39M","1.23%"
"Oct 08, 2019","112.54","112.83","113.65","112.05","3.80M","-0.98%"
"Oct 07, 2019","113.65","113.91","114.65","113.60","2.59M","-0.66%"
"Oct 04, 2019","114.41","112.66","114.53","112.60","2.75M","1.65%"
"Oct 03, 2019","112.55","112.20","112.95","111.06","3.55M","-0.27%"
"Oct 02, 2019","112.86","115.76","115.81","112.75","4.93M","-3.29%"
"Oct 01, 2019","116.70","118.70","119.50","116.61","2.86M","-1.34%"
"Sep 30, 2019","118.28","119.05","119.24","118.14","2.35M","-0.26%"
"Sep 27, 2019","118.59","119.13","119.62","117.98","2.91M","-0.27%"
"Sep 26, 2019","118.91","119.31","120.03","118.84","3.46M","-0.18%"
"Sep 25, 2019","119.12","117.86","119.44","117.06","2.76M","0.80%"
"Sep 24, 2019","118.17","118.89","120.20","117.52","5.13M","-0.06%"
"Sep 23, 2019","118.24","116.36","118.42","116.10","5.20M","1.23%"
"Sep 20, 2019","116.80","117.83","118.24","116.37","5.34M","-0.84%"
"Sep 19, 2019","117.79","118.61","119.52","117.60","1.99M","-0.80%"
"Sep 18, 2019","118.74","118.59","118.80","117.47","2.89M","-0.26%"
"Sep 17, 2019","119.05","117.90","119.13","117.50","3.08M","1.20%"
"Sep 16, 2019","117.64","118.14","118.44","116.68","4.28M","-1.31%"
"Sep 13, 2019","119.20","119.24","119.97","118.29","3.94M","0.15%"
"Sep 12, 2019","119.02","119.00","120.43","118.78","3.73M","0.86%"
"Sep 11, 2019","118.00","117.12","118.10","116.75","3.67M","0.59%"
"Sep 10, 2019","117.31","119.60","119.61","116.30","6.20M","-2.18%"
