"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","47.75","47.42","47.80","47.15","1.23M","0.00%"
"Oct 28, 2019","47.75","47.69","49.00","47.59","4.33M","0.17%"
"Oct 25, 2019","47.67","47.42","47.72","47.11","2.73M","0.89%"
"Oct 24, 2019","47.25","46.48","47.31","46.36","6.01M","5.73%"
"Oct 23, 2019","44.69","44.51","44.74","44.28","3.70M","1.75%"
"Oct 22, 2019","43.92","44.22","44.47","43.89","2.66M","0.46%"
"Oct 21, 2019","43.72","43.87","43.90","43.65","2.39M","-0.34%"
"Oct 18, 2019","43.87","44.18","44.20","43.67","1.65M","-0.59%"
"Oct 17, 2019","44.13","44.32","44.36","43.97","2.43M","0.78%"
"Oct 16, 2019","43.79","43.99","44.03","43.63","1.67M","-0.95%"
"Oct 15, 2019","44.21","43.75","44.28","43.67","2.25M","0.84%"
"Oct 14, 2019","43.84","43.99","44.29","43.82","2.65M","0.60%"
"Oct 11, 2019","43.58","43.74","44.16","43.54","3.85M","-0.05%"
"Oct 10, 2019","43.60","43.20","43.80","43.16","6.24M","0.46%"
"Oct 09, 2019","43.40","43.49","43.59","43.35","1.98M","0.84%"
"Oct 08, 2019","43.04","43.43","43.47","42.90","3.09M","-0.92%"
"Oct 07, 2019","43.44","43.41","43.80","43.38","2.25M","0.30%"
"Oct 04, 2019","43.31","43.36","43.52","43.13","1.88M","0.32%"
"Oct 03, 2019","43.17","42.88","43.25","42.77","2.00M","1.67%"
"Oct 02, 2019","42.46","42.81","42.98","42.25","3.14M","-2.75%"
"Oct 01, 2019","43.66","44.03","44.14","43.55","3.08M","-2.04%"
"Sep 30, 2019","44.57","44.78","45.16","44.53","3.51M","-1.57%"
"Sep 27, 2019","45.28","45.49","45.58","45.12","2.30M","-0.42%"
"Sep 26, 2019","45.47","45.88","46.22","45.37","4.68M","0.29%"
"Sep 25, 2019","45.34","45.28","45.54","45.05","4.20M","0.38%"
"Sep 24, 2019","45.17","45.34","45.57","45.02","2.89M","1.35%"
"Sep 23, 2019","44.57","45.08","45.19","44.56","2.46M","-1.35%"
"Sep 20, 2019","45.18","45.21","45.33","44.96","4.87M","1.28%"
"Sep 19, 2019","44.61","44.63","44.85","44.43","4.16M","2.39%"
"Sep 18, 2019","43.57","43.38","43.72","43.35","2.10M","1.02%"
"Sep 17, 2019","43.13","43.12","43.27","42.84","4.92M","1.46%"
"Sep 16, 2019","42.51","43.03","43.05","42.44","2.50M","-0.61%"
"Sep 13, 2019","42.77","42.87","43.12","42.72","3.66M","-0.30%"
