"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","11.08","11.61","11.83","11.01","15.21M","-4.48%"
"May 14, 2020","11.60","12.00","12.20","11.36","17.31M","-5.61%"
"May 13, 2020","12.29","12.86","13.02","12.08","9.41M","-1.92%"
"May 12, 2020","12.53","13.25","13.79","12.53","7.51M","-4.71%"
"May 11, 2020","13.15","13.50","13.64","12.66","7.58M","-3.31%"
"May 08, 2020","13.60","13.94","14.20","13.45","11.22M","-0.44%"
"May 07, 2020","13.66","15.21","15.26","13.65","15.26M","-7.52%"
"May 06, 2020","14.77","15.12","15.26","14.45","7.14M","-2.57%"
"May 05, 2020","15.16","15.65","15.78","15.06","7.41M","0.00%"
"May 04, 2020","15.16","15.90","16.20","14.88","19.27M","-12.87%"
"Apr 30, 2020","17.40","16.79","17.40","16.28","14.57M","1.64%"
"Apr 29, 2020","17.12","16.29","17.48","16.25","15.58M","6.67%"
"Apr 28, 2020","16.05","14.49","16.10","14.29","12.31M","13.75%"
"Apr 27, 2020","14.11","14.61","14.74","13.89","9.71M","0.86%"
"Apr 24, 2020","13.99","16.24","16.26","13.70","18.64M","-14.54%"
"Apr 23, 2020","16.37","16.36","16.65","16.02","10.39M","0.37%"
"Apr 22, 2020","16.31","16.45","16.73","16.18","9.99M","-2.22%"
"Apr 20, 2020","16.68","15.99","16.84","15.75","10.52M","3.03%"
"Apr 17, 2020","16.19","16.56","17.15","16.02","10.78M","1.19%"
"Apr 16, 2020","16.00","16.93","17.20","16.00","8.58M","-3.03%"
"Apr 15, 2020","16.50","15.80","16.87","15.71","9.27M","0.92%"
"Apr 14, 2020","16.35","16.28","16.90","15.91","12.80M","1.24%"
"Apr 13, 2020","16.15","16.39","16.71","15.62","8.41M","-0.92%"
"Apr 09, 2020","16.30","17.44","17.60","16.02","12.70M","-2.92%"
"Apr 08, 2020","16.79","15.69","16.86","15.01","13.04M","7.63%"
"Apr 07, 2020","15.60","16.86","17.90","15.60","16.84M","0.00%"
"Apr 06, 2020","15.60","15.80","15.92","14.71","9.49M","10.64%"
"Apr 03, 2020","14.10","14.60","14.61","13.12","8.20M","-3.49%"
"Apr 02, 2020","14.61","15.20","15.98","14.40","11.00M","-1.62%"
"Apr 01, 2020","14.85","16.04","16.09","14.37","16.69M","-15.38%"
"Mar 31, 2020","17.55","19.50","19.65","17.20","12.13M","-8.07%"
"Mar 30, 2020","19.09","20.97","22.38","18.90","8.69M","-2.10%"
"Mar 27, 2020","19.50","19.23","21.98","18.25","13.14M","-4.97%"
"Mar 26, 2020","20.52","19.00","23.48","19.00","19.58M","7.04%"
"Mar 25, 2020","19.17","16.59","20.00","16.55","19.16M","18.55%"
"Mar 24, 2020","16.17","16.60","17.66","15.66","19.29M","13.24%"
"Mar 23, 2020","14.28","14.22","14.34","12.53","12.92M","3.48%"
"Mar 20, 2020","13.80","13.70","17.50","13.01","17.39M","15.29%"
"Mar 19, 2020","11.97","9.80","13.40","8.74","16.44M","15.65%"
"Mar 18, 2020","10.35","13.50","13.50","9.10","21.13M","-32.04%"
"Mar 17, 2020","15.23","16.34","16.34","13.72","19.33M","-2.37%"
"Mar 16, 2020","15.60","17.40","20.78","15.58","17.60M","-36.87%"
"Mar 13, 2020","24.71","24.47","25.00","20.30","18.99M","21.72%"
"Mar 12, 2020","20.30","20.02","22.02","20.00","8.28M","-32.89%"
"Mar 11, 2020","30.25","33.98","35.12","28.48","7.98M","-16.39%"
"Mar 10, 2020","36.18","36.80","36.80","32.90","6.27M","12.71%"
"Mar 09, 2020","32.10","36.00","36.35","31.55","6.24M","-17.01%"
"Mar 06, 2020","38.68","34.51","39.78","33.80","12.92M","1.12%"
"Mar 05, 2020","38.25","43.85","43.85","37.70","6.55M","-14.53%"
"Mar 04, 2020","44.75","46.00","46.21","43.51","4.66M","1.70%"
"Mar 03, 2020","44.00","45.40","46.38","43.67","7.94M","-2.63%"
"Mar 02, 2020","45.19","45.65","46.96","44.34","7.05M","1.69%"
"Feb 28, 2020","44.44","44.11","45.29","42.55","6.40M","-1.53%"
"Feb 27, 2020","45.13","47.79","48.31","44.52","7.92M","-6.47%"
"Feb 26, 2020","48.25","49.90","50.84","47.85","6.85M","-13.30%"
"Feb 21, 2020","55.65","55.79","56.21","54.96","2.50M","-1.33%"
"Feb 20, 2020","56.40","57.51","57.86","55.96","2.97M","-2.89%"
"Feb 19, 2020","58.08","58.00","58.77","57.60","1.01M","0.10%"
"Feb 18, 2020","58.02","58.60","58.60","57.17","1.49M","-1.16%"
"Feb 17, 2020","58.70","59.99","59.99","58.55","1.24M","-0.91%"
"Feb 14, 2020","59.24","59.15","59.79","58.50","1.58M","0.41%"
"Feb 13, 2020","59.00","58.80","59.19","57.93","2.16M","-1.11%"
"Feb 12, 2020","59.66","58.50","60.55","58.10","2.80M","2.26%"
"Feb 11, 2020","58.34","58.34","58.92","57.32","2.89M","2.68%"
"Feb 10, 2020","56.82","56.30","56.90","55.34","3.60M","0.94%"
"Feb 07, 2020","56.29","59.38","59.45","56.29","4.66M","-4.71%"
"Feb 06, 2020","59.07","61.95","61.95","58.89","3.30M","-3.59%"
"Feb 05, 2020","61.27","61.67","62.00","61.27","2.04M","0.77%"
"Feb 04, 2020","60.80","61.43","61.76","60.36","1.92M","1.11%"
"Feb 03, 2020","60.13","59.26","61.25","58.98","2.33M","1.47%"
"Jan 31, 2020","59.26","58.10","59.68","57.84","2.99M","-0.75%"
"Jan 30, 2020","59.71","59.00","59.78","57.37","4.22M","-0.27%"
"Jan 29, 2020","59.87","62.55","62.87","59.30","3.65M","-4.07%"
"Jan 28, 2020","62.41","59.00","62.67","58.80","5.87M","8.58%"
"Jan 27, 2020","57.48","56.70","58.13","56.66","2.25M","-3.33%"
"Jan 24, 2020","59.46","61.24","61.49","59.25","1.72M","-2.84%"
"Jan 23, 2020","61.20","59.50","61.23","57.86","1.83M","2.68%"
"Jan 22, 2020","59.60","60.10","61.04","58.46","2.94M","-0.75%"
"Jan 21, 2020","60.05","61.40","61.55","59.71","2.10M","-2.78%"
"Jan 20, 2020","61.77","61.25","61.77","60.89","1.42M","0.68%"
"Jan 17, 2020","61.35","59.95","61.35","59.75","1.63M","3.21%"
"Jan 16, 2020","59.44","59.82","60.49","59.13","2.77M","0.24%"
"Jan 15, 2020","59.30","59.38","59.80","58.70","3.11M","0.19%"
"Jan 14, 2020","59.19","58.30","59.19","57.93","1.93M","1.53%"
"Jan 13, 2020","58.30","57.50","58.39","57.42","2.18M","1.39%"
"Jan 10, 2020","57.50","57.52","58.09","56.95","1.66M","0.38%"
"Jan 09, 2020","57.28","57.06","58.18","56.90","2.11M","0.63%"
"Jan 08, 2020","56.92","56.31","57.61","56.01","2.83M","0.18%"
"Jan 07, 2020","56.82","55.79","57.06","55.10","2.67M","3.31%"
"Jan 06, 2020","55.00","56.61","56.61","54.56","4.11M","-3.10%"
"Jan 03, 2020","56.76","57.04","58.21","56.61","3.78M","-3.47%"
"Jan 02, 2020","58.80","58.78","59.30","58.15","1.96M","0.89%"
"Dec 30, 2019","58.28","57.60","58.80","57.43","1.62M","0.83%"
"Dec 27, 2019","57.80","57.41","57.80","56.66","1.85M","1.28%"
"Dec 26, 2019","57.07","57.66","58.15","57.04","2.31M","-0.92%"
"Dec 23, 2019","57.60","57.00","57.85","56.66","1.34M","1.05%"
"Dec 20, 2019","57.00","57.70","57.70","56.34","2.11M","-1.23%"
"Dec 19, 2019","57.71","57.60","57.90","56.82","2.03M","0.17%"
"Dec 18, 2019","57.61","56.87","58.06","56.51","2.68M","1.30%"
"Dec 17, 2019","56.87","57.15","57.45","56.33","1.98M","-0.70%"
"Dec 16, 2019","57.27","57.00","57.82","56.63","3.22M","0.72%"
"Dec 13, 2019","56.86","55.40","57.05","55.12","3.78M","3.25%"
"Dec 12, 2019","55.07","55.00","55.49","54.19","3.10M","0.79%"
"Dec 11, 2019","54.64","53.99","54.86","53.63","2.65M","1.94%"
