"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","81.59","81.51","82.79","81.22","2.49M","-0.06%"
"May 14, 2020","81.64","79.30","81.65","78.75","2.29M","1.85%"
"May 13, 2020","80.16","80.25","81.90","79.07","2.66M","0.39%"
"May 12, 2020","79.85","81.58","82.30","79.78","2.28M","-1.75%"
"May 11, 2020","81.27","79.60","81.99","79.50","1.69M","1.96%"
"May 08, 2020","79.71","79.67","80.33","79.19","2.26M","1.54%"
"May 07, 2020","78.50","78.77","79.33","77.54","1.19M","0.81%"
"May 06, 2020","77.87","76.69","78.82","76.65","2.30M","1.96%"
"May 05, 2020","76.37","74.91","77.58","74.83","1.48M","2.43%"
"May 04, 2020","74.56","74.28","74.62","73.42","1.56M","0.47%"
"May 01, 2020","74.21","75.55","76.10","73.57","1.62M","-3.20%"
"Apr 30, 2020","76.66","77.96","78.44","75.99","1.80M","-2.62%"
"Apr 29, 2020","78.72","76.30","79.38","76.14","2.41M","4.33%"
"Apr 28, 2020","75.45","77.00","77.00","75.34","1.86M","-1.05%"
"Apr 27, 2020","76.25","76.35","76.62","75.84","1.30M","0.66%"
"Apr 24, 2020","75.75","75.62","75.91","74.02","1.65M","0.88%"
"Apr 23, 2020","75.09","76.60","77.49","75.05","2.10M","-0.11%"
"Apr 22, 2020","75.17","74.75","75.58","73.78","2.35M","1.93%"
"Apr 21, 2020","73.75","75.76","75.80","73.71","2.85M","-4.68%"
"Apr 20, 2020","77.37","79.05","79.05","76.98","1.68M","-2.74%"
"Apr 17, 2020","79.55","80.09","80.35","78.31","1.31M","1.02%"
"Apr 16, 2020","78.75","78.06","78.92","76.47","1.97M","2.21%"
"Apr 15, 2020","77.05","77.44","78.39","77.00","2.72M","-2.26%"
"Apr 14, 2020","78.83","77.30","79.20","77.24","2.65M","3.44%"
"Apr 13, 2020","76.21","77.44","77.99","75.02","1.53M","-2.71%"
"Apr 09, 2020","78.33","76.43","78.72","76.23","2.40M","2.14%"
"Apr 08, 2020","76.69","74.17","77.17","72.75","2.70M","3.59%"
"Apr 07, 2020","74.03","76.61","77.56","74.02","2.46M","-0.44%"
"Apr 06, 2020","74.36","72.97","74.99","72.25","2.31M","5.60%"
"Apr 03, 2020","70.42","71.71","72.32","69.66","2.05M","-2.59%"
"Apr 02, 2020","72.29","68.27","72.45","68.14","1.84M","4.89%"
"Apr 01, 2020","68.92","69.47","70.23","68.15","2.17M","-3.77%"
"Mar 31, 2020","71.62","72.34","72.80","70.50","1.82M","-1.44%"
"Mar 30, 2020","72.67","71.06","73.18","71.06","1.49M","2.48%"
"Mar 27, 2020","70.91","71.16","73.15","70.39","1.83M","-3.81%"
"Mar 26, 2020","73.72","69.95","74.42","69.95","3.27M","6.84%"
"Mar 25, 2020","69.00","66.96","71.76","65.22","2.63M","2.99%"
"Mar 24, 2020","67.00","65.66","68.10","64.63","2.87M","5.73%"
"Mar 23, 2020","63.37","66.80","67.56","62.09","2.99M","-4.65%"
"Mar 20, 2020","66.46","65.99","71.00","64.96","3.26M","1.06%"
"Mar 19, 2020","65.76","68.30","68.30","64.18","3.43M","-4.52%"
"Mar 18, 2020","68.87","65.37","69.88","65.37","4.12M","-2.23%"
"Mar 17, 2020","70.44","66.02","70.53","63.94","3.34M","9.84%"
"Mar 16, 2020","64.13","63.41","66.62","61.13","4.74M","-7.33%"
"Mar 13, 2020","69.20","66.53","69.51","63.75","3.26M","9.11%"
"Mar 12, 2020","63.42","64.00","67.14","62.16","5.05M","-7.87%"
"Mar 11, 2020","68.84","70.76","71.73","67.56","4.99M","-5.58%"
"Mar 10, 2020","72.91","73.05","73.62","69.66","3.54M","3.05%"
"Mar 09, 2020","70.75","72.59","74.19","70.17","4.60M","-9.94%"
"Mar 06, 2020","78.56","77.95","78.90","76.50","2.96M","-2.36%"
"Mar 05, 2020","80.46","82.14","83.25","79.70","2.32M","-4.61%"
"Mar 04, 2020","84.35","81.77","84.43","80.72","1.91M","5.02%"
"Mar 03, 2020","80.32","81.89","85.00","79.28","3.02M","-2.01%"
"Mar 02, 2020","81.97","77.31","82.00","77.23","3.41M","6.36%"
"Feb 28, 2020","77.07","74.97","77.07","74.17","3.76M","-0.46%"
"Feb 27, 2020","77.43","76.68","80.30","76.37","2.88M","-0.87%"
"Feb 26, 2020","78.11","78.66","80.27","78.09","2.53M","0.21%"
"Feb 25, 2020","77.95","80.70","80.88","77.69","2.77M","-3.17%"
"Feb 24, 2020","80.50","82.22","82.59","80.02","2.92M","-5.37%"
"Feb 21, 2020","85.07","83.90","85.09","83.40","1.76M","0.87%"
"Feb 20, 2020","84.34","84.90","84.99","83.36","2.54M","-1.18%"
"Feb 19, 2020","85.35","84.70","85.84","83.45","4.74M","0.66%"
"Feb 18, 2020","84.79","85.66","86.08","84.53","2.87M","-1.20%"
"Feb 14, 2020","85.82","85.72","85.86","85.11","1.97M","0.41%"
"Feb 13, 2020","85.47","85.10","85.68","84.66","1.60M","0.05%"
"Feb 12, 2020","85.43","85.40","86.06","85.29","1.46M","0.40%"
"Feb 11, 2020","85.09","85.03","85.67","84.84","1.54M","0.78%"
"Feb 10, 2020","84.43","83.04","84.64","82.92","2.07M","1.51%"
"Feb 07, 2020","83.17","84.61","84.79","82.92","1.45M","-1.95%"
"Feb 06, 2020","84.82","85.31","85.39","84.58","835.48K","-0.13%"
"Feb 05, 2020","84.93","84.53","85.50","84.39","2.35M","1.69%"
"Feb 04, 2020","83.52","82.85","83.90","82.78","1.68M","1.67%"
"Feb 03, 2020","82.15","83.29","83.69","82.11","1.92M","-0.50%"
"Jan 31, 2020","82.56","84.03","84.33","82.34","2.85M","-2.16%"
"Jan 30, 2020","84.38","84.90","85.03","83.60","3.03M","-3.28%"
"Jan 29, 2020","87.24","87.55","88.36","87.15","1.13M","0.07%"
"Jan 28, 2020","87.18","86.85","87.48","86.19","1.65M","0.72%"
"Jan 27, 2020","86.56","86.54","87.17","86.21","1.87M","-1.93%"
"Jan 24, 2020","88.26","89.45","89.46","87.58","1.16M","-0.91%"
"Jan 23, 2020","89.07","89.62","89.98","88.66","1.23M","-1.18%"
"Jan 22, 2020","90.13","89.94","90.64","89.84","1.67M","0.58%"
"Jan 21, 2020","89.61","89.80","90.15","89.46","2.70M","-0.57%"
"Jan 17, 2020","90.12","89.97","90.28","89.20","3.72M","0.74%"
"Jan 16, 2020","89.46","89.12","89.49","88.86","1.60M","0.95%"
"Jan 15, 2020","88.62","87.63","89.11","87.55","1.63M","0.72%"
"Jan 14, 2020","87.99","87.27","88.21","86.70","1.68M","0.61%"
"Jan 13, 2020","87.46","87.81","88.32","86.74","1.63M","-0.15%"
"Jan 10, 2020","87.59","87.72","88.23","87.32","1.42M","0.37%"
"Jan 09, 2020","87.27","86.46","87.70","86.17","1.91M","1.57%"
"Jan 08, 2020","85.92","85.96","86.47","85.20","1.85M","0.99%"
"Jan 07, 2020","85.08","83.96","85.26","83.94","1.72M","0.31%"
"Jan 06, 2020","84.82","84.00","84.82","83.60","1.99M","0.30%"
"Jan 03, 2020","84.57","84.67","85.33","84.50","1.12M","-1.61%"
"Jan 02, 2020","85.95","85.90","86.35","85.20","1.39M","0.75%"
"Dec 31, 2019","85.31","84.84","85.34","84.67","1.18M","0.48%"
