"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","36.00","35.80","36.00","35.80","0.50K","1.90%"
"Nov 19, 2019","35.33","35.50","35.50","35.31","1.80K","-0.51%"
"Nov 18, 2019","35.51","36.30","36.30","35.15","3.00K","-2.18%"
"Nov 14, 2019","36.30","36.31","36.31","36.30","0.20K","-0.49%"
"Nov 13, 2019","36.48","36.48","36.48","36.48","1.00K","-1.14%"
"Nov 11, 2019","36.90","36.63","36.90","36.63","0.70K","0.74%"
"Nov 08, 2019","36.63","36.67","36.67","36.63","0.50K","-1.00%"
"Nov 07, 2019","37.00","36.63","37.00","36.63","0.70K","1.01%"
"Nov 06, 2019","36.63","36.71","37.20","36.63","4.10K","-0.73%"
"Nov 05, 2019","36.90","37.15","37.30","36.90","1.50K","-0.73%"
"Nov 04, 2019","37.17","37.50","37.57","37.00","5.90K","-2.06%"
"Nov 01, 2019","37.95","37.98","38.00","36.56","2.20K","1.61%"
"Oct 31, 2019","37.35","37.50","38.00","36.70","1.40K","2.16%"
"Oct 30, 2019","36.56","36.77","36.77","36.56","0.80K","-2.51%"
"Oct 29, 2019","37.50","37.52","37.52","37.50","0.40K","-1.81%"
"Oct 28, 2019","38.19","38.00","38.19","38.00","1.00K","0.00%"
"Oct 24, 2019","38.19","38.19","38.19","38.19","0.10K","0.63%"
"Oct 23, 2019","37.95","37.70","38.20","37.60","1.40K","3.75%"
"Oct 22, 2019","36.58","36.43","36.58","36.43","0.20K","0.47%"
"Oct 21, 2019","36.41","36.26","36.41","36.26","0.50K","0.44%"
"Oct 18, 2019","36.25","36.05","38.00","35.60","0.60K","0.00%"
"Oct 17, 2019","36.25","36.97","37.01","36.14","2.30K","-2.19%"
"Oct 16, 2019","37.06","37.72","37.99","37.06","1.30K","-2.22%"
"Oct 15, 2019","37.90","38.17","38.17","37.71","1.20K","0.00%"
"Oct 14, 2019","37.90","38.18","38.60","37.90","1.20K","-0.73%"
"Oct 11, 2019","38.18","38.18","38.18","38.18","0.40K","-3.17%"
"Oct 09, 2019","39.43","38.01","39.46","38.00","1.30K","3.00%"
"Oct 08, 2019","38.28","38.20","38.28","37.70","2.10K","0.87%"
"Oct 07, 2019","37.95","38.99","38.99","37.95","2.60K","-0.42%"
"Oct 04, 2019","38.11","38.00","39.19","37.80","1.90K","-0.91%"
"Oct 03, 2019","38.46","38.45","38.47","37.80","1.50K","1.34%"
"Oct 02, 2019","37.95","38.50","38.50","37.95","3.20K","-2.69%"
"Oct 01, 2019","39.00","39.37","39.37","38.30","2.10K","-0.99%"
"Sep 30, 2019","39.39","38.99","39.50","38.06","4.30K","4.70%"
"Sep 27, 2019","37.62","38.58","38.58","37.52","1.20K","-0.97%"
