"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","3.87","3.91","3.99","3.78","1.05M","-0.26%"
"Oct 24, 2019","3.88","3.89","3.96","3.85","503.60K","-0.51%"
"Oct 23, 2019","3.90","3.97","4.01","3.90","507.82K","-1.76%"
"Oct 22, 2019","3.97","4.06","4.08","3.92","388.45K","-2.46%"
"Oct 21, 2019","4.07","4.05","4.10","4.00","482.46K","0.74%"
"Oct 18, 2019","4.04","4.15","4.15","3.91","535.48K","-1.70%"
"Oct 17, 2019","4.11","4.22","4.24","4.08","548.75K","-3.29%"
"Oct 16, 2019","4.25","4.32","4.35","4.20","308.62K","-1.16%"
"Oct 15, 2019","4.30","4.23","4.34","4.20","612.35K","0.94%"
"Oct 14, 2019","4.26","4.41","4.55","4.26","363.69K","-4.91%"
"Oct 11, 2019","4.48","4.75","4.75","4.47","528.91K","-2.61%"
"Oct 10, 2019","4.60","4.41","4.66","4.37","565.42K","5.50%"
"Oct 09, 2019","4.36","4.31","4.37","4.25","481.94K","0.93%"
"Oct 08, 2019","4.32","4.58","4.71","4.32","327.57K","-5.05%"
"Oct 07, 2019","4.55","4.49","4.75","4.42","695.00K","1.79%"
"Oct 04, 2019","4.47","4.30","4.47","4.28","447.27K","3.71%"
"Oct 03, 2019","4.31","4.34","4.35","4.17","562.46K","-0.92%"
"Oct 02, 2019","4.35","4.25","4.36","4.13","556.76K","0.93%"
"Oct 01, 2019","4.31","4.34","4.38","4.20","691.08K","-0.46%"
"Sep 30, 2019","4.33","4.43","4.46","4.20","453.56K","-1.59%"
"Sep 27, 2019","4.40","4.24","4.58","4.24","951.26K","3.77%"
"Sep 26, 2019","4.24","4.23","4.35","4.12","316.81K","0.95%"
"Sep 25, 2019","4.20","4.08","4.23","4.07","516.23K","1.94%"
"Sep 24, 2019","4.12","4.21","4.21","4.05","420.76K","-2.14%"
"Sep 23, 2019","4.21","4.19","4.32","4.10","498.79K","0.00%"
"Sep 20, 2019","4.21","4.40","4.50","4.20","525.29K","-3.22%"
